ἑστιοῦχος [mask] χθών [mask] [mask] τε [mask] ἔχω πρόσπολος θεά εὐδαιμονέω ἐγώ [mask] τε παῖς ἐμός πόλις τε [mask] [mask] τε Πιτθεύς χθών ἐν ὅς ἐγώ τρέφω ὄλβιος ἐν δῶμα Αἴθρη πατήρ δίδωμι [mask] Πανδίων Αἰγεύς δάμαρ Λοξίας μάντευμα                        
ὅδε γάρ βλέπω ἐπεύχομαι ὅδε γραῦς ὅς λείπω δῶμα Ἀργεῖος [mask] ἱκτήρ θαλλός προσπίτνω ἐμός γόνυ [mask] πάσχω δεινός                     εἰς                       
γάρ πύλη Κάδμος θνήσκω ἑπτά γενναῖος τέκνον ἄπαις εἰμί ὅς ποτέ Ἀργᾶς ἄναξ Ἄδραστος ἄγω Οἰδίπους παγκληρία μέρος κατασχάω φυγάς Πολυνείκης ἐθέλω γαμβρός                 [mask]                       
δέ [mask] [mask] δόρυ θάπτω ἐθέλω ὅδε μήτηρ χθών ἔργω ἕ κρατέω οὐδέ ἀναίρεσις δίδωμι ἐθέλω νόμιμος ἀτίζω [mask]                     νεκρός                       
δέ φόρτος ὅδε ἔχω χρεία ἐμός Ἄδραστος ὄμμα [mask] τέγγω ὅδε κέω ὁ τε ἔγχος ὁ τε [mask] [mask] στρατεία ὅς πέμπω ἐκ δόμος                κοινός                       
ἐγώ ἐξοτρύνω παῖς [mask] πείθω λιτή νεκρός κομιστή ἠέ λόγος ἠέ δόρυ ῥώμη γίγνομαι καί τάφος μεταίτιος μόνος ὅδε [mask] προστίθημι ἐμός τέκνον πόλις τε [mask]              ὅς                       
δέ ὑπέρ χθών ἀρότης προθύω ἐκ δόμος ἔρχομαι ἐμός πρός ὅδε σηκός [mask] πρότερος φαίνω [mask] ὑπέρ [mask] [mask] [mask] στάχυς                   τυγχάνω                       
δέ ἄδεσμος ὅδε ἔχω φυλλάς [mask] πρός ἁγνός ἐσχάρα δύο [mask] [mask] τε καί Δημήτηρ [mask] μέν πολιός ἄπαις ὅδε [mask] τέκνον σέβω δέ [mask] στέμμα              [mask]                       
δέ ἐγώ κῆρυξ [mask] ἄστυ δεῦρο Θησεύς κάλη ὡς ἠέ ὁ οὗτος λυπρός [mask] χθών ἠέ [mask] ἀνάγκη ἱκέσιος [mask] [mask] ὅσιος τις [mask]                οἴχομαι                       
γάρ διά ἄρσην γυνή πράσσω ἔοικα ὅστις [mask]                                [mask]                       
σύ [mask] γεραιός ἐκ στόμα πρός γόνυ πίπτω ὁ [mask]                              ἱκετεύω                       
τέκνον λύω                                      ἄνομος                       
νέκυς [mask] καταλιμπάνω μέλη θάνατος λυσιμελής θήρ ὄρειον βορός                               φθίω                       
[mask] μέν ὄσσε δάκρυον ἀμφί βλέφαρον ῥυσός δέ σάρξ πολιός κατάδρυμμα χείρ                            εἰσεῖδον                       
γάρ                                       τίς                       
φθίω παῖς [mask] [mask] δόμος  [mask] τάφος χῶμα γαῖα εἰσοράω                             ὅς                       
καί σύ ποτέ ὦ πότνια κόρος [mask] ποιέω λέκτρον πόσις σός                             τίκτω                       
νῦν δίδωμι ἐγώ σής διάνοια μεταδίδωμι δέ ὅσος ἐπαλγέω [mask]  φθίω ὅς [mask]                          μετά                       
[mask] [mask] ὦ  ἔρχομαι τέκνον Ἰσμηνός ἐμός τε εἰς χείρ θείνω νέκυς  σῶμα [mask] ἄταφος                       παραπείθω                       
οὐ ὑπό [mask] δέ προπίτνω [mask] βλώσκω δεξίπυρος θέα θυμέλη                              ὅσιος                       
δέ ἔνδικος καί [mask] τις πάρειμι σθένος [mask] εὐτεκνία δυστυχία [mask] παρά ἐγώ καθαιρέω                          ἔχω                       
[mask] πάσχω ἱκετεύω [mask] [mask] παῖς τάλας ἐν χείρ θείνω νέκυς ἀμφιβάλλω [mask] μέλη παῖς ἐμός                        [mask]                       
ὅδε ἄλλος ἔρχομαι γόος γόος [mask] ἠχώ [mask] χείρ                               ἀγών                       
ὦ συνῳδός κτύπος [mask] ὦ συναλγηδών χορός [mask] Ἅιδης σέβομαι διά  [mask] λευκός αἱματόω χρώς τε [mask]                      εἶμι                       
γάρ φθιτός ὁ ὁράω κόσμος                                   ὁ                       
ὅδε ἐγώ [mask] χάρις [mask] πολύπονος ὡς ἐκ  πέτρα ὑγρός ῥέω σταγών ἄπαυστος ἀεί                         ἄπληστος                       
ὁ γάρ θνήσκω [mask]  τις κατά γυνή εἰς γόος φύω πάθος                            γόος                       
ἒ                                       ἒ                       
ὅδε ἄλγος λανθάνω                                     θνήσκω                       
γόος ἀκούω καί στέρνον [mask] [mask] τε θρῆνος ὅδε ἄναξ [mask] [mask] εἶμι                           τίς                       
φόβος [mask] [mask] [mask] ἐγώ τις μήτηρ ὅς μεταστείχω [mask] χρόνιος ἄπειμι ἐκ δόμος [mask] νέος                        ὡς                       
                                                              
[mask]                                       τίς                       
εἰσβολή ὁράω [mask]                                     καινός                       
γεραιός βώμιος ἐπῆμαι ξένος τε ὁμοῦ γυνή οὐ [mask] ῥυθμός κακός ἔχω                            μήτηρ                       
τε γάρ γεράσμιος ὄσσε ἐλαύνω οἰκτρός εἰς γαῖα δάκρυον κουρά τε καί [mask] [mask] θεωρικός                         ἐκ                       
οὗτος μήτηρ                                      τίς                       
ὁ μηνύω ἐγώ ἐγώ δέ ἀκούω                                  σός                       
[mask] γάρ [mask]                                     προσδοκάω                       
παῖς γυνή ὅδε μήτηρ τέκνον ὁ καταθνήσκω ἀμφί Καδμεῖος [mask] ἑπτά στρατηγός                            [mask]                       
δέ σύν κλάδος φρουρέω ἐγώ ὡς δέρκομαι [mask] [mask] τέκνον                              ἱκέσιος                       
δέ [mask] [mask] οἰκτρός ἐν πύλη ὅδε                                 τίς                       
[mask] λέγω Ἀργᾶς [mask]                                    Ἄδραστος                       
δέ ἀμφί ὅδε παῖς                                    ἕ                       
[mask] τέκνον                                      ἦ                       
ἀλλά νεκρός ὁ ὄλλυμι κόρος                                   οὐ                       
γάρ πρός ἐγώ ἔρχομαι ἱκεσία χείρ                                  τίς                       
                                                              
ὅδε μῦθος ἐντεῦθεν τέκνον                                    ἀλλά                       
ὁ κατήρης χλανίδιον ἀνιστορέω                                    [mask]                       
ἐκκαλύπτω κράς καί παρίημι γόος                                   λέγω                       
γάρ οὐδείς μή διά γλῶσσα [mask]                                  πέρας                       
καλλίνικος γῆ [mask] ἄναξ Θησεύς σός ἱκέτης καί πόλις ἥκω σύ                             ὦ                       
χρῆμα θήρ καί τίς χρεία ἔχω                                  τίς                       
ὅς στρατεία στρατεύω ὀλέθριος                                    οἶδα                       
γάρ [mask] σιγή διαπεράω Ἑλλάς                                   οὐ                       
ἀπόλλυμι [mask] [mask] [mask]                                    ἐνταῦθα                       
ὁ τλήμων πόλεμος ἐξεργάζομαι                                    [mask]                       
θνήσκω ἔρχομαι [mask] πόλις                                    οὗτος                       
Ἑρμῆς πίσυνος ὡς θάπτω νεκρός                                   κήρυξις                       
γε ἕ κτείνω οὐ ἀίω ἐγώ                                  ἔπειτα                       
γάρ λέγω ὅσιος χρῄζω σύ                                   τίς                       
δέ                                       τίς                       
οὐ ἐφίστημι [mask]                                     εὐτυχέω                       
οὖν ἐγώ ἐπέρχομαι                                     σύμβουλος                       
τίς χάρις                                      ἠέ                       
σύ [mask] παῖς Ἀργᾶς ἐθέλω                                   κομίζω                       
δέ Ἄργος ἐγώ πού εἰμί                                   ὁ                       
κόμπος μάτην                                      ἠέ                       
οἴχομαι                                       σφάλλω                       
σύ δέ ἥκω                                     πρός                       
δοκέω σύ ὅδε [mask] πᾶς πόλις                                  ἴδιος                       
[mask] ἱκνέομαι Δαναίδαι θάπτω νεκρός                                   πᾶς                       
ὁ δέ [mask] ἑπτά πρός Θήβη λόχος                                 ἐκ                       
γαμβρός [mask] πορσύνω [mask]                                    δισσός                       
δέ ἐκδίδωμι παῖς Ἀργᾶς σύ                                   ὁ                       
[mask] συνάπτω κηδεία δόμος                                    [mask]                       
ξένος δίδωμι Ἀργεῖος κόρη                                    ἀλλά                       
γε [mask] τε [mask] [mask]                                   Τυδεύς                       
εἰς [mask] ὅδε [mask] βλώσκω                                   τίς                       
ἐγώ ὑπέρχομαι δυστόπαστος αἴνιγμα                                    Φοῖβος                       
δέ εἶπος [mask] παρθένος κραίνω γάμος                                  [mask]                       
ἐγώ δίδωμι καί λέων παῖς ἐμός                                  [mask]                       
δέ ἐξελίσσω πῶς θεός θέσπισμα                                   σύ                       
φυγάς νύξ εἰς ἐμός [mask] τίς [mask] τίς                                ἔρχομαι                       
                                                              
γάρ ἐξαυδάω ἅμα                                     δύο                       
μάχη [mask] [mask] τε ἅμα                                   Τυδεύς                       
ὅδε δίδωμι θήρ ὅς κόρη σύ                                  ἦ                       
γε δισσός κνώδαλον ἀπεικάζω                                    μάχη                       
δέ δή πῶς πατρίς ἐκλείπω ὅρος                                  ἔρχομαι                       
μέν αἷμα συγγενής [mask] χθών                                   [mask]                       
δέ Οἰδίπους τίς τίς τρόπος Θήβη λείπω                                 ὁ                       
πατρῷος μή κασίγνητος κτείνω                                    ἀρά                       
γε λέγω [mask] ἑκούσιος φυγή                                   [mask]                       
ἕ μένω ὁ ἄπειμι ἀδικέω                                   [mask]                       
πού σφεῖς ἀδελφός χρῆμα νοσφίζομαι                                   οὐ                       
δικάζω ἔρχομαι                                      [mask]                       
[mask]                                       εἶτα                       
δέ ἐπέρχομαι ἔμπυρος τε εἶδον [mask]                                  μάντις                       
                                                              
ἐγώ ὅς μάλιστα ἐγώ σφάλλω                                   διώκω                       
ἔρχομαι ὡς [mask] εὔνοια [mask]                                   [mask]                       
δέ πλέος ἔρχομαι Ἀμφιάραος γε πρός βία                                 ὁ                       
ὁ θεῖος ῥᾴδιος ἀποστρέφω                                    οὕτως                       
γάρ ἀνήρ θόρυβος [mask] ἐγώ                                   νέος                       
σπεύδω ἀντί εὐβουλία                                     εὐψυχία                       
δή γε πολύς ὄλλυμι στρατηλάτης                                   ὅς                       
ὦ [mask] Ἑλλάς [mask] [mask] ἄναξ Ἀθήνη ἐν μέν αἰσχύνη ἔχω πίπτω πρός οὖδας γόνυ σός ἀμφίσχω [mask] πολιός ἀνήρ τύραννος εὐδαίμων πάρος                 ἀλλά                       
δέ ἀνάγκη συμφορά [mask] ἐμός                                   ὅμως                       
