@_id,@_location,word/0/@_form,word/0/@_id,word/0/lemma/@_id,word/0/lemma/@_entry,word/0/lemma/@_POS,word/0/lemma/@_TreeTagger,word/0/lemma/@_disambiguated,word/0/lemma/analysis/0/@_morph,word/0/lemma/analysis/1/@_morph,word/1/@_form,word/1/@_id,word/1/lemma/@_id,word/1/lemma/@_entry,word/1/lemma/@_POS,word/1/lemma/@_TreeTagger,word/1/lemma/@_disambiguated,word/1/lemma/analysis/@_morph,word/2/@_form,word/2/@_id,word/2/lemma/@_id,word/2/lemma/@_entry,word/2/lemma/@_POS,word/2/lemma/@_TreeTagger,word/2/lemma/@_disambiguated,word/2/lemma/analysis/@_morph,word/3/@_form,word/3/@_id,word/3/lemma/@_id,word/3/lemma/@_entry,word/3/lemma/@_POS,word/3/lemma/@_disambiguated,word/3/lemma/@_TreeTagger,word/3/lemma/analysis/@_morph,word/4/@_form,word/4/@_id,word/4/lemma/@_id,word/4/lemma/@_entry,word/4/lemma/@_POS,word/4/lemma/@_TreeTagger,word/4/lemma/@_disambiguated,word/4/lemma/analysis/@_morph,word/5/@_form,word/5/@_id,word/5/lemma/@_id,word/5/lemma/@_entry,word/5/lemma/@_POS,word/5/lemma/@_TreeTagger,word/5/lemma/@_disambiguated,word/5/lemma/analysis/@_morph,word/6/@_form,word/6/@_id,word/6/lemma/@_id,word/6/lemma/@_entry,word/6/lemma/@_POS,word/6/lemma/@_TreeTagger,word/6/lemma/@_disambiguated,word/6/lemma/analysis/@_morph,word/7/@_form,word/7/@_id,word/7/lemma/@_id,word/7/lemma/@_entry,word/7/lemma/@_POS,word/7/lemma/@_TreeTagger,word/7/lemma/@_disambiguated,word/7/lemma/analysis/@_morph,word/8/@_form,word/8/@_id,word/8/lemma/@_id,word/8/lemma/@_entry,word/8/lemma/@_POS,word/8/lemma/@_TreeTagger,word/8/lemma/@_disambiguated,word/8/lemma/analysis/0/@_morph,word/8/lemma/analysis/1/@_morph,word/9/@_form,word/9/@_id,word/9/lemma/@_id,word/9/lemma/@_entry,word/9/lemma/@_POS,word/9/lemma/@_TreeTagger,word/9/lemma/@_disambiguated,word/9/lemma/analysis/@_morph,word/10/@_form,word/10/@_id,word/10/lemma/@_id,word/10/lemma/@_entry,word/10/lemma/@_POS,word/10/lemma/@_TreeTagger,word/10/lemma/@_disambiguated,word/10/lemma/analysis/@_morph,punct/0/@_mark,punct/1/@_mark,word/0/lemma/analysis/@_morph,punct/@_mark,word/3/lemma/analysis/0/@_morph,word/3/lemma/analysis/1/@_morph,word/3/lemma/analysis/2/@_morph,word/3/lemma/analysis/3/@_morph,word/2/lemma/analysis/0/@_morph,word/2/lemma/analysis/1/@_morph,word/2/lemma/analysis/2/@_morph,word/8/lemma/analysis/@_morph,word/11/@_form,word/11/@_id,word/11/lemma/@_id,word/11/lemma/@_entry,word/11/lemma/@_POS,word/11/lemma/@_TreeTagger,word/11/lemma/@_disambiguated,word/11/lemma/analysis/@_morph,word/12/@_form,word/12/@_id,word/12/lemma/@_id,word/12/lemma/@_entry,word/12/lemma/@_POS,word/12/lemma/@_TreeTagger,word/12/lemma/@_disambiguated,word/12/lemma/analysis/0/@_morph,word/12/lemma/analysis/1/@_morph,word/13/@_form,word/13/@_id,word/13/lemma/@_id,word/13/lemma/@_entry,word/13/lemma/@_POS,word/13/lemma/@_TreeTagger,word/13/lemma/@_disambiguated,word/13/lemma/analysis/0/@_morph,word/13/lemma/analysis/1/@_morph,word/8/lemma/analysis/2/@_morph,word/7/lemma/analysis/0/@_morph,word/7/lemma/analysis/1/@_morph,punct/2/@_mark,punct/3/@_mark,word/4/lemma/analysis/0/@_morph,word/4/lemma/analysis/1/@_morph,word/6/lemma/analysis/0/@_morph,word/6/lemma/analysis/1/@_morph,word/11/lemma/analysis/0/@_morph,word/11/lemma/analysis/1/@_morph,word/12/lemma/analysis/@_morph,word/13/lemma/analysis/@_morph,word/14/@_form,word/14/@_id,word/14/lemma/@_id,word/14/lemma/@_entry,word/14/lemma/@_POS,word/14/lemma/@_TreeTagger,word/14/lemma/@_disambiguated,word/14/lemma/analysis/0/@_morph,word/14/lemma/analysis/1/@_morph,word/15/@_form,word/15/@_id,word/15/lemma/@_id,word/15/lemma/@_entry,word/15/lemma/@_POS,word/15/lemma/@_TreeTagger,word/15/lemma/@_disambiguated,word/15/lemma/analysis/@_morph,word/16/@_form,word/16/@_id,word/16/lemma/@_id,word/16/lemma/@_entry,word/16/lemma/@_POS,word/16/lemma/@_disambiguated,word/16/lemma/@_TreeTagger,word/16/lemma/analysis/@_morph,word/17/@_form,word/17/@_id,word/17/lemma/@_id,word/17/lemma/@_entry,word/17/lemma/@_POS,word/17/lemma/@_TreeTagger,word/17/lemma/@_disambiguated,word/17/lemma/analysis/@_morph,word/18/@_form,word/18/@_id,word/18/lemma/@_id,word/18/lemma/@_entry,word/18/lemma/@_POS,word/18/lemma/@_TreeTagger,word/18/lemma/@_disambiguated,word/18/lemma/analysis/@_morph,word/19/@_form,word/19/@_id,word/19/lemma/@_id,word/19/lemma/@_entry,word/19/lemma/@_POS,word/19/lemma/@_TreeTagger,word/19/lemma/@_disambiguated,word/19/lemma/analysis/@_morph,word/20/@_form,word/20/@_id,word/20/lemma/@_id,word/20/lemma/@_entry,word/20/lemma/@_POS,word/20/lemma/@_TreeTagger,word/20/lemma/@_disambiguated,word/20/lemma/analysis/@_morph,word/21/@_form,word/21/@_id,word/21/lemma/@_id,word/21/lemma/@_entry,word/21/lemma/@_POS,word/21/lemma/@_TreeTagger,word/21/lemma/@_disambiguated,word/21/lemma/analysis/@_morph,word/22/@_form,word/22/@_id,word/22/lemma/@_id,word/22/lemma/@_entry,word/22/lemma/@_POS,word/22/lemma/@_TreeTagger,word/22/lemma/@_disambiguated,word/22/lemma/analysis/@_morph,word/23/@_form,word/23/@_id,word/23/lemma/@_id,word/23/lemma/@_entry,word/23/lemma/@_POS,word/23/lemma/@_TreeTagger,word/23/lemma/@_disambiguated,word/23/lemma/analysis/@_morph,word/24/@_form,word/24/@_id,word/24/lemma/@_id,word/24/lemma/@_entry,word/24/lemma/@_POS,word/24/lemma/@_TreeTagger,word/24/lemma/@_disambiguated,word/24/lemma/analysis/@_morph,word/25/@_form,word/25/@_id,word/25/lemma/@_id,word/25/lemma/@_entry,word/25/lemma/@_POS,word/25/lemma/@_TreeTagger,word/25/lemma/@_disambiguated,word/25/lemma/analysis/@_morph,word/4/lemma/analysis/2/@_morph,word/0/lemma/analysis/2/@_morph,word/0/lemma/analysis/3/@_morph,word/0/lemma/analysis/4/@_morph,word/0/lemma/analysis/5/@_morph,word/0/lemma/analysis/6/@_morph,word/4/lemma/analysis/3/@_morph,word/4/lemma/analysis/4/@_morph,word/4/lemma/analysis/5/@_morph,word/4/lemma/analysis/6/@_morph,word/1/lemma/analysis/0/@_morph,word/1/lemma/analysis/1/@_morph,word/14/lemma/analysis/@_morph,word/16/lemma/analysis/0/@_morph,word/16/lemma/analysis/1/@_morph,word/18/lemma/analysis/0/@_morph,word/18/lemma/analysis/1/@_morph,word/9/lemma/analysis/0/@_morph,word/9/lemma/analysis/1/@_morph,word/9/lemma/analysis/2/@_morph,word/15/lemma/analysis/0/@_morph,word/15/lemma/analysis/1/@_morph,word/21/lemma/analysis/0/@_morph,word/21/lemma/analysis/1/@_morph,word/21/lemma/analysis/2/@_morph,word/21/lemma/analysis/3/@_morph,word/5/lemma/analysis/0/@_morph,word/5/lemma/analysis/1/@_morph,word/10/lemma/analysis/0/@_morph,word/10/lemma/analysis/1/@_morph,word/2/lemma/analysis/3/@_morph,word/1/lemma/analysis/2/@_morph,word/1/lemma/analysis/3/@_morph,word/7/lemma/analysis/2/@_morph,word/5/lemma/analysis/2/@_morph,word/5/lemma/analysis/3/@_morph,word/20/lemma/analysis/0/@_morph,word/20/lemma/analysis/1/@_morph,word/24/lemma/analysis/0/@_morph,word/24/lemma/analysis/1/@_morph,word/25/lemma/analysis/0/@_morph,word/25/lemma/analysis/1/@_morph,word/26/@_form,word/26/@_id,word/26/lemma/@_id,word/26/lemma/@_entry,word/26/lemma/@_POS,word/26/lemma/@_TreeTagger,word/26/lemma/@_disambiguated,word/26/lemma/analysis/@_morph,word/27/@_form,word/27/@_id,word/27/lemma/@_id,word/27/lemma/@_entry,word/27/lemma/@_POS,word/27/lemma/@_TreeTagger,word/27/lemma/@_disambiguated,word/27/lemma/analysis/@_morph,word/28/@_form,word/28/@_id,word/28/lemma/@_id,word/28/lemma/@_entry,word/28/lemma/@_POS,word/28/lemma/@_disambiguated,word/28/lemma/@_TreeTagger,word/28/lemma/analysis/@_morph,word/29/@_form,word/29/@_id,word/29/lemma/@_id,word/29/lemma/@_entry,word/29/lemma/@_POS,word/29/lemma/@_disambiguated,word/29/lemma/@_TreeTagger,word/29/lemma/analysis/@_morph,word/30/@_form,word/30/@_id,word/30/lemma/@_id,word/30/lemma/@_entry,word/30/lemma/@_POS,word/30/lemma/@_TreeTagger,word/30/lemma/@_disambiguated,word/30/lemma/analysis/@_morph,punct/4/@_mark,punct/5/@_mark,word/12/lemma/analysis/2/@_morph,word/15/lemma/analysis/2/@_morph,word/15/lemma/analysis/3/@_morph,word/23/lemma/analysis/0/@_morph,word/23/lemma/analysis/1/@_morph,word/17/lemma/analysis/0/@_morph,word/17/lemma/analysis/1/@_morph,word/9/lemma/analysis/3/@_morph,word/8/lemma/analysis/3/@_morph,word/16/lemma/analysis/2/@_morph,word/16/lemma/analysis/3/@_morph,word/6/lemma/analysis/2/@_morph,word/6/lemma/analysis/3/@_morph,word/13/lemma/analysis/2/@_morph
1,2,oi(=on,1,72627,οἷος,adjective,false,n/a,masc acc sg,neut nom/voc/acc sg,o(,2,71882,ὁ,article,false,n/a,masc nom sg,tw)po/llwnos,3,13098,Ἀπόλλων,proper,false,n/a,masc gen sg,e)sei/sato,4,31333,εἴσειμι,verb,0.33,true,aor ind mid 3rd sg (epic),da/fninos,5,23571,δαίς,adjective,false,n/a,masc nom sg,o(/rphc,6,75339,ὄρπηξ,noun,false,n/a,masc nom/voc sg (attic),oi(=a,7,72627,οἷος,adjective,false,n/a,neut nom/voc/acc pl,d',8,23596,δέ,particle,false,n/a,indeclform (particle),o(/lon,9,73277,ὅλος,adjective,false,n/a,masc acc sg,neut nom/voc/acc sg,to\,10,71882,ὁ,article,false,n/a,neut nom/voc/acc sg,me/laqron,11,65796,μέλαθρον,noun,false,n/a,neut nom/voc/acc sg,",",:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,e(ka\s,1,31584,ἑκάς,adjective,false,n/a,,,e(ka\s,2,31584,ἑκάς,adjective,false,n/a,indeclform (adverb),o(/stis,3,75598,ὅστις,pronoun,false,n/a,masc nom sg,a)litro/s,4,4312,ἀλιτρός,adjective,n/a,false,masc/fem nom sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indeclform (adverb),.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,kai\,1,51951,καί,conjunction,false,n/a,,,dh/,2,24295,δή,particle,false,n/a,indeclform (particle),pou,3,nlsj68228,πού,adverb,false,n/a,enclitic indeclform (adverb),ta\,4,71882,ὁ,article,1.0,true,,qu/retra,5,49493,θύρετρα,adjective,false,n/a,neut nom/voc/acc pl,kalw=i,6,nlsj61372,καλός,noun,false,n/a,masc/neut dat sg,podi\,7,84150,ποδίς,noun,true,0.5,fem voc sg,*foi=bos,8,nlsj5526,Φοῖβος,proper,false,n/a,masc nom sg,a)ra/ssei,9,14708,ἀράσσω,verb,true,0.5,pres ind mp 2nd sg,pres ind act 3rd sg,,,,,,,,,,,,,,,,,,,indeclform (conj),:,neut acc pl,neut nom/voc/acc pl,fem acc dual,fem nom/voc/acc dual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,ou)x,1,75730,οὐ,adverb,false,n/a,,,o(ra/ais,2,unknown,,,false,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,proclitic indeclform (adverb),;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,e)pe/neusen,1,40316,ἐπινέω,verb,true,0.5,,,o(,2,71882,ὁ,article,false,n/a,masc nom sg,*dh/lios,3,24334,Δήλιος,proper,false,n/a,,h(du/,4,46712,ἡδύς,adjective,n/a,false,,ti,5,104051,τις,pronoun,false,n/a,neut nom/voc/acc sg,foi=nic,6,112002,φοῖνιξ,noun,false,n/a,masc nom/voc sg,e)capi/nhs,7,36850,ἐξαπίνης,adverb,false,n/a,indeclform (adverb),o(,8,71882,ὁ,article,false,n/a,masc nom sg,de\,9,23596,δέ,particle,false,n/a,,,ku/knos,10,60677,κύκνος,noun,false,n/a,masc nom sg,e)n,11,34700,ἐν,preposition,true,0.5,proclitic indeclform (prep),",",.,aor ind act 3rd sg,,masc voc sg,neut nom/voc/acc sg,masc voc sg,neut nom/voc/acc sg,masc nom sg,masc/fem nom sg,masc nom sg,indeclform (particle),h)e/ri,12,1872,ἀήρ,adjective,false,n/a,masc/fem dat sg (epic),kalo\n,13,nlsj61372,καλός,noun,false,n/a,masc acc sg,neut nom/voc/acc sg,a)ei/dei,14,1587,ἀείδω,verb,false,n/a,pres ind mp 2nd sg (epic doric ionic aeolic),pres ind act 3rd sg (epic doric ionic aeolic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,au)toi\,1,17907,αὐτός,pronoun,false,n/a,,,nu=n,2,71308,νῦν,adverb,false,n/a,enclitic indeclform (adverb),katoxh=es,3,56122,κατοχεύς,noun,false,n/a,masc nom/voc pl (epic ionic),a)nakli/nesqe,4,6736,ἀνακλίνω,verb,n/a,false,,pula/wn,5,91489,πύλη,adjective,false,n/a,fem gen pl (epic aeolic),au)tai\,6,17907,αὐτός,pronoun,false,n/a,fem nom/voc pl,de\,7,23596,δέ,particle,false,n/a,indeclform (particle),klhi=des,8,57771,κλείς,noun,false,n/a,fem nom/voc pl (epic ionic),,,,,,,,,,,,,,,,,,,,,,,,,,",",:,masc nom/voc pl,,pres imperat mp 2nd pl,pres ind mp 2nd pl,imperf ind mp 2nd pl (homeric ionic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,o(,1,71882,ὁ,article,false,n/a,,,ga\r,2,21618,γάρ,particle,false,n/a,indeclform (particle),qeo\s,3,48291,θεός,noun,false,n/a,masc nom sg,ou)k,4,75730,οὐ,adverb,n/a,false,proclitic indeclform (adverb),e)/ti,5,43266,ἔτι,adverb,false,n/a,indeclform (adverb),makrh/n,6,64703,μακρός,adjective,true,1.0,fem acc sg (epic ionic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,masc nom sg,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,oi(,1,71882,ὁ,article,true,1.0,,,de\,2,23596,δέ,particle,false,n/a,indeclform (particle),ne/oi,3,70364,νέος,adjective,true,1.0,,molph/n,4,68361,μολπή,noun,n/a,false,fem acc sg (attic epic ionic),te,5,102752,τε,particle,false,n/a,enclitic indeclform (particle),kai\,6,51951,καί,conjunction,false,n/a,indeclform (conj),e)s,7,31235,εἰς,preposition,false,n/a,proclitic indeclform (prep),xoro\n,8,114468,χορός,noun,false,n/a,masc acc sg,e)ntu/nesqe,9,36350,ἐντύνω,verb,true,0.5,pres imperat mp 2nd pl,pres ind mp 2nd pl,,,,,,,,,,,,,,,,,,,masc nom/voc pl,.,,,,,masc nom/voc pl,masc/fem nom/voc pl (attic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,imperf ind mp 2nd pl (homeric ionic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2,w(po/llwn,1,unknown,,,false,n/a,,,ou),2,75730,οὐ,adverb,false,n/a,proclitic indeclform (adverb),panti\,3,79904,πᾶς,adjective,false,n/a,masc/neut dat sg,faei/netai,4,110114,φαίνω,verb,n/a,false,pres ind mp 3rd sg,a)ll',5,4357,ἀλλά,adverb,false,n/a,indeclform (adverb),o(/,6,75512,ὅς,pronoun,true,1.0,neut nom/voc/acc sg,tis,7,104051,τις,pronoun,false,n/a,masc/fem nom sg,e)sqlo/s,8,42893,ἐσθλός,adjective,false,n/a,masc nom sg,,,,,,,,,,,,,,,,,,,,,,,,,,",",:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2,o(/s,1,75512,ὅς,pronoun,false,n/a,,,min,2,67878,μιν,pronoun,false,n/a,masc/fem/neut acc 3rd sg (epic ionic),i)/dhi,3,nlsj11198,εἶδον,verb,true,1.0,,me/gas,4,65552,μέγας,adverb,n/a,false,masc nom sg,ou(=tos,5,76062,οὗτος,pronoun,false,n/a,masc nom/voc sg,o(\s,6,75512,ὅς,pronoun,false,n/a,masc nom sg,ou)k,7,75730,οὐ,adverb,false,n/a,proclitic indeclform (adverb),i)/de,8,nlsj11198,εἶδον,verb,true,1.0,,lito\s,9,63635,λιτός,adjective,true,1.0,masc nom sg,masc nom sg,e)kei=nos,10,31951,ἐκεῖνος,pronoun,false,n/a,masc nom sg,,,,,,,,,",",",",masc nom sg,,,,,,aor subj mp 2nd sg,aor subj act 3rd sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aor imperat act 2nd sg,aor ind act 3rd sg (homeric ionic),",",.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
