word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/122/lemma/@_entry,word/122/lemma/@_POS,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS,word/124/@_form,word/124/lemma/@_entry,word/124/lemma/@_POS,word/125/@_form,word/125/lemma/@_entry,word/125/lemma/@_POS,word/126/@_form,word/126/lemma/@_entry,word/126/lemma/@_POS,word/127/@_form,word/127/lemma/@_entry,word/127/lemma/@_POS,word/128/@_form,word/128/lemma/@_entry,word/128/lemma/@_POS,word/129/@_form,word/129/lemma/@_entry,word/129/lemma/@_POS,word/130/@_form,word/130/lemma/@_entry,word/130/lemma/@_POS,word/131/@_form,word/131/lemma/@_entry,word/131/lemma/@_POS,word/132/@_form,word/132/lemma/@_entry,word/132/lemma/@_POS,word/133/@_form,word/133/lemma/@_entry,word/133/lemma/@_POS,word/134/@_form,word/134/lemma/@_entry,word/134/lemma/@_POS,word/135/@_form,word/135/lemma/@_entry,word/135/lemma/@_POS,word/136/@_form,word/136/lemma/@_entry,word/136/lemma/@_POS,word/137/@_form,word/137/lemma/@_entry,word/137/lemma/@_POS,word/138/@_form,word/138/lemma/@_entry,word/138/lemma/@_POS,word/139/@_form,word/139/lemma/@_entry,word/139/lemma/@_POS,word/140/@_form,word/140/lemma/@_entry,word/140/lemma/@_POS,word/141/@_form,word/141/lemma/@_entry,word/141/lemma/@_POS,word/142/@_form,word/142/lemma/@_entry,word/142/lemma/@_POS,word/143/@_form,word/143/lemma/@_entry,word/143/lemma/@_POS,word/144/@_form,word/144/lemma/@_entry,word/144/lemma/@_POS,word/145/@_form,word/145/lemma/@_entry,word/145/lemma/@_POS,word/146/@_form,word/146/lemma/@_entry,word/146/lemma/@_POS,word/147/@_form,word/147/lemma/@_entry,word/147/lemma/@_POS,word/148/@_form,word/148/lemma/@_entry,word/148/lemma/@_POS,word/149/@_form,word/149/lemma/@_entry,word/149/lemma/@_POS,word/150/@_form,word/150/lemma/@_entry,word/150/lemma/@_POS,word/151/@_form,word/151/lemma/@_entry,word/151/lemma/@_POS,word/152/@_form,word/152/lemma/@_entry,word/152/lemma/@_POS
th\n,ὁ,article,me\n,μέν,particle,paraskeuh\n,παρασκευή,noun,o(ra=te,ὁράω,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,kai\,καί,conjunction,th\n,ὁ,article,para/tacin,παράταξις,noun,o(/sh,ὅσος,adjective,gege/nhtai,γίγνομαι,verb,kai\,καί,conjunction,ta\s,ὁ,article,kata\,κατά,preposition,th\n,ὁ,article,a)gora\n,ἀγορά,noun,deh/seis,δέησις,noun,ai(=s,ὅς,pronoun,ke/xrhntai/,χράω,verb,tines,τις,pronoun,u(pe\r,ὑπέρ,preposition,tou=,ὁ,article,ta\,ὁ,article,me/tria,μέτριος,adjective,kai\,καί,conjunction,sunh/qh,συνήθης,adverb,mh\,μή,conjunction,gi/gnesqai,γίγνομαι,verb,e)n,ἐν,preposition,th=|,ὁ,article,po/lei,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,de\,δέ,particle,pepisteukw\s,πιστεύω,verb,h(/kw,ἥκω,verb,prw=ton,πρότερος,adjective,me\n,μέν,particle,toi=s,ὁ,article,qeoi=s,θεός,noun,e)/peita,ἔπειτα,adverb,toi=s,ὁ,article,no/mois,νόμος,noun,kai\,καί,conjunction,u(mi=n,σύ,pronoun,h(gou/menos,ἡγέομαι,verb,ou)demi/an,οὐδείς,pronoun,paraskeuh\n,παρασκευή,noun,mei=zon,μέγας,adverb,i)sxu/ein,ἰσχύω,verb,par',παρά,preposition,u(mi=n,σύ,pronoun,tw=n,ὁ,article,no/mwn,νόμος,noun,kai\,καί,conjunction,tw=n,ὁ,article,dikai/wn,δίκαιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)boulo/mhn,βούλομαι,verb,me\n,μέν,particle,ou)=n,οὖν,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,kai\,καί,conjunction,th\n,ὁ,article,boulh\n,βουλή,noun,tou\s,ὁ,article,pentakosi/ous,πεντακόσιοι,adjective,kai\,καί,conjunction,ta\s,ὁ,article,e)kklhsi/as,ἐκκλησία,noun,u(po\,ὑπό,preposition,tw=n,ὁ,article,e)festhko/twn,ἐφίστημι,verb,o)rqw=s,ὀρθός,adjective,dioikei=sqai,διοικέω,verb,kai\,καί,conjunction,tou\s,ὁ,article,no/mous,νόμος,noun,ou(\s,ὅς,pronoun,e)nomoqe/thsen,νομοθετέω,verb,o(,ὁ,article,*so/lwn,Σόλων,proper,peri\,περί,preposition,th=s,ὁ,article,tw=n,ὁ,article,r(hto/rwn,ῥήτωρ,noun,eu)kosmi/as,εὐκοσμία,noun,i)sxu/ein,ἰσχύω,verb,i(/na,ἵνα,conjunction,e)ch=n,ἔξεστι,verb,prw=ton,πρότερος,adjective,me\n,μέν,particle,tw=|,ὁ,article,presbuta/tw|,πρέσβυς,noun,tw=n,ὁ,article,politw=n,πολίτης,noun,w(/sper,ὥσπερ,adverb,oi(,ὁ,article,no/moi,νόμος,noun,prosta/ttousi,προστάσσω,verb,swfro/nws,σώφρων,noun,e)pi\,ἐπί,preposition,to\,ὁ,article,bh=ma,βῆμα,noun,parelqo/nti,παρέρχομαι,verb,a)/neu,ἄνευ,preposition,qoru/bou,θόρυβος,noun,kai\,καί,conjunction,taraxh=s,ταραχή,noun,e)c,ἐκ,preposition,e)mpeiri/as,ἐμπειρία,noun,ta\,ὁ,article,be/ltista,βέλτιστος,adjective,th=|,ὁ,article,po/lei,πόλις,adjective,sumbouleu/ein,συμβουλεύω,verb,deu/teron,δεύτερος,adjective,d',δέ,particle,h)/dh,ἤδη,adverb,kai\,καί,conjunction,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,politw=n,πολίτης,noun,to\n,ὁ,article,boulo/menon,βούλομαι,verb,kaq',κατά,preposition,h(liki/an,ἡλικία,noun,xwri\s,χωρίς,adverb,kai\,καί,conjunction,e)n,ἐν,preposition,me/rei,μέρος,noun,peri\,περί,preposition,e(ka/stou,ἕκαστος,adjective,gnw/mhn,γνώμη,noun,a)pofai/nesqai,ἀποφαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tw,οὕτως,adverb,ga\r,γάρ,particle,a)/n,ἄν,particle,moi,ἐγώ,pronoun,dokei=,δοκέω,verb,h(/,ὅς,pronoun,te,τε,particle,po/lis,πόλις,adjective,a)/rista,ἄριστος,adjective,dioikei=sqai,διοικέω,verb,ai(/,ὅς,pronoun,te,τε,particle,kri/seis,κρίσις,adjective,e)la/xistai,ἐλάχιστος,adjective,gi/gnesqai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)peidh\,ἐπεί,conjunction,de\,δέ,particle,pa/nta,πᾶς,adjective,ta\,ὁ,article,pro/teron,πρότερος,adjective,w(mologhme/na,ὁμολογέω,verb,kalw=s,καλός,noun,e)/xein,ἔχω,verb,nuni\,νυνί,adverb,katale/lutai,καταλύω,verb,kai\,καί,conjunction,gra/fousi/,γράφω,verb,te,τε,particle,tine\s,τις,pronoun,r(a|di/ws,ῥᾴδιος,adjective,parano/mous,παράνομος,adjective,gnw/mas,γνώμη,noun,kai\,καί,conjunction,tau/tas,οὗτος,pronoun,e(/teroi,ἕτερος,adjective,tines,τις,pronoun,e)piyhfi/zousin,ἐπιψηφίζω,verb,ou)k,οὐ,adverb,e)k,ἐκ,preposition,tou=,ὁ,article,dikaiota/tou,δίκαιος,adjective,tro/pou,τρόπος,noun,laxo/ntes,λαγχάνω,verb,proedreu/ein,προεδρεύω,verb,a)ll',ἀλλά,adverb,e)k,ἐκ,preposition,paraskeuh=s,παρασκευή,noun,kaqezo/menoi,καθέζομαι,verb,a)\n,ἄν,particle,de/,δέ,particle,tis,τις,pronoun,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,bouleutw=n,βουλευτής,noun,o)/ntws,ὄντως,adverb,la/xh|,λαγχάνω,verb,proedreu/ein,προεδρεύω,verb,kai\,καί,conjunction,ta\s,ὁ,article,u(mete/ras,ὑμέτερος,adjective,xeirotoni/as,χειροτονία,noun,o)rqw=s,ὀρθός,adjective,a)nagoreu/h|,ἀναγορεύω,verb,tou=ton,οὗτος,pronoun,oi(,ἕ,pronoun,th\n,ὁ,article,politei/an,πολιτεία,noun,ou)ke/ti,οὐκέτι,adverb,koinh/n,κοινός,adjective,a)ll',ἀλλά,adverb,i)di/an,ἴδιος,adjective,au(tw=n,ἑαυτοῦ,pronoun,h(gou/menoi,ἡγέομαι,verb,a)peilou=sin,ἀπειλέω,verb,ei)saggelei=n,εἰσαγγέλλω,verb,katadoulou/menoi,καταδουλόω,verb,tou\s,ὁ,article,i)diw/tas,ἰδιώτης,noun,kai\,καί,conjunction,dunastei/as,δυναστεία,noun,e(autoi=s,ἑαυτοῦ,pronoun,peripoiou/menoi,περιποιέω,verb,kai\,καί,conjunction,ta\s,ὁ,article,kri/seis,κρίσις,adjective,ta\s,ὁ,article,me\n,μέν,particle,e)k,ἐκ,preposition,tw=n,ὁ,article,no/mwn,νόμος,noun,katalelu/kasi,καταλύω,verb,ta\s,ὁ,article,d',δέ,particle,e)k,ἐκ,preposition,tw=n,ὁ,article,yhfisma/twn,ψήφισμα,noun,met',μετά,preposition,o)rgh=s,ὀργή,noun,kri/nousin,κρίνω,verb,sesi/ghtai,σιγάω,verb,me\n,μέν,particle,to\,ὁ,article,ka/lliston,καλός,noun,kai\,καί,conjunction,swfrone/staton,σώφρων,noun,kh/rugma,κήρυγμα,noun,tw=n,ὁ,article,e)n,ἐν,preposition,th=|,ὁ,article,po/lei,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/s,τίς,pronoun,a)goreu/ein,ἀγορεύω,verb,bou/letai,βούλομαι,verb,tw=n,ὁ,article,u(pe\r,ὑπέρ,preposition,penth/konta,πεντήκοντα,verb,e)/th,ἔτης,noun,gegono/twn,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,pa/lin,πάλιν,adverb,e)n,ἐν,preposition,me/rei,μέρος,noun,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,*)aqhnai/wn,Ἀθήναια,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th=s,ὁ,article,de\,δέ,particle,tw=n,ὁ,article,r(hto/rwn,ῥήτωρ,noun,a)kosmi/as,ἀκοσμία,noun,ou)ke/ti,οὐκέτι,adverb,kratei=n,κρατέω,verb,du/nantai,δύναμαι,verb,ou)/q',οὔτε,adverb,oi(,ὁ,article,pruta/neis,πρύτανις,adjective,ou)/q',οὔτε,adverb,oi(,ὁ,article,pro/edroi,πρόεδρος,noun,ou)/q',οὔτε,adverb,h(,ὁ,article,proedreu/ousa,προεδρεύω,verb,fulh/,φυλή,noun,to\,ὁ,article,de/katon,δέκατος,adjective,me/ros,μέρος,noun,th=s,ὁ,article,po/lews,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou/twn,οὗτος,pronoun,d',δέ,particle,e)xo/ntwn,ἔχω,verb,ou(/tws,οὕτως,adverb,kai\,καί,conjunction,tw=n,ὁ,article,kairw=n,καιρός,noun,o)/ntwn,εἰμί,verb,th=|,ὁ,article,po/lei,πόλις,adjective,toiou/twn,τοιοῦτος,adjective,o(poi/ous,ὁποῖος,adjective,tina\s,τις,pronoun,au)tou\s,αὐτός,pronoun,u(mei=s,σύ,pronoun,u(polamba/nete,ὑπολαμβάνω,verb,ei)=nai,εἰμί,verb,e(\n,εἷς,adjective,u(polei/petai,ὑπολείπω,verb,me/ros,μέρος,noun,th=s,ὁ,article,politei/as,πολιτεία,noun,ei)/,εἰ,conjunction,ti,τις,pronoun,ka)gw\,ἐγώ,pronoun,tugxa/nw,τυγχάνω,verb,gignw/skwn,γιγνώσκω,verb,ai(,ὁ,article,tw=n,ὁ,article,parano/mwn,παράνομος,adjective,grafai/,γραφή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,de\,δέ,particle,kai\,καί,conjunction,tau/tas,οὗτος,pronoun,katalu/sete,καταλύω,verb,h)\,ἠέ,conjunction,toi=s,ὁ,article,katalu/ousin,καταλύω,verb,e)pitre/yete,ἐπιτρέπω,verb,prole/gw,προλέγω,verb,u(mi=n,σύ,pronoun,o(/ti,ὅστις,pronoun,lh/sete,λανθάνω,verb,kata\,κατά,preposition,mikro\n,μικρός,adjective,mikro\n,μικρός,adjective,th=s,ὁ,article,politei/as,πολιτεία,noun,tisi\,τις,pronoun,paraxwrh/santes,παραχωρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
