word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS
ou)k,οὐ,adverb,e)n,ἐν,preposition,tw=|,ὁ,article,paro/nti,πάρειμι,verb,mo/non,μόνος,adjective,gignw/skw,γιγνώσκω,verb,tw=n,ὁ,article,politikw=n,πολιτικός,adjective,pragma/twn,πρᾶγμα,noun,w(s,ὡς,conjunction,sfalero/n,σφαλερός,adjective,e)stin,εἰμί,verb,a(/ptesqai,ἅπτω,verb,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,pro/teron,πρότερος,adjective,xalepo\n,χαλεπός,adjective,h(gou/mhn,ἁγέομαι,verb,pri\n,πρίν,adverb,tw=n,ὁ,article,koinw=n,κοινός,adjective,e)pimelei=sqai/,ἐπιμελέομαι,verb,tinos,τις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poli/tou,πολίτης,noun,de\,δέ,particle,a)gaqou=,ἀγαθός,adjective,nomi/zw,νομίζω,verb,prokinduneu/ein,προκινδυνεύω,verb,e)qe/lein,ἐθέλω,verb,tou=,ὁ,article,plh/qous,πλῆθος,noun,kai\,καί,conjunction,mh\,μή,conjunction,katadei/santa,καταδείδω,verb,ta\s,ὁ,article,e)/xqras,ἔχθρα,noun,ta\s,ὁ,article,i)di/as,ἴδιος,adjective,u(pe\r,ὑπέρ,preposition,tw=n,ὁ,article,dhmosi/wn,δημόσιος,adjective,e)/xein,ἔχω,verb,h(suxi/an,ἡσυχία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dia\,διά,preposition,me\n,μέν,particle,ga\r,γάρ,particle,tou\s,ὁ,article,tw=n,ὁ,article,i)di/wn,ἴδιος,adjective,e)pimeloume/nous,ἐπιμελέομαι,verb,ou)de\n,οὐδείς,pronoun,ai(,ὁ,article,po/leis,πόλις,adjective,mei/zous,μέγας,adverb,kaqi/stantai,καθίστημι,verb,dia\,διά,preposition,de\,δέ,particle,tou\s,ὁ,article,tw=n,ὁ,article,koinw=n,κοινός,adjective,mega/lai,μέγας,adverb,kai\,καί,conjunction,e)leu/qerai,ἐλεύθερος,adjective,gi/gnontai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(=n,ὅς,pronoun,ei(=s,εἷς,adjective,e)gw\,ἐγώ,pronoun,boulhqei\s,βούλομαι,verb,e)ceta/zesqai,ἐξετάζω,verb,megi/stois,μέγας,adverb,peripe/ptwka,περιπίπτω,verb,kindu/nois,κίνδυνος,noun,proqu/mwn,πρόθυμος,adjective,me\n,μέν,particle,kai\,καί,conjunction,a)gaqw=n,ἀγαθός,adjective,a)ndrw=n,ἀνήρ,noun,u(mw=n,σύ,pronoun,tugxa/nwn,τυγχάνω,verb,di',διά,preposition,o(/per,ὅσπερ,adjective,sw/|zomai,σώζω,verb,plei/stois,πλεῖστος,adjective,de\,δέ,particle,kai\,καί,conjunction,deinota/tois,δεινός,adjective,e)xqroi=s,ἐχθρός,adjective,xrw/menos,χράομαι,verb,u(f',ὑπό,preposition,w(=n,ὅς,pronoun,diaba/llomai,διαβάλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,a)gw\n,ἀγών,noun,o(,ὁ,article,parw\n,πάρειμι,verb,ou),οὐ,adverb,stefanhfo/ros,στεφανηφόρος,adjective,a)ll',ἀλλά,adverb,ei),εἰ,conjunction,xrh\,χρή,verb,mhde\n,μηδείς,pronoun,a)dikh/santa,ἀδικέω,verb,th\n,ὁ,article,po/lin,πόλις,adjective,de/ka,δέκα,verb,e)/th,ἔτης,noun,feu/gein,φεύγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ἕ,pronoun,d',δέ,particle,a)ntagwnizo/menoi,ἀνταγωνίζομαι,verb,peri\,περί,preposition,tw=n,ὁ,article,a)/qlwn,ἆθλον,noun,tou/twn,οὗτος,pronoun,e)sme\n,εἰμί,verb,e)gw\,ἐγώ,pronoun,kai\,καί,conjunction,*)alkibia/dhs,Ἀλκιβιάδης,proper,kai\,καί,conjunction,*niki/as,Νικίας,proper,w(=n,ὅς,pronoun,a)nagkai=on,ἀναγκαῖον,noun,e(/na,ἕνος,adjective,th=|,ὁ,article,sumfora=|,συμφορά,noun,peripesei=n,περιπίπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/cion,ἄξιος,adjective,de\,δέ,particle,me/myasqai,μέμφομαι,verb,to\n,ὁ,article,qe/nta,τίθημι,verb,to\n,ὁ,article,no/mon,νόμος,noun,o(\s,ὅς,pronoun,e)nanti/a,ἐναντίος,adjective,tw=|,ὁ,article,o(/rkw|,ὅρκος,noun,tou=,ὁ,article,dh/mou,δῆμος,noun,kai\,καί,conjunction,th=s,ὁ,article,boulh=s,βουλεύς,noun,e)nomoqe/thsen,νομοθετέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)kei=,ἐκεῖ,adverb,me\n,μέν,particle,ga\r,γάρ,particle,o)/mnute,ὄμνυμι,verb,mhde/na,μηδείς,pronoun,mh/te,μήτε,particle,e)cela=n,ἐξελαύνω,verb,mh/te,μήτε,particle,dh/sein,δέω,verb,mh/te,μήτε,particle,a)poktenei=n,ἀποκτείνω,verb,a)/kriton,ἄκριτος,adverb,e)n,ἐν,preposition,de\,δέ,particle,tw=|de,ὅδε,pronoun,tw=|,ὁ,article,kairw=|,καιρός,noun,ou)/te,οὔτε,adverb,kathgori/as,κατηγορία,noun,genome/nhs,γίγνομαι,verb,ou)/te,οὔτε,adverb,a)pologi/as,ἀπολογία,noun,a)podoqei/shs,ἀποδίδωμι,verb,diayhfisame/nwn,διαψηφίζομαι,verb,kru/bdhn,κρύβδην,adverb,to\n,ὁ,article,o)strakisqe/nta,ὀστρακίζω,verb,tosou=ton,τοσοῦτος,adjective,xro/non,χρόνος,noun,dei=,δέομαι,verb,sterhqh=nai,στερέω,verb,th=s,ὁ,article,po/lews,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=ta,εἶτα,adverb,e)n,ἐν,preposition,toi=s,ὁ,article,toiou/tois,τοιοῦτος,adjective,oi(,ἕ,pronoun,tou\s,ὁ,article,e(tai/rous,ἑταῖρος,noun,kai\,καί,conjunction,sunwmo/tas,συνωμότης,noun,kekthme/noi,κτάομαι,verb,ple/on,πλέος,adjective,fe/rontai,φέρω,verb,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,w(/sper,ὥσπερ,adverb,e)n,ἐν,preposition,toi=s,ὁ,article,dikasthri/ois,δικαστήριον,noun,oi(,ἕ,pronoun,laxo/ntes,λαγχάνω,verb,kri/nousin,κρίνω,verb,a)lla\,ἀλλά,adverb,tou/tou,οὗτος,pronoun,tou=,ὁ,article,pra/gmatos,πρᾶγμα,noun,a(/pasin,ἅπας,adjective,*)aqhnai/ois,Ἀθήναια,proper,me/testi,μέτειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro\s,πρός,preposition,de\,δέ,particle,tou/tois,οὗτος,pronoun,tw=|,ὁ,article,me\n,μέν,particle,e)llei/pein,ἐλλείπω,verb,tw=|,ὁ,article,d',δέ,particle,u(perba/llein,ὑπερβάλλω,verb,o(,ὁ,article,no/mos,νόμος,noun,moi,ἐγώ,pronoun,dokei=,δοκέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=n,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,i)di/wn,ἴδιος,adjective,a)dikhma/twn,ἀδίκημα,noun,mega/lhn,μέγας,adverb,timwri/an,τιμωρία,noun,tau/thn,οὗτος,pronoun,nomi/zw,νομίζω,verb,tw=n,ὁ,article,de\,δέ,particle,dhmosi/wn,δημόσιος,adjective,mikra\n,μικρός,adjective,kai\,καί,conjunction,ou)deno\s,οὐδείς,pronoun,a)ci/an,ἄξιος,adjective,h(gou=mai,ἡγέομαι,verb,zhmi/an,ζημία,noun,e)co\n,ἔξεστι,verb,kola/zein,κολάζω,verb,xrh/masi,χρῆμα,adjective,kai\,καί,conjunction,desmw=|,δεσμός,noun,kai\,καί,conjunction,qana/tw|,θάνατος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
