word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS
o(/ti,ὅστις,pronoun,me\n,μέν,particle,ei)rh/nhn,εἰρήνη,noun,poiei=sqai,ποιέω,verb,dikai/an,δίκαιος,adjective,a)/meino/n,ἀμείνων,adjective,e)stin,εἰμί,verb,h)\,ἠέ,conjunction,polemei=n,πολεμέω,verb,dokei=te/,δοκέω,verb,moi,ἐγώ,pronoun,w)=,ὦ,interjection,*)aqhnai=oi,Ἀθηναῖος,proper,pa/ntes,πᾶς,adjective,gignw/skein,γιγνώσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,de\,δέ,particle,oi(,ὁ,article,r(h/tores,ῥήτωρ,noun,tw=|,ὁ,article,me\n,μέν,particle,o)no/mati,ὄνομα,adjective,th=s,ὁ,article,ei)rh/nhs,εἰρήνη,noun,sugxwrou=si,συγχωρέω,verb,toi=s,ὁ,article,d',δέ,particle,e)/rgois,ἔργον,noun,a)f',ἀπό,preposition,w(=n,ὅς,pronoun,a)\n,ἄν,particle,h(,ὁ,article,ei)rh/nh,εἰρήνη,noun,ge/noito,γίγνομαι,verb,e)nantiou=ntai,ἐναντιόομαι,verb,tou=to,οὗτος,pronoun,de\,δέ,particle,ou),οὐ,adverb,pa/ntes,πᾶς,adjective,ai)sqa/nesqe,αἰσθάνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
le/gousi,λέγω,verb,ga\r,γάρ,particle,w(s,ὡς,conjunction,e)/sti,εἰμί,verb,deino/taton,δεινός,adjective,tw=|,ὁ,article,dh/mw|,δῆμος,noun,genome/nhs,γίγνομαι,verb,ei)rh/nhs,εἰρήνη,noun,h(,ὁ,article,nu=n,νῦν,adverb,ou)=sa,εἰμί,verb,politei/a,πολιτεία,noun,mh\,μή,conjunction,kataluqh=|,καταλύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,me\n,μέν,particle,ou)=n,οὖν,particle,mhdepw/pote,μηδεπώποτε,adverb,pro/teron,πρότερος,adjective,o(,ὁ,article,dh=mos,δῆμος,noun,o(,ὁ,article,*)aqhnai/wn,Ἀθήναια,proper,ei)rh/nhn,εἰρήνη,noun,e)poih/sato,ποιέω,verb,pro\s,πρός,preposition,*lakedaimoni/ous,Λακεδαιμόνιος,proper,ei)ko/tws,ἐοικότως,adverb,a)\n,ἄν,particle,e)fobou/meqa,φοβέω,verb,au)to\,αὐτός,pronoun,dia/,διά,preposition,te,τε,particle,th\n,ὁ,article,a)peiri/an,ἀπειρία,noun,tou=,ὁ,article,e)/rgou,ἔργον,noun,dia/,διά,preposition,te,τε,particle,th\n,ὁ,article,e)kei/nwn,ἐκεῖνος,pronoun,a)pisti/an,ἀπιστία,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/pou,ὅπου,adverb,de\,δέ,particle,polla/kis,πολλάκις,adverb,h)/dh,ἤδη,adverb,pro/teron,πρότερος,adjective,ei)rh/nhn,εἰρήνη,noun,e)poih/sasqe,ποιέω,verb,dhmokratou/menoi,δημοκρατέομαι,verb,pw=s,πῶς,adverb,ou)k,οὐ,adverb,ei)ko\s,ἔοικα,verb,u(ma=s,σύ,pronoun,prw=ton,πρότερος,adjective,e)kei=na,ἐκεῖνος,pronoun,ske/yasqai,σκέπτομαι,verb,ta\,ὁ,article,to/te,τότε,adverb,geno/mena,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xrh\,χρή,verb,ga/r,γάρ,particle,w)=,ὦ,interjection,*)aqhnai=oi,Ἀθηναῖος,proper,tekmhri/ois,τεκμήριον,noun,xrh=sqai,χράομαι,verb,toi=s,ὁ,article,pro/teron,πρότερος,adjective,genome/nois,γίγνομαι,verb,peri\,περί,preposition,tw=n,ὁ,article,mello/ntwn,μέλλω,verb,e)/sesqai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(ni/ka,ἡνίκα,adverb,toi/nun,τοίνυν,particle,h)=n,εἰμί,verb,me\n,μέν,particle,o(,ὁ,article,po/lemos,πόλεμος,noun,h(mi=n,ἐγώ,pronoun,e)n,ἐν,preposition,*eu)boi/a|,Εὔβοια,proper,*me/gara,Μέγαρα,proper,de\,δέ,particle,ei)/xomen,ἔχω,verb,kai\,καί,conjunction,*phga\s,Πηγαί,proper,kai\,καί,conjunction,*trozh=na,,,ei)rh/nhs,εἰρήνη,noun,e)pequmh/samen,ἐπιθυμέω,verb,kai\,καί,conjunction,*miltia/dhn,Μιλτιάδης,proper,to\n,ὁ,article,*ki/mwnos,Κίμων,proper,w)strakisme/non,ὀστρακίζω,verb,kai\,καί,conjunction,o)/nta,εἰμί,verb,e)n,ἐν,preposition,*xerronh/sw|,Χερρόνησος,proper,katedeca/meqa,καταδέχομαι,verb,di',διά,preposition,au)to\,αὐτός,pronoun,tou=to,οὗτος,pronoun,pro/cenon,πρόξενος,noun,o)/nta,εἰμί,verb,*lakedaimoni/wn,Λακεδαιμόνιος,proper,o(/pws,ὅπως,conjunction,pe/myaimen,πέμπω,verb,ei)s,εἰς,preposition,*lakedai/mona,Λακεδαίμων,proper,prokhrukeuso/menon,προκηρυκεύομαι,verb,peri\,περί,preposition,spondw=n,σπονδή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,to/te,τότε,adverb,h(mi=n,ἐγώ,pronoun,ei)rh/nh,εἰρήνη,noun,e)ge/neto,γίγνομαι,verb,pro\s,πρός,preposition,*lakedaimoni/ous,Λακεδαιμόνιος,proper,e)/th,ἔτης,noun,penth/konta,πεντήκοντα,verb,kai\,καί,conjunction,e)nemei/namen,ἐμμένω,verb,a)mfo/teroi,ἀμφότερος,adjective,tau/tais,οὗτος,pronoun,tai=s,ὁ,article,spondai=s,σπονδή,noun,e)/th,ἔτης,noun,triakai/deka,τρεισκαίδεκα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(\n,εἷς,adjective,dh\,δή,particle,tou=to,οὗτος,pronoun,w)=,ὦ,interjection,*)aqhnai=oi,Ἀθηναῖος,proper,prw=ton,πρότερος,adjective,skeyw/meqa,σκέπτομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,tau/th|,ταύτῃ,adverb,th=|,ὁ,article,ei)rh/nh|,εἰρήνη,noun,o(,ὁ,article,dh=mos,δῆμος,noun,o(,ὁ,article,*)aqhnai/wn,Ἀθήναια,proper,e)/sq',ἔσθω,verb,o(/pou,ὅπου,adverb,katelu/qh,καταλύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
