word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS
ne/os,νέος,adjective,me\n,μέν,particle,kai\,καί,conjunction,a)/peiros,ἄπειρος,adjective,dikw=n,δίκη,adjective,e)/gwge,ἐγώ,pronoun,e)/ti,ἔτι,adverb,deinw=s,δεινός,adjective,de\,δέ,particle,kai\,καί,conjunction,a)po/rws,ἄπορος,adjective,e)/xei,ἔχω,verb,moi,ἐγώ,pronoun,peri\,περί,preposition,tou=,ὁ,article,pra/gmatos,πρᾶγμα,noun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,tou=to,οὗτος,pronoun,me\n,μέν,particle,ei),εἰ,conjunction,e)piskh/yantos,ἐπισκήπτω,verb,tou=,ὁ,article,patro\s,πατήρ,noun,e)pecelqei=n,ἐπεξέρχομαι,verb,toi=s,ὁ,article,au(tou=,ἑαυτοῦ,pronoun,foneu=si,φονεύς,noun,mh\,μή,conjunction,e)pe/ceimi,ἐπέξειμι,verb,tou=to,οὗτος,pronoun,de\,δέ,particle,ei),εἰ,conjunction,e)pecio/nti,ἐπέξειμι,verb,a)nagkai/ws,ἀναγκαῖος,adjective,e)/xei,ἔχω,verb,oi(=s,ὅς,pronoun,h(/kista,ἥκιστος,adjective,e)xrh=n,χρή,verb,e)n,ἐν,preposition,diafora=|,διαφορά,noun,katasth=nai,καθίστημι,verb,a)delfoi=s,ἀδελφός,adjective,o(mopatri/ois,ὁμοπάτριος,adjective,kai\,καί,conjunction,mhtri\,μήτηρ,noun,a)delfw=n,ἀδελφή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,ga\r,γάρ,particle,tu/xh,τύχη,noun,kai\,καί,conjunction,au)toi\,αὐτός,pronoun,ou(=toi,οὗτος,pronoun,h)na/gkasan,ἀναγκάζω,verb,e)moi\,ἐγώ,pronoun,pro\s,πρός,preposition,tou/tous,οὗτος,pronoun,au)tou\s,αὐτός,pronoun,to\n,ὁ,article,a)gw=na,ἀγών,noun,katasth=nai,καθίστημι,verb,ou(\s,ὅς,pronoun,ei)ko\s,ἔοικα,verb,h)=n,εἰμί,verb,tw=|,ὁ,article,me\n,μέν,particle,teqnew=ti,θνήσκω,verb,timwrou\s,τιμωρός,adjective,gene/sqai,γίγνομαι,verb,tw=|,ὁ,article,d',δέ,particle,e)pecio/nti,ἐπέξειμι,verb,bohqou/s,βοηθός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,de\,δέ,particle,tou/twn,οὗτος,pronoun,ta)nanti/a,ἐναντίος,adjective,gege/nhtai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)toi\,αὐτός,pronoun,ga\r,γάρ,particle,ou(=toi,οὗτος,pronoun,kaqesta=sin,καθίστημι,verb,a)nti/dikoi,ἀντίδικος,adjective,kai\,καί,conjunction,fonh=s,φονάω,verb,w(s,ὡς,conjunction,kai\,καί,conjunction,e)gw\,ἐγώ,pronoun,kai\,καί,conjunction,h(,ὁ,article,grafh\,γραφή,noun,le/gei,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de/omai,δέομαι,verb,d',δέ,particle,u(mw=n,σύ,pronoun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,e)a\n,ἐάν,conjunction,e)pidei/cw,ἐπιδείκνυμι,verb,e)c,ἐκ,preposition,e)piboulh=s,ἐπιβουλή,noun,kai\,καί,conjunction,proboulh=s,προβουλή,noun,th\n,ὁ,article,tou/twn,οὗτος,pronoun,mhte/ra,μήτηρ,noun,fone/a,φονεύς,noun,ou)=san,εἰμί,verb,tou=,ὁ,article,h(mete/rou,ἡμέτερος,adjective,patro/s,πατήρ,noun,kai\,καί,conjunction,mh\,μή,conjunction,a(/pac,ἅπαξ,adverb,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,polla/kis,πολλάκις,adverb,h)/dh,ἤδη,adverb,lhfqei=san,λαμβάνω,verb,to\n,ὁ,article,qa/naton,θάνατος,adjective,to\n,ὁ,article,e)kei/nou,ἐκεῖνος,pronoun,e)p',ἐπί,preposition,au)tofw/rw|,αὐτόφωρος,adjective,mhxanwme/nhn,μηχανάομαι,verb,timwrh=sai,τιμωρέω,verb,prw=ton,πρότερος,adjective,me\n,μέν,particle,toi=s,ὁ,article,no/mois,νόμος,noun,toi=s,ὁ,article,u(mete/rois,ὑμέτερος,adjective,ou(\s,ὅς,pronoun,para\,παρά,preposition,tw=n,ὁ,article,qew=n,θέα,noun,kai\,καί,conjunction,tw=n,ὁ,article,progo/nwn,πρόγονος,adjective,diadeca/menoi,διαδέχομαι,verb,kata\,κατά,preposition,to\,ὁ,article,au)to\,αὐτός,pronoun,e)kei/nois,ἐκεῖνος,pronoun,peri\,περί,preposition,th=s,ὁ,article,katayhfi/sews,καταψήφισις,noun,dika/zete,δικάζω,verb,deu/teron,δεύτερος,adjective,d',δέ,particle,e)kei/nw|,ἐκεῖνος,pronoun,tw=|,ὁ,article,teqnhko/ti,θνήσκω,verb,kai\,καί,conjunction,a(/ma,ἅμα,adverb,e)moi\,ἐγώ,pronoun,mo/nw|,μόνος,adjective,a)poleleimme/nw|,ἀπολείπω,verb,bohqh=sai,βοηθέω,verb
u(mei=s,σύ,pronoun,ga/r,γάρ,particle,moi,ἐγώ,pronoun,a)nagkai=oi,ἀναγκαῖος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(\s,ὅς,pronoun,ga\r,γάρ,particle,e)xrh=n,χρή,verb,tw=|,ὁ,article,me\n,μέν,particle,teqnew=ti,θνήσκω,verb,timwrou\s,τιμωρός,adjective,gene/sqai,γίγνομαι,verb,e)moi\,ἐγώ,pronoun,de\,δέ,particle,bohqou/s,βοηθός,adjective,ou(=toi,οὗτος,pronoun,tou=,ὁ,article,me\n,μέν,particle,teqnew=tos,θνήσκω,verb,fonh=s,φονεύς,noun,gege/nhntai,γίγνομαι,verb,e)moi\,ἐγώ,pronoun,d',δέ,particle,a)nti/dikoi,ἀντίδικος,adjective,kaqesta=si,καθίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro\s,πρός,preposition,ti/nas,τίς,pronoun,ou)=n,οὖν,particle,e)/lqh|,ἔρχομαι,verb,tis,τις,pronoun,bohqou/s,βοηθός,adjective,h)\,ἠέ,conjunction,poi=,ποι,adverb,th\n,ὁ,article,katafugh\n,καταφυγή,noun,poih/setai,ποιέω,verb,a)/lloqi,ἄλλοθι,adverb,h)\,ἠέ,conjunction,pro\s,πρός,preposition,u(ma=s,σύ,pronoun,kai\,καί,conjunction,to\,ὁ,article,di/kaion,δίκαιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qauma/zw,θαυμάζω,verb,d',δέ,particle,e)/gwge,ἐγώ,pronoun,kai\,καί,conjunction,tou=,ὁ,article,a)delfou=,ἀδελφός,adjective,h(/ntina/,ὅστις,pronoun,pote,ποτέ,particle,gnw/mhn,γνώμη,noun,e)/xwn,ἔχω,verb,a)nti/dikos,ἀντίδικος,adjective,kaqe/sthke,καθίστημι,verb,pro\s,πρός,preposition,e)me/,ἐγώ,pronoun,kai\,καί,conjunction,ei),εἰ,conjunction,nomi/zei,νομίζω,verb,tou=to,οὗτος,pronoun,eu)se/beian,εὐσέβεια,noun,ei)=nai,εἰμί,verb,to\,ὁ,article,th\n,ὁ,article,mhte/ra,μήτηρ,noun,mh\,μή,conjunction,prodou=nai,προδίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,d',δέ,particle,h(gou=mai,ἡγέομαι,verb,polu\,πολύς,adjective,a)nosiw/teron,ἀνόσιος,adjective,ei)=nai,εἰμί,verb,a)fei=nai,ἀφίημι,verb,tou=,ὁ,article,teqnew=tos,θνήσκω,verb,th\n,ὁ,article,timwri/an,τιμωρία,noun,a)/llws,ἄλλως,adverb,te,τε,particle,kai\,καί,conjunction,tou=,ὁ,article,me\n,μέν,particle,e)k,ἐκ,preposition,proboulh=s,προβουλή,noun,a)kousi/ws,ἀεκούσιος,adjective,a)poqano/ntos,ἀποθνήσκω,verb,th=s,ὁ,article,de\,δέ,particle,e(kousi/ws,ἑκούσιος,adjective,e)k,ἐκ,preposition,pronoi/as,πρόνοια,noun,a)pokteina/shs,ἀποκτείνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
