word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS
ta\,ὁ,article,me\n,μέν,particle,o(mologou/mena,ὁμολογέω,verb,tw=n,ὁ,article,pragma/twn,πρᾶγμα,noun,u(po/,ὑπό,preposition,te,τε,particle,tou=,ὁ,article,no/mou,νόμος,noun,katake/kritai,κατακρίνω,verb,u(po/,ὑπό,preposition,te,τε,particle,tw=n,ὁ,article,yhfisame/nwn,ψηφίζομαι,verb,oi(\,ἕ,pronoun,ku/rioi,κύριος,adjective,pa/shs,πᾶς,adjective,th=s,ὁ,article,politei/as,πολιτεία,noun,ei)si/n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)a\n,ἐάν,conjunction,de/,δέ,particle,ti,τις,pronoun,a)mfisbhth/simon,ἀμφισβητήσιμος,adjective,h)=|,εἰμί,verb,tou=to,οὗτος,pronoun,u(mi=n,σύ,pronoun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,poli=tai,πολίτης,noun,proste/taktai,προστάσσω,verb,diagnw=nai,διαγιγνώσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)=mai,οἴομαι,verb,me\n,μέν,particle,ou)=n,οὖν,particle,ou)de\,οὐδέ,particle,a)mfisbhth/sein,ἀμφισβητέω,verb,pro\s,πρός,preposition,e)me\,ἐγώ,pronoun,to\n,ὁ,article,diwko/menon,διώκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,ga\r,γάρ,particle,pai=s,πᾶς,adjective,mou,ἐγώ,pronoun,e)n,ἐν,preposition,gumnasi/w|,γυμνάσιον,noun,a)kontisqei\s,ἀκοντίζω,verb,dia\,διά,preposition,tw=n,ὁ,article,pleurw=n,πλευρά,noun,u(po\,ὑπό,preposition,tou/tou,οὗτος,pronoun,tou=,ὁ,article,meiraki/ou,μειράκιον,noun,paraxrh=ma,παραχρῆμα,adverb,a)pe/qanen,ἀποθνήσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(ko/nta,ἑκών,adjective,me\n,μέν,particle,ou)=n,οὖν,particle,ou)k,οὐ,adverb,e)pikalw=,ἐπικαλέω,verb,a)poktei=nai,ἀποκτείνω,verb,a)/konta,ἄκων,noun,de/,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)moi\,ἐγώ,pronoun,de\,δέ,particle,ou)k,οὐ,adverb,e)la/ssw,ἐλάσσων,adjective,tou=,ὁ,article,e(ko/ntos,ἑκών,adjective,a)/kwn,ἀέκων,adjective,th\n,ὁ,article,sumfora\n,συμφορά,noun,kate/sthse,καθίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=|,ὁ,article,de\,δέ,particle,a)poqano/nti,ἀποθνήσκω,verb,au)tw=|,αὐτός,pronoun,me\n,μέν,particle,ou)de\n,οὐδείς,pronoun,e)nqu/mion,ἐνθύμιος,adjective,toi=s,ὁ,article,de\,δέ,particle,zw=si,ζάω,verb,prose/qhken,προστίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(ma=s,σύ,pronoun,de\,δέ,particle,a)ciw=,ἀξιάω,verb,e)leou=ntas,ἐλεάω,verb,me\n,μέν,particle,th\n,ὁ,article,a)paidi/an,ἀπαιδία,noun,tw=n,ὁ,article,gone/wn,γονεύς,noun,oi)kti/rontas,οἰκτείρω,verb,de\,δέ,particle,th\n,ὁ,article,a)/wron,ἄωρος,adjective,tou=,ὁ,article,a)poqano/ntos,ἀποθνήσκω,verb,teleuth/n,τελευτή,noun,ei)/rgontas,ἔργω,verb,w(=n,ὅς,pronoun,o(,ὁ,article,no/mos,νόμος,noun,ei)/rgei,ἔργω,verb,to\n,ὁ,article,a)poktei/nanta,ἀποκτείνω,verb,mh\,μή,conjunction,periora=n,περιοράω,verb,a(/pasan,ἅπας,adjective,th\n,ὁ,article,po/lin,πόλις,adjective,u(po\,ὑπό,preposition,tou/tou,οὗτος,pronoun,miainome/nhn,μιαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,dh\,δή,particle,fanero/n,φανερός,adjective,moi,ἐγώ,pronoun,o(/ti,ὅστις,pronoun,au)tai\,αὐτός,pronoun,ai(,ὁ,article,sumforai\,συμφορά,noun,kai\,καί,conjunction,xrei=ai,χράω,verb,tou/s,ὁ,article,te,τε,particle,a)pra/gmonas,ἀπράγμων,adjective,ei)s,εἰς,preposition,a)gw=nas,ἀγών,noun,ltkatasth=naigt,,,tou/s,ὁ,article,te,τε,particle,h(suxi/ous,ἡσύχιος,adverb,tolma=n,τολμάω,verb,ta/,τίς,pronoun,te,τε,particle,a)/lla,ἄλλος,adjective,para\,παρά,preposition,fu/sin,φύσις,noun,le/gein,λέγω,verb,kai\,καί,conjunction,dra=n,δράω,verb,bia/zontai,βιάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,ga\r,γάρ,particle,h(/kista,ἥκιστος,adjective,toiou=tos,τοιοῦτος,adjective,w)\n,εἰμί,verb,kai\,καί,conjunction,boulo/menos,βούλομαι,verb,ei)=nai,εἰμί,verb,ei),εἰ,conjunction,mh\,μή,conjunction,polu/,πολύς,adjective,ge,γε,particle,e)/yeusmai,ψεύδω,verb,u(p',ὑπό,preposition,au)th=s,αὐτός,pronoun,th=s,ὁ,article,sumfora=s,συμφορά,noun,h)nagka/sqhn,ἀναγκάζω,verb,nu=n,νῦν,adverb,para\,παρά,preposition,to\n,ὁ,article,a)/llon,ἄλλος,adjective,tro/pon,τρόπος,noun,u(pe\r,ὑπέρ,preposition,pragma/twn,πρᾶγμα,noun,a)pologei=sqai,ἀπολογέομαι,verb,w(=n,ὅς,pronoun,e)gw\,ἐγώ,pronoun,xalepw=s,χαλεπός,adjective,me\n,μέν,particle,th\n,ὁ,article,a)kri/beian,ἀκρίβεια,noun,e)/gnwn,γιγνώσκω,verb,e)/ti,ἔτι,adverb,de\,δέ,particle,a)porwte/rws,ἄπορος,adjective,dia/keimai,διάκειμαι,verb,w(s,ὡς,conjunction,xrh\,χρή,verb,u(mi=n,σύ,pronoun,e(rmhneu=sai,ἑρμηνεύω,verb,tau=ta,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,
