word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS
a)rxo/menos,ἄρχω,verb,se/o,σύ,pronoun,*foi=be,Φοῖβος,proper,palaigene/wn,παλαιγενής,adjective,kle/a,κλέος,noun,fwtw=n,φώς,adjective,mnh/somai,μιμνήσκω,verb,oi(\,ὁ,article,*po/ntoio,Πόντος,proper,kata\,κατά,preposition,sto/ma,στόμα,noun,kai\,καί,conjunction,dia\,διά,preposition,pe/tras,πέτρα,noun,*kuane/as,Κυάνεαι,proper,basilh=os,βασιλεύς,noun,e)fhmosu/nh|,ἐφημοσύνη,noun,*peli/ao,Πελίης,proper,xru/seion,χρύσεος,adjective,meta\,μετά,preposition,kw=as,κῶας,noun,e)u/zugon,εὔζυγος,adjective,h)/lasan,ἐλαύνω,verb,*)argw/,Ἀργός,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toi/hn,τοῖος,adjective,ga\r,γάρ,particle,*peli/hs,Πελίης,proper,fa/tin,φάτις,adjective,e)/kluen,ἐκλύω,verb,w(/s,ὡς,conjunction,min,μιν,pronoun,o)pi/ssw,ὀπίσσω,adverb,moi=ra,μοῖρα,adjective,me/nei,μένω,verb,stugerh/,στυγερός,adjective,tou=d',ὅδε,pronoun,a)ne/ros,ἀνήρ,noun,o(/ntin',ὅστις,pronoun,i)/doito,εἶδον,verb,dhmo/qen,δημόθεν,adverb,oi)ope/dilon,οἰοπέδιλος,adjective,u(p',ὑπό,preposition,e)nnesi/h|si,ἐνεσία,noun,damh=nai,δαμάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dhro\n,δηρός,adjective,d',δέ,particle,ou),οὐ,adverb,mete/peita,μετέπειμι,verb,teh\n,τεός,adjective,kata\,κατά,preposition,ba/cin,βάξις,noun,*)ih/swn,Ἰήσων,proper,xeimeri/oio,χειμέριος,adjective,r(e/eqra,ῥεῖθρον,noun,kiw\n,κίω,verb,dia\,διά,preposition,possi\n,πούς,noun,*)anau/rou,Ἄναυρος,proper,a)/llo,ἄλλος,adjective,me\n,μέν,particle,e)cesa/wsen,ἐκσῴζω,verb,u(p',ὑπό,preposition,i)lu/os,ἰλύς,adjective,a)/llo,ἄλλος,adjective,d',δέ,particle,e)/nerqen,ἔνερθε,preposition,ka/llipen,καταλιμπάνω,verb,au)=qi,αὖθι,adverb,pe/dilon,πέδιλον,noun,e)nisxo/menon,ἐνέχω,verb,proxoh=|sin,προχοή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i(/keto,ἱκνέομαι,verb,d',δέ,particle,e)s,εἰς,preposition,*peli/hn,Πελίης,proper,au)tosxedo\n,αὐτοσχεδόν,adverb,a)ntibolh/swn,ἀντιβολέω,verb,ei)lapi/nhs,εἰλαπίνη,noun,h(\n,ὅς,pronoun,patri\,πατήρ,noun,*poseida/wni,Ποσειδεών,proper,kai\,καί,conjunction,a)/llois,ἄλλος,adjective,r(e/ze,ῥέζω,verb,qeoi=s,θεός,noun,*(/hrhs,Ἥρα,proper,de\,δέ,particle,*pelasgi/dos,Πελασγίς,proper,ou)k,οὐ,adverb,a)le/gizen,ἀλεγίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai)=ya,αἶψα,adverb,de\,δέ,particle,to/ng',,,e)sidw\n,εἰσεῖδον,verb,e)fra/ssato,φράζω,verb,kai/,καί,conjunction,oi(,ὁ,article,a)/eqlon,ἆθλον,noun,e)/ntue,τύνω,verb,nautili/hs,ναυτιλία,noun,polukhde/os,πολυκηδής,adjective,o)/fr',ὄφρα,conjunction,e)ni\,ἐν,preposition,po/ntw|,πόντος,noun,h)e\,ἠέ,conjunction,kai\,καί,conjunction,a)llodapoi=si,ἀλλοδαπός,adjective,met',μετά,preposition,a)ndra/si,ἀνήρ,noun,no/ston,νόστος,noun,o)le/ssh|,ὄλλυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nh=a,ναῦς,noun,me\n,μέν,particle,ou)=n,οὖν,particle,oi(,ὁ,article,pro/sqen,πρόσθεν,adverb,e)piklei/ousin,ἐπικλείω,verb,a)oidoi\,ἀοιδός,noun,*)/argon,Ἄργος,proper,*)aqhnai/hs,Ἀθήνη,proper,kame/ein,κάμνω,verb,u(poqhmosu/nh|sin,ὑποθημοσύνη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,d',δέ,particle,a)\n,ἄν,particle,e)gw\,ἐγώ,pronoun,geneh/n,γενεά,noun,te,τε,particle,kai\,καί,conjunction,ou)/noma,ὄνομα,adjective,muqhsai/mhn,μυθέομαι,verb,h(rw/wn,ἥρως,noun,dolixh=s,δολιχός,adjective,te,τε,particle,po/rous,πόρος,noun,a(lo/s,ἅλς,adjective,o(/ssa,ὅσος,adjective,t',τε,particle,e)/recan,ἐρέσσω,verb,plazo/menoi,πλάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*mou=sai,Μοῦσα,proper,d',δέ,particle,u(pofh/tores,ὑποφήτωρ,noun,ei)=en,εἰμί,verb,a)oidh=s,ἀοιδός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prw=ta/,πρότερος,adjective,nun,νῦν,adverb,*)orfh=os,Ὀρφεύς,adverb,mnhsw/meqa,μιμνήσκω,verb,to/n,ὁ,article,r(a/,ἄρα,particle,pot',ποτέ,particle,au)th\,αὐτός,pronoun,*kallio/ph,Καλλιόπη,proper,*qrh/iki,Θρᾷξ,proper,fati/zetai,φατίζω,verb,eu)nhqei=sa,εὐνάω,verb,*oi)a/grw|,Οἴαγρος,proper,skopih=s,σκοπιά,noun,*pimplhi/dos,Πίμπλεια,proper,a)/gxi,ἄγχι,adjective,teke/sqai,τίκτω,verb,au)ta\r,ἀτάρ,particle,to/ng',,,e)ne/pousin,ἐνέπω,verb,a)teire/as,ἀτειρής,adjective,ou)/resi,ὄρος,adjective,pe/tras,πέτρα,noun,qe/lcai,θέλγω,verb,a)oida/wn,ἀοιδός,noun,e)noph=|,ἐνοπή,noun,potamw=n,ποταμός,noun,te,τε,particle,r(e/eqra,ῥεῖθρον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fhgoi\,φηγός,noun,d',δέ,particle,a)gria/des,ἀγριάς,noun,kei/nhs,ἐκεῖνος,pronoun,e)/ti,ἔτι,adverb,sh/mata,σῆμα,adjective,molph=s,μολπή,noun,a)kth=s,ἀκτέα,noun,*qrhiki/hs,Θράκιος,proper,*zw/nhs,ζώνη,noun,e)/pi,ἐπί,preposition,thleqo/wsai,τηλεθάω,verb,e(cei/hs,ἑξείης,adverb,stixo/wsin,στιχάομαι,verb,e)ph/trimoi,ἐπήτριμος,adjective,a(\s,ὅς,pronoun,o(/g',ὅσγε,pronoun,e)pipro\,ἐπιπρό,preposition,qelgome/nas,θέλγω,verb,fo/rmiggi,φόρμιγξ,noun,kath/gage,κατάγω,verb,*pieri/hqen,Πιερίηθεν,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
