word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/32/lemma/@_entry,word/32/lemma/@_POS
a)/rxetai,ἄρχω,verb,th=s,ὁ,article,i(stori/as,ἱστορία,noun,a)po\,ἀπό,preposition,*ai)nei/ou,Αἰνείας,proper,tou=,ὁ,article,*)agxi/sou,Ἀγχίσης,proper,tou=,ὁ,article,*ka/puos,Κάπυς,proper,o(\s,ὅς,pronoun,e)n,ἐν,preposition,tw=|,ὁ,article,*trwikw=|,Τρωικός,adjective,h)/kmaze,ἀκμάζω,verb,pole/mw|,πόλεμος,noun,meta\,μετά,preposition,de\,δέ,particle,th\n,ὁ,article,a(/lwsin,ἅλων,noun,th=s,ὁ,article,*troi/as,Τροία,proper,e)/fuge,φεύγω,verb,kai\,καί,conjunction,meta\,μετά,preposition,makra\n,μακρός,adjective,pla/nhn,πλάνη,noun,kate/plei,καταπλέω,verb,e)/s,εἰς,preposition,tina,τις,pronoun,th=s,ὁ,article,*)itali/as,Ἰταλία,proper,ai)gialo/n,αἰγιαλός,noun,*lw/renton,e)pikalou/menon,ἐπικαλέω,verb,e)/nqa,ἔνθα,adverb,kai\,καί,conjunction,strato/pedon,στρατόπεδον,noun,au)tou=,αὐτός,pronoun,dei/knutai,δείκνυμι,verb,kai\,καί,conjunction,th\n,ὁ,article,a)kth\n,ἀκτή,noun,a)p',ἀπό,preposition,e)kei/nou,ἐκεῖνος,pronoun,*troi/an,Τροία,proper,kalou=sin,καλέω,verb,,
h)=rxe,ἄρχω,verb,to/te,τότε,adverb,*)aborigi/nwn,,,tw=n,ὁ,article,th=|de,ὅδε,pronoun,*)italw=n,Ἰταλός,proper,*fau=nos,,,o(,ὁ,article,tou=,ὁ,article,*)/arews,Ἄρης,proper,o(\s,ὅς,pronoun,kai\,καί,conjunction,zeu/gnusin,ζεύγνυμι,verb,*ai)nei/a|,Αἰνείας,proper,th\n,ὁ,article,qugate/ra,θυγάτηρ,adjective,au(tou=,ἑαυτοῦ,pronoun,*laouini/an,,,kai\,καί,conjunction,gh=n,γῆ,noun,di/dwsin,δίδωμι,verb,e)k,ἐκ,preposition,perio/dou,περίοδος,noun,stadi/wn,στάδιον,noun,tetrakosi/wn,τετρακόσιοι,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,po/lin,πόλις,adjective,e)/ktise,ἐκτίνω,verb,kai\,καί,conjunction,a)po\,ἀπό,preposition,th=s,ὁ,article,gunaiko\s,γυνή,noun,*laoui/nion,,,e)pwno/mase,ἐπονομάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tri/tw|,τρίτος,adjective,de\,δέ,particle,e)/tei,ἔτος,noun,tou=,ὁ,article,*fau/nou,,,teleuth/santos,τελευτάω,verb,e)kde/xetai,ἐκδέχομαι,verb,th\n,ὁ,article,a)rxh\n,ἀρχή,noun,o(,ὁ,article,*ai)nei/as,Αἰνείας,proper,kata\,κατά,preposition,to\,ὁ,article,kh=dos,κῆδος,noun,kai\,καί,conjunction,tou\s,ὁ,article,*)aborigi/nas,,,a)po\,ἀπό,preposition,tou=,ὁ,article,khdestou=,κηδεστής,adjective,*lati/nou,Λατῖνος,proper,*fau/nou,,,*lati/nous,Λατῖνος,proper,e)pwno/mase,ἐπονομάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tri/tw|,τρίτος,adjective,de\,δέ,particle,e)/tei,ἔτος,noun,pa/lin,πάλιν,adverb,dia\,διά,preposition,*laouini/an,,,th\n,ὁ,article,gunai=ka,γυνή,noun,u(po\,ὑπό,preposition,*(routou/lwn,,,tw=n,ὁ,article,*turrhnw=n,Τυρρηνός,proper,promnhsteuqei=san,προμνηστεύομαι,verb,au)tw=n,αὐτός,pronoun,tw=|,ὁ,article,basilei=,βασιλεύς,noun,a)nairei=tai,ἀναιρέω,verb,pole/mou,πόλεμος,noun,no/mw|,νόμος,noun,o(,ὁ,article,*ai)nei/as,Αἰνείας,proper,kai\,καί,conjunction,th\n,ὁ,article,a)rxh\n,ἀρχή,noun,diede/cato,διαδέχομαι,verb,*eu)rule/wn,Εὐρυλέων,proper,*)aska/nios,Ἄσκάνιος,proper,metonomasqei/s,μετονομάζω,verb,o(\s,ὅς,pronoun,e)gennh/qh,γεννάω,verb,tw=|,ὁ,article,*ai)nei/a|,Αἰνείας,proper,e)k,*kreou/shs,Κρεούσα,proper,th=s,ὁ,article,*pria/mou,Πρίαμος,proper,th=s,ὁ,article,e)n,ἐν,preposition,*)ili/w|,Ἴλιον,proper,genome/nhs,γίγνομαι,verb,au)tw=|,αὐτός,pronoun,gunaiko/s,γυνή,noun,,,,,,,,,,,,,ἐκ,preposition
oi(,ὁ,article,de\,δέ,particle,e)k,ἐκ,preposition,th=s,ὁ,article,*laouini/as,,,*)aska/nion,Ἄσκάνιος,proper,au)tw=|,αὐτός,pronoun,gennhqh=nai/,γεννάω,verb,fasi,φημί,verb,to\n,ὁ,article,dia/doxon,διάδοχος,adjective,th=s,ὁ,article,a)rxh=s,ἀρχή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)askani/ou,Ἄσκάνιος,proper,de\,δέ,particle,teleuth/santos,τελευτάω,verb,e)/tei,ἔτος,noun,teta/rtw|,τέταρτος,adjective,meta\,μετά,preposition,th\n,ὁ,article,*)/albhs,,,oi)/kisinkai\,,,ga\r,γάρ,particle,ou(=tos,οὗτος,pronoun,e)/ktise,ἐκτίνω,verb,po/lin,πόλις,adjective,*)/albhn,,,kale/sas,καλέω,verb,kai\,καί,conjunction,a)po\,ἀπό,preposition,*laouini/ou,,,to\n,ὁ,article,lao\n,λαός,noun,metw/|kisen',μετοικίζω,verb,e)kde/xetai,ἐκδέχομαι,verb,th\n,ὁ,article,a)rxh\n,ἀρχή,noun,*si/louios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,*siloui/ou,,,pai=da,παῖς,adjective,*ai)nei/an,Αἰνείας,proper,*si/louio/n,,,fasin,φημί,verb,*ai)nei/ou,Αἰνείας,proper,de\,δέ,particle,*lati=non,Λατῖνος,proper,*si/louion,,,tou=,ὁ,article,de\,δέ,particle,*ka/pun,Κάπυς,proper,*ka/puos,Κάπυς,proper,de\,δέ,particle,*ka/peton,Κάπετος,proper,gene/sqai,γίγνομαι,verb,*kape/tou,Κάπετος,proper,de\,δέ,particle,*tiberi=non,,,tou=,ὁ,article,de\,δέ,particle,*)agri/ppan,Ἀγρίππας,proper,tou=,ὁ,article,de\,δέ,particle,*(rwmu/lon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,to/nde,ὅδε,pronoun,me\n,μέν,particle,blhqh=nai,βάλλω,verb,keraunw=|,κεραυνός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=,ἕ,pronoun,gene/sqai,γίγνομαι,verb,pai=da,παῖς,adjective,*)aouenti=non,,,*)aouenti/nou,,,de\,δέ,particle,*pro/kan,,,gene/sqai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
