word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/1/lemma/@_entry,word/1/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/54/lemma/@_entry,word/54/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/59/lemma/@_entry,word/59/lemma/@_POS,word/73/lemma/@_entry,word/73/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS
o(/ti,ὅστις,pronoun,*(rwmai=oi,tou=,ὁ,article,*fili/ppou,Φίλιππος,proper,tou=,ὁ,article,*makedo/nos,Μακεδών,proper,tou=,ὁ,article,polemh/santos,πολεμέω,verb,au)toi=s,αὐτός,pronoun,pe/ri,περί,preposition,pa/mpan,πάμπαν,adverb,e)polupragmo/noun,πολυπραγμονέω,verb,ou)de/n,οὐδείς,pronoun,ou)de\,οὐδέ,particle,sfi/sin,σφεῖς,pronoun,e)nqu/mios,ἐνθύμιος,adjective,h)=n,εἰμί,verb,o(/lws,ὅλος,adjective,ponoume/nhs,πονέομαι,verb,e)/ti,ἔτι,adverb,th=s,ὁ,article,*)itali/as,Ἰταλία,proper,u(po\,ὑπό,preposition,*)anni/bou,Ἀννίβας,proper,tou=,ὁ,article,*karxhdoni/wn,Καρχηδόνιος,proper,strathgou=,στρατηγός,noun,kai\,καί,conjunction,au)toi\,αὐτός,pronoun,mega/lois,μέγας,adverb,stratoi=s,στρατός,noun,*libu/hn,Λιβύη,proper,kai\,καί,conjunction,*karxhdo/na,Καρχηδών,proper,kai\,καί,conjunction,*)ibhri/an,Ἰβηρίη,proper,perikaqh/menoi,περικάθημαι,verb,kai\,καί,conjunction,kaqista/menoi,καθίστημι,verb,*sikeli/an,Σικελία,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)to\s,αὐτός,pronoun,de\,*fi/lippos,Φίλιππος,proper,a)rxh=s,ἀρχή,noun,e)piqumi/a|,ἐπιθυμία,noun,mei/zonos,μέγας,adverb,ou)de/n,οὐδείς,pronoun,ti,τις,pronoun,propaqw/n,προπάσχω,verb,e)/pempe,πέμπω,verb,pro\s,πρός,preposition,*)anni/ban,Ἀννίβας,proper,e)s,εἰς,preposition,th\n,ὁ,article,*)itali/an,Ἰταλία,proper,pre/sbeis,πρέσβις,noun,w(=n,ὅς,pronoun,h(gei=to,ἁγέομαι,verb,*cenofa/nhs,Ξενοφάνης,proper,u(pisxnou/menos,ὑποσχέθω,verb,au)tw=|,αὐτός,pronoun,summaxh/sein,συμμαχέω,verb,e)pi\,ἐπί,preposition,th\n,ὁ,article,*)itali/an,Ἰταλία,proper,ei),εἰ,conjunction,ka)kei=nos,ἐκεῖνος,pronoun,au)tw=|,αὐτός,pronoun,su/nqoito,συντίθημι,verb,katerga/sasqai,κατεργάζομαι,verb,th\n,ὁ,article,*(ella/da,Ἑλλάς,proper,,,,,,,,,,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sumba/ntos,συμβαίνω,verb,d',e)s,εἰς,preposition,tau=ta,οὗτος,pronoun,tou=,ὁ,article,*)anni/bou,Ἀννίβας,proper,kai\,καί,conjunction,e)pi\,ἐπί,preposition,th=|,ὁ,article,sunqh/kh|,συνθήκη,noun,o)mo/santos,ὄμνυμι,verb,pre/sbeis,πρέσβις,noun,te,τε,particle,a)ntipe/myantos,ἀντέπειμι,verb,e)pi\,ἐπί,preposition,tou\s,ὁ,article,o(/rkous,ὅρκος,noun,tou=,ὁ,article,*fili/ppou,Φίλιππος,proper,*(rwmai/wn,,,trih/rhs,τριήρης,noun,e)/labe,λαμβάνω,verb,tou\s,ὁ,article,e(kate/rwn,ἑκάτερος,adjective,pre/sbeis,πρέσβις,noun,a)naple/ontas,ἀναπλέω,verb,kai\,καί,conjunction,e)s,εἰς,preposition,*(rw/mhn,,,e)ko/misen,κομίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)f',ἐπί,preposition,w(=|,*fi/lippos,Φίλιππος,proper,a)ganaktw=n,ἀγανακτέω,verb,*kerku/ra|,Κέρκυρα,proper,prose/balen,προσδαίω,verb,h(\,ὅς,pronoun,*(rwmai/ois,,,sunema/xei,συμμαχέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὅς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o/ti,,,e)nh=ge,tou\s,ὁ,article,*(rwmai/ous,,,ta\,ὁ,article,*sibu/lleia,Σιβύλλειος,proper,ei)s,εἰς,preposition,to\n,ὁ,article,*fili/ppou,Φίλιππος,proper,po/lemon,πόλεμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐνάγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/sti,εἰμί,verb,de\,tau=ta,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)xou=ntes,αὐχέω,verb,basileu=si,*makhdo/nes,,,*)argea/dh|sin,Ἀργεάδης,proper,u(mi=n,σύ,pronoun,koirane/wn,κοιρανέω,verb,a)gaqo\n,ἀγαθός,adjective,kai\,καί,conjunction,ph=ma,πῆμα,adjective,*fi/lippos,Φίλιππος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,βασιλεύς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)/toi,ἤτοι,particle,o(,me\n,μέν,particle,pro/teros,πρότερος,adjective,po/lesin,πόλις,adjective,laoi=si/,λαός,noun,t',τε,particle,a)/naktas,ἄναξ,noun,qh/sei,τίθημι,verb,o(,ὁ,article,d',δέ,particle,o(plo/teros,ὁπλότερος,adjective,timh\n,τιμή,noun,a)po\,ἀπό,preposition,pa=san,πᾶς,adjective,o)le/ssei,ὄλλυμι,verb,dmhqei\s,δαμάζω,verb,d',δέ,particle,e(speri/oisin,ἑσπέριος,adjective,u(p',ὑπό,preposition,a)ndra/sin,ἀνήρ,noun,e)nqa/d',ἐνθάδε,adverb,o)lei=tai,ὄλλυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,*ptolemai/ou,tou=,ὁ,article,basileu/ontos,βασιλεύω,verb,*ai)gu/ptou,Αἴγυπτος,proper,pre/sbeis,πρέσβις,noun,kai\,καί,conjunction,su\n,σύν,preposition,au)toi=s,αὐτός,pronoun,e(/teroi,ἕτερος,adjective,para/,παρά,preposition,te,τε,particle,*xi/wn,Χίος,proper,kai\,καί,conjunction,*mitulhnai/wn,Μιτυληναῖος,proper,kai\,καί,conjunction,*)amuna/ndrou,Ἀμύνανδρος,proper,tou=,ὁ,article,*)aqama/nwn,,,basile/ws,βασιλεύς,noun,di/s,δίς,adverb,e)/nqa,ἔνθα,adverb,per,πέρ,particle,oi(,ἕ,pronoun,*ai)twloi\,Αἰτωλός,proper,ta\s,ὁ,article,po/leis,πόλις,adjective,e)piskeyome/nas,ἐπισκέπτομαι,verb,e)ka/loun,καλέω,verb,sunh=lqon,συνέρχομαι,verb,e)pi\,ἐπί,preposition,diallagh=|,διαλλαγή,noun,*(rwmai/wn,,,kai\,καί,conjunction,*ai)twlw=n,Αἰτωλός,proper,kai\,καί,conjunction,*fili/ppou,Φίλιππος,proper,,,,,,,,,,Πτολεμαῖος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*soulpiki/ou,Σουλπίκιος,proper,d',ei)po/ntos,εἶπον,verb,ou)k,οὐ,adverb,ei)=nai,εἰμί,verb,kuri/ou,κύριος,adjective,peri\,περί,preposition,th=s,ὁ,article,ei)rh/nhs,εἰρήνη,noun,ti,τις,pronoun,kri=nai,κρίνω,verb,kai\,καί,conjunction,e)s,εἰς,preposition,th\n,ὁ,article,boulh\n,βουλή,noun,kru/fa,κρύφα,adverb,e)piste/llontos,ἐπιστέλλω,verb,o(/ti,ὅστις,pronoun,*(rwmai/ois,,,sumfe/rei,συμφέρω,verb,polemei=n,πολεμέω,verb,*ai)twlou\s,Αἰτωλός,proper,*fili/ppw|,Φίλιππος,proper,h(,ὁ,article,me\n,μέν,particle,boulh\,βουλή,noun,ta\s,ὁ,article,sunqh/kas,συνθήκη,noun,e)kw/luse,κωλύω,verb,kai\,καί,conjunction,toi=s,ὁ,article,*ai)twloi=s,Αἰτωλός,proper,e)/pempe,πέμπω,verb,summaxi/an,συμμαχία,noun,pezou\s,πεζός,adjective,muri/ous,μυρίος,adjective,kai\,καί,conjunction,i(ppe/as,ἱππεύς,noun,xili/ous,χίλιοι,adjective,meq',μετά,preposition,δέ,particle,w(=n,ὅς,pronoun,oi(,ὁ,article,*ai)twloi\,Αἰτωλός,proper,kate/labon,καταλαμβάνω,verb,*)ambraki/an,Ἀμβρακίη,proper,h(\n,ὅς,pronoun,ou),οὐ,adverb,polu\,πολύς,adjective,u(/steron,ὕστερος,adjective,au)tw=n,αὐτός,pronoun,*fi/lippos,Φίλιππος,proper,a)popleusa/ntwn,ἀποπλέω,verb,a)ne/laben,ἀναλαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
