word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/1/lemma/@_entry,word/1/lemma/@_POS,word/19/lemma/@_entry,word/19/lemma/@_POS,word/7/lemma/@_entry,word/7/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS
o(/ti,ὅστις,pronoun,*bomi/lxas,kathgorou/menos,κατηγορέω,verb,e)/fuge,φεύγω,verb,pro\,πρό,preposition,di/khs,δίκη,adjective,kai\,καί,conjunction,*)iogo/rqas,su\n,σύν,preposition,au)tw=|,αὐτός,pronoun,tou=to,οὗτος,pronoun,dh\,δή,particle,to\,ὁ,article,perifero/menon,περιφέρω,verb,e)s,εἰς,preposition,tou\s,ὁ,article,dwrodokou=ntas,δωροδοκέω,verb,ei)pw/n,εἶπον,verb,o(/ti,ὅστις,pronoun,*(rwmai/wn,h(,ὁ,article,po/lis,πόλις,adjective,e)sti\n,εἰμί,verb,w)ni/a,ὤνιος,adjective,pa=sa,πᾶς,adjective,ei)/,εἰ,conjunction,tis,τις,pronoun,w)nhth\s,ὠνητής,noun,au)th=s,αὐτός,pronoun,eu(reqei/h,εὑρίσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,*me/tellos,a)nezeu/gnuen,ἀναζεύγνυμι,verb,e)s,εἰς,preposition,*libu/hn,Λιβύη,proper,th\n,ὁ,article,u(po\,ὑπό,preposition,*(rwmai/ois,ai)ti/an,αἰτία,noun,e)/xwn,ἔχω,verb,para\,παρά,preposition,tw=|,ὁ,article,stratw=|,στρατός,noun,braduth=tos,βραδυτής,noun,e)s,εἰς,preposition,tou\s,ὁ,article,polemi/ous,πολέμιος,adjective,kai\,καί,conjunction,e)pi\,ἐπί,preposition,sfi/sin,w)mo/thtos,ὠμότης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,Μέτελλος,proper,σφεῖς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sfo/dra,σφόδρα,adverb,ga\r,tou\s,ὁ,article,a(marta/nontas,ἁμαρτάνω,verb,e)ko/lazen,κολάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,γάρ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,*me/tellos,*bagai/wn,Βαγαῖος,proper,a)nh/|rei,ἀναιρέω,verb,th\n,ὁ,article,boulh\n,βουλή,noun,o(/lhn,ὅλος,adjective,w(s,th\n,ὁ,article,froura\n,φρουρά,noun,prodo/ntas,προδίδωμι,verb,*)iogo/rqa|,,,kai\,καί,conjunction,to\n,ὁ,article,frou/rarxon,φρούραρχος,noun,*tourpi/lion,,,a)/ndra,ἀνήρ,noun,*(rwmai=on,,,ou)k,οὐ,adverb,a)nupo/ptws,e(auto\n,ἑαυτοῦ,pronoun,e)gxeiri/santa,ἐγχειρίζω,verb,toi=s,ὁ,article,polemi/ois,πολέμιος,adjective,e)papke/teine,,,th=|,ὁ,article,boulh=|,βουλεύς,noun,,,,,,,,,,Μέτελλος,proper,ἀνύποπτος,adjective,ὡς,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*qra=|kas,Θράκιος,proper,de\,kai\,καί,conjunction,*li/guas,Λίγυς,proper,au)tomo/lous,αὐτόμολος,adjective,labw\n,λαμβάνω,verb,para\,παρά,preposition,*)iogo/rqa,tw=n,ὁ,article,me\n,μέν,particle,ta\s,ὁ,article,xei=ras,χείρ,noun,a)pe/temne,ἀποτέμνω,verb,tou\s,ὁ,article,de\,δέ,particle,e)s,εἰς,preposition,th\n,ὁ,article,gh=n,γῆ,noun,me/xri,μέχρι,preposition,gastro\s,katw/russe,κατορύσσω,verb,kai\,καί,conjunction,peritoceu/wn,περιτοξεύω,verb,h)\,ἠέ,conjunction,e)sakonti/zwn,εἰσακοντίζω,verb,e)/ti,ἔτι,adverb,e)mpne/ousi,ἐμπνέω,verb,pu=r,πῦρ,noun,u(peti/qei,ὑποτίθημι,verb,,,,δέ,particle,γαστήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,tou=,*mari/ou,Μάριος,proper,e)s,εἰς,preposition,*ki/rtan,,,a)fikome/nou,ἀφικνέομαι,verb,pre/sbeis,πρέσβις,noun,*bo/kxou,parh=san,πάρειμι,verb,oi(\,ἕ,pronoun,pemfqh=nai/,πέμπω,verb,tinas,τις,pronoun,e)s,εἰς,preposition,lo/gous,λόγος,noun,*bo/kxw|,Βόκχος,proper,pareka/loun,παρακαλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,Βόκχος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)pe/mfqhsan,*au)=lo/s,Αὖλος,proper,te,τε,particle,*ma/llios,Μάλλιος,proper,o(,ὁ,article,presbeuth\s,πρεσβευτής,noun,kai\,*kornh/lios,Κορνήλιος,proper,*su/llas,συλλάω,verb,o(,ὁ,article,tami/as,ταμία,noun,oi(=s,ὅς,pronoun,o(,ὁ,article,*bo/kxos,Βόκχος,proper,e)/fh,φημί,verb,*(rwmai/ois,,,polemh=sai,πολεμέω,verb,dia\,διά,preposition,*ma/rion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πέμπω,verb,Μάριος,proper,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gh=n,γῆ,noun,ga\r,h(\n,ὅς,pronoun,au)to\s,αὐτός,pronoun,*)iogo/rqan,,,a)fei/leto,ἀφαιρέω,verb,pro\s,πρός,preposition,*mari/ou,nu=n,νῦν,adverb,a)fh|rh=sqai,ἀφαιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,γάρ,particle,,,Μάριος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*bo/kxos,Βόκχος,proper,me\n,dh\,δή,particle,tau=ta,οὗτος,pronoun,e)neka/lei,ἐγκαλέω,verb,*ma/llios,Μάλλιος,proper,d',δέ,particle,e)/fh,th\n,ὁ,article,gh=n,γῆ,noun,th/nde,ὅδε,pronoun,*(rwmai/ous,,,a)fele/sqai,ἀφαιρέω,verb,*su/faka,Σύφαξ,proper,pole/mou,πόλεμος,noun,no/mw|,νόμος,noun,kai\,καί,conjunction,dou=nai,δίδωμι,verb,*massana/ssh|,Μασσανάσσης,proper,dwrea/n,dido/nai,δίδωμι,verb,de\,δέ,particle,*(rwmai/ous,,,ta\s,ὁ,article,dwrea\s,δωρεά,noun,e)/xein,ἔχω,verb,toi=s,ὁ,article,labou=sin,λάπτω,verb,e(/ws,ἕως,conjunction,a)\n,ἄν,particle,μέν,particle,δωρεά,noun,φημί,verb,th=|,ὁ,article,boulh=|,βουλεύς,noun,kai\,καί,conjunction,tw=|,ὁ,article,dh/mw|,δῆμος,noun,dokh=|,δοκάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,mh\n,a)lo/gws,ἄλογος,adjective,metagnw=nai,μεταγιγνώσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μήν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
