word/0/@_form,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/0/lemma/@_entry,word/0/lemma/@_POS,word/32/lemma/@_entry,word/32/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS
*oros,e)sti\,εἰμί,verb,*purh/nh,Πυρήνη,proper,dih=kon,διήκω,verb,a)po\,ἀπό,preposition,th=s,ὁ,article,*turrhnikh=s,Τυρρηνικός,adjective,qala/sshs,θάλασσα,noun,e)pi\,ἐπί,preposition,to\n,ὁ,article,bo/reion,βόρειος,adjective,w)keano/n,Ὠκεανός,proper,oi)kou=si,οἰκέω,verb,d',δέ,particle,au)tou=,αὐτός,pronoun,pro\s,πρός,preposition,me\n,μέν,particle,e(/w,ἠώς,noun,*keltoi/,Κελτός,proper,o(/soi,ὅσος,adjective,*gala/tai,Γαλάται,proper,te,τε,particle,kai\,καί,conjunction,*ga/lloi,Γάλλος,proper,nu=n,νῦν,adverb,prosagoreu/ontai,προσαγορεύω,verb,pro\s,πρός,preposition,de\,δέ,particle,du/sewn,δύσις,adjective,*)/ibhre/s,Ἴβηρ,proper,te,τε,particle,kai\,καί,conjunction,*kelti/bhres,a)rxo/menoi,ἄρχω,verb,me\n,μέν,particle,a)po\,ἀπό,preposition,tou=,ὁ,article,*turrhnikou=,Τυρρηνικός,adjective,pela/gous,πέλαγος,noun,periio/ntes,περίειμι,verb,d',δέ,particle,e)n,ἐν,preposition,ku/klw|,κύκλος,noun,dia\,διά,preposition,tw=n,ὁ,article,*(hraklei/wn,Ἡράκλειος,proper,sthlw=n,στηλόω,verb,e)pi\,ἐπί,preposition,to\n,ὁ,article,bo/reion,βόρειος,adjective,w)keano/n,Ὠκεανός,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tws,e)sti\n,εἰμί,verb,h(,ὁ,article,*)ibhri/a,Ἰβηρίη,proper,peri/klustos,περίκλυστος,adjective,o(/ti,ὅστις,pronoun,mh\,μή,conjunction,th=|,ὁ,article,*purh/nh|,Πυρήνη,proper,mo/nh|,μόνος,adjective,megi/stw|,μέγας,adverb,tw=n,ὁ,article,*eu)rwpai/wn,Εὐρωπαῖος,proper,o)rw=n,ὀρός,noun,kai\,καί,conjunction,i)quta/tw|,,,sxedo\n,σχεδόν,adverb,a(pa/ntwn,ἅπας,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὕτως,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=,de\,δέ,particle,peri/plou,περιπέλομαι,verb,tou=de,ὅδε,pronoun,to\,ὁ,article,me\n,μέν,particle,*turrhniko\n,Τυρρηνικός,adjective,pe/lagos,πέλαγος,noun,diaple/ousin,διαπλέω,verb,e)pi\,ἐπί,preposition,ta\s,ὁ,article,sth/las,στήλη,noun,ta\s,ὁ,article,*(hraklei/ous,Ἡράκλειος,proper,to\n,ὁ,article,d',δέ,particle,e(spe/rion,ἑσπέριος,adjective,kai\,καί,conjunction,to\n,ὁ,article,bo/reion,βόρειος,adjective,w)keano\n,Ὠκεανός,proper,ou),οὐ,adverb,perw=sin,περάω,verb,o(/ti,ὅστις,pronoun,mh\,μή,conjunction,porqmeu/esqai,πορθμεύω,verb,mo/non,μόνος,adjective,e)pi\,ἐπί,preposition,*brettanou/s,,,kai\,καί,conjunction,tou=ts,,,tai=s,ὁ,article,a)mpw/tesi,tou=,ὁ,article,pela/gous,πέλαγος,noun,sumfero/menoi,συμφέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,ἄμπωτις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/sti,d',δέ,particle,au)toi=s,αὐτός,pronoun,o(,ὁ,article,dia/plous,διάπλοος,adjective,h(/misu,ἥμισυς,adjective,h(me/ras,ἡμέρα,noun,kai\,καί,conjunction,ta\,ὁ,article,loipa\,λοιπός,adjective,ou)/te,οὔτε,adverb,*(rwmai=oi,,,ou)/te,οὔτε,adverb,ta\,ὁ,article,e)/qnh,ἔθνος,adjective,ta\,ὁ,article,u(po\,ὑπό,preposition,*(rwmai/ois,,,peirw=ntai,πειράω,verb,tou=de,ὅδε,pronoun,tou=,ὁ,article,w)keanou=,Ὠκεανός,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
me/geqos,de\,δέ,particle,th=s,ὁ,article,*)ibhri/as,Ἰβηρίη,proper,th=s,ὁ,article,*(ispani/as,Ἱσπανία,proper,nu=n,νῦν,adverb,u(po\,ὑπό,preposition,tinw=n,τις,pronoun,a)nti\,ἀντί,preposition,*)ibhri/as,Ἰβηρίη,proper,legome/nhs,λέγω,verb,e)sti\,εἰμί,verb,polu\,πολύς,adjective,kai\,καί,conjunction,a)/piston,ἄπιστος,adjective,w(s,ὡς,conjunction,e)n,ἐν,preposition,xw/ra|,χώρα,noun,mia=|,εἷς,adjective,o(/pou,ὅπου,adverb,to\,ὁ,article,pla/tos,πλάτος,adjective,muri/ous,μυρίος,adjective,stadi/ous,στάδιον,noun,a)riqmou=si,ἀριθμέω,verb,kai\,καί,conjunction,e)/stin,εἰμί,verb,au)th=|,αὐτός,pronoun,to\,ὁ,article,pla/tos,πλάτος,adjective,a)nti\,ἀντί,preposition,mh/kous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μέγεθος,adjective,μῆκος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/qnh,te,τε,particle,polla\,πολύς,adjective,kai\,καί,conjunction,poluw/numa,πολυώνυμος,adjective,au)th\n,αὐτός,pronoun,oi)kei=,οἰκέω,verb,kai\,καί,conjunction,potamoi\,ποταμός,noun,polloi\,πολύς,adjective,r(e/ousi,ῥέω,verb,nausi/poroi,ναυσίπορος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἔθνος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(/,tines,τις,pronoun,d',δέ,particle,au)th\n,αὐτός,pronoun,oi)kh=sai,οἰκέω,verb,prw=toi,πρότερος,adjective,nomi/zontai,νομίζω,verb,kai\,καί,conjunction,oi(\,ἕ,pronoun,met',μετά,preposition,e)kei/nous,ἐκεῖνος,pronoun,kate/sxon,κατέχω,verb,ou),οὐ,adverb,pa/nu,πάνυ,adverb,moi,ἐγώ,pronoun,tau=ta,οὗτος,pronoun,fronti/zein,φροντίζω,verb,a)re/skei,ἀρέσκω,verb,mo/na,μόνος,adjective,ta\,ὁ,article,*(rwmai/wn,,,suggra/fonti,συγγράφω,verb,plh\n,πλήν,preposition,o(/ti,ὅστις,pronoun,*keltoi/,Κελτός,proper,moi,ἐγώ,pronoun,dokou=si/,δοκέω,verb,pote,ποτέ,particle,th\n,ὁ,article,*purh/nhn,Πυρήνη,proper,u(perba/ntes,ὑπερβαίνω,verb,au)toi=s,αὐτός,pronoun,sunoikh=sai,o(/qen,ὅθεν,adverb,a)/ra,ἄρα,particle,kai\,καί,conjunction,to\,ὁ,article,*keltibh/rwn,,,o)/noma,ὄνομα,adjective,e)rru/h,ῥέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἕ,pronoun,συνοικέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dokou=si,de/,δέ,particle,moi,ἐγώ,pronoun,kai\,καί,conjunction,*foi/nikes,Φοῖνιξ,proper,e)s,εἰς,preposition,*)ibhri/an,Ἰβηρίη,proper,e)k,ἐκ,preposition,pollou=,πολύς,adjective,qamina\,θαμινός,adverb,e)p',ἐπί,preposition,e)mpori/a|,ἐμπορία,noun,diaple/ontes,διαπλέω,verb,oi)kh=sai/,οἰκέω,verb,tina,τις,pronoun,th=s,ὁ,article,*)ibhri/as,Ἰβηρίη,proper,*(/ellhne/s,Ἕλλην,proper,te,τε,particle,o(moi/ws,ὅμοιος,adjective,e)s,εἰς,preposition,*tarthsso\n,Ταρτησσός,proper,kai\,καί,conjunction,*)arganqw/nion,Ἀργανθώνιος,proper,*tarthssou=,Ταρτησσός,proper,basile/a,βασιλεύς,noun,ple/ontes,πλέω,verb,e)mmei=nai,ἐμμένω,verb,kai\,καί,conjunction,tw=nde/,ὅδε,pronoun,tines,τις,pronoun,e)n,ἐν,preposition,*)ibhri/a|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δοκέω,verb,Ἰβηρίη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ga\r,γάρ,particle,*)arganqwni/ou,Ἀργανθώνιος,proper,basilei/a,βασιλεία,noun,e)n,ἐν,preposition,*)/ibhrsin,Ἴβηρ,proper,h)=n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,*tarthsso/s,Ταρτησσός,proper,moi,ἐγώ,pronoun,dokei=,δοκέω,verb,to/te,τότε,adverb,ei)=nai,εἰμί,verb,po/lis,πόλις,adjective,e)pi\,ἐπί,preposition,qala/sshs,θάλασσα,noun,h(\,ὅς,pronoun,nu=n,νῦν,adverb,*karphsso\s,,,o)noma/zetai,ὀνομάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
