word/0/@_form,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/0/lemma/@_entry,word/0/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/64/lemma/@_entry,word/64/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS
o)cew=n,nou/swn,νόσος,noun,a)/kea,ἄκος,noun,cunafe/a,συναφής,adverb,th=|si,ὁ,article,shmhi/+wn,σημεῖον,noun,i)de/h|si,ἰδέω,verb,a)mfi\,ἀμφί,preposition,w(=n,ὅς,pronoun,toi=s,ὁ,article,cuggra/mmasi,σύγγραμμα,noun,a)/ssa,τις,pronoun,moi,ἐγώ,pronoun,pro/sqen,πρόσθεν,adverb,gegra/fatai,γράφω,verb,o(ko/sa,ὁπόσος,adjective,me\n,μέν,particle,w)=n,οὖν,particle,e)n,ἐν,preposition,puretw=n,πυρετός,noun,qerapei/h|,θεραπεία,noun,gi/gnetai,γίγνομαι,verb,kata/,κατά,preposition,te,τε,particle,th\n,ὁ,article,tou/twn,οὗτος,pronoun,diaforh\n,διαφορά,noun,kai\,καί,conjunction,kata\,κατά,preposition,th\n,ὁ,article,tw=n,ὁ,article,noshma/twn,νόσημα,noun,i)de/hn,ἰδέα,noun,kai\,καί,conjunction,th\n,ὁ,article,e)n,ἐν,preposition,au)toi=s,αὐτός,pronoun,poikili/hn,ποικιλία,noun,toute/wn,οὗτος,pronoun,ta\,ὁ,article,plei/w,πλέως,adjective,e)n,ἐν,preposition,toi=si,ὁ,article,a)mfi\,ἀμφί,preposition,puretw=n,πυρετός,noun,lo/goisi,λόγος,noun,lele/cetai,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(ko/sa,de\,δέ,particle,cu\n,σύν,preposition,puretoi=si,πυρετός,noun,o)ce/a,ὀξύς,adjective,gi/gnetai,γίγνομαι,verb,pa/qea,πάθος,adjective,o(koi=on,ὁποῖος,adjective,h(,ὁ,article,freni=tis,φρενῖτις,noun,h)\,ἠέ,conjunction,a)/neuqe,ἄνευθε,preposition,puretw=n,πυρετός,noun,o(koi=on,ὁποῖος,adjective,a)poplhci/h,ἀποπληξία,noun,a)mfi\,ἀμφί,preposition,tw=nde,ὅδε,pronoun,mou=non,μόνος,adjective,ta\,ὁ,article,a)/kea,ἄκος,noun,fra/sw,φράζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁπόσος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,de\,δέ,particle,mh\,μή,conjunction,diamarta/nein,διαμαρτάνω,verb,mhde\,μηδέ,particle,makrhgore/ein,μακρηγορέω,verb,e(/tera,ἕτερος,adjective,e)n,ἐν,preposition,e(te/roisi,ἕτερος,adjective,gra/fonta,γράφω,verb,a)rxh\,ἀρχή,noun,h(,ὁ,article,wu)th\,αὐτός,pronoun,h(\,ὅς,pronoun,kai\,καί,conjunction,a)mfi\,ἀμφί,preposition,tw=n,ὁ,article,paqe/wn,πάθη,noun,kai\,καί,conjunction,teleuth\,τελευτή,noun,h(,ὁ,article,wu)th/,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὡς,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*katakek,li/sqai,,,xrh\,χρή,verb,to\n,ὁ,article,nose/onta,νοσέω,verb,e)n,ἐν,preposition,oi)/kw|,οἶκος,noun,eu)me/trw|,εὔμετρος,adjective,eu)krh/tw|,εὔκρατος,adjective,xeimw=nos,χειμών,noun,me\n,μέν,particle,e)n,ἐν,preposition,a)le/h|,ἀλέα,noun,qe/reos,θέρος,noun,de\,δέ,particle,e)n,ἐν,preposition,yu/xei+,ψῦχος,noun,noterw=|,νοτερός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/aros,de\,δέ,particle,kai\,καί,conjunction,fqinopw/rou,φθινόπωρον,noun,pro\s,πρός,preposition,ta\s,ὁ,article,w(/ras,ὥρα,adjective,tekmai/resqai,τεκμαίρομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἔαρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/peita,h(suxi/hn,ἡσυχία,noun,a)/gein,ἄγω,verb,keleu/ein,κελεύω,verb,kai\,καί,conjunction,au)to\n,αὐτός,pronoun,nose/onta,νοσέω,verb,kai\,καί,conjunction,tou\s,ὁ,article,e)pi\,ἐπί,preposition,th=s,ὁ,article,oi)ki/hs,οἰκία,noun,a(/pantas,ἅπας,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἔπειτα,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o)cuh/kooi,ga\r,γάρ,particle,h)de\,ἠδέ,conjunction,yo/fou,ψόφος,noun,kaqapto/menoi,καθάπτω,verb,freniti,,,koi/,κοί,interjection,a)ta\r,ἀτάρ,particle,u(po\,ὑπό,preposition,tw=nde,ὅδε,pronoun,mai/nontai,μαίνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὀξυήκοος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toi=xoilei=oi,o(maloi\,ὁμαλός,adjective,mhd',μηδέ,particle,u(peri/sxontes,ὑπερίσχω,verb,mhde\,μηδέ,particle,a)/xnais,ἄχνη,noun,mhde\,μηδέ,particle,grafh=|si,γραφή,noun,eu)/kosmoi,εὔκοσμος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)reqistiko\n,ga\r,γάρ,particle,toixografi/h,τοιχογραφία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐρεθιστικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,ga\r,γάρ,particle,pro\,πρό,preposition,tw=n,ὁ,article,o)fqalmw=n,ὀφθαλμός,noun,a)mfaire/ousi/,ἀμφαιρέω,verb,tina,τις,pronoun,yeude/a,ψευδής,adverb,i)nda/lmata,ἴνδαλμα,noun,kai\,καί,conjunction,ta\,ὁ,article,mh\,μή,conjunction,e)ci/sxonta,ἐξίσχω,verb,a)mfafo/wsi,ἀμφαφάω,verb,w(s,ὡς,conjunction,u(peri/sxonta,ὑπερίσχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
