word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/7/lemma/@_entry,word/7/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/15/lemma/@_entry,word/15/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS
e)n,ἐν,preposition,th=|si,ὁ,article,xroni/h|si,χρόνιος,adjective,nou/soisi,νόσος,noun,h(,ὁ,article,a)mbolh\,ἀμβολή,noun,th=s,ὁ,article,i)htrei/hs,kako/n,κακός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(p',ὑπό,preposition,a)mblaki/hs,,,ga\r,γάρ,particle,o)ke/llei,ὀκέλλω,verb,e)s,εἰς,preposition,a)nh/kesta,ἀνήκεστος,adjective,pa/qea,πάθος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fu/si,φύσις,noun,ga\r,γάρ,particle,w(di\,ὡδί,adverb,i)/sxei,ἴσχω,verb,w(s,ὡς,conjunction,mh\,μή,conjunction,*rhi+di/ws,,,a)pofoith=sai,h)\n,ἐάν,conjunction,ἀποφοιτάω,verb,e)sba/llh|,εἰσβάλλω,verb,a(/pac,ἅπαξ,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,kai\,καί,conjunction,e)kdhqu/nh|,ἐκδηθύνω,verb,xro/nw|,χρόνος,noun,kartera\,καρτερός,adjective,e)/stai,εἰμί,verb,kai\,cunapoqnh/skein,συναποθνήσκω,verb,καί,conjunction,gi/gnetai/,γίγνομαι,verb,kote,ποτέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ta\,ὁ,article,smikra\,μικρός,adjective,mezo/nwn,μέγας,adverb,poie/etai,ποιέω,verb,diade/cias,διάδεξις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kh)\n,ἐν,preposition,to\,ὁ,article,pro/sqen,πρόσθεν,adverb,e)s,εἰς,preposition,ki/ndunon,κίνδυνος,noun,a)sine\s,ἀσινής,adverb,h)=|,εἰμί,verb,o(,to/kos,τόκος,noun,ὁ,article,tw=nde,ὅδε,pronoun,gi/gnetai,γίγνομαι,verb,o)le/qrios,ὀλέθριος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xrh\,χρή,verb,w)=n,οὖν,particle,mh/te,μήτε,particle,to\n,ὁ,article,nose/onta,νοσέω,verb,sigh=n,σιγάω,verb,ai)doi=,αἰδώ,noun,tou=,e)le/gxou,ἔλεγχος,noun,ὁ,article,th=s,ὁ,article,nou/sou,νόσος,noun,mhde\,μηδέ,particle,u(podidrh/skein,ὑποδιδράσκω,verb,de/ei,δέος,noun,th=s,ὁ,article,i)htrei/hs,mh/te,μήτε,particle,to\n,ὁ,article,i)htro\n,ἰατρός,noun,katamblakeu/ein,καταμβλακεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/mfw,ἄμφω,noun,ga\r,γάρ,particle,e)s,εἰς,preposition,to\,ὁ,article,a)nh/keston,ἀνήκεστος,adjective,cuna/|doi,συνᾴδω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metece/teroi,μετεξέτεροι,adjective,de\,δέ,particle,tw=n,ὁ,article,kamno/ntwn,κάμνω,verb,u(p',ὑπό,preposition,a)gnwsi/hs,ἀγνωσία,noun,te,τε,particle,tw=n,pareo/ntwn,πάρειμι,verb,ὁ,article,kai\,καί,conjunction,tw=n,ὁ,article,au)=qis,αὖθις,adverb,e)some/nwn,εἰμί,verb,e)s,εἰς,preposition,te/los,τέλος,noun,cundiaite/ontai,th=|,ὁ,article,nou/sw|,νόσος,noun,,,,,,,συνδιαιτάομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pi\,ἐπί,preposition,ga\r,γάρ,particle,toi=si,ὁ,article,plei/stoisi,πλεῖστος,adjective,ou)/te,οὔτε,adverb,o)/lluntai,ὄλλυμι,verb,ou)/te,οὔτε,adverb,o)rrwde/ousi,qa/naton,θάνατος,adjective,ὀρρωδέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
