word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS
h(,ὁ,article,me\n,μέν,particle,e)pi/deicis,ἐπίδειξις,noun,ou)damw=s,οὐδαμός,adverb,eu)tuxh\s,εὐτυχής,adjective,ou)de\,οὐδέ,particle,kat',κατά,preposition,e)lpi/das,ἐλπίς,noun,a)nagkai/a,ἀναγκαῖος,adjective,de\,δέ,particle,th=s,ὁ,article,te,τε,particle,po/lews,πόλις,adjective,e(/neka,ἕνεκα,preposition,kai\,καί,conjunction,tw=n,ὁ,article,oi)kei/wn,οἰκεῖος,adjective,tw=n,ὁ,article,*)etewne/ws,Ἐτεωνεύς,proper,kai\,καί,conjunction,prose/ti,προσέτι,adverb,ge,γε,particle,h(mw=n,ἐγώ,pronoun,au)tw=n,αὐτός,pronoun,paramuqi/as,παραμυθία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)=mai,οἴομαι,verb,d',δέ,particle,ei),εἰ,conjunction,kai\,καί,conjunction,mh/pw,μήπω,adverb,pro/sqen,πρόσθεν,adverb,qrh=noi,θρῆνος,noun,kat',κατά,preposition,a)nqrw/pous,ἄνθρωπος,noun,e)nomi/sqhsan,νομίζω,verb,nu=n,νῦν,adverb,ge,γε,particle,e)pi\,ἐπί,preposition,tw=|de,ὅδε,pronoun,dikai/ws,δίκαιος,adjective,a)\n,ἄν,particle,a)/rcasqai,ἄρχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,ga\r,γάρ,particle,ou)k,οὐ,adverb,a)/n,ἄν,particle,tis,τις,pronoun,o)du/raito,ὀδύρομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/teron,πότερος,adjective,th\n,ὁ,article,h(liki/an,ἡλικία,noun,h(\n,ὅς,pronoun,e)/xwn,ἔχω,verb,oi)/xetai,οἴχομαι,verb,kai\,καί,conjunction,th\n,ὁ,article,a)ndrei/an,ἀνδρεία,noun,h(\,ὅς,pronoun,ke/kruptai,κρύπτω,verb,kakw=s,κακός,adjective,h)\,ἠέ,conjunction,th\n,ὁ,article,swfrosu/nhn,σωφροσύνη,noun,h(=s,ὅς,pronoun,ou)d',οὐδέ,particle,a)\n,ἄν,particle,para/deigma,παράδειγμα,noun,r(a|di/ws,ῥᾴδιος,adjective,eu(/roi,εὑρίσκω,verb,tis,τις,pronoun,h)\,ἠέ,conjunction,ta\s,ὁ,article,e)lpi/das,ἐλπίς,noun,w(=n,ὅς,pronoun,ste/retai,στέρομαι,verb,me\n,μέν,particle,au)to\s,αὐτός,pronoun,ste/rontai,στέρομαι,verb,de\,δέ,particle,oi)ke/tai,οἰκέτης,noun,kai\,καί,conjunction,fi/loi,φίλος,adjective,kai\,καί,conjunction,po/lis,πόλις,adjective,kai\,καί,conjunction,pa=n,πᾶς,adjective,o(/son,ὅσος,adjective,ei)s,εἰς,preposition,th\n,ὁ,article,nu=n,νῦν,adverb,*)asi/an,Ἄσιος,proper,telei=,τέλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poi=os,ποῖος,adjective,tau=ta,οὗτος,pronoun,*simwni/dhs,Σιμωνίδης,proper,qrhnh/sei,θρηνέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/s,τίς,pronoun,*pi/ndaros,Πίνδαρος,proper,poi=on,ποῖος,adjective,me/los,μέλος,noun,h)\,ἠέ,conjunction,lo/gon,λόγος,noun,toiou=ton,τοιοῦτος,adjective,e)ceurw/n,ἐξευρίσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/s,τίς,pronoun,*sthsi/xoros,Στησίχορος,proper,a)/cion,ἄξιος,adjective,fqe/gcetai,φθέγγομαι,verb,toiou/tou,τοιοῦτος,adjective,pa/qous,πάθος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poi/a,ποῖος,adjective,de\,δέ,particle,du/shris,δύσηρις,noun,*qettalh\,Θεσσαλός,proper,tosou=ton,τοσοῦτος,adjective,pe/nqos,πένθος,noun,e)pe/nqhsen,πενθέω,verb,e)p',ἐπί,preposition,*)antio/xw|,Ἀντίοχος,proper,teleuth/santi,τελευτάω,verb,o(/son,ὅσος,adjective,nu=n,νῦν,adverb,mhtri\,μήτηρ,noun,th=|,ὁ,article,tou/tou,οὗτος,pronoun,pe/nqos,πένθος,noun,pro/keitai,πρόκειμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,mh\n,μήν,particle,a)rke/sei,ἀρκέω,verb,siwph=|,σιωπή,noun,qrhnei=n,θρηνέω,verb,ou)d',οὐδέ,particle,o(/son,ὅσος,adjective,bow=ntas,βοάω,verb,tou)/noma,ὄνομα,adjective,a)lla/,ἀλλά,adverb,ti,τις,pronoun,kai\,καί,conjunction,ko/smou,κόσμος,noun,tw=|,ὁ,article,qrh/nw|,θρῆνος,noun,prose/stai,πρόσειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,ga\r,γάρ,particle,kai\,καί,conjunction,fobhqhso/meqa,φοβέω,verb,mh\,μή,conjunction,le/gontes,λέγω,verb,yeusw/meqa,ψεύδω,verb,ou(=,ἕ,pronoun,to\,ὁ,article,me\n,μέν,particle,ge/nos,γένος,noun,tosou=ton,τοσοῦτος,adjective,prw=ton,πρότερος,adjective,e)/n,ἐν,preposition,te,τε,particle,th=|,ὁ,article,po/lei,πόλις,adjective,kai\,καί,conjunction,th=|,ὁ,article,*)asi/a|,Ἄσιος,proper,w(/ste,ὥστε,conjunction,mhd',μηδέ,particle,a)\n,ἄν,particle,e(/n',ἕνος,adjective,a)mfisbhth=sai,ἀμφισβητέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa/ntes,πᾶς,adjective,ga\r,γάρ,particle,w(s,ὡς,conjunction,ei)pei=n,εἶπον,verb,kaq',κατά,preposition,e(/na,ἕνος,adjective,prwteu/ousi,πρωτεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,mh\n,μείς,adjective,tw=|,ὁ,article,ge,γε,particle,pro\s,πρός,preposition,patro\s,πατήρ,noun,to\,ὁ,article,pro\s,πρός,preposition,mhtro\s,μήτηρ,noun,e)fa/millon,ἐφάμιλλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)toi\,αὐτός,pronoun,de\,δέ,particle,oi(,ὁ,article,gonei=s,γονεύς,noun,o(,ὁ,article,me\n,μέν,particle,a)ndrw=n,ἀνήρ,noun,gnwrimw/tatos,γνώριμος,adjective,h(,ὁ,article,de\,δέ,particle,gunaikw=n,γυνή,noun,swfronesta/th,σώφρων,noun,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,ei)s,εἰς,preposition,pai/dwn,παῖς,adjective,tw=n,ὁ,article,au(th=s,ἑαυτοῦ,pronoun,e)pime/leian,ἐπιμέλεια,noun,krei/ttwn,κρείσσων,verb,h)\,ἠέ,conjunction,gunh/,γυνή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trofh\,τροφή,noun,de\,δέ,particle,kai\,καί,conjunction,fu/sis,φύσις,noun,a)ci/a,ἄξιος,adjective,th=s,ὁ,article,gene/sews,γένεσις,noun,w(=|,ὅς,pronoun,ge,γε,particle,trofo\s,τροφός,noun,me\n,μέν,particle,kai\,καί,conjunction,fu/lac,φύλαξ,noun,h(,ὁ,article,mh/thr,μήτηρ,noun,sw=ma,σῶμα,adjective,de\,δέ,particle,kai\,καί,conjunction,yuxh\,ψυχή,noun,pre/ponta,πρέπω,verb,a)llh/lois,ἀλλήλων,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
