word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/7/lemma/@_entry,word/7/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/11/lemma/@_entry,word/11/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS
*)aristei/dhs,Ἀριστείδης,proper,th=|,ὁ,article,boulh=|,βουλεύς,noun,kai\,καί,conjunction,tw=|,ὁ,article,dh/mw|,δῆμος,noun,tw=|,ὁ,article,*kotuae/wn,xai/rein,χαίρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)ko\s,ἔοικα,verb,me\n,μέν,particle,h)=n,εἰμί,verb,kai\,καί,conjunction,a)po\,ἀπό,preposition,pa/shs,πᾶς,adjective,th=s,ὁ,article,*(ella/dos,w(s,ὡς,conjunction,Ἑλλάς,proper,u(ma=s,σύ,pronoun,i)e/nai,εἶμι,verb,sunaxqesqhsome/nous,e)pi\,ἐπί,preposition,toiau/th|,τοιοῦτος,adjective,sumfora=|,συμφορά,noun,kai\,καί,conjunction,kosmh/sontas,κοσμέω,verb,a)/ndra,ἀνήρ,noun,tw=n,ὁ,article,*(ellh/nwn,Ἕλλην,proper,tosou=ton,τοσοῦτος,adjective,prw=ton,πρότερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,d',δέ,particle,ou)=n,οὖν,particle,pe/mpwn,πέμπω,verb,kai\,καί,conjunction,ta/ttwn,τάσσω,verb,e)mauto\n,ἐμαυτοῦ,pronoun,ei)s,tou\s,ὁ,article,εἰς,preposition,oi)kei=on,οἰκεῖος,adjective,to\,ὁ,article,sumbebhko\s,nomi/zontas,νομίζω,verb,ou)k,οὐ,adverb,a)/n,ἄν,particle,moi,ἐγώ,pronoun,perierga/zesqai,περιεργάζομαι,verb,dokw=,δοκάζω,verb,,,,,,,,,,,,,συμβαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/sa,ὅσος,adjective,ga\r,γάρ,particle,nomi/zetai,νομίζω,verb,kat',κατά,preposition,a)nqrw/pous,ἄνθρωπος,noun,kala\,καλός,noun,kai\,καί,conjunction,e)/ntima,o)no/mata,ὄνομα,adjective,ἔντιμος,adjective,kai\,καί,conjunction,paisi/,παῖς,adjective,te,h(donh\n,ἡδονά,noun,e)/xonta,ἔχω,verb,kai\,καί,conjunction,presbute/rois,πρέσβυς,noun,ai)de/sima,αἰδέσιμος,adjective,ou)de\n,οὐδείς,pronoun,tou/twn,οὗτος,pronoun,a)nh\r,ἀνήρ,noun,e)lleloipw\s,ἐλλείπω,verb,h)=n,εἰμί,verb,τε,particle,e)moi/,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,kai\,καί,conjunction,trafei\s,τρέφω,verb,u(p',ὑπό,preposition,e)kei/nw|,ἐκεῖνος,pronoun,kai\,καί,conjunction,paideuqei\s,παιδεύω,verb,kai\,o(/swn,ὅσος,adjective,καί,conjunction,h(,ὁ,article,tu/xh,τύχη,noun,pare/sxe,meta\,μετά,preposition,tau=ta,οὗτος,pronoun,koinwnh/sas,κοινωνέω,verb,pa/ntwn,πᾶς,adjective,dia\,διά,preposition,spoudh=s,σπουδή,noun,trofe/a,τροφεύς,noun,dida/skalon,διδάσκαλος,noun,pate/ra,πατήρ,noun,e(tai=ron,ἑταῖρος,noun,παρέχω,verb,pa/nt',πᾶς,adjective,ei)=xon,ἔχω,verb,kalei=n,καλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
me/giston,μέγας,adverb,d',δέ,particle,h)=n,εἰμί,verb,h(mi=n,ἐγώ,pronoun,pro\s,πρός,preposition,a)llh/lous,ἀλλήλων,pronoun,o(/ti,ὅστις,pronoun,i)/son,fronh=sai,φρονέω,verb,ἴσος,adjective,e)p',ἐπί,preposition,a)llh/lois,ἀλλήλων,pronoun,ei)/xomen,e)gw\,ἐγώ,pronoun,me\n,μέν,particle,e)kei/nw|,ἐκεῖνος,pronoun,didaska/lw|,διδάσκαλος,noun,filotimou/menos,φιλοτιμέομαι,verb,o(,ὁ,article,d',δέ,particle,e)n,ἐν,preposition,oi)kei/as,οἰκεῖος,adjective,do/chs,δόξα,noun,ἔχω,verb,me/rei,μέρος,noun,to\,ὁ,article,kaq',κατά,preposition,h(ma=s,ἐγώ,pronoun,tiqe/menos,τίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(/ws,ἕως,conjunction,me\n,μέν,particle,ou)=n,οὖν,particle,e)ch=n,ἔξεστι,verb,w(s,ὡς,conjunction,e)kei=non,ἐκεῖνος,pronoun,pe/mpein,πέμπω,verb,e)poi/oun,tou=to,οὗτος,pronoun,ποιέω,verb,kai/,καί,conjunction,tis,τις,pronoun,h)=n,h(mi=n,ἐγώ,pronoun,ou)k,οὐ,adverb,a)/mousos,ἄμουσος,adjective,diatribh\,διατριβή,noun,peri\,περί,preposition,lo/gous,λόγος,noun,dia\,διά,preposition,gramma/twn,γράμμα,noun,,,,,,,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)peidh\,ἐπεί,conjunction,d',δέ,particle,ou)ke/t',οὐκέτι,adverb,e)/cestin,ἔξεστι,verb,e)kei/nw|,ἐκεῖνος,pronoun,diale/gesqai,διαλέγω,verb,kai\,καί,conjunction,ou)d',a(\,ὅς,pronoun,οὐδέ,particle,prw/hn,πρώην,adverb,e)/tuxon,τυγχάνω,verb,pe/myas,a)pede/cato,ἀποδέχομαι,verb,tai=s,ὁ,article,h(di/stais,ἡδύς,adjective,e)moi\,ἐγώ,pronoun,xersi\n,χείρ,noun,u(po/loipon,ὑπόλοιπος,adjective,h)=n,εἰμί,verb,w(s,ὡς,conjunction,u(ma=s,σύ,pronoun,a)postei=lai,ἀποστέλλω,verb,πέμπω,verb,th\n,ὁ,article,th=s,ὁ,article,po/lews,πόλις,adjective,e(sti/an,ἑστία,noun,a)nt',ἀντί,preposition,e)kei/nou,ἐκεῖνος,pronoun,qe/menon,τίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)do/koun,δοκέω,verb,ga\r,γάρ,particle,ou(/tws,οὕτως,adverb,*)ale/candro/n,Ἀλέξανδρος,proper,te,τε,particle,diplh=|,διπλόος,adjective,timh=|,τιμή,noun,timh=sai,a(/ma,ἅμα,adverb,τιμάω,verb,me\n,μέν,particle,au)tou=,αὐτός,pronoun,memnhme/nos,ta\,ὁ,article,pre/ponta,πρέπων,noun,a(/ma,ἅμα,adverb,de\,δέ,particle,u(ma=s,σύ,pronoun,oi)keiou/menos,οἰκειόω,verb,di',διά,preposition,e)kei=non,ἐκεῖνος,pronoun,u(mi=n,σύ,pronoun,te,τε,particle,μιμνήσκω,verb,di\s,δίς,adverb,a)\n,ἄν,particle,poiei=n,ποιέω,verb,kexarisme/na,χαρίζομαι,verb,dhmosi/a|,δημοσίᾳ,adverb,te,τε,particle,qarrw=n,θαρσέω,verb,u(mi=n,σύ,pronoun,kai\,καί,conjunction,memnhme/nos,μιμνήσκω,verb,a)ndro\s,ἀνήρ,noun,ou(=,ἕ,pronoun,plei=ston,πλεῖστος,adjective,lo/gon,λόγος,noun,poiei=sqe,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)=mai,οἴομαι,verb,d',δέ,particle,ou)x,οὐ,adverb,u(mei=s,σύ,pronoun,mo/non,μόνος,adjective,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,pa/ntes,o(/soi,ὅσος,adjective,πᾶς,adjective,kai\,καί,conjunction,o(pwsou=n,ὁπωσοῦν,conjunction,telou=sin,ei)s,εἰς,preposition,*(/ellhnas,Ἕλλην,proper,,,,,,,,,,,,,,,,,,,,,,,,,τέλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
