word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS
ti/,τίς,pronoun,d',δέ,particle,a)\n,ἄν,particle,ei)/pois,εἶπον,verb,to\,ὁ,article,fre/ar,φρέαρ,noun,to\,ὁ,article,i(ero/n,ἱερόν,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,ἠέ,conjunction,dh=lon,δῆλος,adjective,o(/ti,ὅστις,pronoun,th\n,ὁ,article,tou=,ὁ,article,lo/gou,λόγος,noun,me/mfei,μέμφομαι,verb,fu/sin,φύσις,noun,w(s,ὡς,conjunction,ou)x,οὐ,adverb,i(kanw=s,ἱκανός,adjective,e)pi\,ἐπί,preposition,pa/nta,πᾶς,adjective,a)fiknoume/nhn,ἀφικνέομαι,verb,ou)d',οὐδέ,particle,e)ndei/casqai,ἐνδείκνυμι,verb,duname/nhn,δύναμαι,verb,e)ni/ote,ἐνίοτε,adverb,a)rkou/ntws,ἀρκεόντως,adverb,to\,ὁ,article,o)/n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=to,οὗτος,pronoun,gou=n,γοῦν,particle,ou)d',οὐδέ,particle,a)\n,ἄν,particle,ei(=s,εἷς,adjective,lo/gos,λόγος,noun,o(poi=o/n,ὁποῖος,adjective,ti,τις,pronoun,to\,ὁ,article,ka/llos,κάλλος,noun,kai\,καί,conjunction,th\n,ὁ,article,h(donh/n,ἡδονά,noun,e)stin,εἰμί,verb,e)ndei/caito,ἐνδείκνυμι,verb,a)ll',ἀλλά,adverb,a)mei/nous,ἀμείνων,adjective,e)sme\n,εἰμί,verb,pi/nein,πίνω,verb,tou/tou,οὗτος,pronoun,tou=,ὁ,article,u(/datos,ὕδωρ,noun,kai\,καί,conjunction,lou/esqai,λούω,verb,kai\,καί,conjunction,prosora=n,προσοράω,verb,h(de/ws,ἡδέως,adverb,h)\,ἠέ,conjunction,e)/xein,ἔχω,verb,ei)pei=n,εἶπον,verb,ti,τις,pronoun,peri\,περί,preposition,au)tou=,αὐτός,pronoun,w(/sper,ὥσπερ,adverb,oi(,ἕ,pronoun,tw=n,ὁ,article,kalw=n,κάλη,adjective,e)rw=ntes,ἐράω,verb,oi(\,ἕ,pronoun,th=|,ὁ,article,me\n,μέν,particle,duna/mei,δύναμις,adjective,tou=,ὁ,article,ka/llous,κάλλος,noun,e(alw/kasi,ἁλίσκομαι,verb,kai\,καί,conjunction,i)/sasin,οἶδα,verb,oi(/wn,οἷος,adjective,e)rw=sin,ἐράω,verb,e)a\n,ἐάν,conjunction,de/,δέ,particle,tis,τις,pronoun,au)tou\s,αὐτός,pronoun,e)/rhtai,ἔρομαι,verb,ou)k,οὐ,adverb,a)\n,ἄν,particle,e)/xoien,ἔχω,verb,ei)pei=n,εἶπον,verb,peri\,περί,preposition,a)po/ntwn,ἄπειμι,verb,paro/ntas,πάρειμι,verb,de\,δέ,particle,oi)=mai,οἴομαι,verb,dei/caien,δείκνυμι,verb,a)/n,ἄν,particle
to\,ὁ,article,d',δέ,particle,au)to\,αὐτός,pronoun,kai\,καί,conjunction,e)pi\,ἐπί,preposition,tou=,ὁ,article,fre/atos,φρέαρ,noun,pepo/nqamen,πάσχω,verb,kai\,καί,conjunction,e)sme\n,εἰμί,verb,e)rastai\,ἐραστής,noun,me\n,μέν,particle,au)tou=,αὐτός,pronoun,pa/mpolloi,παμπολύς,adjective,ma=llon,μᾶλλον,adverb,de\,δέ,particle,pa/ntes,πᾶς,adjective,sxedo\n,σχεδόν,adverb,o(poi/ou,ὁποῖος,adjective,de\,δέ,particle,o)/ntos,εἰμί,verb,ou)k,οὐ,adverb,e)/xomen,ἔχω,verb,ei)pei=n,εἶπον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,e)a/n,ἐάν,conjunction,tina,τις,pronoun,h(mw=n,ἐγώ,pronoun,a)polabw/n,ἀπολαμβάνω,verb,tis,τις,pronoun,e)rwta=|,ἐρωτάω,verb,paralabo/ntes,παραλαμβάνω,verb,a)\n,ἄν,particle,au)to\n,αὐτός,pronoun,a)/gein,ἄγω,verb,a)cioi/hmen,ἀξιόω,verb,e)p',ἐπί,preposition,au)to\,αὐτός,pronoun,kai\,καί,conjunction,deiknu/oimen,δείκνυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=|,ὁ,article,de\,δέ,particle,ou)de\,οὐδέ,particle,tou=to,οὗτος,pronoun,a)poxrh/sei,ἀπόχρησις,noun,geusa/menos,γεύω,verb,de\,δέ,particle,kai\,καί,conjunction,peiraqei\s,πειράω,verb,tou=,ὁ,article,par',παρά,preposition,*(omh/rw|,Ὅμηρος,proper,lwtou=,λωτός,adjective,gegeu=sqai,γεύω,verb,do/cei,δοκέω,verb,me/nein,μένω,verb,e)qe/lwn,ἐθέλω,verb,kai\,καί,conjunction,xalepw=s,χαλεπός,adjective,a)ciw=n,ἀξιάω,verb,a)poxwrei=n,ἀποχωρέω,verb,a)p',ἀπό,preposition,au)tou=,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,ou),οὐ,adverb,me\n,μέν,particle,dh\,δή,particle,xrh\,χρή,verb,to\,ὁ,article,tw=n,ὁ,article,diyw/ntwn,διψάω,verb,fasi\,φημί,verb,pi/nein,πίνω,verb,siwph=|,σιωπή,noun,a)ll',ἀλλά,adverb,e)pikosmh=sai/,ἐπικοσμέω,verb,ti,τις,pronoun,kai\,καί,conjunction,lo/gw|,λόγος,noun,kai\,καί,conjunction,proseipei=n,προσεῖπον,verb,to/n,ὁ,article,te,τε,particle,swth=ra,σωτήρ,noun,qeo\n,θεός,noun,ou(=,ἕ,pronoun,kai\,καί,conjunction,to/d',ὅδε,pronoun,e)sti\n,εἰμί,verb,e)/rgon,ἔργον,noun,te,τε,particle,kai\,καί,conjunction,poi/hma,ποίημα,noun,kai\,καί,conjunction,ta\s,ὁ,article,e)xou/sas,ἔχω,verb,au)to\,αὐτός,pronoun,*nu/mfas,Νύμφης,proper,kai\,καί,conjunction,sunergazome/nas,συνεργάζομαι,verb,kai\,καί,conjunction,h(mi=n,ἐγώ,pronoun,xrh=sqai,χράομαι,verb,th=|,ὁ,article,xa/riti,χάρις,noun,tou=,ὁ,article,qeou=,θεός,noun,xarizome/nas,χαρίζομαι,verb,te,τε,particle,kai\,καί,conjunction,sunuphretou/sas,συνυπηρετέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/s,τίς,pronoun,ou)=n,οὖν,particle,dh\,δή,particle,ge/noit',γίγνομαι,verb,a)\n,ἄν,particle,a)rxh\,ἀρχή,noun,h)\,ἠέ,conjunction,w(/sper,ὥσπερ,adverb,h(ni/k',ἡνίκα,adverb,a)\n,ἄν,particle,a)p',ἀπό,preposition,au)tou=,αὐτός,pronoun,pi/nwmen,πίνω,verb,prosqe/ntes,προστίθημι,verb,toi=s,ὁ,article,xei/lesi,χεῖλος,noun,th\n,ὁ,article,ku/lika,κύλιξ,noun,ou)ke/ti,οὐκέτι,adverb,a)fi/stamen,ἀφίστημι,verb,a)ll',ἀλλά,adverb,a)qro/on,ἀθρόος,adjective,ei)sexea/meqa,εἰσχέω,verb,ou(/tw,οὕτως,adverb,kai\,καί,conjunction,o(,ὁ,article,lo/gos,λόγος,noun,a)qro/a,ἀθρόος,adjective,pa/nq',πᾶς,adjective,e(/cei,ἔχω,verb,lego/mena,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/stw,εἰμί,verb,de\,δέ,particle,a)nti\,ἀντί,preposition,th=s,ὁ,article,tw=|,ὁ,article,xei/lei,χεῖλος,noun,prosagwgh=s,προσαγωγεύς,noun,e)kei=no,ἐκεῖνος,pronoun,h(mi=n,ἐγώ,pronoun,o(/ti,ὅστις,pronoun,e)n,ἐν,preposition,tw=|,ὁ,article,kalli/stw|,καλός,noun,th=s,ὁ,article,pa/shs,πᾶς,adjective,oi)koume/nhs,οἰκουμένη,noun,e)sti/n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\,ὅς,pronoun,ga\r,γάρ,particle,e)c,ἐκ,preposition,a(pa/ntwn,ἅπας,adjective,xwri/wn,χωρίον,noun,ei(/leto,αἱρέω,verb,o(,ὁ,article,qeo\s,θεός,noun,w(s,ὡς,conjunction,u(gieino/taton,ὑγιεινός,adjective,kai\,καί,conjunction,kaqarw/taton,καθαρός,adjective,kai\,καί,conjunction,o(\,ὅς,pronoun,tai=s,ὁ,article,eu)ergesi/ais,εὐεργεσία,noun,tai=s,ὁ,article,par',παρά,preposition,au(tou=,ἑαυτοῦ,pronoun,pepoi/hken,ποιέω,verb,a(pa/ntwn,ἅπας,adjective,e)kfane/staton,ἐκφανής,adverb,h)=,ἦ,adverb,pou,πού,adverb,sfo/dra,σφόδρα,adverb,tou=to,οὗτος,pronoun,ka/llisto/n,καλός,noun,e)sti,εἰμί,verb,tw=n,ὁ,article,e)n,ἐν,preposition,gh=|,γῆ,noun,pa/ntwn,πᾶς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
