word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS
e)moi\,ἐγώ,pronoun,de\,δέ,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*(/ellhnes,Ἕλλην,proper,sune/bh,συμβαίνω,verb,tauto\n,o(/per,ὅσπερ,adjective,toi=s,ὁ,article,e)n,ἐν,preposition,tai=s,ὁ,article,tragw|di/ais,τραγῳδία,noun,me/xri,μέχρι,preposition,pollou=,πολύς,adjective,siwpw=sin,σιωπάω,verb,e)/peita,ἔπειτα,adverb,kairou=,καιρός,noun,parasxo/ntos,παρέχω,verb,fqegcame/nois,φθέγγομαι,verb,h)\,ἠέ,conjunction,pro\s,πρός,preposition,xoro\n,χορός,noun,h)\,ἠέ,conjunction,pro\s,πρός,preposition,o(ntinadh/pote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa/nta,πᾶς,adjective,ga\r,γάρ,particle,to\n,ὁ,article,a)/nw,ἄνω,adverb,xro/non,χρόνος,noun,katasxw\n,κατέχω,verb,e)mauto\n,e)c,ἐκ,preposition,ou(=,ἕ,pronoun,tau=q',οὗτος,pronoun,a(\,ὅς,pronoun,su/niste,σύνοιδα,verb,e)ge/neto,γίγνομαι,verb,kai\,καί,conjunction,ou)/te,οὔτε,adverb,pro\s,πρός,preposition,paramuqi/an,παραμυθία,noun,tw=n,ὁ,article,politw=n,πολίτης,noun,o(rmh/sas,ὁρμάω,verb,ou)/t',οὔτε,adverb,a)/llo,ἄλλος,adjective,pra/cas,πράσσω,verb,ou)de\n,οὐδείς,pronoun,a)ll',ἐμαυτοῦ,pronoun,ἀλλά,adverb,h)\,ἠέ,conjunction,toi=s,ὁ,article,prosta/tais,προστάτης,noun,o(/sa,ὅσος,adjective,kairo\s,καιρός,noun,h)=n,εἰμί,verb,e)pistei/las,ἐπιστέλλω,verb,kai\,καί,conjunction,ta)kei=qen,ἐκεῖθεν,adverb,a)poskopw=n,ἀποσκοπέω,verb,e)peidh\,ἐπεί,conjunction,kalw=s,καλός,noun,poiou=ntes,ποιέω,verb,oi(,ὁ,article,qeoi\,θεός,noun,kai\,καί,conjunction,oi(,ὁ,article,qew=n,θέα,noun,gnw/mh|,γνώμη,noun,basilei=s,βασιλεύς,noun,h(mi=n,ἐγώ,pronoun,au)toi/,αὐτός,pronoun,te,τε,particle,kubernw/menoi,κυβερνάω,verb,kai\,καί,conjunction,ta\,ὁ,article,tw=n,ὁ,article,a)nqrw/pwn,ἄνθρωπος,noun,a)/gontes,ἄγω,verb,pra/gmata,πρᾶγμα,noun,th\n,ὁ,article,a)llotri/an,ἀλλότριος,adjective,th=s,ὁ,article,po/lews,πόλις,adjective,a)pwsa/menoi,ἀπωθέω,verb,tu/xhn,τύχη,noun,th\n,ὁ,article,xrhsth\n,χρηστός,adjective,kai\,καί,conjunction,pa/lai,πάλαι,adverb,prosh/kousan,προσακούω,verb,a)nteish/gagon,ἀντεισάγω,verb,oi)=mai/,οἴομαι,verb,ti,τις,pronoun,ka)\n,κἀν,conjunction,au)to\s,αὐτός,pronoun,e)n,ἐν,preposition,kairw=|,καιρός,noun,tuxei=n,τυγχάνω,verb,ei)pw/n,εἶπον,verb
ei),εἰ,conjunction,me\n,μέν,particle,ou)=n,οὖν,particle,e)ch=n,ἔξεστι,verb,e)moi\,ἐγώ,pronoun,kinei=sqai,κινέω,verb,o(/poi,bou/lomai,βούλομαι,verb,parw\n,πάρειμι,verb,a)\n,ἄν,particle,u(mi=n,σύ,pronoun,dielego/mhn,διαλέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὅποι,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kate/xontos,κατέχω,verb,de\,δέ,particle,tou=,ὁ,article,swth=ros,σωτήρ,noun,h(,ὁ,article,dia\,διά,preposition,tw=n,gramma/twn,γράμμα,noun,o(mili/a,ὁμιλία,noun,katelei/peto,καταλιμπάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tou=t',οὗτος,pronoun,ei),εἰ,conjunction,me/n,μέν,particle,e)stin,εἰμί,verb,ei)s,εἰς,preposition,para/deigma,a)nenegkei=n,ἀναφέρω,verb,ou),οὐ,adverb,xrh\,χρή,verb,qauma/sai,θαυμάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,παράδειγμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,d',δέ,particle,a)/llw|,ἄλλος,adjective,me\n,μέν,particle,ou)deni/,οὐδείς,pronoun,pw,πω,particle,me/xri,tou/tou,οὗτος,pronoun,pe/praktai,πράσσω,verb,prosh/kei,προσήκω,verb,de\,δέ,particle,h(mi=n,ἐγώ,pronoun,ou)k,οὐ,adverb,o)rqw=s,ὀρθός,adjective,e)/xei,ἔχω,verb,nemesh=sai,νεμεσάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,μέχρι,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(ni/ka,ἡνίκα,adverb,me\n,μέν,particle,ou)=n,οὖν,particle,ta\,ὁ,article,sumba/nta,συμβαίνω,verb,e)puqo/mhn,πύθω,verb,ou),ga\r,γάρ,particle,parw/n,πάρειμι,verb,ge,γε,particle,e)/tuxon,τυγχάνω,verb,a)ll',ἀλλά,adverb,e)/fqhn,φθάνω,verb,proecelqw\n,προεξέρχομαι,verb,o(/tou,ὅστις,pronoun,de\,δέ,particle,gnw/mh|,γνώμη,noun,logi/zesqe,λογίζομαι,verb,monw|di/as,μονῳδία,noun,tina\s,τις,pronoun,h)=|don,ἀείδω,verb,e(/ws,ἕως,conjunction,e)/laqon,λανθάνω,verb,lo/gous,λόγος,noun,tina\s,οὐ,adverb,τις,pronoun,swqei\s,σώζω,verb,u(po\,ὑπό,preposition,tou=,ὁ,article,pa/qous,πάθος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)de\,οὐδέ,particle,ga\r,γάρ,particle,h)=n,εἰμί,verb,a)/llws,ἄλλως,adverb,a)ntarke/sai,ἀνταρκέω,verb,mh\,μή,conjunction,tou/tois,e)fe/nta,ἐφίημι,verb,e(auto/n,ἑαυτοῦ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,d',δέ,particle,w(/ra,ὥρα,adjective,moi,ἐγώ,pronoun,to\n,ὁ,article,*sthsi/xoron,Στησίχορος,proper,mimh/sasqai,th=|,ὁ,article,palinw|di/a|,παλινῳδία,noun,kai\,καί,conjunction,mh\,μή,conjunction,to/te,τότε,adverb,a)bou/lhta,ἀβούλητος,adjective,a(|donta,,,ta)k,ἐκ,preposition,tw=n,ὁ,article,eu)xw=n,εὖχος,noun,nuni\,νυνί,adverb,siwph=sai,σιωπάω,verb,,,,,,,,,,,,,,,,,μιμέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tosou=ton,τοσοῦτος,adjective,de\,δέ,particle,tou=,ὁ,article,*sthsixo/rou,Στησίχορος,proper,dioi/sein,διαφέρω,verb,moi,ἐγώ,pronoun,dokw=,o(,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,a)nq',ἀντί,preposition,w(=n,ὅς,pronoun,kakw=s,κακός,adjective,ei)=pe,εἶπον,verb,th\n,ὁ,article,*(ele/nhn,Ἑλένη,proper,a)nti\,ἀντί,preposition,tou/twn,οὗτος,pronoun,u(/mnhse,ὑμνέω,verb,ta\,ὁ,article,deu/tera,δεύτερος,adjective,e)gw\,ἐγώ,pronoun,de\,δέ,particle,a(\,ὅς,pronoun,thnikau=ta,δοκάζω,verb,τηνικαῦτα,adverb,e)ko/smoun,κοσμέω,verb,o)duro/menos,ὀδύρομαι,verb,tau=ta,οὗτος,pronoun,nu=n,νῦν,adverb,e)pi\,ἐπί,preposition,tou=,ὁ,article,geghqe/nai,γηθέω,verb,kosmh/sw,κοσμέω,verb,kaqara\n,καθαρός,adjective,o)durmou=,ὀδυρμός,noun,th\n,ὁ,article,eu)fhmi/an,εὐφημία,noun,parexo/menos,παρέχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
