word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS
dokw=,δοκάζω,verb,moi,ἐγώ,pronoun,kata\,κατά,preposition,th\n,ὁ,article,*(ele/nhn,Ἑλένη,proper,th\n,ὁ,article,*(omh/rou,Ὅμηρος,proper,to\n,ὁ,article,lo/gon,λόγος,noun,poih/sesqai,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,e)kei/nh,ἐκεῖνος,pronoun,pa/ntas,πᾶς,adjective,me\n,μέν,particle,ou)k,οὐ,adverb,a)/n,ἄν,particle,fhsin,φημί,verb,ei)pei=n,εἶπον,verb,o(/ssoi,ὅσος,adjective,*)odussh=os,Ὀδυσσεύς,proper,talasi/frono/s,ταλασίφρων,noun,ei)sin,εἰμί,verb,a)/eqloi,ἆθλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pra=cin,πρᾶξις,adjective,de/,δέ,particle,tina,τις,pronoun,au)tou=,αὐτός,pronoun,mi/an,εἷς,adjective,a)polabou=sa,ἀπολαμβάνω,verb,oi)=mai,οἴομαι,verb,dihgei=tai,διηγέομαι,verb,pro\s,πρός,preposition,to\n,ὁ,article,*thle/maxon,Τηλέμαχος,proper,kai\,καί,conjunction,*mene/lewn,Μενέλαος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka)gw\,ἐγώ,pronoun,pa/nta,πᾶς,adjective,me\n,μέν,particle,ou)k,οὐ,adverb,a)\n,ἄν,particle,ei)/poimi,εἶπον,verb,ta\,ὁ,article,tou=,ὁ,article,swth=ros,σωτήρ,noun,a)gwni/smata,ἀγώνισμα,noun,o(/swn,ὅσος,adjective,a)pe/lausa,ἀπολαύω,verb,ei)s,εἰς,preposition,th/nde,ὅδε,pronoun,th\n,ὁ,article,h(me/ran,ἡμέρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ou)ke/t',οὐκέτι,adverb,e)ntau=qa,ἐνταῦθα,adverb,to\,ὁ,article,tou=,ὁ,article,*(omh/rou,Ὅμηρος,proper,prosqh/sw,προσθέω,verb,ou)d',οὐδέ,particle,ei)/,εἰ,conjunction,moi,ἐγώ,pronoun,de/ka,δέκα,verb,me\n,μέν,particle,glw=ssai,γλῶσσα,noun,de/ka,δέκα,verb,de\,δέ,particle,sto/mat',στόμα,noun,ei)=en,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mikro\n,μικρός,adjective,ga\r,γάρ,particle,tou=to/,οὗτος,pronoun,ge,γε,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,ou)d',οὐδέ,particle,a)\n,ἄν,particle,ei),εἰ,conjunction,pa=san,πᾶς,adjective,u(perbaloi/mhn,ὑπερβάλλω,verb,th\n,ὁ,article,e)n,ἐν,preposition,a)nqrw/pois,ἄνθρωπος,noun,du/nami/n,δύναμις,adjective,te,τε,particle,kai\,καί,conjunction,fwnh\n,φωνή,noun,kai\,καί,conjunction,gnw/mhn,γνώμη,noun,ou)k,οὐ,adverb,a)/n,ἄν,particle,pote,ποτέ,particle,ou)d',οὐδέ,particle,e)ggu\s,ἐγγύς,adverb,au)tw=n,αὐτός,pronoun,a)fikoi/mhn,ἀφικνέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,kai\,καί,conjunction,o(/soi,ὅσος,adjective,pw/pote,πώποτε,adverb,tw=n,ὁ,article,fi/lwn,φίλος,adjective,e)deh/qhsan,δέω,verb,h)\,ἠέ,conjunction,prou)/treyan,προτρέπω,verb,ei)pei=n,εἶπον,verb,kai\,καί,conjunction,suggra/yai,συγγράφω,verb,peri\,περί,preposition,au)tw=n,αὐτός,pronoun,ou)deni\,οὐδείς,pronoun,pw/pote,πώποτε,adverb,e)pei/sqhn,ἐφέζομαι,verb,feu/gwn,φεύγω,verb,to\,ὁ,article,a)du/naton,ἀδύνατος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)do/kei,δοκέω,verb,ga/r,γάρ,particle,moi,ἐγώ,pronoun,paraplh/sion,παραπλήσιος,adjective,ei)=nai,εἰμί,verb,w(/sper,ὥσπερ,adverb,a)\n,ἄν,particle,ei),εἰ,conjunction,dia\,διά,preposition,panto\s,πᾶς,adjective,tou=,ὁ,article,pela/gous,πέλαγος,noun,u(/falos,ὕφαλος,adjective,diecelqw\n,διεξέρχομαι,verb,ei)=t',εἶτα,adverb,h)nagkazo/mhn,ἀναγκάζω,verb,a)podido/nai,ἀποδίδωμι,verb,lo/gon,λόγος,noun,po/sois,πόσος,adjective,tisi\,τις,pronoun,toi=s,ὁ,article,pa=si,πᾶς,adjective,r(oqi/ois,ῥόθιος,adjective,e)ne/tuxon,ἐντυγχάνω,verb,kai\,καί,conjunction,poi/as,ποῖος,adjective,tino\s,τις,pronoun,th=s,ὁ,article,qala/tths,θάλασσα,noun,par',παρά,preposition,e(/kaston,ἕκαστος,adjective,au)tw=n,αὐτός,pronoun,e)peirw/mhn,πειράω,verb,kai\,καί,conjunction,ti/,τίς,pronoun,to\,ὁ,article,sw=zon,σώζω,verb,h)=n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(ka/sth,ἕκαστος,adjective,ga\r,γάρ,particle,tw=n,ὁ,article,h(mete/rwn,ἡμέτερος,adjective,h(merw=n,ἡμέρα,noun,w(sau/tws,ὡσαύτως,adverb,de\,δέ,particle,nuktw=n,νύξ,adjective,e)/xei,ἔχω,verb,suggrafh\n,συγγραφή,noun,ei)/,εἰ,conjunction,tis,τις,pronoun,parw\n,πάρειμι,verb,h)\,ἠέ,conjunction,ta\,ὁ,article,sumpi/ptonta,συμπίτνω,verb,a)pogra/fein,ἀπογράφω,verb,e)bou/leto,βούλομαι,verb,h)\,ἠέ,conjunction,th\n,ὁ,article,tou=,ὁ,article,qeou=,θεός,noun,pro/noian,πρόνοια,noun,dihgei=sqai,διηγέομαι,verb,w(=n,ὅς,pronoun,ta\,ὁ,article,me\n,μέν,particle,e)k,ἐκ,preposition,tou=,ὁ,article,fanerou=,φανερός,adjective,parw\n,πάρειμι,verb,ta\,ὁ,article,de\,δέ,particle,th=|,ὁ,article,pomph=|,πομπεύς,noun,tw=n,ὁ,article,e)nupni/wn,ἐνύπνιος,adjective,e)nedei/knuto,ἐνδείκνυμι,verb,o(/sa,ὅσος,adjective,ge,γε,particle,dh\,δή,particle,kai\,καί,conjunction,u(/pnou,ὕπνον,noun,laxei=n,λαγχάνω,verb,e)ch=n,ἔξεστι,verb,,,,,,,,,,,,,,,,,,
