word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/122/lemma/@_entry,word/122/lemma/@_POS,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS,word/124/@_form,word/124/lemma/@_entry,word/124/lemma/@_POS,word/125/@_form,word/125/lemma/@_entry,word/125/lemma/@_POS,word/126/@_form,word/126/lemma/@_entry,word/126/lemma/@_POS,word/127/@_form,word/127/lemma/@_entry,word/127/lemma/@_POS,word/128/@_form,word/128/lemma/@_entry,word/128/lemma/@_POS,word/129/@_form,word/129/lemma/@_entry,word/129/lemma/@_POS,word/130/@_form,word/130/lemma/@_entry,word/130/lemma/@_POS,word/131/@_form,word/131/lemma/@_entry,word/131/lemma/@_POS,word/132/@_form,word/132/lemma/@_entry,word/132/lemma/@_POS,word/133/@_form,word/133/lemma/@_entry,word/133/lemma/@_POS,word/134/@_form,word/134/lemma/@_entry,word/134/lemma/@_POS,word/135/@_form,word/135/lemma/@_entry,word/135/lemma/@_POS,word/136/@_form,word/136/lemma/@_entry,word/136/lemma/@_POS,word/137/@_form,word/137/lemma/@_entry,word/137/lemma/@_POS
oi)=mai,οἴομαι,verb,me\n,μέν,particle,w)=,ὦ,interjection,*)aqhnai=oi,Ἀθηναῖος,proper,mh\,μή,conjunction,th/meron,σήμερον,adverb,prw=ton,πρότερος,adjective,peri\,περί,preposition,th=s,ὁ,article,*qhbai/wn,Θηβαῖος,proper,summaxi/as,συμμαχία,noun,u(ma=s,σύ,pronoun,bouleu/esqai,βουλεύω,verb,mhd',μηδέ,particle,e)c,ἐκ,preposition,w(=n,ὅς,pronoun,a)\n,ἄν,particle,h(mei=s,ἐγώ,pronoun,ei)/pwmen,εἶπον,verb,a)ll',ἀλλά,adverb,ei)/,εἰ,conjunction,ti,τις,pronoun,ka)gw\,ἐγώ,pronoun,me/mnhmai,μιμνήσκω,verb,polloi=s,πολύς,adjective,pro/teron,πρότερος,adjective,xro/nois,χρόνος,noun,th=s,ὁ,article,nuni\,νυνί,adverb,presbei/as,πρέσβεια,noun,u(pa/rxein,ὑπάρχω,verb,e)skemme/nous,σκέπτομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pei\,ἐπεί,conjunction,d',δέ,particle,eu)porh/kasin,εὐπορέω,verb,o(/mws,ὅμως,conjunction,*lakedaimo/nioi,Λακεδαιμόνιος,proper,u(pe\r,ὑπέρ,preposition,au)tw=n,αὐτός,pronoun,e)rou/ntwn,ἐρέω,verb,eu)prepw=s,εὐπρεπής,adverb,fe/re,φέρω,verb,ka)gw\,ἐγώ,pronoun,tou/tois,οὗτος,pronoun,a(\,ὅς,pronoun,su/noida,σύνοιδα,verb,sunei/pw,συνεῖπον,verb,tosou=ton,τοσοῦτος,adjective,e)la/ttw,ἐλάσσων,adjective,th\n,ὁ,article,u(pe\r,ὑπέρ,preposition,tou/twn,οὗτος,pronoun,spoudh\n,σπουδή,noun,poihsa/menos,ποιέω,verb,th=s,ὁ,article,tw=n,ὁ,article,e(te/rwn,ἕτερος,adjective,peri\,περί,preposition,ou(\s,ὅς,pronoun,h(/|rhntai,αἱρέω,verb,o(/sw|per,ὅσος,adjective,plei/w,πλέως,adjective,th\n,ὁ,article,u(pe\r,ὑπέρ,preposition,u(mw=n,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)namnh=sai,ἀναμιμνήσκω,verb,d',δέ,particle,u(ma=s,σύ,pronoun,prw=ton,πρότερος,adjective,bou/lomai,βούλομαι,verb,o(/te,ὅτε,conjunction,*foibi/das,Φοιβίδης,proper,h)gge/lqh,ἀγγέλλω,verb,th\n,ὁ,article,*kadmei/an,Καδμεῖος,proper,kateilhfw\s,καταλαμβάνω,verb,o(,ὁ,article,de\,δέ,particle,*foibi/das,Φοιβίδης,proper,e)sti/,εἰμί,verb,moi,ἐγώ,pronoun,*lakedaimo/nioi,Λακεδαιμόνιος,proper,pw=s,πῶς,adverb,w)=,ὦ,interjection,*)aqhnai=oi,Ἀθηναῖος,proper,diete/qhte,διατίθημι,verb,kai\,καί,conjunction,ti/na,τίς,pronoun,gnw/mhn,γνώμη,noun,e)/sxete,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)=r',ἆρα,particle,h(\n,ὅς,pronoun,nu=n,νῦν,adverb,keleu/ousi/,κελεύω,verb,tines,τις,pronoun,u(ma=s,σύ,pronoun,labei=n,λαμβάνω,verb,th\n,ὁ,article,tou=,ὁ,article,koinwnei=n,κοινωνέω,verb,*lakedaimoni/ois,Λακεδαιμόνιος,proper,kai\,καί,conjunction,mete/xein,μετέχω,verb,toiau/ths,τοιοῦτος,adjective,a)gnwmosu/nhs,ἀγνωμοσύνη,noun,kai\,καί,conjunction,pleoneci/as,πλεονεξία,noun,h)\,ἠέ,conjunction,polu\,πολύς,adjective,tou)nanti/on,ἐναντίον,adverb,ka)kei/nous,ἐκεῖνος,pronoun,ponhrota/tous,πονηρός,adjective,a)nqrw/pwn,ἄνθρωπος,noun,e)kri/nete,κρίνω,verb,kai\,καί,conjunction,toi=s,ὁ,article,*qhbai/ois,Θηβαῖος,proper,sunh/sqesqe,συνέσθω,verb,kai\,καί,conjunction,sunhlgei=te,συναλγέω,verb,kai\,καί,conjunction,di/khn,δίκη,adjective,labei=n,λαμβάνω,verb,e)ggene/sqai,ἐγγίγνομαι,verb,suneu/xesqe,συνεύχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,toi/nun,τοίνυν,particle,o(,ὁ,article,kairo\s,καιρός,noun,ou(=tos,οὗτος,pronoun,a)fi=ktai,ἀφικνέομαι,verb,a)/cios,ἄξιος,adjective,me\n,μέν,particle,th=s,ὁ,article,u(mete/ras,ὑμέτερος,adjective,w)=,ὦ,interjection,*)aqhnai=oi,Ἀθηναῖος,proper,dikai/as,δίκαιος,adjective,gnw/mhs,γνώμη,noun,a)/cios,ἄξιος,adjective,de\,δέ,particle,th=s,ὁ,article,*qhbai/wn,Θηβαῖος,proper,spoudh=s,σπουδή,noun,h(\n,ὅς,pronoun,e)/sxon,ἔχω,verb,e)leuqerw=sai,ἐλευθερόω,verb,th\n,ὁ,article,patri/da,πατρίς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,me\n,μέν,particle,ou)=n,οὖν,particle,ou(/tws,οὕτως,adverb,a)to/pws,ἄτοπος,adjective,e)/xete,ἔχω,verb,w(/st',ὥστε,conjunction,eu)/xesqai,εὔχομαι,verb,me\n,μέν,particle,tau=ta,οὗτος,pronoun,paro/nta,πάρειμι,verb,d',δέ,particle,o(rw=ntes,ὁράω,verb,prodou=nai,προδίδωμι,verb,kai\,καί,conjunction,katalipei=n,καταλιμπάνω,verb,ou)k,οὐ,adverb,*)aqhnai/wn,Ἀθήναια,proper,e)/rgon,ἔργον,noun,a)ll',ἀλλά,adverb,ou)k,οὐ,adverb,oi)=d',οἶδα,verb,o(/twn,ὅστις,pronoun,ei)/pw,εἶπον,verb,pepo/nqate,πάσχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)de/na,οὐδείς,pronoun,ga\r,γάρ,particle,tw=n,ὁ,article,pa/ntwn,πᾶς,adjective,nomi/zw,νομίζω,verb,tosau/ths,τοσοῦτος,adjective,e)mplhci/as,ἐμπληξία,noun,kai\,καί,conjunction,a)logi/as,ἀλογία,noun,mesto\n,μεστός,adjective,ei)=nai,εἰμί,verb,o(/ntina,ὅστις,pronoun,w(=n,ὅς,pronoun,eu)/cato,εὔχομαι,verb,au(tw=|,ἑαυτοῦ,pronoun,paro/ntwn,πάρειμι,verb,ta)nanti/a,ἐναντίος,adjective,poiei=n,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,de\,δέ,particle,tou=to,οὗτος,pronoun,me\n,μέν,particle,ou)d',οὐδέ,particle,a)\n,ἄν,particle,manei\s,μαίνομαι,verb,ou)dei\s,οὐδείς,pronoun,pa/qoi,πάσχω,verb,ou)de\,οὐδέ,particle,lupoi=to,λυπέω,verb,o(/ti,ὅστις,pronoun,au)tw=|,αὐτός,pronoun,ti,τις,pronoun,kata\,κατά,preposition,gnw/mhn,γνώμη,noun,e)ce/bh,ἐκβαίνω,verb,xa/rin,χάρις,noun,d',δέ,particle,a)\n,ἄν,particle,e)/xoi,ἔχω,verb,dh/,δή,particle,pou,πού,adverb,th=|,ὁ,article,tu/xh|,τύχη,noun,kai\,καί,conjunction,tw=|,ὁ,article,kairw=|,καιρός,noun,ti/,τίς,pronoun,loipo\n,λοιπός,adjective,h)\,ἠέ,conjunction,meta\,μετά,preposition,tw=n,ὁ,article,a(/per,ὅς,pronoun,h)bou/lesqe,βούλομαι,verb,katwrqwko/twn,κατορθόω,verb,ei)=nai,εἰμί,verb,kai\,καί,conjunction,tau=ta,οὗτος,pronoun,kalou/ntwn,καλέω,verb,u(ma=s,σύ,pronoun,kai\,καί,conjunction,th\n,ὁ,article,e)pi\,ἐπί,preposition,toi=s,ὁ,article,pepragme/nois,πράσσω,verb,filotimi/an,φιλοτιμία,noun,u(mi=n,σύ,pronoun,prostiqe/ntwn,προστίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ἕ,pronoun,ga\r,γάρ,particle,ei),εἰ,conjunction,mh\,μή,conjunction,bohqh/seq',βοάω,verb,u(mei=s,σύ,pronoun,ou)de\n,οὐδείς,pronoun,w(=n,ὅς,pronoun,katwrqw/kasin,κατορθόω,verb,ei)=nai,εἰμί,verb,ple/on,πλέος,adjective,au(toi=s,ἑαυτοῦ,pronoun,kri/nontes,κρίνω,verb,di',διά,preposition,w(=n,ὅς,pronoun,peri\,περί,preposition,tou=,ὁ,article,me/llontos,μέλλω,verb,de/ontai,δέομαι,verb,dia\,διά,preposition,tou/twn,οὗτος,pronoun,th\n,ὁ,article,e)f',ἐπί,preposition,oi(=s,ὅς,pronoun,kekrath/kasi,κρατέω,verb,do/can,δόξα,noun,e)f',ἐπί,preposition,u(ma=s,σύ,pronoun,a)/gousin,ἄγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,de\,δέ,particle,ma/lista,μάλιστα,adverb,me\n,μέν,particle,h)boulo/mhn,βούλομαι,verb,a)\n,ἄν,particle,u(ma=s,σύ,pronoun,kai\,καί,conjunction,th=s,ὁ,article,ma/xhs,μάχη,noun,au)th=s,αὐτός,pronoun,metesxhke/nai,μετέχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
