word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS
oi(,ἕ,pronoun,me\n,μέν,particle,polloi\,πολύς,adjective,tw=n,ὁ,article,peri\,περί,preposition,tou\s,ὁ,article,lo/gous,λόγος,noun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*(/ellhnes,Ἕλλην,proper,ei)w/qasin,ἔθω,verb,h)\,ἠέ,conjunction,ta\s,ὁ,article,e)pi\,ἐπί,preposition,tw=n,ὁ,article,plasma/twn,πλάσμα,noun,diatriba\s,διατριβή,noun,proelo/menoi,προαιρέω,verb,to\n,ὁ,article,a(/panta,ἅπας,adjective,xro/non,χρόνος,noun,meleta=n,μελέτη,noun,le/gein,λέγω,verb,tou=,ὁ,article,le/gein,λέγω,verb,d',δέ,particle,a)polei/pesqai,ἀπολείπω,verb,tosou=ton,τοσοῦτος,adjective,o(/sonper,ὅσος,adjective,a)\n,ἄν,particle,ei),εἰ,conjunction,mhde\n,μηδείς,pronoun,tw=n,ὁ,article,ei)s,εἰς,preposition,tou=to,οὗτος,pronoun,fero/ntwn,φέρω,verb,e)/pratton,πράσσω,verb,h)\,ἠέ,conjunction,tou/twn,οὗτος,pronoun,u(perfronh/santes,ὑπερφρονέω,verb,au)toi\,αὐτός,pronoun,mhde\n,μηδείς,pronoun,spoudaiote/rw|,σπουδαῖος,adjective,tou/twn,οὗτος,pronoun,sxola/zein,σχολάζω,verb,pra/gmati,πρᾶγμα,noun,tw=|,ὁ,article,peri\,περί,preposition,th\n,ὁ,article,e)/rin,ἔρις,noun,kai\,καί,conjunction,tw=|,ὁ,article,tara/ttein,ταράσσω,verb,tou\s,ὁ,article,ei)s,εἰς,preposition,lo/gon,λόγος,noun,au)toi=s,αὐτός,pronoun,a)fiknoume/nous,ἀφικνέομαι,verb,e)c,ἐκ,preposition,w(=n,ὅς,pronoun,lupou=si,λυπέω,verb,me\n,μέν,particle,tou\s,ὁ,article,e)ntugxa/nontas,ἐντυγχάνω,verb,belti/ous,βελτίων,adverb,de\,δέ,particle,ou)/t',οὔτε,adverb,au)toi\,αὐτός,pronoun,fai/nontai,φαίνω,verb,dh/pouqen,δήπουθεν,particle,ou)/t',οὔτε,adverb,e)kei/nous,ἐκεῖνος,pronoun,poiei=n,ποιέω,verb,e)/xousin,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)/dh,ἤδη,adverb,de/,δέ,particle,tis,τις,pronoun,tw=n,ὁ,article,e)llogi/mwn,ἐλλόγιμος,adjective,kai\,καί,conjunction,tw=n,ὁ,article,palaiw=n,παλαιός,adjective,sofistw=n,σοφιστής,noun,e)semnu/nato,σεμνύνω,verb,e)p',ἐπί,preposition,a)rxh=|,ἀρχή,noun,tou=,ὁ,article,suggra/mmatos,σύγγραμμα,noun,w(s,ὡς,conjunction,au)to/s,αὐτός,pronoun,ge,γε,particle,toiou=ton,τοιοῦτος,adjective,ou)de\n,οὐδείς,pronoun,poih/swn,ποιέω,verb,ou)de\,οὐδέ,particle,komyeuso/menos,κομψεύω,verb,a)ll',ἀλλά,adverb,u(pe\r,ὑπέρ,preposition,duoi=n,δύο,adjective,tou/toin,οὗτος,pronoun,dialeco/menos,διαλέγω,verb,th=s,ὁ,article,te,τε,particle,pro\s,πρός,preposition,a)llh/lous,ἀλλήλων,pronoun,o(monoi/as,ὁμόνοια,noun,kai\,καί,conjunction,tou=,ὁ,article,pole/mou,πόλεμος,noun,tou=,ὁ,article,pro\s,πρός,preposition,tou\s,ὁ,article,barba/rous,βάρβαρος,adjective,kai\,καί,conjunction,ma/la,μάλα,adverb,gennai/an,γενναῖος,adjective,w(/s,ὅς,pronoun,g',γε,particle,e)moi\,ἐγώ,pronoun,krith=|,κριτής,noun,kai\,καί,conjunction,prosh/kousan,προσακούω,verb,tw=n,ὁ,article,lo/gwn,λόγος,noun,e)nsthsa/menos,ἐνίστημι,verb,th\n,ὁ,article,u(po/qesin,ὑπόθεσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,d',δέ,particle,u(pe\r,ὑπέρ,preposition,me\n,μέν,particle,tou=,ὁ,article,pole/mou,πόλεμος,noun,tou=,ὁ,article,pro\s,πρός,preposition,tou\s,ὁ,article,barba/rous,βάρβαρος,adjective,ou)ke/q',οὐκέτι,adverb,o(rw=,ὁράω,verb,kairo\n,καιρός,noun,le/gein,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)qro/an,ἀθρόος,adjective,ga\r,γάρ,particle,a(pa/ntwn,ἅπας,adjective,dedwko/twn,δίδωμι,verb,di/khn,δίκη,adjective,toi=s,ὁ,article,te,τε,particle,qeoi=s,θεός,noun,kai\,καί,conjunction,toi=s,ὁ,article,h(gemo/si,ἡγεμών,noun,melh/sein,μέλω,verb,oi)=mai,οἴομαι,verb,kai\,καί,conjunction,su\n,σύν,preposition,au)toi=s,αὐτός,pronoun,ge,γε,particle,ei)pei=n,εἶπον,verb,toi=s,ὁ,article,qeoi=s,θεός,noun,ou),οὐ,adverb,polu\n,πολύς,adjective,to\n,ὁ,article,a)gw=na,ἀγών,noun,nomi/zw,νομίζω,verb,genh/sesqai,γίγνομαι,verb,o(rw=n,ὁράω,verb,th=s,ὁ,article,a(pa/shs,ἅπας,adjective,oi)koume/nhs,οἰκουμένη,noun,kai\,καί,conjunction,th=s,ὁ,article,h)/dh,ἤδη,adverb,bebai/ws,βέβαιος,adjective,e)xome/nhs,ἔχω,verb,mikro\n,μικρός,adjective,me/ros,μέρος,noun,to\,ὁ,article,nu=n,νῦν,adverb,u(p',ὑπό,preposition,a)noi/as,ἄνοια,noun,a)nqesthko\s,ἀνθίστημι,verb,o(\,ὅς,pronoun,de\,δέ,particle,loipo/n,λοιπός,adjective,e)sti,εἰμί,verb,peri\,περί,preposition,th=s,ὁ,article,pro\s,πρός,preposition,a)llh/lous,ἀλλήλων,pronoun,o(monoi/as,ὁμόνοια,noun,ou(/tws,οὕτως,adverb,o(/pws,ὅπως,conjunction,a)\n,ἄν,particle,oi(=o/s,οἷος,adjective,te,τε,particle,w)=,ὦ,interjection,diale/comai,διαλέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nomi/zw,νομίζω,verb,ga\r,γάρ,particle,kai\,καί,conjunction,th=s,ὁ,article,sunexou=s,συνεχής,adverb,tau/ths,οὗτος,pronoun,a)sxoli/as,ἀσχολία,noun,kai\,καί,conjunction,mele/ths,μελέτη,noun,th=s,ὁ,article,peri\,περί,preposition,tou\s,ὁ,article,lo/gous,λόγος,noun,ei)s,εἰς,preposition,ta\,ὁ,article,toiau=ta,τοιοῦτος,adjective,ma/lista,μάλιστα,adverb,tw=n,ὁ,article,a)gwnisma/twn,ἀγώνισμα,noun,a)nh/kein,ἀνέω,verb,th\n,ὁ,article,xrei/an,χρεία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,o(/pws,ὅπως,conjunction,mhde/pot',μηδέποτε,adverb,ei)/poimen,εἶπον,verb,tw=n,ὁ,article,xrhsi/mwn,χρήσιμος,adjective,mhde\n,μηδείς,pronoun,dia\,διά,preposition,tou=t',οὗτος,pronoun,a)ei\,ἀεί,adverb,meletw=men,μελετάω,verb,a)ll',ἀλλά,adverb,o(/stis,ὅστις,pronoun,ta\,ὁ,article,de/onta,δέω,verb,le/gein,λέγω,verb,e)/xei,ἔχω,verb,te,τε,particle,kai\,καί,conjunction,qarrei=,θαρσέω,verb,ou(=to/s,οὗτος,pronoun,e)stin,εἰμί,verb,o(,ὁ,article,kai\,καί,conjunction,th\n,ὁ,article,mele/thn,μελέτη,noun,deiknu\s,δείκνυμι,verb,w(s,ὡς,conjunction,ou)xi\,οὐ,adverb,ma/thn,μάτην,adverb,ou)d',οὐδέ,particle,ei)kh=,εἰκῇ,adverb,pepoi/htai,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)pista/mhn,ἐπίσταμαι,verb,me\n,μέν,particle,ou)=n,οὖν,particle,kai\,καί,conjunction,tou=to,οὗτος,pronoun,w(/sper,ὥσπερ,adverb,e)/reisma,ἔρεισμα,noun,polloi=s,πολύς,adjective,o)\n,εἰμί,verb,kai\,καί,conjunction,katafugh\n,καταφυγή,noun,to\,ὁ,article,tou\s,ὁ,article,paro/ntas,πάρειμι,verb,e)painei=n,ἐπαινέω,verb,a)ei\,ἀεί,adverb,kai\,καί,conjunction,e)n,ἐν,preposition,oi(=s,ὅς,pronoun,a)\n,ἄν,particle,le/gwsi,λέγω,verb,pollou\s,πολύς,adjective,de\,δέ,particle,kai\,καί,conjunction,tw=n,ὁ,article,a)podidrasko/ntwn,ἀποδιδράσκω,verb,e)c,ἐκ,preposition,e(te/rwn,ἕτερος,adjective,po/lewn,πόλις,adjective,kakw=s,κακός,adjective,e)kei/nas,ἐκεῖνος,pronoun,le/gontas,λέγω,verb,pro\s,πρός,preposition,tau/tas,οὗτος,pronoun,e)n,ἐν,preposition,ai(=s,ὅς,pronoun,a)\n,ἄν,particle,ge/nwntai,γίγνομαι,verb,a)/llws,ἄλλως,adverb,te,τε,particle,ka)/n,κἀν,conjunction,tis,τις,pronoun,au)tai=s,αὐτός,pronoun,prou+pa/rxh|,προυπάρχω,verb,pro\s,πρός,preposition,a)llh/las,ἀλλήλων,pronoun,diafora/,διαφορά,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,d',δέ,particle,ou)/t',οὔτε,adverb,e)pai/nous,ἔπαινος,noun,a)ne/dhn,ἀνέδην,adverb,gignome/nous,γίγνομαι,verb,e)/xoim',ἔχω,verb,a)\n,ἄν,particle,e)painei=n,ἐπαινέω,verb,ei),εἰ,conjunction,mh/,μή,conjunction,ti,τις,pronoun,kai\,καί,conjunction,xrei/as,χρεία,noun,prosei/h,πρόσειμι,verb,kai\,καί,conjunction,tou=,ὁ,article,tou\s,ὁ,article,a)kou/santas,ἀκούω,verb,belti/ous,βελτίων,adverb,e)k,ἐκ,preposition,tw=n,ὁ,article,dunatw=n,δυνάτης,noun,a)pelqei=n,ἀπέρχομαι,verb,ou)/q',οὔτε,adverb,o(/sa,ὅσος,adjective,kai\,καί,conjunction,xari/sasqai,χαρίζομαι,verb,dei=,δέομαι,verb,tw=|,ὁ,article,lo/gw|,λόγος,noun,meta\,μετά,preposition,tou=,ὁ,article,dikai/ou,δίκαιος,adjective,th\n,ὁ,article,me\n,μέν,particle,e)n,ἐν,preposition,o)fqalmoi=s,ὀφθαλμός,noun,qerapeu/sw,θεραπεύω,verb,po/lin,πόλις,adjective,ta\s,ὁ,article,d',δέ,particle,e(te/ras,ἕτερος,adjective,fu/goim',φεύγω,verb,a)\n,ἄν,particle,tw=n,ὁ,article,ei)ko/twn,ἔοικα,verb,a)ciw=sai,ἀξιάω,verb,ou)d',οὐδέ,particle,e)n,ἐν,preposition,au)tw=|,αὐτός,pronoun,tou/tw|,οὗτος,pronoun,prw/tw|,πρότερος,adjective,diasth/sw,διίστημι,verb,ta\s,ὁ,article,po/leis,πόλις,adjective,w(/sper,ὥσπερ,adverb,oi(,ὁ,article,polloi/,πολύς,adjective,te,τε,particle,kai\,καί,conjunction,fau=loi,φαῦλος,adjective,a)ll',ἀλλά,adverb,e)paine/somai,ἐπαινέω,verb,pa/sas,πᾶς,adjective,ei)s,εἰς,preposition,o(/son,ὅσος,adjective,ei)ko/s,ἔοικα,verb,e)stin,εἰμί,verb,e(ka/sthn,ἕκαστος,adjective,kai\,καί,conjunction,a)/rcomai/,ἄρχω,verb,ge,γε,particle,tw=nde,ὅδε,pronoun,tw=n,ὁ,article,lo/gwn,λόγος,noun,a)po\,ἀπό,preposition,tou/tou,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(gou=mai,ἡγέομαι,verb,ga\r,γάρ,particle,tw=|,τίς,pronoun,boulome/nw|,βούλομαι,verb,fili/an,φιλία,noun,koinh\n,κοινός,adjective,tai=s,ὁ,article,po/lesi,πόλις,adjective,pra=cai,πράσσω,verb,pro\s,πρός,preposition,a)llh/las,ἀλλήλων,pronoun,ou),οὐ,adverb,ta\s,ὁ,article,me\n,μέν,particle,eu)=,εὖ,adverb,le/gein,λέγω,verb,ta\s,ὁ,article,de\,δέ,particle,kakw=s,κακός,adjective,prosh/kein,προσήκω,verb,a)lla\,ἀλλά,adverb,pasw=n,πᾶς,adjective,e)p',ἐπί,preposition,eu)fhmi/a|,εὐφημία,noun,mnhsqh=nai,μιμνήσκω,verb,i(/na,ἵνα,conjunction,prw=ton,πρότερος,adjective,me\n,μέν,particle,a(/pantes,ἅπας,adjective,h(di/ous,ἡδύς,adjective,geno/menoi,γίγνομαι,verb,proqumo/teron,πρόθυμος,adjective,pro/shsqe,πρόσημαι,verb,th\n,ὁ,article,sumboulh\n,συμβουλή,noun,e)/peit',ἔπειτα,adverb,h)/dh,ἤδη,adverb,ti,τις,pronoun,tw=n,ὁ,article,ei)s,εἰς,preposition,th\n,ὁ,article,o(mo/noian,ὁμόνοια,noun,fero/ntwn,φέρω,verb,perai/nhtai,περαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)a\n,ἐάν,conjunction,ga\r,γάρ,particle,ei)s,εἰς,preposition,to\,ὁ,article,koino\n,κοινός,adjective,e)painou/menoi,ἐπαινέω,verb,de/chsqe,δέχομαι,verb,kai\,καί,conjunction,mhdei\s,μηδείς,pronoun,u(mw=n,σύ,pronoun,ta\s,ὁ,article,e(te/rwn,ἕτερος,adjective,eu)fhmi/as,εὐφημία,noun,w(s,ὡς,conjunction,a)timi/an,ἀτιμία,noun,e(autou=,ἑαυτοῦ,pronoun,logi/shtai,λογίζομαι,verb,a)lla\,ἀλλά,adverb,toi=s,ὁ,article,a)llh/lwn,ἀλλήλων,pronoun,w(s,ὡς,conjunction,i)di/ois,ἴδιος,adjective,e(/kastoi,ἕκαστος,adjective,sunhsqh=te,συνήδομαι,verb,prw=ton,πρότερος,adjective,me\n,μέν,particle,a)f',ἀπό,preposition,e(sti/as,ἑστία,noun,a)rca/menoi,ἄρχω,verb,th\n,ὁ,article,o(mo/noian,ὁμόνοια,noun,e)ndei/cesqe,ἐνδείκνυμι,verb,e)/peita,ἔπειτα,adverb,kai\,καί,conjunction,au)toi\,αὐτός,pronoun,kata\,κατά,preposition,mikro\n,μικρός,adjective,e)qisqh/sesqe,ἐθίζω,verb,kai\,καί,conjunction,le/gein,λέγω,verb,a)llh/lous,ἀλλήλων,pronoun,eu)=,εὖ,adverb,kai\,καί,conjunction,fronei=n,φρονέω,verb,a(\,ὅς,pronoun,koinh=|,κοινῇ,adverb,pa=sin,πᾶς,adjective,u(mi=n,σύ,pronoun,sumfe/rei,συμφέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
