word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS
xari/ente/s,χαρίεις,adjective,ge/,γε,particle,ei)sin,εἰμί,verb,oi(,ἕ,pronoun,tw=n,ὁ,article,sfete/rwn,σφέτερος,adjective,a)gaqw=n,ἀγαθός,adjective,peri\,περί,preposition,tou\s,ὁ,article,lo/gous,λόγος,noun,i(/n',ἵνα,conjunction,eu)fh/mws,εὔφημος,adjective,a)/rcwmai,ἄρχω,verb,tou\s,ὁ,article,a)kroata\s,ἀκροατής,noun,ai)tiw/menoi,αἰτιάομαι,verb,kai\,καί,conjunction,le/gontes,λέγω,verb,w(s,ὡς,conjunction,a)/ra,ἄρα,particle,tou/tou,οὗτος,pronoun,xa/rin,χάρις,noun,e)kbai/nousi,ἐκβαίνω,verb,tou=,ὁ,article,r(uqmou=,ῥυθμός,noun,kai\,καί,conjunction,th=s,ὁ,article,o)rqo/thtos,ὀρθότης,noun,i(/n',ἵνα,conjunction,w(s,ὡς,conjunction,plei/stous,πλεῖστος,adjective,a)re/sai,ἀρέσκω,verb,dunhqw=si,δύναμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/toi,καίτοι,particle,ei),εἰ,conjunction,me\n,μέν,particle,suggnw/mhn,συγγνώμη,adjective,ai)tou=ntes,αἰτέω,verb,tau/th|,οὗτος,pronoun,th=|,ὁ,article,skh/yei,σκῆψις,noun,kataxrw=ntai,καταχράομαι,verb,pw=s,πῶς,adverb,e)painei=sqai/,ἐπαινέω,verb,g',γε,particle,a)ciou=si,ἀξιόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xwri\s,χωρίς,adverb,ga\r,γάρ,particle,e)/paino/s,ἔπαινος,noun,te,τε,particle,kai\,καί,conjunction,suggnw/mh,συγγνώμη,adjective,kai\,καί,conjunction,o(/te,ὅστε,pronoun,mhd',μηδέ,particle,au)toi\,αὐτός,pronoun,sfa=s,σφεῖς,pronoun,au)tou\s,αὐτός,pronoun,e)painou=si,ἐπαινέω,verb,sxolh=|,σχολή,noun,g',γε,particle,a)\n,ἄν,particle,para\,παρά,preposition,toi=s,ὁ,article,a)/llois,ἄλλος,adjective,ei)ko/tws,ἐοικότως,adverb,e)painoi=nto,ἐπαινέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,d',δέ,particle,au)=,αὖ,interjection,mhde/n,μηδείς,pronoun,e)sti,εἰμί,verb,tou=,ὁ,article,tro/pou,τρόπος,noun,dusxere\s,δυσχερής,adverb,a)ll',ἀλλά,adverb,o)rqw=s,ὀρθός,adjective,e)/xei,ἔχω,verb,ti/,τίς,pronoun,dei=,δέομαι,verb,tou\s,ὁ,article,pollou\s,πολύς,adjective,ai)tia=sqai,αἰτιάομαι,verb,kai\,καί,conjunction,katafeu/gein,καταφεύγω,verb,e)pi\,ἐπί,preposition,tau/thn,οὗτος,pronoun,th\n,ὁ,article,parai/thsin,παραίτησις,noun,a)ll',ἀλλά,adverb,ou),οὐ,adverb,to\n,ὁ,article,tro/pon,τρόπος,noun,w(s,ὡς,conjunction,o)rqw=s,ὀρθός,adjective,e)/xei,ἔχω,verb,deiknu/nai,δείκνυμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,oi)=mai,οἴομαι,verb,komyoi/,κομψός,adjective,tine/s,τις,pronoun,ei)si,εἰμί,verb,kai\,καί,conjunction,dipla=,διπλόος,adjective,krou/ousin,κρούω,verb,i(/n',ἵνα,conjunction,e)a\n,ἐάν,conjunction,me\n,μέν,particle,e(/lwsi,αἱρέω,verb,tau/th|,οὗτος,pronoun,kekrathko/tes,κρατέω,verb,w)=sin,εἰμί,verb,a)\n,ἄν,particle,de\,δέ,particle,fwra/sh|,φωράω,verb,tis,τις,pronoun,e)/xwsin,ἔχω,verb,a)naxw/rhsin,ἀναχώρησις,noun,kai\,καί,conjunction,le/gwsin,λέγω,verb,w(s,ὡς,conjunction,ou)d',οὐδέ,particle,au)toi\,αὐτός,pronoun,to\,ὁ,article,be/ltion,βελτίων,adverb,h)gno/oun,ἀγνοέω,verb,a)ll',ἀλλά,adverb,e(te/rwn,ἕτερος,adjective,e(/nex',ἕνεκα,preposition,h(ma/rtanon,ἁμαρτάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/sti,εἰμί,verb,de\,δέ,particle,tou=to,οὗτος,pronoun,h(,ὁ,article,prw/th,πρότερος,adjective,kai\,καί,conjunction,megi/sth,μέγας,adverb,yh=fos,ψῆφος,noun,h(\n,ὅς,pronoun,au)toi\,αὐτός,pronoun,kaq',κατά,preposition,au(tw=n,ἑαυτοῦ,pronoun,di',διά,preposition,u(perbolh\n,ὑπερβολή,noun,sofi/as,σοφία,noun,fe/rousin,φέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,ga\r,γάρ,particle,eu)cai/mhn,εὔχομαι,verb,a)\n,ἄν,particle,ma/lista,μάλιστα,adverb,me\n,μέν,particle,kai\,καί,conjunction,para\,παρά,preposition,toi=s,ὁ,article,a)/llois,ἄλλος,adjective,a(/pasin,ἅπας,adjective,eu)dokimei=n,εὐδοκιμέω,verb,th\n,ὁ,article,d',δέ,particle,ou)=n,οὖν,particle,a)rxh\n,ἀρχή,noun,a)f',ἀπό,preposition,e(sti/as,ἑστία,noun,ei)=nai/,εἰμί,verb,moi,ἐγώ,pronoun,kai\,καί,conjunction,pei/qein,πείθω,verb,e)mauto\n,ἐμαυτοῦ,pronoun,prw=ton,πρότερος,adjective,kai\,καί,conjunction,mh\,μή,conjunction,to\,ὁ,article,th=s,ὁ,article,kuno\s,κύων,noun,th=s,ὁ,article,e)n,ἐν,preposition,tw=|,ὁ,article,mu/qw|,μῦθος,noun,paqei=n,πάσχω,verb,mhd',μηδέ,particle,e)n,ἐν,preposition,o(/sw|,ὅσος,adjective,th\n,ὁ,article,e)/cwqen,ἔξωθεν,adverb,sulle/gw,συλλέγω,verb,do/can,δόξα,noun,h(\n,ὅς,pronoun,au)tw=|,αὐτός,pronoun,moi,ἐγώ,pronoun,peri\,περί,preposition,e)mautou=,ἐμαυτοῦ,pronoun,prosh=ken,προσήκω,verb,e)/xein,ἔχω,verb,diafqei=rai,διαφθείρω,verb,mhde\,μηδέ,particle,fqa/sai,φθάνω,verb,th\n,ὁ,article,tou=,ὁ,article,fau=los,φαῦλος,adjective,ei)=nai,εἰμί,verb,pi/stin,πίστις,noun,kat',κατά,preposition,e)mautou=,ἐμαυτοῦ,pronoun,labw\n,λαμβάνω,verb,pri\n,πρίν,adverb,th\n,ὁ,article,tou=,ὁ,article,spoudai=os,σπουδαῖος,adjective,para\,παρά,preposition,toi=s,ὁ,article,a)/llois,ἄλλος,adjective,bebaiw/sasqai,βεβαιόω,verb,,,,,,,,,,,,,,,
tosou=ton,τοσοῦτος,adjective,d',δέ,particle,e)/moige,ἐγώ,pronoun,a)pologi/as,ἀπολογία,noun,a)pe/xein,ἀπέχω,verb,dokou=sin,δοκέω,verb,o(/tan,ὅταν,conjunction,tau=ta,οὗτος,pronoun,le/gwsin,λέγω,verb,w(/ste,ὥστε,conjunction,du/',δύη,adjective,a)nq',ἀντί,preposition,e(no\s,εἷς,adjective,poiei=n,ποιέω,verb,ta\,ὁ,article,e)gklh/maq',ἔγκλημα,noun,e(autoi=s,ἑαυτοῦ,pronoun,e(\n,εἷς,adjective,me\n,μέν,particle,ei),εἰ,conjunction,toiau=t',τοιοῦτος,adjective,a)selgai/nousi,ἀσελγαίνω,verb,peri\,περί,preposition,tou\s,ὁ,article,lo/gous,λόγος,noun,e(/teron,ἕτερος,adjective,de\,δέ,particle,ei),εἰ,conjunction,tou/tou,οὗτος,pronoun,xa/rin,χάρις,noun,w(s,ὡς,conjunction,tau/th|,ταύτῃ,adverb,belti/ous,βελτίων,adverb,kriqh/sesqai,κρίνω,verb,me/llontes,μέλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,mh\n,μήν,particle,o(/tan,ὅταν,conjunction,ge,γε,particle,w(s,ὡς,conjunction,h(ma=s,ἐγώ,pronoun,eu)qe/ws,εὐθύς,adverb,pisteu/sontas,πιστεύω,verb,oi(=s,ὅς,pronoun,pla/ttontai,πλάσσω,verb,kai\,καί,conjunction,ta)lhqe\s,ἀληθής,adjective,ou)xi\,οὐ,adverb,sunh/sontas,συνίημι,verb,para/gein,παράγω,verb,zhtw=sin,ζητέω,verb,a)/llhn,ἄλλος,adjective,au)=,αὖ,interjection,tri/thn,τρίτος,adjective,tau/thn,οὗτος,pronoun,a)maqi/an,ἀμαθία,noun,e)mfani/zousin,ἐμφανίζω,verb,ei),εἰ,conjunction,mh\,μή,conjunction,nomi/zousi,νομίζω,verb,fwra=sqai,φωράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,d',δέ,particle,oi)=mai,οἴομαι,verb,toiou=to/n,τοιοῦτος,adjective,e)stin,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
