word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS
ou)k,οὐ,adverb,a)mfote/rwn,ἀμφότερος,adjective,a)/ra,ἄρος,adjective,tw=n,ὁ,article,kairw=n,καιρός,noun,dih/marton,διαμαρτάνω,verb,ei)/per,εἴπερ,conjunction,xa/rien,χαρίεις,adjective,me\n,μέν,particle,h(/konta,ἥκω,verb,e)k,ἐκ,preposition,th=s,ὁ,article,a)podhmi/as,ἀποδημία,noun,de/casqai,δέχομαι,verb,kai\,καί,conjunction,proseipei=n,προσεῖπον,verb,a)/llws,ἄλλως,adverb,te,τε,particle,kai\,καί,conjunction,a)f',ἀπό,preposition,w(=n,ὅς,pronoun,suneuca/meqa,συνεύχομαι,verb,e)panh/konta,ἐπανήκω,verb,ei)/h,ἀίω,verb,d',δέ,particle,a)/n,ἄν,particle,ti,τις,pronoun,kai\,καί,conjunction,prope/myai,προπέμπω,verb,a(/ma,ἅμα,adverb,tw=|,ὁ,article,me/lei,μέλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su\,σύ,pronoun,de\,δέ,particle,tou=ton,οὗτος,pronoun,h(/kein,ἥκω,verb,to\n,ὁ,article,kairo\n,καιρός,noun,a)pe/dwkas,ἀποδίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)deca/meqa,δέχομαι,verb,ou)=n,οὖν,particle,e)peidh\,ἐπεί,conjunction,kai\,καί,conjunction,o(,ὁ,article,kairo\s,καιρός,noun,ou(/tw,οὕτως,adverb,sunh=ge,συνάγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qeou=,θεός,noun,de\,δέ,particle,fhsi\,φημί,verb,*pi/ndaros,Πίνδαρος,proper,dei/cantos,δείκνυμι,verb,a)rxh\n,ἀρχή,noun,eu)qei=a,εὐθύς,adjective,dh\,δή,particle,ke/leuqos,κέλευθος,noun,e(lei=n,αἱρέω,verb,to\,ὁ,article,prokei/menon,πρόκειμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,dh=ta,δῆτα,adverb,soi\,σύ,pronoun,me\n,μέν,particle,plei=n,πλέω,verb,h(mi=n,ἐγώ,pronoun,e)c,ἐκ,preposition,ou)ri/as,οὐρία,noun,te,τε,particle,kai\,καί,conjunction,e)pi\,ἐπί,preposition,xrhstoi=s,χρηστός,adjective,kai\,καί,conjunction,deute/rwn,δεύτερος,adjective,a)meino/nwn,ἀμείνων,adjective,a)gge/llesqai,ἀγγέλλω,verb,h(mi=n,ἐγώ,pronoun,d',δέ,particle,au)=,αὖ,interjection,ta\,ὁ,article,h(me/tera,ἡμέτερος,adjective,e)c,ἐκ,preposition,ou)ri/as,οὐρία,noun,te,τε,particle,a)gwni/zesqai,ἀγωνίζομαι,verb,kai\,καί,conjunction,r(oqi/w|,ῥόθιος,adjective,kw/ph|,κώπη,noun,parenegkei=n,παραφέρω,verb,a(/pantas,ἅπας,adjective,*(/ellhnas,Ἕλλην,proper,o(/son,ὅσος,adjective,plei=ston,πλεῖστος,adjective,e)/cestin,ἔξεστι,verb,*)asklhpio/s,Ἀσκληπιός,proper,te,τε,particle,prosta/ths,προστάτης,noun,h(me/teros,ἡμέτερος,adjective,kai\,καί,conjunction,*zeu\s,Ζεύς,proper,o(,ὁ,article,pa/nta,πᾶς,adjective,ne/mein,νέμω,verb,ku/rios,κῦρος,noun,pare/xoi,παρέχω,verb,dia\,διά,preposition,te/lous,τέλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tau=ta,οὗτος,pronoun,me\n,μέν,particle,dh\,δή,particle,tau=ta,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
me/teimi,μέτειμι,verb,de\,δέ,particle,e)f',ἐπί,preposition,e(/teron,ἕτερος,adjective,prooi/mion,προοίμιον,noun,kata\,κατά,preposition,*sthsi/xoron,Στησίχορος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skiamaxei=n,σκιαμαχέω,verb,me\n,μέν,particle,ou)=n,οὖν,particle,pws,πως,particle,oi)=d',οἶδα,verb,o(/ti,ὅστις,pronoun,dei=,δέομαι,verb,pro\s,πρός,preposition,ou(\s,ὅς,pronoun,ga\r,γάρ,particle,ei)rh/setai,ἔρομαι,verb,ta\,ὁ,article,lego/mena,λέγω,verb,ou)x,οὐ,adverb,h(/kousin,ἥκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/ste,ὥστε,conjunction,sumbai/nei,συμβαίνω,verb,a(/ma,ἅμα,adverb,me\n,μέν,particle,sxedo\n,σχεδόν,adverb,w(/sper,ὥσπερ,adverb,a)\n,ἄν,particle,ei)s,εἰς,preposition,ma/thn,μάτην,adverb,gi/gnesqai,γίγνομαι,verb,tou\s,ὁ,article,lo/gous,λόγος,noun,a(/ma,ἅμα,adverb,d',δέ,particle,ei)=nai,εἰμί,verb,safe/staton,σαφής,adverb,w(s,ὡς,conjunction,o)rqw=s,ὀρθός,adjective,kai\,καί,conjunction,proshko/ntws,προσηκόντως,adverb,ei)rh/sontai,ἔρομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)to/qen,αὐτόθεν,adverb,ga/r,γάρ,particle,pou,πού,adverb,fanero\n,φανερός,adjective,o(/ti,ὅστις,pronoun,ou),οὐ,adverb,to\,ὁ,article,h(me/teron,ἡμέτερος,adjective,ai)/tion,αἴτιος,adjective,ou)/te,οὔτε,adverb,nu=n,νῦν,adverb,ou)/te,οὔτε,adverb,a)/llote,ἄλλοτε,adverb,pw/pote,πώποτε,adverb,su\n,σύν,preposition,qeoi=s,θεός,noun,ei)pei=n,εἶπον,verb,a)ll',ἀλλά,adverb,h(,ὁ,article,tou/twn,οὗτος,pronoun,peri\,περί,preposition,pa/nta,πᾶς,adjective,sunh/qhs,συνήθης,adverb,r(a|qumi/a,ῥαθυμία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
