word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS
w)=,ὦ,interjection,polla\,πολύς,adjective,dh\,δή,particle,polla/kis,πολλάκις,adverb,e)n,ἐν,preposition,nuci/,νύξ,adjective,te,τε,particle,kai\,καί,conjunction,h(me/rais,ἡμέρα,noun,i)di/a|,ἴδιος,adjective,te,τε,particle,kai\,καί,conjunction,dhmosi/a|,δημοσίᾳ,adverb,klhqei\s,καλέω,verb,u(f',ὑπό,preposition,h(mw=n,ἐγώ,pronoun,*)asklhpie\,Ἀσκληπιός,proper,de/spota,δεσπότης,adjective,w(s,ὡς,conjunction,a)sme/nois,ἄσμενος,adjective,kai\,καί,conjunction,u(perpoqou=sin,ὑπερποθέω,verb,e)/dwkas,δίδωμι,verb,h(mi=n,ἐγώ,pronoun,oi(=on,οἷος,adjective,e)k,ἐκ,preposition,pela/gous,πέλαγος,noun,pollou=,πολύς,adjective,kai\,καί,conjunction,kathfei/as,κατήφεια,noun,lime/nos,λιμήν,noun,te,τε,particle,labe/sqai,λαμβάνω,verb,galhnou=,γαληνός,adjective,kai\,καί,conjunction,proseipei=n,προσεῖπον,verb,th\n,ὁ,article,koinh\n,κοινός,adjective,tw=n,ὁ,article,a)nqrw/pwn,ἄνθρωπος,noun,e(sti/an,ἑστία,noun,h(=s,ὅς,pronoun,a)te/lestos,ἀτέλεστος,adjective,me\n,μέν,particle,ou)dei\s,οὐδείς,pronoun,dh/,δή,particle,pou,πού,adverb,tw=n,ὁ,article,u(f',ὑπό,preposition,h(li/w|,ἥλιος,noun,diisxuri/sasqai,διισχυρίζομαι,verb,de\,δέ,particle,e)/stin,εἰμί,verb,w(s,ὡς,conjunction,*(ellh/nwn,Ἕλλην,proper,ge,γε,particle,ou)dei/s,οὐδείς,pronoun,pw,πω,particle,plei/w,πλέως,adjective,me/xri,μέχρι,preposition,tou=de,ὅδε,pronoun,a)pe/lause,ἀπολαύω,verb
kai\,καί,conjunction,ga\r,γάρ,particle,ei),εἰ,conjunction,sfo/dra,σφόδρα,adverb,ei)wqo/ti,ἔθω,verb,tau=ta,οὗτος,pronoun,e)moi\,ἐγώ,pronoun,le/gein,λέγω,verb,o)knhte/on,ὀκνητέον,adjective,ge,γε,particle,ou)de\n,οὐδείς,pronoun,ma=llon,μᾶλλον,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/koun,οὔκουν,adverb,ta/s,ὁ,article,ge,γε,particle,prosrh/seis,προσρέω,verb,ta\s,ὁ,article,e)f',ἐπί,preposition,h(me/ra|,ἡμέρα,noun,tau/tas,οὗτος,pronoun,e)llei/pomen,ἐλλείπω,verb,feu/gontes,φεύγω,verb,th\n,ὁ,article,sunh/qeian,συνήθεια,noun,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,kat',κατά,preposition,au)to\,αὐτός,pronoun,tou=to,οὗτος,pronoun,fula/ttomen,φυλάσσω,verb,o(/ti,ὅστις,pronoun,ei)qi/sqhmen,ἐθίζω,verb,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)moi\,ἐγώ,pronoun,de\,δέ,particle,e)pimelh\s,ἐπιμελής,adverb,me\n,μέν,particle,dh/,δή,particle,pou,πού,adverb,kai\,καί,conjunction,h(,ὁ,article,dia\,διά,preposition,tw=n,ὁ,article,quma/twn,θῦμα,noun,te,τε,particle,kai\,καί,conjunction,qumiama/twn,θυμίαμα,noun,xa/ris,χάρις,noun,te,τε,particle,kai\,καί,conjunction,timh\,τιμή,noun,ei)/te,εἴτε,adverb,kata\,κατά,preposition,th\n,ὁ,article,*(hsio/dou,Ἡσίοδος,proper,parai/nesin,παραίω,verb,gignome/nh,γίγνομαι,verb,ei)/te,εἴτε,adverb,kai\,καί,conjunction,proqumo/teron,πρόθυμος,adjective,th=s,ὁ,article,duna/mews,δύναμις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,d',δέ,particle,e)pi\,ἐπί,preposition,tou=,ὁ,article,lo/gou,λόγος,noun,moi,ἐγώ,pronoun,polu\,πολύς,adjective,dh\,δή,particle,ma/lista,μάλιστα,adverb,prosh/kein,προσήκω,verb,fai/netai,φαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,ga\r,γάρ,particle,ou)=n,οὖν,particle,o(/lws,ὅλος,adjective,me\n,μέν,particle,ke/rdos,κέρδος,noun,a)nqrw/pw|,ἄνθρωπος,noun,tou=,ὁ,article,bi/ou,βίος,adjective,kai\,καί,conjunction,w(sperei\,ὥσπερ,adverb,kefa/laion,κεφάλαιος,adjective,h(,ὁ,article,peri\,περί,preposition,tou\s,ὁ,article,lo/gous,λόγος,noun,diatribh\,διατριβή,noun,tw=n,ὁ,article,de\,δέ,particle,lo/gwn,λόγος,noun,oi(,ὁ,article,peri\,περί,preposition,tou\s,ὁ,article,qeou\s,θεός,noun,a)nagkaio/tatoi,ἀναγκαῖος,adjective,fai/netai,φαίνω,verb,de\,δέ,particle,h(mi=n,ἐγώ,pronoun,ge,γε,particle,kai\,καί,conjunction,to\,ὁ,article,kat',κατά,preposition,au)tou\s,αὐτός,pronoun,tou\s,ὁ,article,lo/gous,λόγος,noun,par',παρά,preposition,au)tou=,αὐτός,pronoun,tou=,ὁ,article,qeou=,θεός,noun,geno/menon,γίγνομαι,verb,ou)/te,οὔτε,adverb,tw=|,ὁ,article,qew=|,θεός,noun,kalli/wn,κάλλος,noun,xa/ris,χάρις,noun,oi)=mai,οἴομαι,verb,th=s,ὁ,article,e)pi\,ἐπί,preposition,tw=n,ὁ,article,lo/gwn,λόγος,noun,ou)/te,οὔτε,adverb,toi=s,ὁ,article,lo/gois,λόγος,noun,e)/xoimen,ἔχω,verb,a)\n,ἄν,particle,ei)s,εἰς,preposition,o(/,ὅς,pronoun,ti,τις,pronoun,krei=tton,κρείσσων,verb,xrhsai/meqa,χράω,verb,,,,,,
kai\,καί,conjunction,dh\,δή,particle,le/gwmen,λέγω,verb,a)p',ἀπό,preposition,a)rxh=s,ἀρχή,noun,a)rca/menoi,ἄρχω,verb,koina\,κοινός,adjective,me\n,μέν,particle,oi)=d',οἶδα,verb,o(/ti,ὅστις,pronoun,kai\,καί,conjunction,bow/mena,βάζω,verb,pw=s,πῶς,adverb,ga\r,γάρ,particle,ou)/,οὐ,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tosou/tw|,τοσοῦτος,adjective,d',δέ,particle,h(mi=n,ἐγώ,pronoun,dikaio/tera,δίκαιος,adjective,o(/sw|,ὅσος,adjective,prostiqe/ntes,προστίθημι,verb,kai\,καί,conjunction,pleona/zontes,πλεονάζω,verb,tai=s,ὁ,article,qerapei/ais,θεραπεία,noun,a)mei/nous,ἀμείνων,adjective,a)\n,ἄν,particle,ei)/hmen,εἰμί,verb,h)\,ἠέ,conjunction,paralei/pontes,παραλείπω,verb,a(\,ὅς,pronoun,mhdei\s,μηδείς,pronoun,tw=n,ὁ,article,pa/ntwn,πᾶς,adjective,a)cioi=,ἀξιόω,verb,siga=n,σιγάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)asklhpiou=,Ἀσκληπιός,proper,duna/meis,δύναμις,adjective,mega/lai,μέγας,adverb,te,τε,particle,kai\,καί,conjunction,pollai\,πολύς,adjective,ma=llon,μᾶλλον,adverb,d',δέ,particle,a(/pasai,ἅπας,adjective,ou)x,οὐ,adverb,o(/son,ὅσος,adjective,o(,ὁ,article,tw=n,ὁ,article,a)nqrw/pwn,ἄνθρωπος,noun,bi/os,βίος,adjective,xwrei=,χωρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,*dio\s,Ζεύς,proper,*)asklhpiou=,Ἀσκληπιός,proper,new\n,ναός,noun,ou)k,οὐ,adverb,a)/llws,ἄλλως,adverb,oi(,ἕ,pronoun,th=|de,ὅδε,pronoun,i(dru/santo,ἱδρύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
