word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS
w(s,ὡς,conjunction,a)rgale/on,ἀργαλέος,adjective,pra=gm',πρᾶγμα,noun,e)sti\n,εἰμί,verb,w)=,ὦ,interjection,*zeu=,Ζεύς,proper,kai\,καί,conjunction,qeoi\,θεός,noun,dou=lon,δοῦλος,noun,gene/sqai,γίγνομαι,verb,parafronou=ntos,παραφρονέω,verb,despo/tou,δεσπότης,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,ga\r,γάρ,particle,ta\,ὁ,article,be/ltisq',βέλτιστος,adjective,o(,ὁ,article,qera/pwn,θέραψ,noun,le/cas,λέγω,verb,tu/xh|,τύχη,noun,do/ch|,δόξα,noun,de\,δέ,particle,mh\,μή,conjunction,dra=n,δράω,verb,tau=ta,οὗτος,pronoun,tw=|,ὁ,article,kekthme/nw|,κτάομαι,verb,mete/xein,μετέχω,verb,a)na/gkh,ἀνάγκη,noun,to\n,ὁ,article,qera/ponta,θεράπων,noun,tw=n,ὁ,article,kakw=n,κακός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=,ὁ,article,sw/matos,σῶμα,adjective,ga\r,γάρ,particle,ou)k,οὐ,adverb,e)a=|,ἀίω,verb,to\n,ὁ,article,ku/rion,κύριος,adjective,kratei=n,κρατέω,verb,o(,ὁ,article,dai/mwn,δαίμων,adjective,a)lla\,ἀλλά,adverb,to\n,ὁ,article,e)wnhme/non,ὠνέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tau=ta,οὗτος,pronoun,me\n,μέν,particle,dh\,δή,particle,tau=ta,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=|,ὁ,article,de\,δέ,particle,*loci/a|,Λοξίας,proper,o(\s,ὅς,pronoun,qespiw|dei=,θεσπιῳδέω,verb,tri/podos,τρίπους,adjective,e)k,ἐκ,preposition,xrushla/tou,χρυσήλατος,adjective,me/myin,μέμψις,noun,dikai/an,δίκαιος,adjective,me/mfomai,μέμφομαι,verb,tau/thn,οὗτος,pronoun,o(/ti,ὅστις,pronoun,i)atro\s,ἰατρός,noun,w)\n,εἰμί,verb,kai\,καί,conjunction,ma/ntis,μάντις,noun,w(/s,ὡς,conjunction,fasin,φημί,verb,sofo\s,σοφός,adjective,melagxolw=nt',μελαγχολάω,verb,a)pe/pemye/,ἀποπέμπω,verb,mou,ἐγώ,pronoun,to\n,ὁ,article,despo/thn,δεσπότης,adjective,o(/stis,ὅστις,pronoun,a)kolouqei=,ἀκολουθέω,verb,kato/pin,κατόπιν,adverb,a)nqrw/pou,ἄνθρωπος,noun,tuflou=,τυφλός,adjective,tou)nanti/on,ἐναντίον,adverb,drw=n,δράω,verb,h)\,ἠέ,conjunction,prosh=k',προσήκω,verb,au)tw=|,αὐτός,pronoun,poiei=n,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,ga\r,γάρ,particle,ble/pontes,βλέπω,verb,toi=s,ὁ,article,tufloi=s,τυφλός,adjective,h(gou/meqa,ἁγέομαι,verb,ou(=tos,οὗτος,pronoun,d',δέ,particle,a)kolouqei=,ἀκολουθέω,verb,ka)me\,ἐγώ,pronoun,prosbia/zetai,προσβιάζομαι,verb,kai\,καί,conjunction,tau=t',οὗτος,pronoun,a)pokrinome/nw|,ἀποκρίνω,verb,to\,ὁ,article,para/pan,παράπαν,adverb,ou)de\,οὐδέ,particle,gru=,γρῦ,interjection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,me\n,μέν,particle,ou)=n,οὖν,particle,ou)k,οὐ,adverb,e)/sq',ἔσθω,verb,o(/pws,ὅπως,conjunction,sigh/somai,σιγάω,verb,h)\n,ἐάν,conjunction,mh\,μή,conjunction,fra/sh|s,φράζω,verb,o(/,ὅς,pronoun,ti,τις,pronoun,tw=|d',ὅδε,pronoun,a)kolouqou=me/n,ἀκολουθέω,verb,pote,ποτέ,particle,w)=,ὦ,interjection,de/spot',δεσπότης,adjective,a)lla/,ἀλλά,adverb,soi,σύ,pronoun,pare/cw,παρέχω,verb,pra/gmata,πρᾶγμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga/r,γάρ,particle,me,ἐγώ,pronoun,tupth/seis,τύπτω,verb,ste/fanon,στέφανος,noun,e)/xonta/,ἔχω,verb,ge,γε,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ma\,μά,particle,*di/',Δίη,proper,a)ll',ἀλλά,adverb,a)felw\n,ἀφαιρέω,verb,to\n,ὁ,article,ste/fanon,στέφανος,noun,h)\n,ἐάν,conjunction,luph=|s,λυπέω,verb,ti/,τίς,pronoun,me,ἐγώ,pronoun,i(/na,ἵνα,conjunction,ma=llon,μᾶλλον,adverb,a)lgh=|s,ἀλγέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,pau/somai,παύω,verb,pri\n,πρίν,adverb,a)\n,ἄν,particle,fra/sh|s,φράζω,verb,moi,ἐγώ,pronoun,ti/s,τίς,pronoun,pot',ποτέ,particle,e)sti\n,εἰμί,verb,ou(tosi/,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu)/nous,εὔνους,adjective,ga\r,γάρ,particle,w)/n,εἰμί,verb,soi,σύ,pronoun,punqa/nomai,πυνθάνομαι,verb,pa/nu,πάνυ,adverb,sfo/dra,σφόδρα,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,ou)/,οὐ,adverb,se,σύ,pronoun,kru/yw,κρύπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=n,ὁ,article,e)mw=n,ἐμός,adjective,ga\r,γάρ,particle,oi)ketw=n,οἰκέτης,noun,pisto/taton,πιστός,adjective,h(gou=mai/,ἡγέομαι,verb,se,σύ,pronoun,kai\,καί,conjunction,klepti/staton,κλεπτίστατος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,qeosebh\s,θεοσεβής,adverb,kai\,καί,conjunction,di/kaios,δίκαιος,adjective,w)\n,εἰμί,verb,a)nh\r,ἀνήρ,noun,kakw=s,κακός,adjective,e)/pratton,πράσσω,verb,kai\,καί,conjunction,pe/nhs,πένης,noun,h)=n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)=da/,οἶδα,verb,toi,τοι,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(/teroi,ἕτερος,adjective,d',δέ,particle,e)plou/toun,πλουτέω,verb,i(ero/suloi,ἱερόσυλος,noun,r(h/tores,ῥήτωρ,noun,kai\,καί,conjunction,sukofa/ntai,συκοφάντης,noun,kai\,καί,conjunction,ponhroi/,πονηρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)perhso/menos,ἐπέρομαι,verb,ou)=n,οὖν,particle,w)|xo/mhn,οἴχομαι,verb,w(s,ὡς,conjunction,to\n,ὁ,article,qeo/n,θεός,noun,to\n,ὁ,article,e)mo\n,ἐμός,adjective,me\n,μέν,particle,au)tou=,αὐτός,pronoun,tou=,ὁ,article,talaipw/rou,ταλαίπωρος,adjective,sxedo\n,σχεδόν,adverb,h)/dh,ἤδη,adverb,nomi/zwn,νομίζω,verb,e)ktetoceu=sqai,ἐκτοξεύω,verb,bi/on,βίος,adjective,to\n,ὁ,article,d',δέ,particle,ui(o/n,υἱός,noun,o(/sper,ὅς,pronoun,w)\n,εἰμί,verb,mo/nos,μόνος,adjective,moi,ἐγώ,pronoun,tugxa/nei,τυγχάνω,verb,peuso/menos,πυνθάνομαι,verb,ei),εἰ,conjunction,xrh\,χρή,verb,metabalo/nta,μεταβάλλω,verb,tou\s,ὁ,article,tro/pous,τρόπος,noun,ei)=nai,εἰμί,verb,panou=rgon,πανοῦργος,adjective,a)/dikon,ἄδικος,adjective,u(gie\s,ὑγιής,adverb,mhde\,μηδέ,particle,e(/n,εἷς,adjective,w(s,ὡς,conjunction,tw=|,ὁ,article,bi/w|,βίος,adjective,tou=t',οὗτος,pronoun,au)to\,αὐτός,pronoun,nomi/sas,νομίζω,verb,sumfe/rein,συμφέρω,verb
ti/,τίς,pronoun,dh=ta,δῆτα,adverb,*foi=bos,Φοῖβος,proper,e)/laken,λάσκω,verb,e)k,ἐκ,preposition,tw=n,ὁ,article,stemma/twn,στέμμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safw=s,σαφής,adverb,ga\r,γάρ,particle,o(,ὁ,article,qeo\s,θεός,noun,ei)=pe/,εἶπον,verb,moi,ἐγώ,pronoun,todi/,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/tw|,ὅστις,pronoun,cunanth/saimi,συναντάω,verb,prw=ton,πρότερος,adjective,e)ciw/n,ἔξειμι,verb,e)ke/leue,κελεύω,verb,tou/tou,οὗτος,pronoun,mh\,μή,conjunction,meqi/esqai/,μεθίημι,verb,m',ἐγώ,pronoun,e)/ti,ἔτι,adverb,pei/qein,πείθω,verb,d',δέ,particle,e)mautw=|,ἐμαυτοῦ,pronoun,cunakolouqei=n,συνακολουθέω,verb,oi)/kade,οἴκαδε,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tw=|,ὁ,article,cunanta=|s,συναντάω,verb,dh=ta,δῆτα,adverb,prw/tw|,πρότερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=t',εἶτα,adverb,ou),οὐ,adverb,cuni/hs,συνίημι,verb,th\n,ὁ,article,e)pi/noian,ἐπίνοια,noun,tou=,ὁ,article,qeou=,θεός,noun,fra/zousan,φράζω,verb,w)=,ὦ,interjection,skaio/tate/,σκαιός,adjective,soi,σύ,pronoun,safe/stata,σαφής,adverb,a)skei=n,ἀσκέω,verb,to\n,ὁ,article,ui(o\n,υἱός,noun,to\n,ὁ,article,e)pixw/rion,ἐπιχώριος,adjective,tro/pon,τρόπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
