word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS
*meta\,μετά,preposition,de\,δέ,particle,tau=ta,οὗτος,pronoun,peri\,περί,preposition,e)nupni/ou,ἐνύπνιον,noun,e)pizhthte/on,ἐπιζητητέος,adjective,kai\,καί,conjunction,prw=ton,πρότερος,adjective,ti/ni,τίς,pronoun,tw=n,ὁ,article,th=s,ὁ,article,yuxh=s,ψυχή,noun,fai/netai,φαίνω,verb,kai\,καί,conjunction,po/teron,πότερος,adjective,tou=,ὁ,article,nohtikou=,νοητικός,adjective,to\,ὁ,article,pa/qos,πάθος,adjective,e)sti\,εἰμί,verb,tou=to,οὗτος,pronoun,h)\,ἠέ,conjunction,tou=,ὁ,article,ai)sqhtikou=,αἰσθητικός,adjective,tou/tois,οὗτος,pronoun,ga\r,γάρ,particle,mo/nois,μόνος,adjective,tw=n,ὁ,article,e)n,ἐν,preposition,h(mi=n,ἐγώ,pronoun,gnwri/zome/n,γνωρίζω,verb,ti,τις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,d',δέ,particle,h(,ὁ,article,xrh=sis,χρῆσις,noun,o)/yews,ὄψις,noun,o(/rasis,ὅρασις,noun,kai\,καί,conjunction,a)koh=s,ἀκοή,noun,to\,ὁ,article,a)kou/ein,ἀκούω,verb,kai\,καί,conjunction,o(/lws,ὅλος,adjective,ai)sqh/sews,αἴσθησις,noun,to\,ὁ,article,ai)sqa/nesqai,αἰσθάνομαι,verb,koina\,κοινός,adjective,d',δέ,particle,e)sti\,εἰμί,verb,tw=n,ὁ,article,ai)sqh/sewn,αἴσθησις,noun,oi(=on,οἷος,adjective,sxh=ma,σχῆμα,noun,kai\,καί,conjunction,me/geqos,μέγεθος,adjective,kai\,καί,conjunction,ki/nhsis,κίνησις,adjective,kai\,καί,conjunction,ta)=lla,ἄλλος,adjective,ta\,ὁ,article,toiau=ta,τοιοῦτος,adjective,i)/dia,ἴδιος,adjective,d',δέ,particle,oi(=on,οἷος,adjective,xrw=ma,χρῶμα,noun,yo/fos,ψόφος,noun,xumo/s,χυμός,noun,a)dunatei=,ἀδυνατέω,verb,de\,δέ,particle,pa/nta,πᾶς,adjective,mu/onta,μύω,verb,kai\,καί,conjunction,kaqeu/donta,καθεύδω,verb,o(ra=n,ὁράω,verb,o(moi/ws,ὅμοιος,adjective,de\,δέ,particle,kai\,καί,conjunction,e)pi\,ἐπί,preposition,tw=n,ὁ,article,loipw=n,λοιπός,adjective,dh=lon,δῆλος,adjective,o(/ti,ὅστις,pronoun,ou)k,οὐ,adverb,ai)sqano/meqa,αἰσθάνομαι,verb,ou)de\n,οὐδείς,pronoun,e)n,ἐν,preposition,toi=s,ὁ,article,u(/pnois,ὕπνον,noun,ou)k,οὐ,adverb,a)/ra,ἄρα,particle,ge,γε,particle,th=|,ὁ,article,ai)sqh/sei,αἴσθησις,noun,to\,ὁ,article,e)nu/pnion,ἐνύπνιον,noun,ai)sqano/meqa,αἰσθάνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,mh\n,μήν,particle,ou)de\,οὐδέ,particle,th=|,ὁ,article,do/ch|,δόξα,noun,ou),οὐ,adverb,ga\r,γάρ,particle,mo/non,μόνος,adjective,to\,ὁ,article,prosio/n,πρόσειμι,verb,famen,φημί,verb,a)/nqrwpon,ἄνθρωπος,noun,h)\,ἠέ,conjunction,i(/ppon,ἵππος,noun,ei)=nai,εἰμί,verb,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,leuko\n,λευκός,adjective,h)\,ἠέ,conjunction,kalo/n,καλός,noun,w(=n,ὅς,pronoun,h(,ὁ,article,do/ca,δόξα,noun,a)/neu,ἄνευ,preposition,ai)sqh/sews,αἴσθησις,noun,ou)de\n,οὐδείς,pronoun,a)\n,ἄν,particle,fh/seien,φημί,verb,ou)/t',οὔτε,adverb,a)lhqw=s,ἀληθής,adjective,ou)/te,οὔτε,adverb,yeudw=s,ψευδής,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,de\,δέ,particle,toi=s,ὁ,article,u(/pnois,ὕπνον,noun,sumbai/nei,συμβαίνω,verb,th\n,ὁ,article,yuxh\n,ψυχή,noun,tou=to,οὗτος,pronoun,poiei=n,ποιέω,verb,o(moi/ws,ὅμοιος,adjective,ga\r,γάρ,particle,o(/ti,ὅστις,pronoun,a)/nqrwpos,ἄνθρωπος,noun,kai\,καί,conjunction,o(/ti,ὅστις,pronoun,leuko\s,λευκός,adjective,o(,ὁ,article,prosiw\n,πρόσειμι,verb,dokou=,δοκόν,noun,men,,,o(ra=n,ὁράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/ti,ἔτι,adverb,para\,παρά,preposition,to\,ὁ,article,e)nu/pnion,ἐνύπνιον,noun,e)nnoou=men,ἐννοέω,verb,a)/llo,ἄλλος,adjective,ti,τις,pronoun,kaqa/per,καθά,adverb,e)n,ἐν,preposition,tw=|,ὁ,article,e)grhgore/nai,ἐγείρω,verb,ai)sqano/menoi/,αἰσθάνομαι,verb,ti,τις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peri\,περί,preposition,ou(=,ἕ,pronoun,ga\r,γάρ,particle,ai)sqano/meqa,αἰσθάνομαι,verb,polla/kis,πολλάκις,adverb,kai\,καί,conjunction,dianoou/meqa/,διανοέομαι,verb,ti,τις,pronoun,ou(/tw,οὕτως,adverb,kai\,καί,conjunction,e)n,ἐν,preposition,toi=s,ὁ,article,u(/pnois,ὕπνον,noun,para\,παρά,preposition,ta\,ὁ,article,fanta/smata,φάντασμα,noun,e)ni/ote,ἐνίοτε,adverb,a)/lla,ἄλλος,adjective,e)nnoou=men,ἐννοέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fanei/h,φαίνω,verb,d',δέ,particle,a)/n,ἄν,particle,tw|,τις,pronoun,tou=to,οὗτος,pronoun,ei)/,εἰ,conjunction,tis,τις,pronoun,prose/xoi,προσέχω,verb,to\n,ὁ,article,nou=n,νόος,adjective,kai\,καί,conjunction,peirw=|to,πειράω,verb,mnhmoneu/ein,μνημονεύω,verb,a)nasta/s,ἀνίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)/dh,ἤδη,adverb,de/,δέ,particle,tines,τις,pronoun,kai\,καί,conjunction,e(wra/kasin,ὁράω,verb,e)nu/pnia,ἐνύπνιον,noun,toiau=ta,τοιοῦτος,adjective,oi(=on,οἷος,adjective,oi(,ἕ,pronoun,dokou=ntes,δοκέω,verb,kata\,κατά,preposition,to\,ὁ,article,mnhmoniko\n,μνημονικός,adjective,para/ggelma,παράγγελμα,noun,ti/qesqai,τίθημι,verb,ta\,ὁ,article,proballo/mena,προβάλλω,verb,sumbai/nei,συμβαίνω,verb,ga\r,γάρ,particle,au)toi=s,αὐτός,pronoun,polla/kis,πολλάκις,adverb,a)/llo,ἄλλος,adjective,ti,τις,pronoun,para\,παρά,preposition,to\,ὁ,article,e)nu/pnion,ἐνύπνιον,noun,ti/qesqai,τίθημι,verb,pro\,πρό,preposition,o)mma/twn,ὄμμα,noun,ei)s,εἰς,preposition,to\n,ὁ,article,to/pon,τόπος,noun,fa/ntasma,φάντασμα,noun,w(/ste,ὥστε,conjunction,dh=lon,δῆλος,adjective,o(/ti,ὅστις,pronoun,ou)k,οὐ,adverb,e)nu/pnion,ἐνύπνιον,noun,pa=n,πᾶς,adjective,to\,ὁ,article,e)n,ἐν,preposition,u(/pnw|,ὕπνον,noun,fa/ntasma,φάντασμα,noun,kai\,καί,conjunction,o(/ti,ὅστις,pronoun,o(\,ὅς,pronoun,e)nnoou=men,ἐννοέω,verb,th=|,ὁ,article,do/ch|,δόξα,noun,doca/zomen,δοξάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dh=lon,δῆλος,adjective,de\,δέ,particle,peri\,περί,preposition,tou/twn,οὗτος,pronoun,a(pa/ntwn,ἅπας,adjective,to/,ὁ,article,ge,γε,particle,tosou=ton,τοσοῦτος,adjective,o(/ti,ὅστις,pronoun,to\,ὁ,article,au)to\,αὐτός,pronoun,w(=|,ὅς,pronoun,kai\,καί,conjunction,e)grhgoro/tes,ἐγείρω,verb,e)n,ἐν,preposition,tai=s,ὁ,article,no/sois,νόσος,noun,a)patw/meqa,ἀπατάω,verb,tou=t',οὗτος,pronoun,au)to\,αὐτός,pronoun,kai\,καί,conjunction,e)n,ἐν,preposition,tw=|,ὁ,article,u(/pnw|,ὕπνον,noun,poiei=,ποιέω,verb,to\,ὁ,article,pa/qos,πάθος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,u(giai/nousi,ὑγιαίνω,verb,de\,δέ,particle,kai\,καί,conjunction,ei)do/sin,οἶδα,verb,o(/mws,ὅμως,conjunction,o(,ὁ,article,h(/lios,ἥλιος,noun,podiai=os,ποδιαῖος,adjective,ei)=nai,εἰμί,verb,dokei=,δοκέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,ei)/te,εἴτε,adverb,dh\,δή,particle,tau)to\n,ταυτός,adjective,ei)/q',εἴθε,interjection,e(/teron,ἕτερος,adjective,to\,ὁ,article,fantastiko\n,φανταστικός,adjective,th=s,ὁ,article,yuxh=s,ψυχή,noun,kai\,καί,conjunction,to\,ὁ,article,ai)sqhtiko/n,αἰσθητικός,adjective,ou)de\n,οὐδείς,pronoun,h(=tton,ἥσσων,adverb,ou),οὐ,adverb,gi/netai,γίγνομαι,verb,a)/neu,ἄνευ,preposition,tou=,ὁ,article,o(ra=n,ὁράω,verb,kai\,καί,conjunction,ai)sqa/nesqai/,αἰσθάνομαι,verb,ti,τις,pronoun,to\,ὁ,article,ga\r,γάρ,particle,parora=n,παροράω,verb,kai\,καί,conjunction,parakou/ein,παρακούω,verb,o(rw=ntos,ὁράω,verb,a)lhqe/s,ἀληθής,adjective,ti,τις,pronoun,kai\,καί,conjunction,a)kou/ontos,ἀκούω,verb,ou),οὐ,adverb,me/ntoi,μέντοι,particle,tou=to,οὗτος,pronoun,o(\,ὅς,pronoun,oi)/etai,οἴομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
