word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS
*prw=ton,πρότερος,adjective,dei=,δέομαι,verb,qe/sqai,τίθημι,verb,ti/,τίς,pronoun,o)/noma,ὄνομα,adjective,kai\,καί,conjunction,ti/,τίς,pronoun,r(h=ma,ῥῆμα,noun,e)/peita,ἔπειτα,adverb,ti/,τίς,pronoun,e)stin,εἰμί,verb,a)po/fasis,ἀπόφασις,noun,kai\,καί,conjunction,kata/fasis,κατάφασις,noun,kai\,καί,conjunction,a)po/fansis,ἀπόφανσις,noun,kai\,καί,conjunction,lo/gos,λόγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)/esti,εἰμί,verb,me\n,μέν,particle,ou)=n,οὖν,particle,ta\,ὁ,article,e)n,ἐν,preposition,th=i,ὁ,article,fwnh=i,φωνή,noun,tw=n,ὁ,article,e)n,ἐν,preposition,th=i,ὁ,article,yuxh=i,ψυχή,noun,paqhma/twn,πάθημα,noun,su/mbola,σύμβολον,noun,kai\,καί,conjunction,ta\,ὁ,article,grafo/mena,γράφω,verb,tw=n,ὁ,article,e)n,ἐν,preposition,th=i,ὁ,article,fwnh=i,φωνή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,w(/sper,ὥσπερ,adverb,ou)de\,οὐδέ,particle,gra/mmata,γράμμα,noun,pa=si,πᾶς,adjective,ta\,ὁ,article,au)ta/,αὐτός,pronoun,o,,,u)de\,,,fwnai\,φωνή,noun,ai(,ὁ,article,au)tai/,αὐτός,pronoun,w(=n,ὅς,pronoun,me/ntoi,μέντοι,particle,tau=ta,οὗτος,pronoun,shmei=a,σημεῖον,noun,prw/tws,πρώτως,adverb,tau)ta\,ταυτός,adjective,pa=si,πᾶς,adjective,paqh/mata,πάθημα,noun,th=s,ὁ,article,yuxh=s,ψυχή,noun,kai\,καί,conjunction,w(=n,ὅς,pronoun,tau=ta,οὗτος,pronoun,o(moiw/mata,ὁμοίωμα,noun,pra/gmata,πρᾶγμα,noun,h)/dh,ἤδη,adverb,tau)ta/,ταυτός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peri\,περί,preposition,me\n,μέν,particle,ou)=n,οὖν,particle,tou/twn,οὗτος,pronoun,ei)/rhtai,ἔρομαι,verb,e)n,ἐν,preposition,toi=s,ὁ,article,peri\,περί,preposition,yuxh=s,ψυχή,noun,a)/llhs,ἄλλος,adjective,ga\r,γάρ,particle,pragmatei/as,πραγματεία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/sti,εἰμί,verb,d',δέ,particle,w(/sper,ὥσπερ,adverb,e)n,ἐν,preposition,th=i,ὁ,article,yuxh=i,ψυχή,noun,o(te\,ὅτε,conjunction,me\n,μέν,particle,no/hma,νόημα,noun,a)/neu,ἄνευ,preposition,tou=,ὁ,article,a)lhqeu/ein,ἀληθεύω,verb,h)\,ἠέ,conjunction,yeu/desqai,ψεύδω,verb,o(te\,ὅτε,conjunction,de\,δέ,particle,h)/dh,ἤδη,adverb,w(=i,ὅς,pronoun,a)na/gkh,ἀνάγκη,noun,tou/twn,οὗτος,pronoun,u(pa/rxein,ὑπάρχω,verb,qa/teron,ἕτερος,adjective,ou(/tw,οὕτως,adverb,kai\,καί,conjunction,e)n,ἐν,preposition,th=i,ὁ,article,fwnh=i,φωνή,noun,peri\,περί,preposition,ga\r,γάρ,particle,su/nqesin,σύνθεσις,noun,kai\,καί,conjunction,diai/resi/n,διαίρεσις,noun,e)sti,εἰμί,verb,to\,ὁ,article,yeu=do\s,ψεῦδος,noun,kai\,καί,conjunction,to\,ὁ,article,a)lhqe/s,ἀληθής,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,o)no/mata,ὄνομα,adjective,au)ta\,αὐτός,pronoun,kai\,καί,conjunction,ta\,ὁ,article,r(h/mata,ῥῆμα,noun,e)/oike,ἔοικα,verb,tw=i,τίς,pronoun,a)/neu,ἄνευ,preposition,sunqe/sews,σύνθεσις,noun,kai\,καί,conjunction,diaire/sews,διαίρεσις,noun,noh/mati,νόημα,noun,oi(=on,οἷος,adjective,to\,ὁ,article,a)/nqrwpos,ἄνθρωπος,noun,h)\,ἠέ,conjunction,leuko/n,λευκός,adjective,o(/tan,ὅταν,conjunction,mh\,μή,conjunction,prosteqh=i,προστίθημι,verb,ti,τις,pronoun,ou)/te,οὔτε,adverb,ga\r,γάρ,particle,yeu=dos,ψεῦδος,noun,ou)/te,οὔτε,adverb,a)lhqe/s,ἀληθής,adjective,pw,πω,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shmei=on,σημεῖον,noun,d',δέ,particle,e)sti\,εἰμί,verb,tou=de,ὅδε,pronoun,kai\,καί,conjunction,ga\r,γάρ,particle,o(,ὁ,article,trage/lafos,τραγέλαφος,noun,shmai/nei,σημαίνω,verb,me/n,μέν,particle,ti,τις,pronoun,ou)/pw,οὔπω,adverb,de\,δέ,particle,a)lhqe\s,ἀληθής,adjective,h)\,ἠέ,conjunction,yeu=dos,ψεῦδος,noun,e)a\n,ἐάν,conjunction,mh\,μή,conjunction,to\,ὁ,article,ei)=nai,εἰμί,verb,h)\,ἠέ,conjunction,mh\,μή,conjunction,ei)=nai,εἰμί,verb,prosteqh=i,προστίθημι,verb,h)\,ἠέ,conjunction,a(plw=s,ἁπλῶς,adverb,h)\,ἠέ,conjunction,kata\,κατά,preposition,xro/non,χρόνος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)/onoma,ὄνομα,adjective,me\n,μέν,particle,ou)=n,οὖν,particle,e)sti\,εἰμί,verb,fwnh\,φωνή,noun,shmantikh\,σημαντικός,adjective,kata\,κατά,preposition,sunqh/khn,συνθήκη,noun,a)/neu,ἄνευ,preposition,xro/nou,χρόνος,noun,h(=s,ὅς,pronoun,mhde\n,μηδείς,pronoun,me/ros,μέρος,noun,e)sti\,εἰμί,verb,shmantiko\n,σημαντικός,adjective,kexwrisme/non,χωρίζω,verb,e)n,ἐν,preposition,ga\r,γάρ,particle,tw=i,ὁ,article,*ka/llippos,Κάλλιππος,proper,to\,ὁ,article,i(/ppos,ἵππος,noun,ou)de\n,οὐδείς,pronoun,au)to\,αὐτός,pronoun,kaq',κατά,preposition,e(auto\,ἑαυτοῦ,pronoun,shmai/nei,σημαίνω,verb,w(/sper,ὥσπερ,adverb,e)n,ἐν,preposition,tw=i,ὁ,article,lo/gwi,λόγος,noun,tw=i,τίς,pronoun,kalo\s,καλός,noun,i(/ppos,ἵππος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,mh\n,μήν,particle,ou)d',οὐδέ,particle,w(/sper,ὥσπερ,adverb,e)n,ἐν,preposition,toi=s,ὁ,article,a(ploi=s,ἁπλόος,adjective,o)no/masin,ὄνομα,adjective,ou(/tws,οὕτως,adverb,e)/xei,ἔχω,verb,kai\,καί,conjunction,e)n,ἐν,preposition,toi=s,ὁ,article,sumpeplegme/nois,συμπλέκω,verb,e)n,ἐν,preposition,e)kei/nois,ἐκεῖνος,pronoun,me\n,μέν,particle,ga\r,γάρ,particle,to\,ὁ,article,me/ros,μέρος,noun,ou)damw=s,οὐδαμός,adverb,shmantiko/n,σημαντικός,adjective,e)n,ἐν,preposition,de\,δέ,particle,tou/tois,οὗτος,pronoun,bou/letai,βούλομαι,verb,me/n,μέν,particle,a)ll',ἀλλά,adverb,ou)deno\s,οὐδείς,pronoun,kexwrisme/non,χωρίζω,verb,oi(=on,οἷος,adjective,e)n,ἐν,preposition,tw=i,ὁ,article,e)paktroke/lhs,ἐπακτροκέλης,noun,to\,ὁ,article,ke/lhs,κέλης,noun,ou)de\n,οὐδείς,pronoun,shmai/nei,σημαίνω,verb,kaq',κατά,preposition,e(auto/,ἑαυτοῦ,pronoun,to\,ὁ,article,de\,δέ,particle,kata\,κατά,preposition,sunqh/khn,συνθήκη,noun,o(/ti,ὅστις,pronoun,fu/sei,φύσις,noun,tw=n,ὁ,article,o)noma/twn,ὄνομα,adjective,ou)de/n,οὐδείς,pronoun,e)stin,εἰμί,verb,a)ll',ἀλλά,adverb,o(/tan,ὅταν,conjunction,ge/nhtai,γίγνομαι,verb,su/mbolon,σύμβολον,noun,e)pei\,ἐπεί,conjunction,dhlou=si/,δηλόω,verb,ge/,γε,particle,ti,τις,pronoun,kai\,καί,conjunction,oi(,ὁ,article,a)gra/mmatoi,ἀγράμματος,adjective,yo/foi,ψόφος,noun,oi(=on,οἷος,adjective,qhri/wn,θηρίον,noun,w(=n,ὅς,pronoun,ou)de/n,οὐδείς,pronoun,e)stin,εἰμί,verb,o)/noma,ὄνομα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*to\,ὁ,article,d',δέ,particle,ou)k,οὐ,adverb,a)/nqrwpos,ἄνθρωπος,noun,ou)k,οὐ,adverb,o)/noma,ὄνομα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
