word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/122/lemma/@_entry,word/122/lemma/@_POS,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS,word/124/@_form,word/124/lemma/@_entry,word/124/lemma/@_POS,word/125/@_form,word/125/lemma/@_entry,word/125/lemma/@_POS,word/126/@_form,word/126/lemma/@_entry,word/126/lemma/@_POS,word/127/@_form,word/127/lemma/@_entry,word/127/lemma/@_POS,word/128/@_form,word/128/lemma/@_entry,word/128/lemma/@_POS,word/129/@_form,word/129/lemma/@_entry,word/129/lemma/@_POS,word/130/@_form,word/130/lemma/@_entry,word/130/lemma/@_POS,word/131/@_form,word/131/lemma/@_entry,word/131/lemma/@_POS,word/132/@_form,word/132/lemma/@_entry,word/132/lemma/@_POS,word/133/@_form,word/133/lemma/@_entry,word/133/lemma/@_POS,word/134/@_form,word/134/lemma/@_entry,word/134/lemma/@_POS,word/135/@_form,word/135/lemma/@_entry,word/135/lemma/@_POS,word/136/@_form,word/136/lemma/@_entry,word/136/lemma/@_POS,word/137/@_form,word/137/lemma/@_entry,word/137/lemma/@_POS,word/138/@_form,word/138/lemma/@_entry,word/138/lemma/@_POS,word/139/@_form,word/139/lemma/@_entry,word/139/lemma/@_POS,word/140/@_form,word/140/lemma/@_entry,word/140/lemma/@_POS,word/141/@_form,word/141/lemma/@_entry,word/141/lemma/@_POS
e)peidh\,ἐπεί,conjunction,pa=san,πᾶς,adjective,po/lin,πόλις,adjective,o(rw=men,ὁράω,verb,koinwni/an,κοινωνία,noun,tina\,τις,pronoun,ou)=san,εἰμί,verb,kai\,καί,conjunction,pa=san,πᾶς,adjective,koinwni/an,κοινωνία,noun,a)gaqou=,ἀγαθός,adjective,tinos,τις,pronoun,e(/neken,ἕνεκα,preposition,sunesthkui=an,συνίστημι,verb,'tou=,ὁ,article,ga\r,γάρ,particle,ei)=nai,εἰμί,verb,dokou=ntos,δοκέω,verb,a)gaqou=,ἀγαθός,adjective,xa/rin,χάρις,noun,pa/nta,πᾶς,adjective,pra/ttousi,πράσσω,verb,pa/ntes',πᾶς,adjective,dh=lon,δῆλος,adjective,w(s,ὡς,conjunction,pa=sai,πᾶς,adjective,me\n,μέν,particle,a)gaqou=,ἀγαθός,adjective,tinos,τις,pronoun,stoxa/zontai,στοχάζομαι,verb,ma/lista,μάλιστα,adverb,de\,δέ,particle,kai\,καί,conjunction,tou=,ὁ,article,kuriwta/tou,κύριος,adjective,pa/ntwn,πᾶς,adjective,h(,ὁ,article,pasw=n,πᾶς,adjective,kuriwta/th,κύριος,adjective,kai\,καί,conjunction,pa/sas,πᾶς,adjective,perie/xousa,περιέχω,verb,ta\s,ὁ,article,a)/llas,ἄλλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au(/th,οὗτος,pronoun,d',δέ,particle,e)sti\n,εἰμί,verb,h(,ὁ,article,kaloume/nh,καλέω,verb,po/lis,πόλις,adjective,kai\,καί,conjunction,h(,ὁ,article,koinwni/a,κοινωνία,noun,h(,ὁ,article,politikh/,πολιτικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/soi,ὅσος,adjective,me\n,μέν,particle,ou)=n,οὖν,particle,oi)/ontai,οἴομαι,verb,politiko\n,πολιτικός,adjective,kai\,καί,conjunction,basiliko\n,βασιλικός,adjective,kai\,καί,conjunction,oi)konomiko\n,οἰκονομικός,adjective,kai\,καί,conjunction,despotiko\n,δεσποτικός,adjective,ei)=nai,εἰμί,verb,to\n,ὁ,article,au)to\n,αὐτός,pronoun,ou),οὐ,adverb,kalw=s,καλός,noun,le/gousin,λέγω,verb,'plh/qei,πλήθω,verb,ga\r,γάρ,particle,kai\,καί,conjunction,o)ligo/thti,ὀλιγότης,noun,nomi/zousi,νομίζω,verb,diafe/rein,διαφέρω,verb,a)ll',ἀλλά,adverb,ou)k,οὐ,adverb,ei)/dei,εἶδος,noun,tou/twn,οὗτος,pronoun,e(/kaston,ἕκαστος,adjective,oi(=on,οἷος,adjective,a)\n,ἄν,particle,me\n,μέν,particle,o)li/gwn,ὀλίγος,adjective,despo/thn,δεσπότης,adjective,a)\n,ἄν,particle,de\,δέ,particle,pleio/nwn,πλείων,verb,oi)kono/mon,οἰκονόμος,noun,a)\n,ἄν,particle,d',δέ,particle,e)/ti,ἔτι,adverb,pleio/nwn,πλείων,verb,politiko\n,πολιτικός,adjective,h)\,ἠέ,conjunction,basiliko/n,βασιλικός,adjective,w(s,ὡς,conjunction,ou)de\n,οὐδείς,pronoun,diafe/rousan,διαφέρω,verb,mega/lhn,μέγας,adverb,oi)ki/an,οἰκία,noun,h)\,ἠέ,conjunction,mikra\n,μικρός,adjective,po/lin,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,politiko\n,πολιτικός,adjective,de\,δέ,particle,kai\,καί,conjunction,basiliko/n,βασιλικός,adjective,o(/tan,ὅταν,conjunction,me\n,μέν,particle,au)to\s,αὐτός,pronoun,e)festh/kh|,ἐφίστημι,verb,basiliko/n,βασιλικός,adjective,o(/tan,ὅταν,conjunction,de\,δέ,particle,kata\,κατά,preposition,tou\s,ὁ,article,lo/gous,λόγος,noun,th=s,ὁ,article,e)pisth/mhs,ἐπιστήμη,noun,th=s,ὁ,article,toiau/ths,τοιοῦτος,adjective,kata\,κατά,preposition,me/ros,μέρος,noun,a)/rxwn,ἄρχων,noun,kai\,καί,conjunction,a)rxo/menos,ἄρχω,verb,politiko/n,πολιτικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau=ta,οὗτος,pronoun,d',δέ,particle,ou)k,οὐ,adverb,e)/stin,εἰμί,verb,a)lhqh)=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dh=lon,δῆλος,adjective,d',δέ,particle,e)/stai,εἰμί,verb,to\,ὁ,article,lego/menon,λέγω,verb,e)piskopou=si,ἐπισκοπέω,verb,kata\,κατά,preposition,th\n,ὁ,article,u(fhghme/nhn,ὑφηγέομαι,verb,me/qodon,μέθοδος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/sper,ὥσπερ,adverb,ga\r,γάρ,particle,e)n,ἐν,preposition,toi=s,ὁ,article,a)/llois,ἄλλος,adjective,to\,ὁ,article,su/nqeton,σύνθετος,adjective,me/xri,μέχρι,preposition,tw=n,ὁ,article,a)sunqe/twn,ἀσύνθετος,adverb,a)na/gkh,ἀνάγκη,noun,diairei=n,διαιρέω,verb,'tau=ta,οὗτος,pronoun,ga\r,γάρ,particle,e)la/xista,ἐλάχιστος,adjective,mo/ria,μόριον,noun,tou=,ὁ,article,panto/s',πᾶς,adjective,ou(/tw,οὕτως,adverb,kai\,καί,conjunction,po/lin,πόλις,adjective,e)c,ἐκ,preposition,w(=n,ὅς,pronoun,su/gkeitai,σύγκειμαι,verb,skopou=ntes,σκοπάω,verb,o)yo/meqa,ὁράω,verb,kai\,καί,conjunction,peri\,περί,preposition,tou/twn,οὗτος,pronoun,ma=llon,μᾶλλον,adverb,ti/,τίς,pronoun,te,τε,particle,diafe/rousin,διαφέρω,verb,a)llh/lwn,ἀλλήλων,pronoun,kai\,καί,conjunction,ei)/,εἰ,conjunction,ti,τις,pronoun,texniko\n,τεχνικός,adjective,e)nde/xetai,ἐνδέχομαι,verb,labei=n,λαμβάνω,verb,peri\,περί,preposition,e(/kaston,ἕκαστος,adjective,tw=n,ὁ,article,r(hqe/ntwn,ἐρῶ,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,dh/,δή,particle,tis,τις,pronoun,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,ta\,ὁ,article,pra/gmata,πρᾶγμα,noun,fuo/mena,φύω,verb,ble/yeien,βλέπω,verb,w(/sper,ὥσπερ,adverb,e)n,ἐν,preposition,toi=s,ὁ,article,a)/llois,ἄλλος,adjective,kai\,καί,conjunction,e)n,ἐν,preposition,tou/tois,οὗτος,pronoun,ka/llist',κάλλιστα,adverb,a)\n,ἄν,particle,ou(/tw,οὕτως,adverb,qewrh/seien,θεωρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)na/gkh,ἀνάγκη,noun,dh\,δή,particle,prw=ton,πρότερος,adjective,sundua/zesqai,συνδυάζω,verb,tou\s,ὁ,article,a)/neu,ἄνευ,preposition,a)llh/lwn,ἀλλήλων,pronoun,mh\,μή,conjunction,duname/nous,δύναμαι,verb,ei)=nai,εἰμί,verb,oi(=on,οἷος,adjective,qh=lu,θῆλυς,adjective,me\n,μέν,particle,kai\,καί,conjunction,a)/rren,ἄρσην,noun,th=s,ὁ,article,gene/sews,γένεσις,noun,e(/neken,ἕνεκα,preposition,'kai\,καί,conjunction,tou=to,οὗτος,pronoun,ou)k,οὐ,adverb,e)k,ἐκ,preposition,proaire/sews,προαίρεσις,noun,a)ll',ἀλλά,adverb,w(/sper,ὥσπερ,adverb,kai\,καί,conjunction,e)n,ἐν,preposition,toi=s,ὁ,article,a)/llois,ἄλλος,adjective,zw/|ois,ζώιον,noun,kai\,καί,conjunction,futoi=s,φυτόν,noun,fusiko\n,φυσικός,adjective,to\,ὁ,article,e)fi/esqai,ἐφίημι,verb,oi(=on,οἷος,adjective,au)to/,αὐτός,pronoun,toiou=ton,τοιοῦτος,adjective,katalipei=n,καταλιμπάνω,verb,e(/teron',ἕτερος,adjective,a)/rxon,ἄρχω,verb,de\,δέ,particle,kai\,καί,conjunction,a)rxo/menon,ἄρχω,verb,fu/sei,φύσις,noun,dia\,διά,preposition,th\n,ὁ,article,swthri/an,σωτηρία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,duna/menon,δύναμαι,verb,th=|,ὁ,article,dianoi/a|,διάνοια,noun,proora=n,προοράω,verb,a)/rxon,ἄρχων,noun,fu/sei,φύσις,noun,kai\,καί,conjunction,despo/zon,δεσπόζω,verb,fu/sei,φύσις,noun,to\,ὁ,article,de\,δέ,particle,duna/menon,δύναμαι,verb,tw=|,ὁ,article,sw/mati,σῶμα,adjective,tau=ta,οὗτος,pronoun,ponei=n,πονέω,verb,a)rxo/menon,ἄρχω,verb,kai\,καί,conjunction,fu/sei,φύσις,noun,dou=lon,δοῦλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
