word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS
e)paineta\,ἐπαινετός,adjective,me/n,μέν,particle,e)sti,εἰμί,verb,ta\,ὁ,article,kala/,καλός,noun,yekta\,ψεκτός,adjective,de\,δέ,particle,ta\,ὁ,article,ai)sxra/,αἰσχρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tw=n,ὁ,article,me\n,μέν,particle,kalw=n,κάλη,adjective,h(gou=ntai,ἡγέομαι,verb,ai(,ὁ,article,a)retai/,ἀρετή,noun,tw=n,ὁ,article,d',δέ,particle,ai)sxrw=n,αἰσχρός,adjective,ai(,ὁ,article,kaki/ai,κακία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)paineta\,ἐπαινετός,adjective,d',δέ,particle,e)sti\,εἰμί,verb,kai\,καί,conjunction,ta\,ὁ,article,ai)/tia,αἴτιος,adjective,tw=n,ὁ,article,a)retw=n,ἀρετή,noun,kai\,καί,conjunction,ta\,ὁ,article,parepo/mena,παρέπομαι,verb,tai=s,ὁ,article,a)retai=s,ἀρετή,noun,kai\,καί,conjunction,ta\,ὁ,article,gino/mena,γίγνομαι,verb,a)p',ἀπό,preposition,au)tw=n,αὐτός,pronoun,kai\,καί,conjunction,ta\,ὁ,article,e)/rga,ἔργον,noun,au)tw=n,αὐτός,pronoun,yekta\,ψεκτός,adjective,de\,δέ,particle,ta\,ὁ,article,e)nanti/a,ἐναντίος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trimerou=s,τριμερής,adverb,de\,δέ,particle,th=s,ὁ,article,yuxh=s,ψυχή,noun,lambanome/nhs,λαμβάνω,verb,kata\,κατά,preposition,*pla/twna,Πλάτων,proper,tou=,ὁ,article,me\n,μέν,particle,logistikou=,λογιστικός,adjective,a)reth/,ἀρετή,noun,e)stin,εἰμί,verb,h(,ὁ,article,fro/nhsis,φρόνησις,noun,tou=,ὁ,article,de\,δέ,particle,qumoeidou=s,θυμοειδής,adverb,h(/,ὅς,pronoun,te,τε,particle,prao/ths,πραότης,noun,kai\,καί,conjunction,h(,ὁ,article,a)ndrei/a,ἀνδρεία,noun,tou=,ὁ,article,de\,δέ,particle,e)piqumhtikou=,ἐπιθυμητικός,adjective,h(/,ὅς,pronoun,te,τε,particle,swfrosu/nh,σωφροσύνη,noun,kai\,καί,conjunction,h(,ὁ,article,e)gkra/teia,ἐγκράτεια,adjective,o(/lhs,ὅλος,adjective,de\,δέ,particle,th=s,ὁ,article,yuxh=s,ψυχή,noun,h(/,ὅς,pronoun,te,τε,particle,dikaiosu/nh,δικαιοσύνη,noun,kai\,καί,conjunction,h(,ὁ,article,e)leuqerio/ths,ἐλευθεριότης,noun,kai\,καί,conjunction,h(,ὁ,article,megaloyuxi/a,μεγαλοψυχία,noun,,,,,,,,,,,,,,,
kaki/a,κακία,noun,d',δέ,particle,e)sti\,εἰμί,verb,tou=,ὁ,article,me\n,μέν,particle,logistikou=,λογιστικός,adjective,h(,ὁ,article,a)frosu/nh,ἀφροσύνη,noun,tou=,ὁ,article,de\,δέ,particle,qumoeidou=s,θυμοειδής,adverb,h(/,ὅς,pronoun,te,τε,particle,o)rgilo/ths,ὀργιλότης,noun,kai\,καί,conjunction,h(,ὁ,article,deili/a,δειλία,noun,tou=,ὁ,article,de\,δέ,particle,e)piqumhtikou=,ἐπιθυμητικός,adjective,h(/,ὅς,pronoun,te,τε,particle,a)kolasi/a,ἀκολασία,noun,kai\,καί,conjunction,h(,ὁ,article,a)kra/teia,ἀκράτεια,adjective,o(/lhs,ὅλος,adjective,de\,δέ,particle,th=s,ὁ,article,yuxh=s,ψυχή,noun,h(/,ὅς,pronoun,te,τε,particle,a)diki/a,ἀδικία,noun,kai\,καί,conjunction,a)neleuqerio/ths,ἀνελευθεριότης,noun,kai\,καί,conjunction,mikroyuxi/a,μικροψυχία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/sti,εἰμί,verb,de\,δέ,particle,fro/nhsis,φρόνησις,noun,me\n,μέν,particle,a)reth\,ἀρετή,noun,tou=,ὁ,article,logistikou=,λογιστικός,adjective,paraskeuastikh\,παρασκευαστικός,adjective,tw=n,ὁ,article,pro\s,πρός,preposition,eu)daimoni/an,εὐδαιμονία,noun,sunteino/ntwn,συντείνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prao/ths,πραότης,noun,d',δέ,particle,e)sti\n,εἰμί,verb,a)reth\,ἀρετή,noun,tou=,ὁ,article,qumoeidou=s,θυμοειδής,adverb,kaq',κατά,preposition,h(\n,ὅς,pronoun,u(po\,ὑπό,preposition,o)rgh=s,ὀργή,noun,gi/nontai,γίγνομαι,verb,duski/nhtoi,δυσκίνητος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ndrei/a,ἀνδρεία,noun,d',δέ,particle,e)sti\n,εἰμί,verb,a)reth\,ἀρετή,noun,tou=,ὁ,article,qumoeidou=s,θυμοειδής,adverb,kaq',κατά,preposition,h(\n,ὅς,pronoun,duse/kplhktoi/,δυσέκπληκτος,adjective,ei)sin,εἰμί,verb,u(po\,ὑπό,preposition,fo/bwn,φόβος,noun,tw=n,ὁ,article,peri\,περί,preposition,qa/naton,θάνατος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swfrosu/nh,σωφροσύνη,noun,d',δέ,particle,e)sti\n,εἰμί,verb,a)reth\,ἀρετή,noun,tou=,ὁ,article,e)piqumhtikou=,ἐπιθυμητικός,adjective,kaq',κατά,preposition,h(\n,ὅς,pronoun,a)no/rektoi,ἀνόρεκτος,adjective,gi/nontai,γίγνομαι,verb,peri\,περί,preposition,ta\s,ὁ,article,a)polau/seis,ἀπόλαυσις,noun,tw=n,ὁ,article,fau/lwn,φαῦλος,adjective,h(donw=n,ἡδονά,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gkra/teia,ἐγκράτεια,adjective,d',δέ,particle,e)sti\n,εἰμί,verb,a)reth\,ἀρετή,noun,tou=,ὁ,article,e)piqumhtikou=,ἐπιθυμητικός,adjective,kaq',κατά,preposition,h(\n,ὅς,pronoun,kate/xousi,κατέχω,verb,tw=|,ὁ,article,logismw=|,λογισμός,noun,th\n,ὁ,article,e)piqumi/an,ἐπιθυμία,noun,o(rmw=san,ὁρμάω,verb,e)pi\,ἐπί,preposition,ta\s,ὁ,article,fau/las,φαῦλος,adjective,h(dona/s,ἡδονά,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
