word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/31/lemma/@_entry,word/31/lemma/@_POS
h(gei=sqai,ἡγέομαι,verb,me\n,μέν,particle,th=s,ὁ,article,pa/shs,πᾶς,adjective,stratia=s,στρατία,noun,tou\s,ὁ,article,katasko/pous,κατάσκοπος,noun,i(ppe/as,ἱππεύς,noun,e)pi\,ἐπί,preposition,duoi=n,δύο,adjective,tetagme/nous,τάσσω,verb,su\n,σύν,preposition,tw=|,ὁ,article,oi)kei/w|,οἰκεῖος,adjective,h(gemo/ni,ἡγεμών,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pi\,ἐπί,preposition,tou/tois,οὗτος,pronoun,de\,δέ,particle,tou\s,ὁ,article,i(ppotoco/tas,ἱπποτοξότης,noun,tou\s,ὁ,article,*petrai/ous,Πετραῖος,proper,kai\,καί,conjunction,tou/tous,οὗτος,pronoun,e)pi\,ἐπί,preposition,duoi=n,δύο,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)go/ntwn,ἄγω,verb,de\,δέ,particle,au)tou\s,αὐτός,pronoun,oi(,ὁ,article,deka/darxoi,δεκάδαρχος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pi\,ἐπί,preposition,de\,δέ,particle,tou/tois,οὗτος,pronoun,e)piteta/xqwn,ἐπιτάσσω,verb,oi(,ὁ,article,a)po\,ἀπό,preposition,th=s,ὁ,article,i)/lhs,ἴλη,noun,h(=|tini,ὅστις,pronoun,*au)rianoi\,,,o)/noma,ὄνομα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunteta/xqwn,συντάσσω,verb,de\,δέ,particle,au)toi=s,αὐτός,pronoun,oi(,ἕ,pronoun,th=s,ὁ,article,spei/ras,σπείρω,verb,th=s,ὁ,article,teta/rths,τέταρτος,adjective,tw=n,ὁ,article,*(raitw=n,,,h(=s,ὅς,pronoun,a)/rxwn,ἄρχων,noun,*da/fnhs,Δάφνη,proper,*kori/nqios,Κορίνθιος,proper,e)pi\,ἐπί,preposition,tou/tois,οὗτος,pronoun,de\,δέ,particle,oi(,ὁ,article,a)po\,ἀπό,preposition,th=s,ὁ,article,i)/lhs,ἴλη,noun,h(=|,ὅς,pronoun,o)/noma,ὄνομα,adjective,*kolw=nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunteta/xqwn,συντάσσω,verb,de\,δέ,particle,au)toi=s,αὐτός,pronoun,*)itourai=oi,,,kai\,καί,conjunction,*kurhnai=oi,Κυρηναῖος,proper,kai\,καί,conjunction,oi(,ὁ,article,a)po\,ἀπό,preposition,th=s,ὁ,article,prw/ths,πρότερος,adjective,*(raitikh=s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sumpa/ntwn,σύμπας,adjective,de\,δέ,particle,tou/twn,οὗτος,pronoun,a)rxe/tw,ἄρχω,verb,*dhmh/trios,Δημήτριος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pi\,ἐπί,preposition,tou/tois,οὗτος,pronoun,de\,δέ,particle,oi(,ὁ,article,*keltoi\,Κελτός,proper,i(pph=s,ἱππεύς,noun,kai\,καί,conjunction,ou(=toi,οὗτος,pronoun,e)pi\,ἐπί,preposition,duoi=n,δύο,adjective,kai\,καί,conjunction,tou/twn,οὗτος,pronoun,h(gei/sqw,ἡγέομαι,verb,e(kato/ntarxos,ἑκατόνταρχος,noun,w(/sper,ὥσπερ,adverb,e)pi\,ἐπί,preposition,stratope/dou,στρατόπεδον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pezoi\,πεζός,adjective,de\,δέ,particle,e)pi\,ἐπί,preposition,tou/tois,οὗτος,pronoun,teta/xqwn,τάσσω,verb,ta\,ὁ,article,shmei=a,σημεῖον,noun,a)natetame/na,ἀνατείνω,verb,pro\,πρό,preposition,sfw=n,σφεῖς,pronoun,e)/xontes,ἔχω,verb,oi(/,ἕ,pronoun,te,τε,particle,*)italoi\,Ἰταλός,proper,kai\,καί,conjunction,*kurhnai/wn,Κυρηναῖος,proper,oi(,ἕ,pronoun,paro/ntes,πάρειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa/ntwn,πᾶς,adjective,de\,δέ,particle,h(gei/sqw,ἡγέομαι,verb,*pou/lxer,,,o(/sper,ὅς,pronoun,a)/rxei,ἄρχω,verb,toi=s,ὁ,article,*)italoi=s,Ἰταλός,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*bosporanoi\,,,de\,δέ,particle,e)pi\,ἐπί,preposition,tou/tois,οὗτος,pronoun,pezoi\,πεζός,adjective,i)o/ntwn,εἶμι,verb,h(gemo/na,ἡγεμών,noun,parexo/menoi,παρέχω,verb,*lamprokle/a,Λαμπροκλῆς,proper,kai\,καί,conjunction,oi(,ὁ,article,*noma/des,νομάς,noun,e)pi\,ἐπί,preposition,tou/tois,οὗτος,pronoun,u(potetagme/noi,ὑποτάσσω,verb,*ou)h/rw|,,,tw=|,ὁ,article,sfete/rw|,σφέτερος,adjective,a)/rxonti,ἄρχων,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,ta/cis,τάξις,noun,de\,δέ,particle,e)/stw,εἰμί,verb,e)s,εἰς,preposition,o(pli/tas,ὁπλίτης,noun,te/ssaras,τέσσαρες,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)tw=n,αὐτός,pronoun,de\,δέ,particle,tou/twn,οὗτος,pronoun,o(/soi,ὅσος,adjective,toco/tai,τοξότης,noun,h(gei/sqwn,ἡγέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\s,ὁ,article,de\,δέ,particle,pleura\s,πλευρά,noun,th=s,ὁ,article,ta/cews,τάξις,noun,fulasso/ntwn,φυλάσσω,verb,e(kate/rwqen,ἑκατέρωθεν,adverb,oi(,ὁ,article,i(ppei=s,ἱππεύς,noun,oi(,ὁ,article,*)akei=oi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pi\,ἐπί,preposition,de\,δέ,particle,tou/tois,οὗτος,pronoun,oi(,ὁ,article,e)pi/lektoi,ἐπίλεκτος,adjective,i(ppei=s,ἱππεύς,noun,i)o/ntwn,εἶμι,verb,kai\,καί,conjunction,e)pi\,ἐπί,preposition,tou/tois,οὗτος,pronoun,oi(,ὁ,article,a)po\,ἀπό,preposition,th=s,ὁ,article,fa/laggos,φάλαγξ,noun,i(pph=s,ἱππεύς,noun,e)/peita,ἔπειτα,adverb,oi(,ἕ,pronoun,katape/ltai,,,e)/peita,ἔπειτα,adverb,to\,ὁ,article,shmei=on,σημεῖον,noun,th=s,ὁ,article,pentekaideka/ths,πεντεκαιδέκατος,adjective,fa/laggos,φάλαγξ,noun,kai\,καί,conjunction,a)mf',ἀμφί,preposition,au)tw=|,αὐτός,pronoun,o(,ὁ,article,h(gemw\n,ἡγεμών,noun,th=s,ὁ,article,fa/laggos,φάλαγξ,noun,*ou)a/lhs,kai\,καί,conjunction,o(,ὁ,article,u(/parxos,ὕπαρχος,noun,kai\,καί,conjunction,oi(,ὁ,article,xili/arxoi,χιλίαρχος,noun,oi(=s,ὅς,pronoun,te/taktai,τάσσω,verb,kai\,καί,conjunction,oi(,ὁ,article,e(kato/ntarxoi,ἑκατόνταρχος,noun,oi(,ἕ,pronoun,th=s,ὁ,article,prw/ths,πρότερος,adjective,spei/ras,σπείρω,verb,e)pista/tai,ἐπιστάτη,noun,,
pro\,πρό,preposition,de\,δέ,particle,tou=,ὁ,article,shmei/ou,σημεῖον,noun,au)=,αὖ,interjection,tw=n,ὁ,article,pezw=n,πεζός,adjective,oi(,ὁ,article,a)kontistai\,ἀκοντιστής,noun,teta/xqwn,τάσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
