word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/20/lemma/@_entry,word/20/lemma/@_POS,word/22/lemma/@_entry,word/22/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/52/lemma/@_entry,word/52/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS
o(,ὁ,article,*pu/rrou,Πύρρος,proper,pai=s,πᾶς,adjective,kai\,καί,conjunction,*kle/arxos,Κλέαρχος,proper,ou)x,οὐ,adverb,o(,ὁ,article,tw=n,ὁ,article,muri/wn,μυρίος,adjective,*(ellh/nwn,Ἕλλην,proper,e)pi\,ἐπί,preposition,basile/a,βασιλεύς,noun,h(ghsa/menos,ἡγέομαι,verb,a)ll',ἀλλά,adverb,a)/llos,ἄλλος,adjective,ou(=tos,οὗτος,pronoun,*kle/arxos,Κλέαρχος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,mh\n,μήν,particle,kai\,καί,conjunction,*pausani/ou,Παυσανίης,proper,e)sti\,εἰμί,verb,sugra/mmata,,,u(pe\r,ὑπέρ,preposition,tou/twn,οὗτος,pronoun,eu(/rois,εὑρίσκω,verb,d',δέ,particle,a)\n,ἄν,particle,kai\,καί,conjunction,*eu)agge/lou,Εὐάγγελος,proper,a)/tta,ἄττα,interjection,kai\,καί,conjunction,*polubi/ou,Πολύβιος,proper,tou=,ὁ,article,*)arka/dos,Ἀρκάς,proper,o(\s,ὅς,pronoun,kai\,καί,conjunction,*skhpi/wni,tw=|,ὁ,article,*(rwmai/w|,sunege/neto,συγγίγνομαι,verb,pollou\s,πολύς,adjective,kai\,καί,conjunction,mega/lous,μέγας,adverb,pole/mous,πόλεμος,noun,diapolemou=nti,διαπολεμέω,verb,a)/llous,ἄλλος,adjective,te,τε,particle,kai\,καί,conjunction,e)n,ἐν,preposition,w(=|,ὅς,pronoun,*karxhdo/na,Καρχηδών,proper,th\n,ὁ,article,e)n,ἐν,preposition,*libu/h|,Λιβύη,proper,ei(=le/n,αἱρέω,verb,te,τε,particle,kai\,καί,conjunction,h)ndrapo/disen,ἀνδραποδίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sugge/graptai,συγγράφω,verb,de\,δέ,particle,a)/tta,ἄττα,interjection,u(pe\r,ὑπέρ,preposition,tou/twn,οὗτος,pronoun,kai\,καί,conjunction,*eu)pole/mw|,Εὐπόλεμος,proper,kai\,καί,conjunction,*)ifikra/tei,Ἰφικράτης,proper,ou),οὐ,adverb,tw=|,ὁ,article,*)aqhnai/wn,Ἀθήναια,proper,strathgw=|,στρατηγός,noun,a)ll',ἀλλά,adverb,a)/llw|,ἄλλος,adjective,tou/tw|,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*poseidw/nios,Ποσειδώνιος,proper,de\,δέ,particle,o(,ὁ,article,*(ro/dios,,,kai\,καί,conjunction,te/xnhn,τέχνη,noun,tina\,τις,pronoun,taktikh\n,τακτικός,adjective,suggra/yas,συγγράφω,verb,kate/lipen,καταλιμπάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/sti,εἰμί,verb,de\,δέ,particle,su/mpanta,σύμπας,adjective,tau=ta,οὗτος,pronoun,ta\,ὁ,article,suggra/mmata,σύγγραμμα,noun,e)kei/nh|,ἐκεῖνος,pronoun,ma/lista,μάλιστα,adverb,ou)k,οὐ,adverb,w)fe/lima,ὠφέλιμος,adjective,o(/ti,ὅστις,pronoun,w(s,ὡς,conjunction,pro\s,πρός,preposition,ei)do/tas,οἶδα,verb,sugge/graptai,συγγράφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,toi/nun,τοίνυν,particle,ta\,ὁ,article,o)no/mata,ὄνομα,adjective,th=s,ὁ,article,te,τε,particle,o(pli/sews,ὅπλισις,noun,e(ka/sths,ἕκαστος,adjective,kai\,καί,conjunction,th=s,ὁ,article,ta/cews,τάξις,noun,oi(\,ἕ,pronoun,me\n,μέν,particle,w(s,ὡς,conjunction,gnw/rima,γνώριμος,adjective,a)ne/grayan,ἀναγράφω,verb,ta\,ὁ,article,de/,δέ,particle,e)stin,εἰμί,verb,ei),εἰ,conjunction,mh\,e)chgh/saio,ἐξηγέομαι,verb,pa/nth,a)/gnwsta,ἄγνωστος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μή,conjunction,πάντῃ,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=to,οὗτος,pronoun,de\,δέ,particle,au)to\,αὐτός,pronoun,e)/doce/,δοκέω,verb,moi,ἐγώ,pronoun,prw=ton,πρότερος,adjective,i)a/sasqai,ἰάομαι,verb,au)tw=n,αὐτός,pronoun,th\n,ὁ,article,a)sa/feian,ἀσάφεια,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,ou)=n,οὖν,particle,eu)gnwsto/tata,εὔγνωστος,adjective,e)/stai,εἰμί,verb,toi=s,ὁ,article,e)ntugxa/nousi,ἐντυγχάνω,verb,ta/,τίς,pronoun,te,τε,particle,pra/gmata,πρᾶγμα,noun,kai\,καί,conjunction,ta\,ὁ,article,o)no/mata,ὄνομα,adjective,e)nqe/nde,ἐνθένδε,adverb,tou=,ὁ,article,lo/gou,λόγος,noun,a)/rcomai,ἄρχω,verb,o(/ti,ὅστις,pronoun,dh\,δή,particle,tw=n,ὁ,article,paraskeuw=n,παρασκευή,noun,tw=n,e)s,εἰς,preposition,to\n,po/lemon,πόλεμος,noun,h(\,ὅς,pronoun,me/n,μέν,particle,tis,τις,pronoun,kata\,κατά,preposition,gh=n,γῆ,noun,tugxa/nei,τυγχάνω,verb,ou)=sa,εἰμί,verb,h(\,ὅς,pronoun,de\,δέ,particle,dia\,διά,preposition,qala/sshs,θάλασσα,noun,,,,,,,,,,,,,,,,,,,,,,ὁ,article,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,oi(,ὁ,article,pole/mioi,πολέμιος,adjective,polemou=ntai,πολεμέω,verb,oi(\,ἕ,pronoun,me\n,μέν,particle,e)n,ἐν,preposition,gh=|,γῆ,noun,oi(\,ἕ,pronoun,d',δέ,particle,e)n,ἐν,preposition,qala/ssh|,θάλασσα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=n,ὁ,article,de\,δέ,particle,o(/pws,ὅπως,conjunction,ou)=n,οὖν,particle,polemou/ntwn,πολεμέω,verb,to\,ὁ,article,me/n,μέν,particle,ti/,τίς,pronoun,e)sti,εἰμί,verb,ma/ximon,μάχιμος,adjective,au)toi\,αὐτός,pronoun,oi(,ὁ,article,stratiw=tai,στρατιώτης,adjective,to\,ὁ,article,de\,δέ,particle,tou=,ὁ,article,maxi/mou,μάχιμος,adjective,e(/neka,ἕνεκα,preposition,h)qroisme/non,ἀθροίζω,verb,o(/son,ὅσος,adjective,qhtiko\n,h)\,ἠέ,conjunction,i)atriko\n,h)\,ἠέ,conjunction,e)mporiko\n,ἐμπορικός,adjective,h)\,ἠέ,conjunction,kaphliko/n,καπηλικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,θητικός,adjective,ἰατρικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
