word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/54/lemma/@_entry,word/54/lemma/@_POS
*)/artemin,Ἄρτεμις,proper,ou),οὐ,adverb,ga\r,γάρ,particle,e)lafro\n,ἐλαφρός,adjective,a)eido/ntessi,ἀείδω,verb,laqe/sqai),λανθάνω,verb,u(mne/omen,ὑμνέω,verb,th=i,τῇ,adverb,to/ca,τόξον,noun,lagwboli/ai,λαγωβολία,noun,te,τε,particle,me/lontai,μέλω,verb,kai\,καί,conjunction,xoro\s,χορός,noun,a)mfilafh\s,ἀμφιλαφής,adverb,kai\,καί,conjunction,e)n,ἐν,preposition,ou)/resin,ὄρος,adjective,e(yia/asqai,ἑψιάομαι,verb,a)/rxmenoi,w(s,ὡς,conjunction,o(/te,ὅστε,pronoun,patro\s,πατήρ,noun,e)fezome/nh,ἐφέζομαι,verb,gona/tessi,γόνυ,noun,pai=s,πᾶς,adjective,e)/ti,ἔτι,adverb,kouri/zousa,κουρίζω,verb,ta/de,ὅδε,pronoun,prose/eipe,προσεῖπον,verb,gonh=a,γονεύς,noun,'do/s,δίδωμι,verb,moi,ἐγώ,pronoun,parqeni/hn,παρθενία,noun,ai)w/nion,αἰώνιος,adjective,a)/ppa,ἄππας,noun,fula/ssein,φυλάσσω,verb,kai\,καί,conjunction,poluwnumi/hn,πολυωνυμία,adjective,i(/na,ἵνα,conjunction,mh/,μή,conjunction,moi,ἐγώ,pronoun,*foi=bos,Φοῖβος,proper,e)ri/zhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do\s,δίδωμι,verb,d',δέ,particle,i)ou\s,ἰός,adjective,kai\,καί,conjunction,to/ca,τόξον,noun,e)/a,ἀίω,verb,pa/ter,πατήρ,noun,ou)/,οὐ,adverb,se,σύ,pronoun,fare/trhn,φαρέτρα,noun,ou)d',οὐδέ,particle,ai)te/w,αἰτέω,verb,me/ga,μέγας,adverb,to/con,τόξον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)moi\,ἐγώ,pronoun,*ku/klwpes,Κύκλωψ,proper,o)istou\s,ὀιστός,adjective,au)ti/ka,αὐτίκα,adverb,texnh/sontai,τεχνάομαι,verb,e)moi\,ἐγώ,pronoun,d',δέ,particle,eu)kampe\s,εὐκαμπής,adjective,a)/emma,ἄεμμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,faesfori/hn,φαεσφορία,noun,te,τε,particle,kai\,καί,conjunction,e)s,εἰς,preposition,go/nu,γόνυ,noun,me/xri,μέχρι,preposition,xitw=na,χιτών,adjective,zw/nnusqai,ζώννυμι,verb,legnwto/n,λεγνωτός,adjective,i(/n',ἵνα,conjunction,a)/gria,ἄγριος,adjective,qhri/a,θηρίον,noun,kai/nw,καίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do\s,δίδωμι,verb,de/,δέ,particle,moi,ἐγώ,pronoun,e(ch/konta,ἑξήκοντα,adjective,xori/tidas,χόριτις,noun,*)wkeani/nas,Ὠκεανίνη,proper,pa/sas,πᾶς,adjective,ei)ne/teas,,,pa/sas,πᾶς,adjective,e)/ti,ἔτι,adverb,pai=das,παῖς,adjective,a)mi/trous,ἄμιτρος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do\s,δίδωμι,verb,de/,δέ,particle,moi,ἐγώ,pronoun,a)mfipo/lous,ἀμφίπολος,adjective,*)amnisi/das,,,ei)/kosi,εἴκοσι,verb,nu/mfas,νύμφη,noun,ai(/,ὅς,pronoun,te/,τε,particle,moi,ἐγώ,pronoun,e)ndromi/das,ἐνδρομίς,noun,te,τε,particle,kai/,καί,conjunction,o(ppo/te,ὁπότε,adverb,mhke/ti,μηκέτι,adverb,lu/gkas,λύγξ,noun,mh/t',μήτε,particle,e)la/fous,ἔλαφος,noun,ba/lloimi,βάλλω,verb,qoou\s,ku/nas,κύων,noun,eu)=,εὖ,adverb,kome/oien,κομάω,verb,do\s,δίδωμι,verb,de/,δέ,particle,moi,ἐγώ,pronoun,ou)/rea,ὄρος,adjective,pa/nta,πᾶς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,θοός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/lin,πόλις,adjective,de/,δέ,particle,moi,ἐγώ,pronoun,h(/ntina,ὅστις,pronoun,nei=mon,νέμω,verb,h(/ntina,ὅστις,pronoun,lh=is,λάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparno\n,σπαρνός,adjective,ga\r,γάρ,particle,o(/t',ὅτε,conjunction,*)/artemis,Ἄρτεμις,proper,a)/stu,ἄστυ,noun,ka/teisin,κάτειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/resin,ὄρος,adjective,oi)kh/sw,οἰκέω,verb,po/lesin,πόλις,adjective,d',δέ,particle,e)pimei/comai,ἐπιμίγνυμι,verb,a)ndrw=n,ἀνήρ,noun,mou=non,μόνος,adjective,o(/t',ὅτε,conjunction,o)cei/hisin,,,u(p',ὑπό,preposition,w)di/nessi,ὠδίς,adjective,gunai=kes,γυνή,noun,teiro/menai,τείρω,verb,kale/ousi,καλέω,verb,bohqo/on,βοηθόος,adjective,h(=isi/,ἵημι,verb,me,ἐγώ,pronoun,*moi=rai,Μοῖρα,proper,geinome/nhn,γείνομαι,verb,to\,prw=ton,πρότερος,adjective,e)peklh/rwsan,ἐπικληρόω,verb,a)rh/gein,ἀρήγω,verb,o(/tti,ὅστις,pronoun,me,ἐγώ,pronoun,kai\,καί,conjunction,ti/ktousa,τίκτω,verb,kai\,καί,conjunction,ou)k,οὐ,adverb,h)/lghse,ἀλγέω,verb,fe/rousa,φέρω,verb,mh/thr,μήτηρ,noun,a)ll',ἀλλά,adverb,a)moghti\,ἀμογητί,adverb,fi/lwn,φίλος,adjective,a)peqh/kato,ἀποτίθημι,verb,gui/wn',γυῖον,noun,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(\s,ὅς,pronoun,h(,ὁ,article,pai=s,πᾶς,adjective,ei)pou=sa,εἶπον,verb,geneia/dos,γενειάς,noun,h)/qele,ἐθέλω,verb,patro\s,πατήρ,noun,a(/yasqai,ἅπτω,verb,polla\s,πολύς,adjective,de\,δέ,particle,ma/thn,μάτην,adverb,e)tanu/ssato,τανύω,verb,xei=ras,χείρ,noun,me/xris,μέχρι,preposition,i(/na,ἵνα,conjunction,yau/seie,ψαύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
