word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/56/lemma/@_entry,word/56/lemma/@_POS,word/62/lemma/@_entry,word/62/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS
th\n,ὁ,article,i(erh/n,ἱερός,adjective,w)=,ὦ,interjection,qume/,θυμός,noun,ti/na,τίς,pronoun,xro/non,χρόνος,noun,h)\,ἠέ,conjunction,po/t',πότις,adjective,a)ei/seis,ἀείδω,verb,dh=lon,δῆλος,adjective,*)apo/llwnos,Ἀπόλλων,proper,kourotro/fon,κουροτρόφος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=,ἦ,adverb,me\n,μέν,particle,a(/pasai,ἅπας,adjective,*kukla/des,Κυκλάδες,proper,ai(\,ὅς,pronoun,nh/swn,νῆσος,noun,i(erw/tatai,ἱερός,adjective,ei)n,ἐν,preposition,a(li\,ἁλίς,noun,kei=ntai,κεῖμαι,verb,eu)/umnoi,εὔυμνος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dh=los,δῆλος,adjective,d',δέ,particle,e)qe/lei,ἐθέλω,verb,ta\,ὁ,article,prw=ta,πρότερος,adjective,fe/resqai,φέρω,verb,e)k,ἐκ,preposition,*mouse/wn,Μοῦσα,proper,o(/ti,ὅστις,pronoun,*foi=bon,Φοῖβος,proper,a)oida/wn,ἀοιδός,noun,mede/onta,μεδέων,verb,lou=se/,λούω,verb,te,τε,particle,kai\,καί,conjunction,spei/rwse,σπειρόω,verb,kai\,καί,conjunction,w(s,ὡς,conjunction,qeo\n,θεός,noun,h)/inese,αἰνέω,verb,prw/th,πρότερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,*mou=sai,Μοῦσα,proper,to\n,ὁ,article,a)oido\n,ἀοιδός,noun,o(\,ὅς,pronoun,mh\,μή,conjunction,*pi/mpleian,Πίμπλεια,proper,a)ei/shi,,,e)/xqousin,ἔχθω,verb,tw\s,τώς,adverb,*foi=bos,Φοῖβος,proper,o(/tis,ὅστις,pronoun,*dh/loio,Δῆλος,proper,la/qhtai,λανθάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*dh/lwi,Δῆλος,proper,nu=n,νῦν,adverb,oi)/mhs,οἴμη,noun,a)poda/ssomai,ἀποδατέομαι,verb,w(s,ὡς,conjunction,a)\n,ἄν,particle,*)apo/llwn,Ἀπόλλων,proper,*ku/nqios,Κύνθος,proper,ai)nh/shi,,,me,ἐγώ,pronoun,fi/lhs,φίλος,adjective,a)le/gonta,ἀλέγω,verb,tiqh/nhs,τιθήνη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kei/nh,ἐκεῖνος,pronoun,d',δέ,particle,h)nemo/essa,ἠνεμόεις,adjective,kai\,καί,conjunction,a)/tropos,ἄτροπος,adjective,oi(=a/,οἷος,adjective,q',τε,particle,a(liplh/c,ἁλίπληκτος,adjective,ai)qui/his,,,kai\,καί,conjunction,ma=llon,μᾶλλον,adverb,e)pi/dromos,ἐπίδρομος,adjective,h)e/per,ἠπειρωτικός,adjective,i(/ppois,ἵππος,noun,po/ntwi,πόντος,noun,e)nesth/riktai,ἐνστηρίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\,ὅς,pronoun,d',δέ,particle,a)mfi/,ἀμφί,preposition,e(,ἕ,pronoun,poulu\s,πολύς,adjective,e(li/sswn,ἑλίσσω,verb,*)ikari/ou,Ἰκάριος,proper,pollh\n,πολύς,adjective,a)poma/ssetai,ἀπομάσσω,verb,u(/datos,ὕδωρ,noun,a)/xnhn,ἄχνη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=i,τίς,pronoun,sfe,σφεῖς,pronoun,kai\,καί,conjunction,i)xqubolh=es,ἰχθυβολεύς,noun,a(li/plooi,ἁλίπλοος,adjective,e)nna/ssanto,ἐνναίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla/,ἀλλά,adverb,oi(,ἕ,pronoun,ou),οὐ,adverb,nemeshto\n,νεμεσητός,adjective,e)ni\,ἐν,preposition,prw/thisi,,,le/gesqai,λέγω,verb,o(ppo/t',ὁπότε,adverb,e)s,εἰς,preposition,*)wkeano/n,Ὠκεανός,proper,te,τε,particle,kai\,καί,conjunction,e)s,εἰς,preposition,*tithni/da,Τιτανίς,proper,*thqu/n,Τηθύς,proper,nh=soi,νῆσος,noun,a)olli/zontai,ἀολλίζω,verb,a)ei\,ἀεί,adverb,d',δέ,particle,e)/carxos,ἔξαρχος,noun,o(deu/ei,ὁδεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(\,ὅς,pronoun,d',δέ,particle,o)/piqen,ὄπισθεν,adverb,*foi/nissa,Φοῖνιξ,proper,met',μετά,preposition,i)/xnia,ἴχνιον,noun,*ku/rnos,Κύρνος,proper,o)phdei=,ὀπαδέω,verb,ou)k,οὐ,adverb,o)noth\,ὀνοτός,adjective,kai\,καί,conjunction,*ma/kris,Μάκρις,proper,*)abantia\s,,,*)ellopih/wn,Ἐλλοπίευς,proper,*sardw/,Σαρδώ,proper,q',τε,particle,i(mero/essa,ἱμερόεις,adjective,kai\,καί,conjunction,h(\n,ὅς,pronoun,e)penh/cato,ἐπινήχομαι,verb,*ku/pris,Κύπρις,proper,e)c,ἐκ,preposition,u(/datos,ὕδωρ,noun,ta\,ὁ,article,prw=ta,πρότερος,adjective,saoi=,σαόω,verb,de/,δέ,particle,min,μιν,pronoun,a)nt',ἀντί,preposition,e)piba/qrwn,ἐπίβαθρον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
