word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/5/lemma/@_entry,word/5/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS
tw=,ὁ,article,kala/qw,κάλαθος,noun,katio/ntos,κάτειμι,verb,e)pifqe/gcasqe,ἐπιφθέγγομαι,verb,gunai=kes,γυνή,noun,'*da/mater,me/ga,μέγας,adverb,xai=re,χαίρω,verb,polu/trofe,πολύτροφος,adjective,poulume/dimne',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\n,ὁ,article,ka/laqon,κάλαθος,noun,katio/nta,κάτειμι,verb,xamai\,χαμαί,adverb,qasei=sqe,,,be/baloi,mhd',μηδέ,particle,a)po\,ἀπό,preposition,tw=,ὁ,article,te/geos,τέγος,noun,mhd',μηδέ,particle,u(yo/qen,ὑψόθεν,adverb,au)ga/sshsqe,αὐγάζω,verb,mh\,μή,conjunction,pai=s,πᾶς,adjective,mhde\,μηδέ,particle,guna\,γυνή,noun,mhd',μηδέ,particle,a(\,ὅς,pronoun,katexeu/ato,καταχέω,verb,xai/tan,χαίτη,noun,mhd',μηδέ,particle,o(/k',ὅτε,conjunction,a)f',ἀπό,preposition,au(ale/wn,αὐαλέος,adjective,stoma/twn,στόμα,noun,ptu/wmes,πτύω,verb,a)/pastoi,ἄπαστος,adjective,,,,,,,,,,,
e(/speros,ἕσπερος,adjective,e)k,ἐκ,preposition,nefe/wn,νέφος,noun,e)ske/yato,σκέπτομαι,verb,pani/ka,,,nei=tai),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,νέομαι,verb,,,,,,,,,
e(/speros,ἕσπερος,adjective,o(/ste,ὅστε,pronoun,piei=n,πίνω,verb,*dama/tera,,,mw=nos,μόνος,adjective,e)/peisen,a(rpagi/mas,ἁρπάγιμος,adjective,o(/k',ὅτε,conjunction,a)/pusta,ἄπυστος,adjective,mete/stixen,μεταστείχω,verb,i)/xnia,ἴχνιον,noun,kw/ras,κόρη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐφίζω,verb,,,,,,,,,
po/tnia,πότνια,noun,pw=s,πῶς,adverb,se,σύ,pronoun,du/nanto,δύναμαι,verb,po/des,πούς,noun,fe/ren,e)/st',εἰμί,verb,e)pi\,ἐπί,preposition,duqma/s,δυθμή,adjective,e)/st',ἔστε,conjunction,e)pi\,ἐπί,preposition,tw\s,τώς,adverb,me/lanas,μέλας,adjective,kai\,καί,conjunction,o(/pa,ὅπη,adverb,ta\,ὁ,article,xru/sea,χρύσεος,adjective,ma=la,μᾶλον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,φέρω,verb,,,,,,,,,
ou),οὐ,adverb,pi/es,πίνω,verb,ou)d',οὐδέ,particle,a)/r',ἄρα,particle,e)/des,ἔδω,verb,th=non,xro/non,χρόνος,noun,ou)de\,οὐδέ,particle,loe/ssa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐκεῖνος,pronoun,,,,,,,,,
tri\s,τρίς,adverb,me\n,μέν,particle,dh\,δή,particle,die/bas,διαβαίνω,verb,*)axelw/ion,Ἀχελώιος,proper,a)rgurodi/nan,tossa/ki,τοσάκις,adverb,d',δέ,particle,a)ena/wn,ἀέναος,adjective,potamw=n,ποταμός,noun,e)pe/rasas,ἐπιρραίνω,verb,e(/kaston,ἕκαστος,adjective,tri\s,τρίς,adverb,d',δέ,particle,e)pi\,ἐπί,preposition,*kallixo/rwi,,,xama/dis,χαμάδις,adverb,e)kaqi/ssao,καθίζω,verb,frhti/,,,au)stale/a,αὐσταλέος,adjective,a)/poto/s,ἄποτος,adjective,te,τε,particle,kai\,καί,conjunction,ou),οὐ,adverb,fa/ges,ἐσθίω,verb,ou)de\,οὐδέ,particle,loe/ssa,,,,,,ἀργυροδίνης,noun,,,,,,,,,
mh\,μή,conjunction,mh\,μή,conjunction,tau=ta,οὗτος,pronoun,le/gwmes,λέγω,verb,a(\,ὅς,pronoun,da/kruon,a)/gage,ἄγω,verb,*dhoi=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δάκρυον,noun,,,,,,,,,
ka/llion,κάλλιον,adverb,w(s,ὡς,conjunction,poli/essin,πόλις,adjective,e(ado/ta,ἁνδάνω,verb,te/qmia,θέσμιος,adjective,dw=ke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δίδωμι,verb,,,,,,,,,
ka/llion,κάλλιον,adverb,w(s,ὡς,conjunction,kala/man,καλάμη,noun,te,τε,particle,kai\,καί,conjunction,i(era\,dra/gmata,δράγμα,noun,pra/ta,πρᾶτος,adjective,a)staxu/wn,ἄσταχυς,noun,a)pe/koye,ἀποκόπτω,verb,kai\,καί,conjunction,e)n,ἐν,preposition,bo/as,βόα,noun,h(=ke,ἥκω,verb,path=sai,πατέω,verb,a(ni/ka,ἡνίκα,adverb,*tripto/lemos,Τριπτόλεμος,proper,a)gaqa\n,ἀγαθός,adjective,e)dida/sketo,διδάσκω,verb,te/xnan,τέχνη,noun,,,,,,,,,,,,,,,,,,,,,,,,,ἱερός,adjective,,,,,,,,,
