word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/63/lemma/@_entry,word/63/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS
a)/ntron,ἄντρον,noun,h)=n,εἰμί,verb,peri\,περί,preposition,*qh/bas,Θήβη,proper,ta\s,ὁ,article,*ai)gupti/as,Αἰγύπτιος,proper,proseikasme/non,προσεικάζω,verb,su/riggi,σῦριγξ,noun,ei)s,εἰς,preposition,e(/likas,ἕλιξ,noun,au)tofuw=s,αὐτοφυής,adverb,e)n,ἐν,preposition,ku/klw|,κύκλος,noun,peri\,περί,preposition,tou\s,ὁ,article,th=s,ὁ,article,gh=s,γῆ,noun,e(litto/menon,ἑλίσσω,verb,puqme/nas,πυθμήν,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,e)p',ἐπί,preposition,eu)qei/as,εὐθύς,adjective,a)noigo/menon,ἀνοίγνυμι,verb,ei)s,εἰς,preposition,eu)qupo/rous,εὐθύπορος,adjective,au)lw=nas,αὐλών,noun,e)sxi/zeto,σχίζω,verb,a)lla\,ἀλλά,adverb,th\n,ὁ,article,u(pw/reion,ὑπώρειος,adjective,peritre/xon,περιτρέχω,verb,kamph\n,καμπή,noun,u(pogei/ous,ὑπόγειος,adjective,e(/likas,ἕλιξ,noun,e)ce/teinen,ἐκτείνω,verb,ei)s,εἰς,preposition,duseu/reton,δυσεύρετος,adjective,pla/nhn,πλάνη,noun,e)kpi=pton,ἐκπίτνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i(/druto,ἱδρύω,verb,de\,δέ,particle,e)n,ἐν,preposition,au)tw=|,αὐτός,pronoun,*satu/rou,Σάτυρος,proper,ti,τις,pronoun,sxh=ma,σχῆμα,noun,texnhqe\n,τεχνάομαι,verb,e)k,ἐκ,preposition,li/qou,λίθος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei(sth/kei,ἵστημι,verb,me\n,μέν,particle,e)pi/,ἐπί,preposition,tinos,τις,pronoun,krhpi=dos,κρηπίς,noun,ei)s,εἰς,preposition,xorei/an,χορεία,noun,eu)trepi/zwn,εὐτρεπίζω,verb,to\,ὁ,article,sxh=ma,σχῆμα,noun,kai\,καί,conjunction,th=s,ὁ,article,decia=s,δεξιός,adjective,ba/sews,βάσις,adjective,to\n,ὁ,article,tarso\n,ταρσός,noun,o)/pisqen,ὄπισθεν,adverb,e)cai/rwn,ἐξαίρω,verb,metexeiri/zeto,μεταχειρίζω,verb,de\,δέ,particle,kai\,καί,conjunction,au)lo\n,αὐλός,noun,kai\,καί,conjunction,pro\s,πρός,preposition,th\n,ὁ,article,h)xh\n,ἠχή,noun,prw=tos,πρότερος,adjective,e)cani/stato,ἐξανίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th=|,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,a)koh=|,ἀκοή,noun,me/los,μέλος,noun,ou),οὐ,adverb,prosh=pten,προσάπτω,verb,au)lou=ntos,αὐλέω,verb,ou)de\,οὐδέ,particle,h)=n,εἰμί,verb,o(,ὁ,article,au)lo\s,αὐλός,noun,e)/mfwnos,ἔμφωνος,adjective,to\,ὁ,article,de\,δέ,particle,tw=n,ὁ,article,au)lou/ntwn,αὐλέω,verb,pa/qos,πάθος,adjective,dia\,διά,preposition,th=s,ὁ,article,te/xnhs,τέχνη,noun,ei)s,εἰς,preposition,th\n,ὁ,article,pe/tran,πέτρα,noun,ei)sh=kto,εἰσάγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=des,εἶδον,verb,a)\n,ἄν,particle,u(panistame/nas,ὑπανίσταμαι,verb,kai\,καί,conjunction,fle/bas,φλέψ,noun,w(s,ὡς,conjunction,a)\n,ἄν,particle,e)/k,ἐκ,preposition,tinos,τις,pronoun,gemizome/nas,γεμίζω,verb,pneu/matos,πνεῦμα,noun,kai\,καί,conjunction,ei)s,εἰς,preposition,th\n,ὁ,article,e)ph/xhsin,ἐπήχησις,noun,tou=,ὁ,article,au)lou=,αὐλός,noun,th\n,ὁ,article,pnoh\n,πνοή,noun,e)k,ἐκ,preposition,ste/rnwn,στέρνον,noun,to\n,ὁ,article,*sa/turon,Σάτυρος,proper,a)naspw=nta,ἀνασπάω,verb,kai\,καί,conjunction,e)nergei=n,ἐνεργέω,verb,e)qe/lon,ἐθέλω,verb,to\,ὁ,article,ei)/dwlon,εἴδωλον,noun,kai\,καί,conjunction,ei)s,εἰς,preposition,a)gwni/an,ἀγωνία,noun,to\n,ὁ,article,li/qon,λίθος,adjective,pi/ptonta,πίπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=nai,εἰμί,verb,ga\r,γάρ,particle,e)/peiqe,πείθω,verb,kai\,καί,conjunction,pnoh=s,πνοή,noun,e)cousi/an,ἐξουσία,noun,e)n,ἐν,preposition,e(autw=|,ἑαυτοῦ,pronoun,e)/mfuton,ἔμφυτος,adjective,kai\,καί,conjunction,a)/sqmatos,ἄσθμα,noun,e)/ndeicin,ἔνδειξις,noun,e)ceurome/nhn,,,oi)/koqen,οἴκοθεν,adverb,e)k,ἐκ,preposition,tw=n,ὁ,article,a)mhxa/nwn,ἀμήχανος,adjective,po/ron,πόρος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)k,οὐ,adverb,h)=n,εἰμί,verb,de\,δέ,particle,a(bro/thtos,ἁβρότης,noun,mete/xon,μετέχω,verb,to\,ὁ,article,sw=ma,σῶμα,adjective,a)ll',ἀλλά,adverb,h(,ὁ,article,tw=n,ὁ,article,melw=n,μέλη,noun,sterro/ths,στερρότης,noun,th\n,ὁ,article,w(/ran,ὥρα,adjective,e)/klepten,κλέπτω,verb,ei)s,εἰς,preposition,a)/rqrwn,ἄρθρον,noun,summetri/an,συμμετρία,noun,a)ndrikw=n,ἀνδρικός,adjective,th\n,ὁ,article,i)de/an,ἰδέα,noun,traxu/nousa,τραχύνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kalh=s,καλέω,verb,me\n,μέν,particle,ga\r,γάρ,particle,ko/rhs,κόρη,noun,xrw=tes,χρώς,noun,malqakoi\,μαλθακός,adjective,kai\,καί,conjunction,pro/sforoi,πρόσφορος,adjective,kai\,καί,conjunction,me/lh,μέλη,noun,qrupto/mena,θρύπτω,verb,*satu/rou,Σάτυρος,proper,de\,δέ,particle,au)xmhro\n,αὐχμηρός,adjective,to\,ὁ,article,ei)=dos,εἶδος,noun,w(s,ὡς,conjunction,a)\n,ἄν,particle,o)rei/ou,ὄρειον,noun,dai/monos,δαίμων,adjective,kai\,καί,conjunction,*dionu/sw|,Διόνυσος,proper,skirtw=ntos,σκιρτάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kisso\s,κισσός,noun,de\,δέ,particle,au)to\n,αὐτός,pronoun,e)stefa/nou,στεφανόω,verb,ou)k,οὐ,adverb,e)k,ἐκ,preposition,leimw=nos,λειμών,noun,dreyame/nhs,δρέπω,verb,to\n,ὁ,article,karpo\n,καρπός,noun,th=s,ὁ,article,te/xnhs,τέχνη,noun,a)ll',ἀλλά,adverb,o(,ὁ,article,li/qos,λίθος,adjective,a)po\,ἀπό,preposition,sterro/thtos,στερρότης,noun,ei)s,εἰς,preposition,klw=nas,κλών,adjective,xuqei\s,χέω,verb,perie/qei,περιθέω,verb,th\n,ὁ,article,ko/mhn,κόμη,noun,ei)s,εἰς,preposition,sumbolh\n,συμβολή,noun,e)pi\,ἐπί,preposition,tou\s,ὁ,article,au)xeni/ous,αὐχένιος,adjective,te/nontas,τένων,noun,e)k,ἐκ,preposition,metw/pwn,μέτωπον,noun,prose/rpwn,προσέρπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
