word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS
*(hsuxi/an,ἡσυχία,noun,me\n,μέν,particle,lo/gois,λόγος,noun,e)pith/deue,ἐπιτηδεύω,verb,h(suxi/an,ἡσυχία,noun,de\,δέ,particle,e)/rgois,ἔργον,noun,w(sau/tws,ὡσαύτως,adverb,de\,δέ,particle,e)n,ἐν,preposition,glw/tth|,γλῶσσα,noun,kai\,καί,conjunction,badi/smati,βάδισμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sfodro/thta,σφοδρότης,noun,de\,δέ,particle,a)po/feuge,ἀποφεύγω,verb,propeth=,προπετής,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tws,οὕτως,adverb,ga\r,γάρ,particle,o(,ὁ,article,nou=s,νόος,adjective,diamenei=,διαμένω,verb,be/baios,βέβαιος,adjective,kai\,καί,conjunction,ou)x,οὐ,adverb,u(po\,ὑπό,preposition,th=s,ὁ,article,sfodro/thtos,σφοδρότης,noun,taraxw/dhs,ταραχώδης,adverb,geno/menos,γίγνομαι,verb,a)sqenh\s,ἀσθενής,adjective,e)/stai,εἰμί,verb,kai\,καί,conjunction,braxu\s,βραχύς,adjective,peri\,περί,preposition,fro/nhsin,φρόνησις,noun,kai\,καί,conjunction,skoteino\n,σκοτεινός,adjective,o(rw=n,ὁράω,verb,ou)de\,οὐδέ,particle,h(tthqh/setai,ἡσσάομαι,verb,me\n,μέν,particle,gastrimargi/as,γαστριμαργία,noun,h(tthqh/setai,ἡσσάομαι,verb,de\,δέ,particle,e)pize/ontos,ἐπιζάω,verb,qumou=,θυμός,noun,h(tthqh/setai,ἡσσάομαι,verb,de\,δέ,particle,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,paqw=n,πάθος,adjective,e(/toimon,ἑτοῖμος,adjective,au)toi=s,αὐτός,pronoun,a(/rpagma,ἅρπαγμα,noun,prokei/menos,πρόκειμαι,verb,,,,,,,,,,,,,,,,,,,,,
to\n,ὁ,article,ga\r,γάρ,particle,nou=n,νόος,adjective,dei=,δέομαι,verb,tw=n,ὁ,article,paqw=n,πάθος,adjective,e)pikratei=n,ἐπικρατέω,verb,u(yhlo\n,ὑψηλός,adjective,e)pi\,ἐπί,preposition,h(su/xou,ἥσυχος,adjective,qro/nou,θρόνον,noun,kaqh/menon,κάθημαι,verb,a)forw=nta,ἀφοράω,verb,pro\s,πρός,preposition,qeo/n,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mhde\n,μηδείς,pronoun,o)cuxoli/as,,,a)na/pleos,ἀνάπλεος,adjective,e)/so,,,peri\,περί,preposition,o)rga/s,ὀργάς,noun,mhde\,μηδέ,particle,nwqro\s,νωθρός,adjective,e)n,ἐν,preposition,lo/gois,λόγος,noun,mhde\,μηδέ,particle,e)n,ἐν,preposition,badi/smasin,βάδισμα,noun,o)/knou,ὄκνος,noun,peplhrwme/nos,πληρόω,verb,i(/na,ἵνα,conjunction,soi,σύ,pronoun,r(uqmo\s,ῥυθμός,noun,a)gaqo\s,ἀγαθός,adjective,th\n,ὁ,article,h(suxi/an,ἡσυχία,noun,kosmh=|,κοσμέω,verb,kai\,καί,conjunction,qeiw=de/s,θειώδης,adverb,ti,τις,pronoun,kai\,καί,conjunction,i(ero\n,ἱερός,adjective,to\,ὁ,article,sxh=ma,σχῆμα,noun,fai/nhtai,φαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fula/ttou,φυλάσσω,verb,de\,δέ,particle,kai\,καί,conjunction,th=s,ὁ,article,u(perhfani/as,ὑπερηφανία,noun,ta\,ὁ,article,su/mbola,σύμβολον,noun,sxh=ma,σχῆμα,noun,u(yauxenou=n,ὑψαυχενέω,verb,kai\,καί,conjunction,kefalh\n,κεφαλή,noun,e)chrme/nhn,ἐξαίρω,verb,kai\,καί,conjunction,bh=ma,βῆμα,noun,podw=n,πούς,noun,a(bro\n,ἁβρός,adjective,kai\,καί,conjunction,mete/wron,μετέωρος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)/hpia/,ἤπιος,adjective,soi,σύ,pronoun,pro\s,πρός,preposition,tou\s,ὁ,article,a)pantw=ntas,ἀπαντάω,verb,e)/stw,εἰμί,verb,ta\,ὁ,article,r(h/mata,ῥῆμα,noun,kai\,καί,conjunction,proshgori/ai,προσηγορία,noun,glukei=ai,γλυκύς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai)dw\s,αἰδώς,adjective,de\,δέ,particle,pro\s,πρός,preposition,gunai=kas,γυνή,noun,kai\,καί,conjunction,ble/mma,βλέμμα,noun,tetramme/non,τρέπω,verb,ei)s,εἰς,preposition,gh=n,γῆ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la/lei,λαλέω,verb,de\,δέ,particle,perieskemme/nws,περιεσκεμμένως,adverb,a(/panta,ἅπας,adjective,kai\,καί,conjunction,th=|,ὁ,article,fwnh=|,φωνή,noun,to\,ὁ,article,xrh/simon,χρήσιμος,adjective,a)podi/dou,ἀποδίδωμι,verb,th=|,ὁ,article,xrei/a|,χρεία,noun,tw=n,ὁ,article,a)kouo/ntwn,ἀκούω,verb,to\,ὁ,article,fqe/gma,φθέγμα,adjective,metrw=n,μετρέω,verb,a)/xri,ἄχρι,adverb,a)\n,ἄν,particle,kai\,καί,conjunction,e)ca/kouston,ἐξάκουστος,adjective,h)=|,εἰμί,verb,kai\,καί,conjunction,mh/te,μήτε,particle,diafeu=gon,διαφεύγω,verb,th\n,ὁ,article,a)koh\n,ἀκοή,noun,tw=n,ὁ,article,paro/ntwn,πάρειμι,verb,u(po\,ὑπό,preposition,smikro/thtos,μικρότης,noun,mh/te,μήτε,particle,u(perba/llon,ὑπερβάλλω,verb,mei/zoni,μέγας,adverb,th=|,ὁ,article,kraugh=|,κραυγή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fula/ttou,φυλάσσω,verb,de\,δέ,particle,o(/pws,ὅπως,conjunction,mhde/n,μηδείς,pronoun,pote,ποτέ,particle,lalh/sh|s,λαλέω,verb,o(\,ὅς,pronoun,mh\,μή,conjunction,proeske/yw,προσκέπτομαι,verb,kai\,καί,conjunction,proeno/hsas,προνοοῦμαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mhde\,μηδέ,particle,proxei/rws,πρόχειρος,adjective,kai\,καί,conjunction,metacu\,μεταξύ,adverb,tw=n,ὁ,article,tou=,ὁ,article,e(te/rou,ἕτερος,adjective,lo/gwn,λόγος,noun,u(po/balle,ὑποβάλλω,verb,tou\s,ὁ,article,sautou=,σαυτοῦ,pronoun,dei=,δέομαι,verb,ga\r,γάρ,particle,a)na\,ἀνά,preposition,me/ros,μέρος,noun,a)kou/ein,ἀκούω,verb,kai\,καί,conjunction,diale/gesqai,διαλέγω,verb,xro/nw|,χρόνος,noun,meri/zonta,μερίζω,verb,lo/gon,λόγος,noun,kai\,καί,conjunction,siwph/n,σιωπή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ma/nqane,μανθάνω,verb,de\,δέ,particle,a)sme/nws,ἄσμενος,adjective,kai\,καί,conjunction,a)fqo/nws,ἄφθονος,adjective,di/daske,διδάσκω,verb,mhde\,μηδέ,particle,u(po\,ὑπό,preposition,fqo/nou,φθόνος,noun,pote\,ποτός,adjective,sofi/an,σοφία,noun,a)pokru/ptou,ἀποκρύπτω,verb,pro\s,πρός,preposition,tou\s,ὁ,article,e(te/rous,ἕτερος,adjective,mhde\,μηδέ,particle,maqh/sews,μάθησις,noun,a)fi/staso,ἀφίστημι,verb,di),διά,preposition,ai)dw=,αἰδώ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(/peike,ὑπείκω,verb,presbute/rois,πρέσβυς,noun,i)/sa,ἴσος,adjective,patra/sin,πατήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/ma,τιμάω,verb,qera/pontas,θεράπων,noun,qeou=,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
