word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS
*oi(,ὁ,article,me\n,μέν,particle,tou\s,ὁ,article,e)gkwmiastikou\s,ἐγκωμιαστικός,adjective,lo/gous,λόγος,noun,toi=s,ὁ,article,plousi/ois,πλούσιος,adjective,dwroforou=ntes,δωροφορέω,verb,ou),οὐ,adverb,mo/non,μόνος,adjective,ko/lakes,κόλαξ,noun,kai\,καί,conjunction,a)neleu/qeroi,ἀνελεύθερος,adjective,dikai/ws,δίκαιος,adjective,a)\n,ἄν,particle,e)/moige,ἐγώ,pronoun,kri/nesqai,κρίνω,verb,dokoi=en,δοκέω,verb,w(s,ὡς,conjunction,e)pi\,ἐπί,preposition,pollw=|,πολύς,adjective,prospoiou/menoi,προσποιέω,verb,xari/sasqai,χαρίζομαι,verb,ta\,ὁ,article,a)xa/rista,ἀχάριστος,adjective,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,a)sebei=s,ἀσεβής,adjective,kai\,καί,conjunction,e)pi/bouloi,ἐπίβουλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)sebei=s,ἀσεβής,adjective,me/n,μέν,particle,o(/ti,ὅστις,pronoun,pare/ntes,παρίημι,verb,ai)nei=n,αἰνέω,verb,kai\,καί,conjunction,doca/zein,δοξάζω,verb,to\n,ὁ,article,mo/non,μόνος,adjective,te/leion,τέλειος,adjective,kai\,καί,conjunction,a)gaqo\n,ἀγαθός,adjective,qeo/n,θεός,noun,e)c,ἐκ,preposition,ou(=,ἕ,pronoun,ta\,ὁ,article,pa/nta,πᾶς,adjective,kai\,καί,conjunction,di),διά,preposition,ou(=,ἕ,pronoun,ta\,ὁ,article,pa/nta,πᾶς,adjective,kai\,καί,conjunction,ei)s,εἰς,preposition,o(\n,ὅς,pronoun,ta\,ὁ,article,pa/nta,πᾶς,adjective,peria/ptousi,περιάπτω,verb,tou/tou,οὗτος,pronoun,to\,ὁ,article,ge/ras,γέρας,adjective,a)nqrw/pois,ἄνθρωπος,noun,e)n,ἐν,preposition,a)sw/tw|,ἄσωτος,adjective,kai\,καί,conjunction,borborw/dei,βορβορώδης,adjective,bi/w|,βίος,adjective,kulindoume/nois,κυλινδέω,verb,kai\,καί,conjunction,to\,ὁ,article,kefa/laion,κεφάλαιος,adjective,u(pokeime/nois,ὑπόκειμαι,verb,th=|,ὁ,article,kri/sei,κρίσις,adjective,tou=,ὁ,article,qeou=,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pi/bouloi,ἐπίβουλος,adjective,de/,δέ,particle,o(/ti,ὅστις,pronoun,kai\,καί,conjunction,au)th=s,αὐτός,pronoun,th=s,ὁ,article,periousi/as,περιουσία,noun,kaq',κατά,preposition,au(th\n,ἑαυτοῦ,pronoun,i(kanh=s,ἱκανός,adjective,ou)/shs,εἰμί,verb,xaunw=sai,χαυνόω,verb,ta\s,ὁ,article,yuxa\s,ψυχή,noun,tw=n,ὁ,article,kekthme/nwn,κτάομαι,verb,kai\,καί,conjunction,diafqei=rai,διαφθείρω,verb,kai\,καί,conjunction,a)posth=sai,ἀφίστημι,verb,th=s,ὁ,article,o(dou=,ὁδός,adjective,di),διά,preposition,h(=s,ὅς,pronoun,e)pituxei=n,ἐπιτυγχάνω,verb,e)/sti,εἰμί,verb,swthri/as,σωτηρία,noun,oi(/de,ὅδε,pronoun,prosekplh/ssousi,προσεκπλήσσω,verb,ta\s,ὁ,article,gnw/mas,γνώμη,noun,tw=n,ὁ,article,plousi/wn,πλούσιος,adjective,tai=s,ὁ,article,h(donai=s,ἡδονά,noun,tw=n,ὁ,article,a)me/trwn,ἄμετρος,adjective,e)pai/nwn,ἔπαινος,noun,e)pai/rontes,ἐπαίρω,verb,kai\,καί,conjunction,kaqa/pac,καθάπαξ,adverb,tw=n,ὁ,article,o(/lwn,ὅλος,adjective,pragma/twn,πρᾶγμα,noun,plh\n,πλήν,preposition,tou=,ὁ,article,plou/tou,πλοῦτος,noun,di),διά,preposition,o(\n,ὅς,pronoun,qauma/zontai,θαυμάζω,verb,paraskeua/zontes,παρασκευάζω,verb,u(perfronei=n,ὑπερφρονέω,verb,to\,ὁ,article,dh\,δή,particle,tou=,ὁ,article,lo/gou,λόγος,noun,pu=r,πῦρ,noun,e)pi\,ἐπί,preposition,pu=r,πῦρ,noun,metoxeteu/ontes,μετοχετεύω,verb,tu/fw|,τῦφος,noun,tu=fon,τῦφος,noun,e)pantlou=ntes,ἐπαντλέω,verb,kai\,καί,conjunction,o)/gkon,ὄγκος,noun,plou/tw|,πλοῦτος,noun,prosanatiqe/ntes,προσανατίθεμαι,verb,barei=,βαρύς,adjective,fu/sei,φύσις,noun,forti/on,φορτίον,noun,baru/teron,βαρύς,adjective,ou(=,ἕ,pronoun,ma=llon,μᾶλλον,adverb,e)xrh=n,χρή,verb,a)fairei=n,ἀφαιρέω,verb,kai\,καί,conjunction,periko/ptein,περικόπτω,verb,w(s,ὡς,conjunction,sfalerou=,σφαλερός,adjective,nosh/matos,νόσημα,noun,kai\,καί,conjunction,qanathfo/rou,θανατήφορος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=|,ὁ,article,ga\r,γάρ,particle,u(youme/nw|,ὑψόω,verb,kai\,καί,conjunction,megalunome/nw|,μεγαλύνω,verb,parape/phgen,παραπήγνυμι,verb,a)nti/strofos,ἀντίστροφος,adjective,h(,ὁ,article,pro\s,πρός,preposition,to\,ὁ,article,tapeino\n,ταπεινός,adjective,metabolh\,μεταβολή,noun,kai\,καί,conjunction,ptw=sis,πτῶσις,noun,w(s,ὡς,conjunction,o(,ὁ,article,qei=os,θεῖος,noun,dida/skei,διδάσκω,verb,lo/gos,λόγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)moi\,ἐγώ,pronoun,de\,δέ,particle,fai/netai,φαίνω,verb,makrw=|,μακρός,adjective,filanqrwpo/teron,φιλάνθρωπος,adjective,ei)=nai,εἰμί,verb,tou=,ὁ,article,qerapeu/ein,θεραπεύω,verb,a)neleuqe/rws,ἀνελεύθερος,adjective,tou\s,ὁ,article,ploutou=ntas,πλουτέω,verb,kai\,καί,conjunction,e)painei=n,ἐπαινέω,verb,e)pi\,ἐπί,preposition,kakw=|,κακός,adjective,to\,ὁ,article,sunai/resqai,συναίρω,verb,th\n,ὁ,article,zwh\n,ζωή,noun,kai\,καί,conjunction,th\n,ὁ,article,swthri/an,σωτηρία,noun,au)toi=s,αὐτός,pronoun,katerga/zesqai,κατεργάζομαι,verb,a(/panta,ἅπας,adjective,to\n,ὁ,article,dunato\n,δυνατός,adjective,tro/pon,τρόπος,noun,tou=to,οὗτος,pronoun,me\n,μέν,particle,e)caitoume/nous,ἐξαιτέω,verb,para\,παρά,preposition,qeou=,θεός,noun,tou=,ὁ,article,bebai/ws,βέβαιος,adjective,kai\,καί,conjunction,h(de/ws,ἡδέως,adverb,toi=s,ὁ,article,e(autou=,ἑαυτοῦ,pronoun,te/knois,τέκνον,noun,ta\,ὁ,article,toiau=ta,τοιοῦτος,adjective,proi+eme/nou,προίημι,verb,tou=to,οὗτος,pronoun,de\,δέ,particle,lo/gw|,λόγος,noun,dia\,διά,preposition,th=s,ὁ,article,xa/ritos,χάρις,noun,tou=,ὁ,article,swth=ros,σωτήρ,noun,i)wme/nous,ἰάομαι,verb,ta\s,ὁ,article,yuxa\s,ψυχή,noun,au)tw=n,αὐτός,pronoun,fwti/zontas,φωτίζω,verb,kai\,καί,conjunction,prosa/gontas,προσάγω,verb,e)pi\,ἐπί,preposition,th\n,ὁ,article,th=s,ὁ,article,a)lhqei/as,ἀλήθεια,adjective,kth=sin,κτῆσις,noun,h(=s,ὅς,pronoun,o(,ὁ,article,tuxw\n,τυγχάνω,verb,kai\,καί,conjunction,e)/rgois,ἔργον,noun,a)gaqoi=s,ἀγαθός,adjective,e)llampruno/menos,ἐλλέγω,verb,mo/nos,μόνος,adjective,to\,ὁ,article,brabei=on,βραβεῖον,noun,th=s,ὁ,article,ai)wni/ou,αἰώνιος,adjective,zwh=s,ζωή,noun,a)nairh/setai,ἀναιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dei=tai,δέομαι,verb,de\,δέ,particle,kai\,καί,conjunction,h(,ὁ,article,eu)xh\,εὐχή,noun,yuxh=s,ψυχή,noun,eu)rw/stou,εὔρωστος,adjective,kai\,καί,conjunction,liparou=s,λιπαρής,adverb,a)/xri,ἄχρι,adverb,th=s,ὁ,article,e)sxa/ths,σχέθω,verb,h(me/ras,ἡμέρα,noun,tou=,ὁ,article,bi/ou,βίος,adjective,summemetrhme/nhs,συμμετρέω,verb,kai\,καί,conjunction,h(,ὁ,article,politei/a,πολιτεία,noun,diaqe/sews,διάθεσις,noun,xrhsth=s,χρηστός,adjective,kai\,καί,conjunction,moni/mou,μόνιμος,adjective,kai\,καί,conjunction,pa/sais,πᾶς,adjective,tai=s,ὁ,article,e)ntolai=s,ἐντολή,noun,tou=,ὁ,article,swth=ros,σωτήρ,noun,e)pekteinome/nhs,ἐπεκτείνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*kinduneu/ei,κινδυνεύω,verb,de\,δέ,particle,ou)x,οὐ,adverb,a(plou=n,ἁπλόω,verb,ti,τις,pronoun,ei)=nai,εἰμί,verb,to\,ὁ,article,ai)/tion,αἴτιος,adjective,tou=,ὁ,article,th\n,ὁ,article,swthri/an,σωτηρία,noun,xalepwte/ran,χαλεπός,adjective,toi=s,ὁ,article,ploutou=si,πλουτέω,verb,dokei=n,δοκέω,verb,h)\,ἠέ,conjunction,toi=s,ὁ,article,a)xrhma/tois,ἀχρήματος,adjective,tw=n,ὁ,article,a)nqrw/pwn,ἄνθρωπος,noun,a)lla\,ἀλλά,adverb,poiki/lon,ποικίλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,au)to/qen,αὐτόθεν,adverb,kai\,καί,conjunction,proxei/rws,πρόχειρος,adjective,a)kou/santes,ἀκούω,verb,th=s,ὁ,article,tou=,ὁ,article,kuri/ou,κύριος,adjective,fwnh=s,φωνή,noun,o(/ti,ὅστις,pronoun,r(a=|on,ῥάιος,adjective,ka/mhlos,κάμηλος,noun,dia\,διά,preposition,trh/matos,τρῆμα,noun,r(afi/dos,ῥαφίς,noun,diekdu/setai,διεκδύομαι,verb,h)\,ἠέ,conjunction,plou/sios,πλούσιος,adjective,ei)s,εἰς,preposition,th\n,ὁ,article,basilei/an,βασιλεία,noun,tw=n,ὁ,article,ou)ranw=n,οὐρανός,noun,a)pogno/ntes,ἀπογιγνώσκω,verb,e(autou\s,ἑαυτοῦ,pronoun,w(s,ὡς,conjunction,ou),οὐ,adverb,biwso/menoi,βιόω,verb,tw=|,ὁ,article,ko/smw|,κόσμος,noun,pa/nta,πᾶς,adjective,xarizo/menoi,χαρίζομαι,verb,kai\,καί,conjunction,th=s,ὁ,article,e)ntau=qa,ἐνταῦθα,adverb,zwh=s,ζωή,noun,w(s,ὡς,conjunction,mo/nhs,μόνος,adjective,e(autoi=s,ἑαυτοῦ,pronoun,u(poleipome/nhs,ὑπολείπω,verb,e)kkremasqe/ntes,ἐκκρεμάννυμι,verb,a)pe/sthsan,ἀφίστημι,verb,ple/on,πλέος,adjective,th=s,ὁ,article,e)kei=,ἐκεῖ,adverb,o(dou=,ὁδός,adjective,mhke/ti,μηκέτι,adverb,polupragmonh/santes,πολυπραγμονέω,verb,mh/te,μήτε,particle,ti/nas,τίς,pronoun,tou\s,ὁ,article,plousi/ous,πλούσιος,adjective,o(,ὁ,article,despo/ths,δεσπότης,adjective,kai\,καί,conjunction,dida/skalos,διδάσκαλος,noun,prosagoreu/ei,προσαγορεύω,verb,mh/te,μήτε,particle,o(/pws,ὅπως,conjunction,to\,ὁ,article,a)du/naton,ἀδύνατος,adjective,e)n,ἐν,preposition,a)nqrw/pois,ἄνθρωπος,noun,dunato\n,δυνατός,adjective,gi/netai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/lloi,ἄλλος,adjective,de\,δέ,particle,tou=to,οὗτος,pronoun,me\n,μέν,particle,sunh=kan,συνίημι,verb,o)rqw=s,ὀρθός,adjective,kai\,καί,conjunction,proshko/ntws,προσηκόντως,adverb,tw=n,ὁ,article,de\,δέ,particle,e)/rgwn,ἔργον,noun,tw=n,ὁ,article,ei)s,εἰς,preposition,th\n,ὁ,article,swthri/an,σωτηρία,noun,a)nafero/ntwn,ἀναφέρω,verb,o)ligwrh/santes,ὀλιγωρέω,verb,ou),οὐ,adverb,pareskeua/santo,παρασκευάζω,verb,th\n,ὁ,article,de/ousan,δέω,verb,paraskeuh\n,παρασκευή,noun,ei)s,εἰς,preposition,to\,ὁ,article,tw=n,ὁ,article,e)lpizome/nwn,ἐλπίζω,verb,tuxei=n,τυγχάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
le/gw,λέγω,verb,de\,δέ,particle,tau=ta,οὗτος,pronoun,e(ka/tera,ἑκάτερος,adjective,peri\,περί,preposition,tw=n,ὁ,article,plousi/wn,πλούσιος,adjective,tw=n,ὁ,article,kai\,καί,conjunction,th=s,ὁ,article,duna/mews,δύναμις,adjective,tou=,ὁ,article,swth=ros,σωτήρ,noun,kai\,καί,conjunction,th=s,ὁ,article,e)pifanou=s,ἐπιφανής,adverb,swthri/as,σωτηρία,noun,h)|sqhme/nwn,αἰσθάνομαι,verb,tw=n,ὁ,article,de\,δέ,particle,a)muh/twn,ἀμύητος,adjective,th=s,ὁ,article,a)lhqei/as,ἀλήθεια,adjective,o)li/gon,ὀλίγος,adjective,moi,ἐγώ,pronoun,me/lei,μέλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
