word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS
th=s,ὁ,article,me\n,μέν,particle,tw=n,ὁ,article,kinduneuo/ntwn,κινδυνεύω,verb,swthri/as,σωτηρία,noun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,kai\,καί,conjunction,th=s,ὁ,article,timwri/as,τιμωρία,noun,u(mei=s,σύ,pronoun,para\,παρά,preposition,tw=n,ὁ,article,no/mwn,νόμος,noun,th\n,ὁ,article,e)cousi/an,ἐξουσία,noun,ei)lh/fate,λαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/te,οὔτε,adverb,d',δέ,particle,i)atro\s,ἰατρός,noun,e)mpei/rws,ἔμπειρος,adjective,du/natai,δύναμαι,verb,qerapeu=sai,θεραπεύω,verb,tou\s,ὁ,article,ka/mnontas,κάμνω,verb,a)\n,ἄν,particle,mh\,μή,conjunction,th\n,ὁ,article,ai)ti/an,αἰτία,noun,tou=,ὁ,article,nosh/matos,νόσημα,noun,katanoh/sh|,κατανοέω,verb,ou)/te,οὔτε,adverb,dikasth\s,δικαστής,noun,o(si/an,ὁσία,noun,qei=nai,θείνω,verb,th\n,ὁ,article,yh=fon,ψῆφος,noun,e)a\n,ἐάν,conjunction,mh\,μή,conjunction,toi=s,ὁ,article,th=s,ὁ,article,kri/sews,κρίσις,adjective,dikai/ois,δίκαιος,adjective,safw=s,σαφής,adverb,h)=|,εἰμί,verb,parhkolouqhkw/s,παρακολουθέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)mpesw\n,ἐμπίτνω,verb,d',δέ,particle,au)to\s,αὐτός,pronoun,ei)s,εἰς,preposition,me/shn,μέσος,adjective,th\n,ὁ,article,tw=n,ὁ,article,r(hto/rwn,ῥήτωρ,noun,dusme/neian,δυσμένεια,noun,w(/sper,ὥσπερ,adverb,th=s,ὁ,article,para\,παρά,preposition,qew=n,θέα,noun,ou(/tw,οὕτως,adverb,th=s,ὁ,article,par',παρά,preposition,u(mw=n,σύ,pronoun,de/omai,δέομαι,verb,tuxei=n,τυγχάνω,verb,bohqei/as,βοήθεια,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaba/llousi,διαβάλλω,verb,ga/r,γάρ,particle,mou,ἐγώ,pronoun,to\n,ὁ,article,bi/on,βίος,adjective,oi)o/menoi,οἴομαι,verb,to\n,ὁ,article,lo/gon,λόγος,noun,a)/piston,ἄπιστος,adjective,katasth/sein,καθίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,d',δέ,particle,a)poqanw\n,ἀποθνήσκω,verb,me\n,μέν,particle,h)\,ἠέ,conjunction,zw=n,ζάω,verb,ou)de/n,οὐδείς,pronoun,ei)mi,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,ga\r,γάρ,particle,*)aqhnai/ois,Ἀθήναια,proper,ei),εἰ,conjunction,parana/lwma,παρανάλωμα,noun,*dhma/dhs,Δημάδης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dakru/sei,δακρύω,verb,de/,δέ,particle,mou,ἐγώ,pronoun,th\n,ὁ,article,a)pw/leian,ἀπώλεια,noun,ou)x,οὐ,adverb,o(,ὁ,article,stratiw/ths,στρατιώτης,adjective,pw=s,πῶς,adverb,ga\r,γάρ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\n,ὅς,pronoun,au)/cei,αὐξάνω,verb,me\n,μέν,particle,po/lemos,πόλεμος,noun,ei)rh/nh,εἰρήνη,noun,d',δέ,particle,ou),οὐ,adverb,tre/fei,τρέφω,verb,a)ll',ἀλλά,adverb,o(,ὁ,article,th\n,ὁ,article,xw/ran,χώρα,noun,gewrgw=n,γεωργός,adjective,kai\,καί,conjunction,o(,ὁ,article,th\n,ὁ,article,qa/lattan,θάλασσα,noun,ple/wn,πλέω,verb,kai\,καί,conjunction,pa=s,πᾶς,adjective,o(,ὁ,article,to\n,ὁ,article,h(su/xion,ἡσύχιος,adverb,bi/on,βίος,adjective,h)gaphkw/s,ἀγαπάω,verb,w(=|,ὅς,pronoun,th\n,ὁ,article,*)attikh\n,Ἀττικός,adjective,e)tei/xisa,τειχίζω,verb,tou\s,ὁ,article,o(/rous,ὅρος,adjective,th=s,ὁ,article,xw/ras,χώρα,noun,peribalw\n,περιβάλλω,verb,ou),οὐ,adverb,li/qois,λίθος,adjective,a)lla\,ἀλλά,adverb,th=|,ὁ,article,th=s,ὁ,article,po/lews,πόλις,adjective,a)sfalei/a|,ἀσφάλεια,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deino\n,δεινός,adjective,de/,δέ,particle,ti,τις,pronoun,sumbai/nei,συμβαίνω,verb,polloi=s,πολύς,adjective,tw=n,ὁ,article,krino/ntwn,κρίνω,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/sper,ὥσπερ,adverb,ga\r,γάρ,particle,h(,ὁ,article,tw=n,ὁ,article,o)fqalmw=n,ὀφθαλμός,noun,no/sos,νόσος,noun,th\n,ὁ,article,o(/rasin,ὅρασις,noun,sugxe/asa,συγχέω,verb,kwlu/ei,κωλύω,verb,ta\,ὁ,article,e)mpodw\n,ἐμποδών,adverb,kei/mena,κεῖμαι,verb,qewrei=n,θεωρέω,verb,ou(/tws,οὕτως,adverb,a)/dikos,ἄδικος,adjective,pareisdu/nwn,παρεισδύνω,verb,lo/gos,λόγος,noun,ei)s,εἰς,preposition,ta\s,ὁ,article,tw=n,ὁ,article,dikastw=n,δικαστής,noun,gnw/mas,γνώμη,noun,ou)k,οὐ,adverb,e)a=|,ἀίω,verb,di',διά,preposition,o)rgh\n,ὀργή,noun,sunora=n,συνοράω,verb,th\n,ὁ,article,a)lh/qeian,ἀλήθεια,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
