word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS
*(/wsper,ὥσπερ,adverb,h(,ὁ,article,poi/hsis,ποίησις,noun,diairei=tai,διαιρέω,verb,toi=s,ὁ,article,me/trois,μέτρον,noun,oi(=on,οἷος,adjective,h(mime/trois,ἡμίμετρον,noun,h)\,ἠέ,conjunction,e(came/trois,ἑξάμετρος,adjective,h)\,ἠέ,conjunction,toi=s,ὁ,article,a)/llois,ἄλλος,adjective,ou(/tw,οὕτως,adverb,kai\,καί,conjunction,th\n,ὁ,article,e(rmhnei/an,ἑρμηνεία,noun,th\n,ὁ,article,logikh\n,λογικός,adjective,diairei=,διαιρέω,verb,kai\,καί,conjunction,diakri/nei,διακρίνω,verb,ta\,ὁ,article,kalou/mena,καλέω,verb,kw=la,κῶλον,noun,kaqa/per,καθά,adverb,a)napau/onta,ἀναπαύω,verb,to\n,ὁ,article,le/gonta/,λέγω,verb,te,τε,particle,kai\,καί,conjunction,ta\,ὁ,article,lego/mena,λέγω,verb,au)ta/,αὐτός,pronoun,kai\,καί,conjunction,e)n,ἐν,preposition,polloi=s,πολύς,adjective,o(/rois,ὅρος,adjective,o(ri/zonta,ὁρίζω,verb,to\n,ὁ,article,lo/gon,λόγος,noun,e)pei/,ἐπεί,conjunction,toi,τοι,particle,makro\s,μακρός,adjective,a)\n,ἄν,particle,ei)/h,ἀίω,verb,kai\,καί,conjunction,a)/peiros,ἄπειρος,adjective,kai\,καί,conjunction,a)texnw=s,ἄτεχνος,adverb,pni/gwn,πνίγω,verb,to\n,ὁ,article,le/gonta,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,
*bou/letai,βούλομαι,verb,me/ntoi,μέντοι,particle,dia/noian,διάνοια,noun,a)parti/zein,ἀπαρτίζω,verb,ta\,ὁ,article,kw=la,κῶλον,noun,tau=ta,οὗτος,pronoun,pote\,ποτός,adjective,me\n,μέν,particle,o(/lhn,ὅλος,adjective,dia/noian,διάνοια,noun,oi(=on,οἷος,adjective,w(s,ὡς,conjunction,*(ekatai=o/s,Ἑκαταῖος,proper,fhsin,φημί,verb,e)n,ἐν,preposition,th=|,ὁ,article,a)rxh=|,ἀρχή,noun,th=s,ὁ,article,i(stori/as,ἱστορία,noun,'*(ekatai=os,,,*milh/sios,Μιλήσιος,proper,w(=de,ὧδε,adverb,muqei=tai',μυθέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunei/lhptai,συλλαμβάνω,verb,ga\r,γάρ,particle,dia/noia,διάνοια,noun,tw=|,ὁ,article,kw/lw|,κῶλον,noun,o(/lw|,ὅλος,adjective,o(/lh,ὅλος,adjective,kai\,καί,conjunction,a)/mfw,ἄμφω,noun,sugkatalh/gousin,συγκαταλήγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)ni/ote,ἐνίοτε,adverb,me/ntoi,μέντοι,particle,to\,ὁ,article,kw=lon,κῶλον,noun,o(/lhn,ὅλος,adjective,me\n,μέν,particle,ou),οὐ,adverb,sumperaioi=,συμπεραιόω,verb,dia/noian,διάνοια,noun,me/ros,μέρος,noun,de\,δέ,particle,o(/lhs,ὅλος,adjective,o(/lon,ὅλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,ga\r,γάρ,particle,th=s,ὁ,article,xeiro\s,χείρ,noun,ou)/shs,εἰμί,verb,o(/lou,ὅλος,adjective,tino\s,τις,pronoun,me/rh,μέρα,noun,au)th=s,αὐτός,pronoun,o(/la,ὅλος,adjective,o(/lhs,ὅλος,adjective,e)sti/n,εἰμί,verb,oi(=on,οἷος,adjective,da/ktuloi,δάκτυλος,noun,kai\,καί,conjunction,ph=xus,πῆχυς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)di/an,ἴδιος,adjective,ga\r,γάρ,particle,perigrafh\n,περιγραφή,noun,e)/xei,ἔχω,verb,tou/twn,οὗτος,pronoun,tw=n,ὁ,article,merw=n,μέρα,noun,e(/kaston,ἕκαστος,adjective,kai\,καί,conjunction,i)/dia,ἴδιος,adjective,me/rh,μέρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tw,οὕτως,adverb,kai\,καί,conjunction,dianoi/as,διάνοια,noun,tino\s,τις,pronoun,o(/lhs,ὅλος,adjective,ou)/shs,εἰμί,verb,mega/lhs,μέγας,adverb,e)mperilamba/noit',ἐμπεριλαμβάνω,verb,a)\n,ἄν,particle,me/rh,μέρα,noun,tina\,τις,pronoun,au)th=s,αὐτός,pronoun,o(lo/klhra,ὁλόκληρος,adjective,o)/nta,εἰμί,verb,kai\,καί,conjunction,au)ta/,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(/wsper,ὥσπερ,adverb,e)n,ἐν,preposition,th=|,ὁ,article,a)rxh=|,ἀρχή,noun,th=s,ὁ,article,*)anaba/sews,ἀνάβασις,noun,th=s,ὁ,article,*cenofw=ntos,Ξενοφῶν,proper,to\,ὁ,article,toiou=ton,τοιοῦτος,adjective,'*darei/ou,,,kai\,καί,conjunction,*parusa/tidos',,,me/xri,μέχρι,preposition,tou=,ὁ,article,'new/teros,νέος,adjective,de\,δέ,particle,*ku=ros',κῦρος,noun,suntetelesme/nh,συντελέω,verb,pa=sa,πᾶς,adjective,dia/noia/,διάνοια,noun,e)stin,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,d',δέ,particle,e)n,ἐν,preposition,au)th=|,αὐτός,pronoun,kw=la,κῶλον,noun,du/o,δύο,adjective,me/rh,μέρα,noun,me\n,μέν,particle,au)th=s,αὐτός,pronoun,e(ka/tero/n,ἑκάτερος,adjective,e)sti,εἰμί,verb,dia/noia,διάνοια,noun,de\,δέ,particle,e)n,ἐν,preposition,e(kate/rw|,ἑκάτερος,adjective,plhrou=tai/,πληρόω,verb,tis,τις,pronoun,i)/dion,ἴδιος,adjective,e)/xousa,ἔχω,verb,pe/ras,πέρας,noun,oi(=on,οἷος,adjective,'*darei/ou,,,kai\,καί,conjunction,*parusa/tidos,Παρύσατις,proper,gi/nontai,γίγνομαι,verb,pai=des',παῖς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/xei,ἔχω,verb,ga/r,γάρ,particle,tina,τις,pronoun,o(loklhri/an,ὁλοκληρία,noun,h(,ὁ,article,dia/noia,διάνοια,noun,au)th\,αὐτός,pronoun,kaq',κατά,preposition,au(th/n,ἑαυτοῦ,pronoun,o(/ti,ὅστις,pronoun,e)ge/nonto,γίγνομαι,verb,*darei/w|,Δαρεῖος,proper,kai\,καί,conjunction,*parusa/tidi,Παρύσατις,proper,pai=des,παῖς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
