word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS
ei),εἰ,conjunction,mh\,μή,conjunction,pro/tero/n,πρότερος,adjective,moi,ἐγώ,pronoun,di/khs,δίκη,adjective,genome/nhs,γίγνομαι,verb,pro\s,πρός,preposition,*)/afobon,ἄφοβος,adjective,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,sunh/|dein,σύνοιδα,verb,pollw=|,πολύς,adjective,tou/twn,οὗτος,pronoun,mei/zw,μέγας,adverb,kai\,καί,conjunction,deino/ter',δεινός,adjective,au)tou=,αὐτός,pronoun,yeusame/nou,ψεύδω,verb,r(a|di/ws,ῥᾴδιος,adjective,e)cele/gcas,ἐξελέγχω,verb,dia\,διά,preposition,th\n,ὁ,article,perifa/neian,περιφάνεια,adjective,tw=n,ὁ,article,a)dikhma/twn,ἀδίκημα,noun,qaumasi/ws,θαυμάσιος,adjective,a)\n,ἄν,particle,w(s,ὡς,conjunction,hu)labou/mhn,εὐλαβέομαι,verb,mh\,μή,conjunction,kai\,καί,conjunction,nu=n,νῦν,adverb,ou),οὐ,adverb,dunhqw=,δύναμαι,verb,dei=cai,δείκνυμι,verb,ph=|,πη,particle,parakrou/etai/,παρακρούω,verb,poq',ποτέ,particle,e(/kasq',ἕκαστος,adjective,u(ma=s,σύ,pronoun,au)tw=n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,de\,δέ,particle,su\n,σύν,preposition,qeoi=s,θεός,noun,ei)pei=n,εἶπον,verb,a)/nper,ἐάν,conjunction,i)/soi,ἴσος,adjective,kai\,καί,conjunction,koinoi\,κοινός,adjective,ge/nhsq',γίγνομαι,verb,h(mw=n,ἐγώ,pronoun,a)kroatai/,ἀκροατής,noun,polla\s,πολύς,adjective,e)lpi/das,ἐλπίς,noun,e)/xw,ἔχω,verb,mhde\n,μηδείς,pronoun,h(=tton,ἥσσων,adverb,u(ma=s,σύ,pronoun,th\n,ὁ,article,a)nai/deian,ἀναίδεια,adjective,th\n,ὁ,article,tou/tou,οὗτος,pronoun,gnw/sesqai,γιγνώσκω,verb,tw=n,ὁ,article,pro/teron,πρότερος,adjective,dikasa/ntwn,δικάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tau=t',οὗτος,pronoun,ei),εἰ,conjunction,me\n,μέν,particle,e)dei=to,δέομαι,verb,lo/gou,λόγος,noun,tino\s,τις,pronoun,h)\,ἠέ,conjunction,poikili/as,ποικιλία,noun,e)/gwge,ἐγώ,pronoun,katw/knoun,κατοκνέω,verb,a)\n,ἄν,particle,th\n,ὁ,article,e)mautou=,ἐμαυτοῦ,pronoun,katamemfo/menos,καταμέμφομαι,verb,h(liki/an,ἡλικία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,d',δέ,particle,a(plw=s,ἁπλῶς,adverb,dei=,δέομαι,verb,dida/cai,διδάσκω,verb,kai\,καί,conjunction,dihgh/sasqai,διηγέομαι,verb,ta\,ὁ,article,tou/tw|,οὗτος,pronoun,pepragme/na,πράσσω,verb,peri\,περί,preposition,h(mw=n,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)k,ἐκ,preposition,de\,δέ,particle,tou/twn,οὗτος,pronoun,oi)=mai,οἴομαι,verb,pa=sin,πᾶς,adjective,u(mi=n,σύ,pronoun,eu)/gnwston,εὔγνωστος,adjective,e)/sesqai,εἰμί,verb,po/tero/s,πότερος,adjective,poq',ποτέ,particle,h(mw=n,ἐγώ,pronoun,e)sq',εἰμί,verb,o(,ὁ,article,ponhro/s,πονηρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)=da,οἶδα,verb,me\n,μέν,particle,ou)=n,οὖν,particle,o(/ti,ὅστις,pronoun,th\n,ὁ,article,di/khn,δίκη,adjective,ou(=tos,οὗτος,pronoun,ei)/lhxe,λαγχάνω,verb,tau/thn,οὗτος,pronoun,ou)xi\,οὐ,adverb,tw=|,τίς,pronoun,ta\,ὁ,article,yeudh=,ψευδής,adverb,tin',τις,pronoun,au(tou=,ἑαυτοῦ,pronoun,katamemarturhke/nai,καταμαρτυρέω,verb,e)cele/gcein,ἐξελέγχω,verb,pisteu/wn,πιστεύω,verb,a)ll',ἀλλά,adverb,h(gou/menos,ἡγέομαι,verb,dia\,διά,preposition,to\,ὁ,article,me/geqos,μέγεθος,adjective,tou=,ὁ,article,timh/matos,τίμημα,noun,th=s,ὁ,article,di/khs,δίκη,adjective,h(\n,ὅς,pronoun,w)=flen,ὀφλισκάνω,verb,e)moi\,ἐγώ,pronoun,me\n,μέν,particle,a)\n,ἄν,particle,gene/sqai,γίγνομαι,verb,tina\,τις,pronoun,fqo/non,φθόνος,noun,au(tw=|,ἑαυτοῦ,pronoun,d',δέ,particle,e)/leon,ἔλεος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,dia\,διά,preposition,tau=ta,οὗτος,pronoun,peri\,περί,preposition,th=s,ὁ,article,gegenhme/nhs,γίγνομαι,verb,di/khs,δίκη,adjective,nu=n,νῦν,adverb,a)pologei=tai,ἀπολογέομαι,verb,peri\,περί,preposition,h(=s,ὅς,pronoun,to/t',τότε,adverb,ou)de\n,οὐδείς,pronoun,e)/sxe,ἔχω,verb,di/kaion,δίκαιος,adjective,ei)pei=n,εἶπον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,d',δέ,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,ei),εἰ,conjunction,me\n,μέν,particle,e)pepra/gmhn,πράσσω,verb,tou=ton,οὗτος,pronoun,th\n,ὁ,article,di/khn,δίκη,adjective,h)\,ἠέ,conjunction,mhde\n,μηδείς,pronoun,h)/qelon,ἐθέλω,verb,me/trion,μέτριος,adjective,sugxwrei=n,συγχωρέω,verb,h)di/koun,ἀδικέω,verb,me\n,μέν,particle,ou)d',οὐδέ,particle,a)\n,ἄν,particle,ou(/tws,οὕτως,adverb,ta\,ὁ,article,par',παρά,preposition,u(mi=n,σύ,pronoun,gnwsqe/nta,γιγνώσκω,verb,pratto/menos,πράσσω,verb,au)to/n,αὐτός,pronoun,o(/mws,ὅμως,conjunction,d',δέ,particle,a)\n,ἄν,particle,ei)=xe/n,ἔχω,verb,tis,τις,pronoun,ei)pei=n,εἶπον,verb,w(s,ὡς,conjunction,li/an,λίαν,adverb,w)mw=s,ὠμός,adjective,kai\,καί,conjunction,pikrw=s,πικρός,adjective,o)/nta,εἰμί,verb,suggenh=,συγγενεύς,noun,tou=ton,οὗτος,pronoun,e)k,ἐκ,preposition,th=s,ὁ,article,ou)si/as,οὐσία,adjective,a(pa/shs,ἅπας,adjective,e)kbe/blhka,ἐκβάλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,de\,δέ,particle,tou)nanti/on,ἐναντίος,adjective,e)sti/n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=tos,οὗτος,pronoun,e)me\,ἐγώ,pronoun,tw=n,ὁ,article,patrw/|wn,πατρῷος,adjective,a(pa/ntwn,ἅπας,adjective,meta\,μετά,preposition,tw=n,ὁ,article,sunepitro/pwn,συνεπίτροπος,noun,a)peste/rhken,ἀποστερέω,verb,kai\,καί,conjunction,ou)d',οὐδέ,particle,e)n,ἐν,preposition,u(mi=n,σύ,pronoun,fanerw=s,φανερός,adjective,e)celegxqei\s,ἐξελέγχω,verb,oi)/etai,οἴομαι,verb,dei=n,δέω,verb,ou)de\n,οὐδείς,pronoun,tw=n,ὁ,article,metri/wn,μέτριος,adjective,poiei=n,ποιέω,verb,a)lla\,ἀλλά,adverb,diaskeuasa/menos,διασκευάζω,verb,th\n,ὁ,article,ou)si/an,οὐσία,adjective,kai\,καί,conjunction,paradou\s,παραδίδωμι,verb,th\n,ὁ,article,me\n,μέν,particle,sunoiki/an,συνοικία,noun,*ai)si/w|,αἴσιος,adjective,to\n,ὁ,article,d',δέ,particle,a)gro\n,ἀγρός,noun,*)onh/tori,Ὀνήτωρ,proper,pro\s,πρός,preposition,me\n,μέν,particle,e)kei/nous,ἐκεῖνος,pronoun,di/khn,δίκη,adjective,kai\,καί,conjunction,pra/gmat',πρᾶγμα,noun,e)/xein,ἔχω,verb,e)me\,ἐγώ,pronoun,pepoi/hken,ποιέω,verb,e)k,ἐκ,preposition,de\,δέ,particle,th=s,ὁ,article,oi)ki/as,οἰκία,noun,au)to\s,αὐτός,pronoun,ta\,ὁ,article,skeu/h,σκεῦος,noun,labw\n,λαμβάνω,verb,kai\,καί,conjunction,ta)ndra/pod',ἀνδράποδον,noun,e)cagagw\n,ἐξάγω,verb,kai\,καί,conjunction,to\n,ὁ,article,la/kkon,λάκκος,noun,suntri/yas,συντρίβω,verb,kai\,καί,conjunction,ta\,ὁ,article,qurw/mat',θυρώματα,noun,a)pospa/sas,ἀποσπάω,verb,kai\,καί,conjunction,mo/non,μόνος,adjective,ou)k,οὐ,adverb,au)th\n,αὐτός,pronoun,th\n,ὁ,article,oi)ki/an,οἰκία,noun,e)mprh/sas,ἐμπίμπρημι,verb,*me/gara/d',Μέγαράδε,adverb,e)cw/|khken,ἐξοικέω,verb,ka)kei=,ἐκεῖ,adverb,metoi/kion,μετοίκιον,noun,te/qhken,τίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
