word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/122/lemma/@_entry,word/122/lemma/@_POS,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS,word/124/@_form,word/124/lemma/@_entry,word/124/lemma/@_POS,word/125/@_form,word/125/lemma/@_entry,word/125/lemma/@_POS,word/126/@_form,word/126/lemma/@_entry,word/126/lemma/@_POS,word/127/@_form,word/127/lemma/@_entry,word/127/lemma/@_POS,word/128/@_form,word/128/lemma/@_entry,word/128/lemma/@_POS,word/129/@_form,word/129/lemma/@_entry,word/129/lemma/@_POS,word/130/@_form,word/130/lemma/@_entry,word/130/lemma/@_POS,word/131/@_form,word/131/lemma/@_entry,word/131/lemma/@_POS,word/132/@_form,word/132/lemma/@_entry,word/132/lemma/@_POS
pa/ntwn,πᾶς,adjective,e)sti\n,εἰμί,verb,a)niaro/taton,ἀνιαρός,adjective,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,o(/tan,ὅταν,conjunction,tis,τις,pronoun,o)no/mati,ὄνομα,adjective,me\n,μέν,particle,a)delfo\s,ἀδελφός,adjective,prosagoreuqh=|,προσαγορεύω,verb,tinw=n,τις,pronoun,tw=|,ὁ,article,d',δέ,particle,e)/rgw|,ἔργον,noun,e)xqrou\s,ἐχθρός,adjective,e)/xh|,ἔχω,verb,tou/tous,οὗτος,pronoun,kai\,καί,conjunction,a)nagka/zhtai,ἀναγκάζω,verb,polla\,πολύς,adjective,kai\,καί,conjunction,deina\,δεινός,adjective,paqw\n,πάσχω,verb,u(p',ὑπό,preposition,au)tw=n,αὐτός,pronoun,ei)sie/nai,εἴσειμι,verb,ei)s,εἰς,preposition,dikasth/rion,δικαστήριον,noun,o(\,ὅς,pronoun,nu=n,νῦν,adverb,e)moi\,ἐγώ,pronoun,sumbe/bhken,συμβαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,mo/non,μόνος,adjective,a)tu/xhma/,ἀτύχημα,noun,moi,ἐγώ,pronoun,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,e)ge/neto,γίγνομαι,verb,dio/ti,διότι,conjunction,*plaggw\n,,,h(,ὁ,article,tou/twn,οὗτος,pronoun,mh/thr,μήτηρ,noun,e)capath/sasa,ἐξαπατάω,verb,to\n,ὁ,article,pate/ra,πατήρ,noun,mou,ἐγώ,pronoun,kai\,καί,conjunction,e)piorkh/sasa,ἐπιορκέω,verb,fanerw=s,φανερός,adjective,h)na/gkasen,ἀναγκάζω,verb,au)to\n,αὐτός,pronoun,u(pomei=nai,ὑπομένω,verb,tou/tous,οὗτος,pronoun,poih/sasqai,ποιέω,verb,kai\,καί,conjunction,dia\,διά,preposition,tou=to,οὗτος,pronoun,ta\,ὁ,article,du/o,δύο,adjective,me/rh,μέρα,noun,tw=n,ὁ,article,patrw/|wn,πατρῷος,adjective,a)pesterh/qhn,ἀποστερέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,pro\s,πρός,preposition,tou/tois,οὗτος,pronoun,e)celh/lamai,ἐξελαύνω,verb,me\n,μέν,particle,e)k,ἐκ,preposition,th=s,ὁ,article,patrw/|as,πατρῷος,adjective,oi)ki/as,οἰκία,noun,u(po\,ὑπό,preposition,tou/twn,οὗτος,pronoun,e)n,ἐν,preposition,h(=|,ὅς,pronoun,kai\,καί,conjunction,e)geno/mhn,γίγνομαι,verb,kai\,καί,conjunction,e)tra/fhn,τρέφω,verb,kai\,καί,conjunction,ei)s,εἰς,preposition,h(\n,ὅς,pronoun,ou)x,οὐ,adverb,o(,ὁ,article,path\r,πατήρ,noun,au)tou\s,αὐτός,pronoun,a)ll',ἀλλά,adverb,e)gw\,ἐγώ,pronoun,teleuth/santos,τελευτάω,verb,e)kei/nou,ἐκεῖνος,pronoun,paredeca/mhn,παραδέχομαι,verb,a)posterou=mai,ἀποστερέω,verb,de\,δέ,particle,th\n,ὁ,article,proi=ka,προίξ,adjective,th=s,ὁ,article,e)mautou=,ἐμαυτοῦ,pronoun,mhtro/s,μήτηρ,noun,peri\,περί,preposition,h(=s,ὅς,pronoun,nuni\,νυνί,adverb,dika/zomai,δικάζω,verb,au)to\s,αὐτός,pronoun,me\n,μέν,particle,tou/tois,οὗτος,pronoun,di/kas,δίκη,adjective,u(pe\r,ὑπέρ,preposition,w(=n,ὅς,pronoun,e)neka/loun,ἐγκαλέω,verb,moi,ἐγώ,pronoun,pa/ntwn,πᾶς,adjective,dedwkw/s,δίδωμι,verb,plh\n,πλήν,preposition,ei)/,εἰ,conjunction,tina,τις,pronoun,nu=n,νῦν,adverb,e(/neka,ἕνεκα,preposition,th=s,ὁ,article,di/khs,δίκη,adjective,tau/ths,οὗτος,pronoun,a)nteilh/xasi/n,ἀντιλαγχάνω,verb,moi,ἐγώ,pronoun,sukofantou=ntes,συκοφαντέω,verb,w(s,ὡς,conjunction,kai\,καί,conjunction,u(mi=n,σύ,pronoun,e)/stai,εἰμί,verb,katafane/s,καταφανής,adverb,para\,παρά,preposition,de\,δέ,particle,tou/twn,οὗτος,pronoun,e)n,ἐν,preposition,e(/ndeka,ἕνδεκα,noun,e)/tesin,ἔτος,noun,ou),οὐ,adverb,duna/menos,δύναμαι,verb,tuxei=n,τυγχάνω,verb,tw=n,ὁ,article,metri/wn,μέτριος,adjective,a)lla\,ἀλλά,adverb,nu=n,νῦν,adverb,ei)s,εἰς,preposition,u(ma=s,σύ,pronoun,katapefeugw/s,καταφεύγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de/omai,δέομαι,verb,ou)=n,οὖν,particle,a(pa/ntwn,ἅπας,adjective,u(mw=n,σύ,pronoun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,met',μετά,preposition,eu)noi/as,εὔνοια,noun,te/,τε,particle,mou,ἐγώ,pronoun,a)kou=sai,ἀκέω,verb,ou(/tws,οὕτως,adverb,o(/pws,ὅπως,conjunction,a)\n,ἄν,particle,du/nwmai,δύναμαι,verb,le/gontos,λέγω,verb,ka)\n,κἀν,conjunction,u(mi=n,σύ,pronoun,dokw=,δοκάζω,verb,deina\,δεινός,adjective,peponqe/nai,πάσχω,verb,suggnw/mhn,συγγνώμη,adjective,e)/xein,ἔχω,verb,moi,ἐγώ,pronoun,zhtou=nti,ζητέω,verb,komi/sasqai,κομίζω,verb,ta)mautou=,ἐμαυτοῦ,pronoun,a)/llws,ἄλλως,adverb,te,τε,particle,kai\,καί,conjunction,ei)s,εἰς,preposition,qugatro\s,θυγάτηρ,adjective,e)/kdosin,ἔκδοσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sune/bh,συμβαίνω,verb,ga/r,γάρ,particle,moi,ἐγώ,pronoun,dehqe/ntos,δέω,verb,tou=,ὁ,article,patro\s,πατήρ,noun,o)ktwkaideke/th,ὀκτωκαιδεκέτης,adjective,gh=mai,γαμέω,verb,kai\,καί,conjunction,dia\,διά,preposition,tou=to,οὗτος,pronoun,ei)=nai/,εἰμί,verb,moi,ἐγώ,pronoun,qugate/ra,θυγάτηρ,adjective,h)/dh,ἤδη,adverb,e)pi/gamon,ἐπίγαμος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/st',ὥστε,conjunction,e)moi\,ἐγώ,pronoun,me\n,μέν,particle,dikai/ws,δίκαιος,adjective,a)\n,ἄν,particle,a)dikoume/nw|,ἀδικέω,verb,dia\,διά,preposition,polla\,πολύς,adjective,bohqh/saite,βοηθέω,verb,tou/tois,οὗτος,pronoun,de\,δέ,particle,ei)ko/tws,ἐοικότως,adverb,a)\n,ἄν,particle,o)rgi/zoisqe,ὀργίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(/tines,ὅστις,pronoun,w)=,ὦ,interjection,gh=,γῆ,noun,kai\,καί,conjunction,qeoi/,θεός,noun,e)co\n,ἔξεστι,verb,au)toi=s,αὐτός,pronoun,ta\,ὁ,article,di/kaia,δίκαιος,adjective,poih/sasi,ποιέω,verb,mh\,μή,conjunction,ei)sie/nai,εἴσειμι,verb,ei)s,εἰς,preposition,dikasth/rion,δικαστήριον,noun,ou)k,οὐ,adverb,ai)sxu/nontai,αἰσχύνω,verb,me\n,μέν,particle,a)namimnh/|skontes,ἀναμιμνήσκω,verb,u(ma=s,σύ,pronoun,ei)/,εἰ,conjunction,ti,τις,pronoun,h)\,ἠέ,conjunction,o(,ὁ,article,path\r,πατήρ,noun,h(mw=n,ἐγώ,pronoun,mh\,μή,conjunction,o)rqw=s,ὀρθός,adjective,diepra/cato,διαπράσσω,verb,h)\,ἠέ,conjunction,ou(=toi,οὗτος,pronoun,ei)s,εἰς,preposition,e)kei=non,ἐκεῖνος,pronoun,h(/marton,ἁμαρτάνω,verb,a)nagka/zousi,ἀναγκάζω,verb,d',δέ,particle,e)me\,ἐγώ,pronoun,dika/zesqai,δικάζω,verb,au(toi=s,ἑαυτοῦ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i(/na,ἵνα,conjunction,de\,δέ,particle,a)kribw=s,ἀκριβῶς,adverb,ei)dh=te,οἶδα,verb,w(s,ὡς,conjunction,ou)k,οὐ,adverb,e)gw\,ἐγώ,pronoun,tou/tou,οὗτος,pronoun,ai)/tio/s,αἴτιος,adjective,ei)mi,εἰμί,verb,a)ll',ἀλλά,adverb,ou(=toi,οὗτος,pronoun,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,u(mi=n,σύ,pronoun,w(s,ὡς,conjunction,a)\n,ἄν,particle,e)n,ἐν,preposition,braxuta/tois,βραχύς,adjective,du/nwmai,δύναμαι,verb,dihgh/somai,διηγέομαι,verb,ta\,ὁ,article,praxqe/nta,πράσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,ga\r,γάρ,particle,mh/thr,μήτηρ,noun,h(,ὁ,article,e)mh/,ἐμός,adjective,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,quga/thr,θυγάτηρ,adjective,me\n,μέν,particle,h)=n,εἰμί,verb,*poluara/tou,Πολυάρατος,proper,*xolarge/ws,Χολαργεύς,proper,a)delfh\,ἀδελφή,noun,de\,δέ,particle,*menece/nou,Μενέξενος,proper,kai\,καί,conjunction,*baqu/llou,Βάθυλλος,proper,kai\,καί,conjunction,*peria/ndrou,Περίανδρος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)kdo/ntos,ἐκδίδωμι,verb,de\,δέ,particle,au)th\n,αὐτός,pronoun,tou=,ὁ,article,patro\s,πατήρ,noun,*kleome/donti,,,tw=|,ὁ,article,*kle/wnos,Κλέων,proper,ui(ei=,υἱός,noun,kai\,καί,conjunction,proi=ka,προίξ,adjective,ta/lanton,τάλαντον,noun,e)pido/ntos,ἐπεῖδον,verb,to\,ὁ,article,me\n,μέν,particle,prw=ton,πρότερος,adjective,tou/tw|,οὗτος,pronoun,sunw/|kei,συνοικέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
