word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/122/lemma/@_entry,word/122/lemma/@_POS,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS,word/124/@_form,word/124/lemma/@_entry,word/124/lemma/@_POS,word/125/@_form,word/125/lemma/@_entry,word/125/lemma/@_POS,word/126/@_form,word/126/lemma/@_entry,word/126/lemma/@_POS,word/127/@_form,word/127/lemma/@_entry,word/127/lemma/@_POS,word/128/@_form,word/128/lemma/@_entry,word/128/lemma/@_POS,word/129/@_form,word/129/lemma/@_entry,word/129/lemma/@_POS,word/40/lemma/@_entry,word/40/lemma/@_POS,word/59/lemma/@_entry,word/59/lemma/@_POS,word/68/lemma/@_entry,word/68/lemma/@_POS
koinwno/s,κοινωνός,noun,ei)mi,εἰμί,verb,tou=,ὁ,article,danei/smatos,δάνεισμα,noun,tou/tou,οὗτος,pronoun,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sumbai/nei,συμβαίνω,verb,d',δέ,particle,h(mi=n,ἐγώ,pronoun,toi=s,ὁ,article,th\n,ὁ,article,kata\,κατά,preposition,qa/lattan,θάλασσα,noun,e)rgasi/an,ἐργασία,noun,proh|rhme/nois,προαιρέω,verb,kai\,καί,conjunction,ta\,ὁ,article,h(me/ter',ἡμέτερος,adjective,au)tw=n,αὐτός,pronoun,e)gxeiri/zousin,ἐγχειρίζω,verb,e(te/rois,ἕτερος,adjective,e)kei=no,ἐκεῖνος,pronoun,me\n,μέν,particle,safw=s,σαφής,adverb,ei)de/nai,οἶδα,verb,o(/ti,ὅστις,pronoun,o(,ὁ,article,daneizo/menos,δανείζω,verb,e)n,ἐν,preposition,panti\,πᾶς,adjective,proe/xei,προέχω,verb,h(mw=n,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labw\n,λαμβάνω,verb,ga\r,γάρ,particle,a)rgu/rion,ἀργύριον,adjective,fanero\n,φανερός,adjective,kai\,καί,conjunction,o(mologou/menon,ὁμολογέω,verb,e)n,ἐν,preposition,grammateidi/w|,γραμματείδιον,noun,duoi=n,δύο,adjective,xalkoi=n,χαλκός,noun,e)wnhme/nw|,ὠνέομαι,verb,kai\,καί,conjunction,bublidi/w|,βιβλάριον,noun,mikrw=|,μικρός,adjective,pa/nu,πάνυ,adverb,th\n,ὁ,article,o(mologi/an,ὁμολογία,noun,katale/loipe,καταλιμπάνω,verb,tou=,ὁ,article,poih/sein,ποιέω,verb,ta\,ὁ,article,di/kaia,δίκαιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(mei=s,ἐγώ,pronoun,d',δέ,particle,ou),οὐ,adverb,fame\n,φημί,verb,dw/sein,δίδωμι,verb,a)ll',ἀλλά,adverb,eu)qu\s,εὐθύς,adverb,tw=|,ὁ,article,daneizome/nw|,δανείζω,verb,di/domen,δίδωμι,verb,to\,ὁ,article,a)rgu/rion,ἀργύριον,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=|,ὁ,article,ou)=n,οὖν,particle,pote\,ποτός,adjective,pisteu/ontes,πιστεύω,verb,kai\,καί,conjunction,ti/,τίς,pronoun,labo/ntes,λαμβάνω,verb,to\,ὁ,article,be/baion,βέβαιος,adjective,proi+e/meqa,προίημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(mi=n,σύ,pronoun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,kai\,καί,conjunction,toi=s,ὁ,article,no/mois,νόμος,noun,toi=s,ὁ,article,u(mete/rois,ὑμέτερος,adjective,oi(\,ἕ,pronoun,keleu/ousin,κελεύω,verb,o(/sa,ὅσος,adjective,a)/n,ἄν,particle,tis,τις,pronoun,e(kw\n,ἑκών,adjective,e(/teros,ἕτερος,adjective,e(te/rw|,ἕτερος,adjective,o(mologh/sh|,ὁμολογέω,verb,ku/ria,κύριος,adjective,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla/,ἀλλά,adverb,moi,ἐγώ,pronoun,dokei=,δοκέω,verb,ou)/te,οὔτε,adverb,tw=n,ὁ,article,no/mwn,νόμος,noun,ou)/te,οὔτε,adverb,suggrafh=s,συγγραφεύς,noun,ou)demia=s,οὐδείς,pronoun,o)/felos,ὄφελος,noun,ei)=nai,εἰμί,verb,ou)de/n,οὐδείς,pronoun,a)\n,ἄν,particle,o(,ὁ,article,lamba/nwn,λαμβάνω,verb,ta\,ὁ,article,xrh/mata,χρῆμα,adjective,mh\,μή,conjunction,pa/nu,πάνυ,adverb,di/kaios,δίκαιος,adjective,h)=|,εἰμί,verb,to\n,ὁ,article,tro/pon,τρόπος,noun,kai\,καί,conjunction,duoi=n,δύο,adjective,qa/teron,ἕτερος,adjective,h)\,ἠέ,conjunction,u(ma=s,σύ,pronoun,dediw\s,δείδω,verb,h)\,ἠέ,conjunction,to\n,ὁ,article,sumbalo/nta,συμβάλλω,verb,ai)sxuno/menos,αἰσχύνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(=n,ὅς,pronoun,ou)de/teron,οὐδέτερος,adjective,pro/sesti,πρόσειμι,verb,*dionusodw/rw|,Διονυσόδωρος,proper,toutw|i/,οὗτος,pronoun,a)ll',ἀλλά,adverb,ei)s,εἰς,preposition,tosou=ton,τοσοῦτος,adjective,h(/kei,ἥκω,verb,to/lmhs,τόλμα,noun,w(/ste,ὥστε,conjunction,daneisa/menos,δανείζω,verb,par',παρά,preposition,h(mw=n,ἐγώ,pronoun,e)pi\,ἐπί,preposition,th=|,ὁ,article,nhi\,ναῦς,noun,trisxili/as,τρισχίλιοι,adjective,draxma\s,δραχμή,noun,e)f',ἐπί,preposition,w(=|,ὅς,pronoun,te,τε,particle,th\n,ὁ,article,nau=n,ναῦς,noun,kataplei=n,καταπλέω,verb,*)aqh/naze,Ἀθήναζε,adverb,kai\,καί,conjunction,de/on,δέω,verb,h(ma=s,ἐγώ,pronoun,e)n,ἐν,preposition,th=|,ὁ,article,pe/rusin,πέρυσι,adverb,w(/ra|,ὥρα,adjective,kekomi/sqai,κομίζω,verb,ta\,ὁ,article,xrh/mata,χρῆμα,adjective,th\n,ὁ,article,me\n,μέν,particle,nau=n,ναῦς,noun,ei)s,εἰς,preposition,*(ro/don,kateko/mise,κατακομίζω,verb,kai\,καί,conjunction,to\n,ὁ,article,go/mon,γόμος,noun,e)kei=se,ἐκεῖσε,adverb,e)celo/menos,ἐξαιρέω,verb,a)pe/doto,ἀποδίδωμι,verb,para\,παρά,preposition,th\n,ὁ,article,suggrafh\n,συγγραφή,noun,kai\,καί,conjunction,tou\s,ὁ,article,no/mous,νόμος,noun,tou\s,ὁ,article,u(mete/rous,ὑμέτερος,adjective,e)k,ἐκ,preposition,de\,δέ,particle,th=s,ὁ,article,*(ro/dou,pa/lin,πάλιν,adverb,a)pe/steile,ἀποστέλλω,verb,th\n,ὁ,article,nau=n,ναῦς,noun,ei)s,εἰς,preposition,*ai)/gupton,Αἴγυπτος,proper,ka)kei=qen,ἐκεῖθεν,adverb,ei)s,εἰς,preposition,*(ro/don,h(mi=n,ἐγώ,pronoun,de\,δέ,particle,toi=s,ὁ,article,*)aqh/nhsi,Ἀθήνευς,proper,danei/sasin,δανείζω,verb,ou)de/pw,οὐδέπω,adverb,kai\,καί,conjunction,nu=n,νῦν,adverb,ou)/te,οὔτε,adverb,ta\,ὁ,article,xrh/mata,χρῆμα,adjective,a)podi/dwsin,ἀποδίδωμι,verb,ou)/te,οὔτε,adverb,to\,ὁ,article,e)ne/xuron,ἐνέχυρον,noun,kaqi/sthsin,καθίστημι,verb,ei)s,εἰς,preposition,to\,ὁ,article,e)mfane/s,ἐμφανής,adjective,a)lla\,ἀλλά,adverb,deu/teron,δεύτερος,adjective,e)/tos,ἔτος,noun,touti\,οὗτος,pronoun,karpou/menos,καρπέω,verb,ta\,ὁ,article,h(me/tera,ἡμέτερος,adjective,kai\,καί,conjunction,e)/xwn,ἔχω,verb,to/,ὁ,article,te,τε,particle,da/neion,δάνειον,noun,kai\,καί,conjunction,th\n,ὁ,article,e)rgasi/an,ἐργασία,noun,kai\,καί,conjunction,th\n,ὁ,article,nau=n,ναῦς,noun,th\n,ὁ,article,u(pokeime/nhn,ὑπόκειμαι,verb,h(mi=n,ἐγώ,pronoun,ou)de\n,οὐδείς,pronoun,h(=tton,ἥσσων,adverb,ei)selh/luqen,εἰσέρχομαι,verb,pro\s,πρός,preposition,u(ma=s,σύ,pronoun,dh=lon,δῆλος,adjective,w(s,ὡς,conjunction,zhmiw/swn,ζημιόω,verb,h(ma=s,ἐγώ,pronoun,th=|,ὁ,article,e)pwbeli/a|,ἐπωβελία,noun,kai\,καί,conjunction,kataqhso/menos,καταθέω,verb,ei)s,εἰς,preposition,to\,ὁ,article,oi)/khma,οἴκημα,noun,pro\s,πρός,preposition,tw=|,ὁ,article,a)posterei=n,ἀποστερέω,verb,ta\,ὁ,article,xrh/mata,χρῆμα,adjective,,,,,,
u(mw=n,σύ,pronoun,ou)=n,οὖν,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,o(moi/ws,ὅμοιος,adjective,a(pa/ntwn,ἅπας,adjective,deo/meqa,δέομαι,verb,kai\,καί,conjunction,i(keteu/omen,ἱκετεύω,verb,bohqh=sai,βοηθέω,verb,h(mi=n,ἐγώ,pronoun,a)\n,ἄν,particle,dokw=men,δοκάζω,verb,a)dikei=sqai,ἀδικέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th\n,ὁ,article,de\,δέ,particle,a)rxh\n,ἀρχή,noun,tou=,ὁ,article,sumbolai/ou,συμβόλαιον,noun,diecelqei=n,διεξέρχομαι,verb,u(mi=n,σύ,pronoun,prw=ton,πρότερος,adjective,bou/lomai,βούλομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
