word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/4/lemma/@_entry,word/4/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS
ou)de\n,οὐδείς,pronoun,kaino\n,καινός,adjective,diapra/ttontai,διαπράσσω,verb,oi(,ἕ,pronoun,*fashli=tai,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,a)ll',ἀλλά,adverb,a(/per,ὅς,pronoun,ei)w/qasin,ἔθω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=toi,οὗτος,pronoun,ga\r,γάρ,particle,deino/tatoi,δεινός,adjective,me/n,μέν,particle,ei)sin,danei/sasqai,δανείζω,verb,xrh/mata,χρῆμα,adjective,e)n,ἐν,preposition,tw=|,ὁ,article,e)mpori/w|,ἐμπόριον,noun,e)peida\n,ἐπειδάν,conjunction,εἰμί,verb,de\,δέ,particle,la/bwsin,λαμβάνω,verb,kai\,καί,conjunction,suggrafh\n,συγγραφή,noun,suggra/ywntai,συγγράφω,verb,nautikh/n,ναυτικός,adjective,eu)qu\s,εὐθύς,adverb,e)pela/qonto,ἐπιλανθάνομαι,verb,kai\,καί,conjunction,tw=n,ὁ,article,suggrafw=n,συγγραφή,noun,kai\,καί,conjunction,tw=n,ὁ,article,no/mwn,νόμος,noun,kai\,καί,conjunction,o(/ti,ὅστις,pronoun,dei=,δέομαι,verb,a)podou=nai,ἀποδίδωμι,verb,au)tou\s,αὐτός,pronoun,a(\,ὅς,pronoun,e)/labon,λαμβάνω,verb,kai\,καί,conjunction,oi)/ontai,οἴομαι,verb,e)a\n,ἐάν,conjunction,a)podw=sin,ἀποδέω,verb,w(/sper,ὥσπερ,adverb,tw=n,ὁ,article,i)di/wn,ἴδιος,adjective,ti,τις,pronoun,tw=n,ὁ,article,e(autw=n,ἑαυτοῦ,pronoun,a)polwleke/nai,ἀπόλλυμι,verb,a)ll',ἀλλά,adverb,a)nti\,ἀντί,preposition,tou=,ὁ,article,a)podou=nai,ἀποδίδωμι,verb,sofi/smata,σόφισμα,noun,eu(ri/skousin,εὑρίσκω,verb,kai\,καί,conjunction,paragrafa\s,παραγραφή,noun,kai\,καί,conjunction,profa/seis,προφάω,verb,kai\,καί,conjunction,ei)si\n,εἰμί,verb,ponhro/tatoi,πονηρός,adjective,a)nqrw/pwn,ἄνθρωπος,noun,kai\,καί,conjunction,a)dikw/tatoi,ἄδικος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tekmh/rion,τεκμήριον,noun,de\,δέ,particle,tou/tou,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pollw=n,πολύς,adjective,ga\r,γάρ,particle,a)fiknoume/nwn,ἀφικνέομαι,verb,ei)s,εἰς,preposition,to\,u(me/teron,ὑμέτερος,adjective,e)mpo/rion,ἐμπόριον,noun,kai\,καί,conjunction,*(ellh/nwn,Ἕλλην,proper,kai\,καί,conjunction,barba/rwn,βάρβαρος,adjective,ὁ,article,plei/ous,πλέως,adjective,di/kai,δίκη,adjective,ei)si\n,εἰμί,verb,e(ka/stote,ἑκάστοτε,adverb,au)tw=n,αὐτός,pronoun,tw=n,ὁ,article,*fashlitw=n,,,h)\,ἠέ,conjunction,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,a(pa/ntwn,ἅπας,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=toi,οὗτος,pronoun,me\n,μέν,particle,ou)=n,οὖν,particle,toiou=toi/,τοιοῦτος,adjective,ei)sin,,,,,,,,,,,,,,,,,,,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,de/,δέ,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,xrh/mata,χρῆμα,adjective,danei/sas,δανείζω,verb,*)arte/mwni,Ἀρτέμων,proper,tw=|,ὁ,article,tou/tou,οὗτος,pronoun,a)delfw=|,ἀδελφός,adjective,δικαστής,noun,kata\,κατά,preposition,tou\s,ὁ,article,e)mporikou\s,ἐμπορικός,adjective,no/mous,νόμος,noun,ei)s,εἰς,preposition,to\n,ὁ,article,*po/nton,Πόντος,proper,kai\,καί,conjunction,pa/lin,πάλιν,adverb,*)aqh/naze,Ἀθήναζε,adverb,teleuth/santos,τελευτάω,verb,e)kei/nou,ἐκεῖνος,pronoun,pri\n,πρίν,adverb,a)podou=nai/,ἀποδίδωμι,verb,moi,ἐγώ,pronoun,ta\,ὁ,article,xrh/mata,χρῆμα,adjective,*lakri/tw|,Λάκριτος,proper,toutw|i\,οὗτος,pronoun,ei)/lhxa,λαγχάνω,verb,th\n,ὁ,article,di/khn,δίκη,adjective,tau/thn,οὗτος,pronoun,kata\,κατά,preposition,tou\s,ὁ,article,au)tou\s,αὐτός,pronoun,no/mous,νόμος,noun,tou/tous,οὗτος,pronoun,kaq',κατά,preposition,ou(/sper,ὅς,pronoun,to\,ὁ,article,sumbo/laion,συμβόλαιον,noun,e)poihsa/mhn,ποιέω,verb,a)delfw=|,ἀδελφός,adjective,o)/nti,εἰμί,verb,tou/tw|,οὗτος,pronoun,e)kei/nou,ἐκεῖνος,pronoun,kai\,καί,conjunction,e)/xonti,ἔχω,verb,a(/panta,ἅπας,adjective,ta\,ὁ,article,*)arte/mwnos,Ἀρτέμων,proper,kai\,καί,conjunction,o(/sa,ὅσος,adjective,e)nqa/de,ἐνθάδε,adverb,kate/lipen,καταλιμπάνω,verb,kai\,καί,conjunction,o(/sa,ὅσος,adjective,h)=n,εἰμί,verb,au)tw=|,αὐτός,pronoun,e)n,ἐν,preposition,th=|,ὁ,article,*fash/lidi,Φάσηλις,proper,kai\,καί,conjunction,klhrono/mw|,κληρόνομος,noun,o)/nti,εἰμί,verb,tw=n,ὁ,article,e)kei/nou,ἐκεῖνος,pronoun,a(pa/ntwn,ἅπας,adjective,kai\,καί,conjunction,ou)k,οὐ,adverb,a)\n,ἄν,particle,e)/xontos,ἔχω,verb,tou/tou,οὗτος,pronoun,dei=cai,δείκνυμι,verb,no/mon,νόμος,noun,o(/stis,ὅστις,pronoun,au)tw=|,αὐτός,pronoun,di/dwsin,δίδωμι,verb,e)cousi/an,ἐξουσία,noun,e)/xein,ἔχω,verb,me\n,μέν,particle,ta\,ὁ,article,tou=,ὁ,article,a)delfou=,ἀδελφός,adjective,kai\,καί,conjunction,diw|khke/nai,διοικέω,verb,o(/pws,ὅπως,conjunction,e)do/kei,δοκέω,verb,au)tw=|,αὐτός,pronoun,mh\,μή,conjunction,a)podou=nai,ἀποδίδωμι,verb,de\,δέ,particle,ta\,ὁ,article,a)llo/tria,ἀλλότριος,adjective,xrh/mata,χρῆμα,adjective,a)lla\,ἀλλά,adverb,le/gein,λέγω,verb,nu=n,νῦν,adverb,o(/ti,ὅστις,pronoun,ou)k,οὐ,adverb,e)/stin,εἰμί,verb,klhrono/mos,κληρονόμος,noun,a)ll',ἀλλά,adverb,a)fi/statai,ἀφίστημι,verb,tw=n,ὁ,article,e)kei/nou,ἐκεῖνος,pronoun
h(,ὁ,article,me\n,μέν,particle,toutoui\,οὗτος,pronoun,*lakri/tou,Λάκριτος,proper,ponhri/a,toiau/th,τοιοῦτος,adjective,e)sti/n,εἰμί,verb,,,,,,,,,,,,,πονηρία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,d',δέ,particle,u(mw=n,σύ,pronoun,de/omai,δέομαι,verb,w)=,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,eu)noi+kw=s,εὐνοικός,adjective,a)kou=sai/,ἀκέω,verb,mou,ἐγώ,pronoun,peri\,περί,preposition,ὦ,interjection,tou=,ὁ,article,pra/gmatos,πρᾶγμα,noun,toutoui/,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka)\n,κἀν,conjunction,e)cele/gcw,ἐξελέγχω,verb,au)to\n,αὐτός,pronoun,a)dikou=nta,ἀδικέω,verb,h(ma=s,te,τε,particle,tou\s,ὁ,article,danei/santas,δανείζω,verb,kai\,καί,conjunction,u(ma=s,σύ,pronoun,ou)de\n,οὐδείς,pronoun,ἐγώ,pronoun,h(=tton,ἥσσων,adverb,bohqei=te,βοάω,verb,h(mi=n,ἐγώ,pronoun,ta\,ὁ,article,di/kaia,δίκαιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,ga/r,γάρ,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,au)to\s,αὐτός,pronoun,me\n,μέν,particle,ou)d',οὐδέ,particle,o(pwstiou=n,ὁπωσοῦν,conjunction,e)gnw/rizon,γνωρίζω,verb,tou\s,ὁ,article,δικαστής,noun,a)nqrw/pous,ἄνθρωπος,noun,tou/tous,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
