word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS
o(\,ὅς,pronoun,pare/lipon,παραλείπω,verb,e)n,ἐν,preposition,tw=|,ὁ,article,prote/rw|,πρότερος,adjective,lo/gw|,λόγος,noun,tekmh/rion,τεκμήριον,noun,ou)deno\s,οὐδείς,pronoun,tw=n,ὁ,article,ei)rhme/nwn,ἐρῶ,verb,e)/latton,ἐλάσσων,adjective,tou=,ὁ,article,mh\,μή,conjunction,dedwke/nai,δίδωμι,verb,th\n,ὁ,article,proi=ka,προίξ,adjective,tou/tous,οὗτος,pronoun,*)afo/bw|,ἄφοβος,adjective,tou=to,οὗτος,pronoun,prw=ton,πρότερος,adjective,ei)pw/n,εἶπον,verb,meta\,μετά,preposition,tou=to,οὗτος,pronoun,kai\,καί,conjunction,peri\,περί,preposition,w(=n,ὅς,pronoun,ou(=tos,οὗτος,pronoun,e)/yeustai,ψεύδω,verb,pro\s,πρός,preposition,u(ma=s,σύ,pronoun,e)cele/gxein,ἐξελέγχω,verb,au)to\n,αὐτός,pronoun,peira/somai,πειράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=tos,οὗτος,pronoun,ga/r,γάρ,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,to\,ὁ,article,prw=ton,πρότερος,adjective,o(/te,ὅτε,conjunction,tw=n,ὁ,article,*)afo/bou,ἄφοβος,adjective,dienoei=t',διανοέομαι,verb,a)mfisbhtei=n,ἀμφισβητέω,verb,ou)xi\,οὐ,adverb,ta/lanton,τάλαντον,noun,e)/fh,φημί,verb,th\n,ὁ,article,proi=ka,προίξ,adjective,w(/sper,ὥσπερ,adverb,nuni/,νυνί,adverb,a)ll',ἀλλά,adverb,o)gdoh/konta,ὀγδοήκοντα,noun,mna=s,μνᾶ,noun,dedwke/nai,δίδωμι,verb,kai\,καί,conjunction,ti/qhsin,τίθημι,verb,o(/rous,ὅρος,adjective,e)pi\,ἐπί,preposition,me\n,μέν,particle,th\n,ὁ,article,oi)ki/an,οἰκία,noun,disxili/wn,δισχίλιοι,adjective,e)pi\,ἐπί,preposition,de\,δέ,particle,to\,ὁ,article,xwri/on,χωρίον,noun,tala/ntou,τάλαντον,noun,boulo/menos,βούλομαι,verb,mh\,μή,conjunction,mo/non,μόνος,adjective,tou=to,οὗτος,pronoun,a)lla\,ἀλλά,adverb,ka)kei/nhn,ἐκεῖνος,pronoun,diasw/|zein,διασῴζω,verb,au)tw=|,αὐτός,pronoun,,,,,,
genome/nhs,γίγνομαι,verb,de/,δέ,particle,moi,ἐγώ,pronoun,th=s,ὁ,article,di/khs,δίκη,adjective,pro\s,πρός,preposition,au)to/n,αὐτός,pronoun,i)dw\n,εἶδον,verb,w(s,ὡς,conjunction,dia/keisq',διάκειμαι,verb,u(mei=s,σύ,pronoun,pro\s,πρός,preposition,tou\s,ὁ,article,li/an,λίαν,adverb,a)naidw=s,ἀναιδής,adjective,a)dikou=ntas,ἀδικέω,verb,e)/nnous,ἔννους,adjective,gi/gnetai,γίγνομαι,verb,kai\,καί,conjunction,deina\,δεινός,adjective,pa/sxein,πάσχω,verb,h(gh/sato,ἁγέομαι,verb,do/cein,δοκέω,verb,e)me\,ἐγώ,pronoun,tosou/twn,τοσοῦτος,adjective,xrhma/twn,χρῆμα,adjective,a)pesterhme/non,ἀποστερέω,verb,ei),εἰ,conjunction,mhd',μηδέ,particle,o(tiou=n,ὁτιοῦν,adverb,e(/coimi,ἔχω,verb,tw=n,ὁ,article,*)afo/bou,ἄφοβος,adjective,labei=n,λαμβάνω,verb,tou=,ὁ,article,ta)/m',ἁμός,adjective,e)/xontos,ἔχω,verb,a)ll',ἀλλά,adverb,u(po\,ὑπό,preposition,tou/tou,οὗτος,pronoun,kwluo/menos,κωλύω,verb,fanero\s,φανερός,adjective,genh/somai,γίγνομαι,verb,,,,,,,,,
kai\,καί,conjunction,ti/,τίς,pronoun,poiei=,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou\s,ὁ,article,o(/rous,ὅρος,adjective,a)po\,ἀπό,preposition,th=s,ὁ,article,oi)ki/as,οἰκία,noun,a)fairei=,ἀφαιρέω,verb,kai\,καί,conjunction,ta/lanton,τάλαντον,noun,mo/non,μόνος,adjective,ei)=nai,εἰμί,verb,th\n,ὁ,article,proi=ka/,προίξ,adjective,fhsin,φημί,verb,e)n,ἐν,preposition,w(=|,ὅς,pronoun,to\,ὁ,article,xwri/on,χωρίον,noun,a)potetimh=sqai,ἀποτιμάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/toi,καίτοι,particle,dh=lon,δῆλος,adjective,o(/ti,ὅστις,pronoun,tou\s,ὁ,article,e)pi\,ἐπί,preposition,th=s,ὁ,article,oi)ki/as,οἰκία,noun,o(/rous,ὅρος,adjective,ei),εἰ,conjunction,dikai/ws,δίκαιος,adjective,e)/qhken,τίθημι,verb,kai\,καί,conjunction,o)/ntws,ὄντως,adverb,a)lhqei=s,ἀληθής,adjective,dikai/ws,δίκαιος,adjective,kai\,καί,conjunction,tou\s,ὁ,article,e)pi\,ἐπί,preposition,tou=,ὁ,article,xwri/ou,χωρίον,noun,te/qhken,τίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,d',δέ,particle,eu)qu\s,εὐθύς,adverb,a)dikei=n,ἀδικέω,verb,boulo/menos,βούλομαι,verb,yeudei=s,ψευδής,adverb,e)/qhken,τίθημι,verb,e)kei/nous,ἐκεῖνος,pronoun,ei)ko\s,ἔοικα,verb,kai\,καί,conjunction,tou/tous,οὗτος,pronoun,ou)k,οὐ,adverb,a)lhqei=s,ἀληθής,adjective,u(pa/rxein,ὑπάρχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=to,οὗτος,pronoun,toi/nun,τοίνυν,particle,ou)k,οὐ,adverb,e)c,ἐκ,preposition,w(=n,ὅς,pronoun,e)gw\,ἐγώ,pronoun,dedh/lwka,δηλόω,verb,lo/gwn,λόγος,noun,dei=,δέομαι,verb,skopei=n,σκοπάω,verb,a)ll',ἀλλά,adverb,e)c,ἐκ,preposition,w(=n,ὅς,pronoun,au)to\s,αὐτός,pronoun,ou(=tos,οὗτος,pronoun,diepra/cato,διαπράσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)d',οὐδέ,particle,u(f',ὑπό,preposition,e(no\s,εἷς,adjective,ga\r,γάρ,particle,a)nagkasqei\s,ἀναγκάζω,verb,a)nqrw/pwn,ἄνθρωπος,noun,au)to\s,αὐτός,pronoun,a)nei=len,ἀναιρέω,verb,tou\s,ὁ,article,o(/rous,ὅρος,adjective,e)/rgw|,ἔργον,noun,fanero\n,φανερός,adjective,poih/sas,ποιέω,verb,o(/ti,ὅστις,pronoun,yeu/detai,ψεύδω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tau=q',οὗτος,pronoun,w(s,ὡς,conjunction,a)lhqh=,ἀληθής,adjective,le/gw,λέγω,verb,to\,ὁ,article,me\n,μέν,particle,xwri/on,χωρίον,noun,kai\,καί,conjunction,nu=n,νῦν,adverb,ou(=to/s,οὗτος,pronoun,fhsin,φημί,verb,a)potetimh=sqai,ἀποτιμάω,verb,tala/ntou,τάλαντον,noun,th\n,ὁ,article,d',δέ,particle,oi)ki/an,οἰκία,noun,w(s,ὡς,conjunction,proswri/sato,προσορίζω,verb,disxili/wn,δισχίλιοι,adjective,kai\,καί,conjunction,pa/lin,πάλιν,adverb,tou\s,ὁ,article,o(/rous,ὅρος,adjective,a)nei=len,ἀναιρέω,verb,genome/nhs,γίγνομαι,verb,th=s,ὁ,article,di/khs,δίκη,adjective,tou\s,ὁ,article,ei)do/tas,οἶδα,verb,u(mi=n,σύ,pronoun,ma/rturas,μάρτυς,noun,pare/comai,παρέχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
