word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/8/lemma/@_entry,word/8/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS
a)delfa\s,ἀδελφή,noun,e)/xomen,ἔχω,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,gunai=kas,γυνή,noun,e)gw\,ἐγώ,pronoun,kai\,καί,conjunction,*spoudi/as,ou(tosi/,οὗτος,pronoun,*polueu/ktou,Πολυεύκτος,proper,qugate/ras,θυγάτηρ,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/paidos,ἄπαις,noun,d',δέ,particle,e)kei/nou,ἐκεῖνος,pronoun,teleuth/santos,τελευτάω,verb,a)rre/nwn,ἄρσην,noun,pai/dwn,παῖς,adjective,a)nagka/zomai,ἀναγκάζω,verb,pro\s,πρός,preposition,toutoni\,peri\,περί,preposition,tw=n,ὁ,article,kataleifqe/ntwn,καταλιμπάνω,verb,οὗτος,pronoun,dika/zesqai,δικάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ei),εἰ,conjunction,me/n,μέν,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,mh\,μή,conjunction,pa=san,πᾶς,adjective,spoudh\n,kai\,καί,conjunction,proqumi/an,προθυμία,noun,e)poihsa/mhn,ποιέω,verb,σπουδή,noun,boulo/menos,βούλομαι,verb,dialu/esqai,διαλύω,verb,kai\,καί,conjunction,toi=s,ὁ,article,fi/lois,φίλος,adjective,e)pitre/pein,ἐπιτρέπω,verb,e)mauto\n,ἐμαυτοῦ,pronoun,a)\n,ἄν,particle,h)|tiw/mhn,αἰτιάομαι,verb,ei),εἰ,conjunction,ma=llon,μᾶλλον,adverb,h(|rou/mhn,αἱρέω,verb,di/kas,δίκη,adjective,kai\,καί,conjunction,pra/gmat',πρᾶγμα,noun,e)/xein,ἔχω,verb,h)\,ἠέ,conjunction,mi/kr',μικρός,adjective,e)lattwqei\s,ἐλασσόω,verb,a)ne/xesqai,ἀνέχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,d',δέ,particle,o(/sw|,ὅσος,adjective,prao/teron,πρᾶος,adjective,e)gw\,ἐγώ,pronoun,kai\,καί,conjunction,filanqrwpo/teron,φιλάνθρωπος,adjective,tou/tw|,οὗτος,pronoun,dielego/mhn,tosou/tw|,τοσοῦτος,adjective,ma=llo/n,μᾶλλον,adverb,mou,ἐγώ,pronoun,διαλέγω,verb,katefro/nei,καταφρονέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,nu=n,νῦν,adverb,kinduneu/w,κινδυνεύω,verb,me\n,μέν,particle,ou)de\n,οὐδείς,pronoun,o(moi/ws,ὅμοιος,adjective,tou/tw|,οὗτος,pronoun,pro\s,πρός,preposition,toutoni\,to\n,ὁ,article,a)gw=n',ἀγών,noun,e)/xein,ἔχω,verb,οὗτος,pronoun,a)ll',ἀλλά,adverb,ou(=tos,οὗτος,pronoun,me\n,μέν,particle,r(a|di/ws,ῥᾴδιος,adjective,fe/rei,φέρω,verb,polla/kis,πολλάκις,adverb,ei)qisme/nos,ἐθίζω,verb,e)ntau=q',ἐνταῦθα,adverb,ei)s,εἰς,preposition,u(ma=s,σύ,pronoun,parie/nai,πάρειμι,verb,e)gw\,ἐγώ,pronoun,d',δέ,particle,au)to\,αὐτός,pronoun,tou=to,οὗτος,pronoun,fobou=mai,φοβέω,verb,mh\,μή,conjunction,dia\,διά,preposition,th\n,ὁ,article,a)peiri/an,ἀπειρία,noun,ou),οὐ,adverb,dunhqw=,δύναμαι,verb,dhlw=sai,δηλόω,verb,peri\,περί,preposition,tw=n,ὁ,article,pragma/twn,πρᾶγμα,noun,u(mi=n,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/mws,ὅμως,conjunction,d',δέ,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,prose/xete,προσέχω,verb,to\n,ὁ,article,nou=n,νόος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*polu/euktos,Πολυεύκτος,proper,ga\r,γάρ,particle,h)=n,εἰμί,verb,tis,τις,pronoun,*qria/sios,Θριάσιος,proper,o(\n,ὅς,pronoun,i)/sws,ἴσως,adverb,ou)d',οὐδέ,particle,u(mw=n,tines,τις,pronoun,a)gnoou=sin,ἀγνοέω,verb,,,,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=tos,οὗτος,pronoun,o(,ὁ,article,*polu/euktos,Πολυεύκτος,proper,e)peidh\,ἐπεί,conjunction,ou)k,οὐ,adverb,h)=san,εἰμί,verb,au)tw=|,αὐτός,pronoun,pai=des,παῖς,adjective,a)/rrenes,poiei=tai,ποιέω,verb,*lewkra/th,Λεωκράτης,proper,to\n,ὁ,article,ἄρσην,noun,a)delfo\n,ἀδελφός,adjective,th=s,ὁ,article,e(autou=,ἑαυτοῦ,pronoun,gunaiko/s,γυνή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)sw=n,εἰμί,verb,d',δέ,particle,au)tw=|,αὐτός,pronoun,du/o,δύο,adjective,qugate/rwn,θυγάτηρ,adjective,e)k,ἐκ,preposition,th=s,ὁ,article,tou=,ὁ,article,*lewkra/tous,a)delfh=s,ἀδελφή,noun,th\n,ὁ,article,me\n,μέν,particle,Λεωκράτης,proper,presbute/ran,πρέσβυς,noun,e)moi\,ἐγώ,pronoun,di/dwsin,δίδωμι,verb,kai\,καί,conjunction,tettara/konta,τεσσαράκοντα,adjective,mna=s,μνᾶ,noun,proi=ka,προίξ,adjective,th\n,ὁ,article,de\,δέ,particle,newte/ran,νέος,adjective,tw=|,ὁ,article,*lewkra/tei,Λεωκράτης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou/twn,οὗτος,pronoun,d',δέ,particle,ou(/tws,οὕτως,adverb,e)xo/ntwn,ἔχω,verb,diafora=s,διαφορά,noun,genome/nhs,γίγνομαι,verb,tw=|,ὁ,article,*polueu/ktw|,Πολυεύκτος,proper,pro\s,to\n,ὁ,article,*lewkra/th,Λεωκράτης,proper,peri\,περί,preposition,πρός,preposition,h(=s,ὅς,pronoun,ou)k,οὐ,adverb,oi)=d',οἶδα,verb,o(/,ὅς,pronoun,ti,τις,pronoun,dei=,δέομαι,verb,le/gein,λέγω,verb,a)felo/menos,ἀφαιρέω,verb,o(,ὁ,article,*polu/euktos,Πολυεύκτος,proper,th\n,ὁ,article,qugate/ra,θυγάτηρ,adjective,di/dwsi,δίδωμι,verb,*spoudi/a|,,,toutw|i/,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
