word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS
o(/ti,ὅστις,pronoun,me/n,μέν,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,*fi/lippos,Φίλιππος,proper,ou)k,οὐ,adverb,e)poih/sato,ποιέω,verb,th\n,ὁ,article,ei)rh/nhn,εἰρήνη,noun,pro\s,πρός,preposition,u(ma=s,σύ,pronoun,a)ll',ἀλλά,adverb,a)neba/leto,ἀναβάλλω,verb,to\n,ὁ,article,po/lemon,πόλεμος,noun,pa=sin,πᾶς,adjective,u(mi=n,σύ,pronoun,fanero\n,φανερός,adjective,ge/gonen,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)peidh\,ἐπεί,conjunction,ga\r,γάρ,particle,*farsali/ois,Φαρσάλιος,proper,*(/alon,ἁλίσκομαι,verb,pare/dwke,παραδίδωμι,verb,kai\,καί,conjunction,ta\,ὁ,article,peri\,περί,preposition,*fwke/as,Φωκεύς,proper,diw|kh/sato,διοικέω,verb,kai\,καί,conjunction,th\n,ὁ,article,*qra/|khn,Θρᾴκη,proper,katestre/yato,καταστρέφω,verb,pa=san,πᾶς,adjective,ai)ti/as,αἰτία,noun,ou)k,οὐ,adverb,ou)/sas,εἰμί,verb,plasa/menos,πλάσσω,verb,kai\,καί,conjunction,profa/seis,πρόφασις,noun,a)di/kous,ἄδικος,adjective,e)ceurw\n,ἐξευρίσκω,verb,tw=|,ὁ,article,me\n,μέν,particle,e)/rgw|,ἔργον,noun,pa/lai,πάλαι,adverb,polemei=,πολεμέω,verb,pro\s,πρός,preposition,th\n,ὁ,article,po/lin,πόλις,adjective,tw=|,ὁ,article,de\,δέ,particle,lo/gw|,λόγος,noun,nu=n,νῦν,adverb,o(mologei=,ὁμολογέω,verb,dia\,διά,preposition,th=s,ὁ,article,e)pistolh=s,ἐπιστολεύς,noun,h(=s,ὅς,pronoun,e)/pemyen,πέμπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,de\,δέ,particle,xrh\,χρή,verb,mh/t',μήτε,particle,o)rrwdei=n,ὀρρωδέω,verb,u(ma=s,σύ,pronoun,th\n,ὁ,article,e)kei/nou,ἐκεῖνος,pronoun,du/namin,δύναμις,adjective,mh/t',μήτε,particle,a)gennw=s,ἀγεννής,adverb,a)ntitaxqh=nai,ἀντιτάσσω,verb,pro\s,πρός,preposition,au)to/n,αὐτός,pronoun,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,sw/masi,σῶμα,adjective,kai\,καί,conjunction,xrh/masi,χρῆμα,adjective,kai\,καί,conjunction,nausi\,ναῦς,noun,kai\,καί,conjunction,pa=sin,πᾶς,adjective,w(s,ὡς,conjunction,a(plw=s,ἁπλῶς,adverb,ei)pei=n,εἶπον,verb,a)feidw=s,ἀφειδής,adverb,o(rmh=sai,ὁρμάω,verb,pro\s,πρός,preposition,to\n,ὁ,article,po/lemon,πόλεμος,noun,e)gw\,ἐγώ,pronoun,peira/somai,πειράω,verb,dida/skein,διδάσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prw=ton,πρότερος,adjective,me\n,μέν,particle,ga\r,γάρ,particle,ei)ko/s,ἔοικα,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,tou\s,ὁ,article,qeou\s,θεός,noun,megi/stous,μέγας,adverb,u(mi=n,σύ,pronoun,u(pa/rxein,ὑπάρχω,verb,summa/xous,σύμμαχος,adjective,kai\,καί,conjunction,bohqou/s,βοηθός,adjective,w(=n,ὅς,pronoun,e)kei=nos,ἐκεῖνος,pronoun,ta\s,ὁ,article,pi/steis,πίστις,noun,u(peridw\n,ὑπερεῖδον,verb,kai\,καί,conjunction,tou\s,ὁ,article,o(/rkous,ὅρκος,noun,u(perba\s,ὑπερβαίνω,verb,le/luken,λύω,verb,a)di/kws,ἄδικος,adjective,th\n,ὁ,article,ei)rh/nhn,εἰρήνη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/peiq',ἔπειτα,adverb,oi(=s,ὅς,pronoun,pro/teron,πρότερος,adjective,hu)ch/qh,αὐξάνω,verb,fenaki/zwn,φενακίζω,verb,a)ei/,ἀεί,adverb,tinas,τις,pronoun,kai\,καί,conjunction,mega/l',μέγας,adverb,e)paggello/menos,ἐπαγγέλλω,verb,eu)ergeth/sein,εὐεργετέω,verb,tau=ta,οὗτος,pronoun,pa/nta,πᾶς,adjective,diecelh/luqen,διεξέρχομαι,verb,h)/dh,ἤδη,adverb,kai\,καί,conjunction,gignw/sketai,γιγνώσκω,verb,me\n,μέν,particle,u(po\,ὑπό,preposition,tw=n,ὁ,article,*perinqi/wn,Περίνθιος,proper,kai\,καί,conjunction,*buzanti/wn,Βυζάντιος,proper,kai\,καί,conjunction,tw=n,ὁ,article,e)kei/nois,ἐκεῖνος,pronoun,summaxou/ntwn,συμμαχέω,verb,w(s,ὡς,conjunction,e)piqumei=,ἐπιθυμέω,verb,prosenexqh=nai,προσφέρω,verb,tou/tois,οὗτος,pronoun,to\n,ὁ,article,au)to\n,αὐτός,pronoun,tro/pon,τρόπος,noun,o(/nper,ὅς,pronoun,*)olunqi/ois,Ὀλύνθιος,proper,pro/teron,πρότερος,adjective,ou)k,οὐ,adverb,a)gnoei=tai,ἀγνοέω,verb,d',δέ,particle,u(po\,ὑπό,preposition,*qettalw=n,Θεσσαλός,proper,despo/zein,δεσπόζω,verb,a)ll',ἀλλά,adverb,ou)x,οὐ,adverb,h(gei=sqai,ἡγέομαι,verb,tw=n,ὁ,article,summa/xwn,σύμμαχος,adjective,proairou/menos,προαιρέω,verb,u(popteu/etai,ὑποπτεύω,verb,d',δέ,particle,u(po\,ὑπό,preposition,*qhbai/wn,Θηβαῖος,proper,*ni/kaian,Νικαία,proper,me\n,μέν,particle,froura=|,φρουρά,noun,kate/xwn,καταχώννυμι,verb,ei)s,εἰς,preposition,de\,δέ,particle,th\n,ὁ,article,a)mfiktuoni/an,ἀμφικτυονία,noun,ei)sdedukw/s,εἰσδύνω,verb,ta\s,ὁ,article,de\,δέ,particle,presbei/as,πρέσβεια,noun,ta\s,ὁ,article,e)k,ἐκ,preposition,*peloponnh/sou,Πελοπόννησος,proper,pro\s,πρός,preposition,au(to\n,ἑαυτοῦ,pronoun,a)/gwn,ἄγω,verb,kai\,καί,conjunction,th\n,ὁ,article,e)kei/nwn,ἐκεῖνος,pronoun,summaxi/an,συμμαχία,noun,parairou/menos,παραιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/ste,ὥστε,conjunction,tw=n,ὁ,article,au)tw=|,αὐτός,pronoun,pro\,πρό,preposition,tou=,ὁ,article,fi/lwn,φίλος,adjective,o)/ntwn,εἰμί,verb,tou\s,ὁ,article,me\n,μέν,particle,nu=n,νῦν,adverb,polemei=n,πολεμέω,verb,a)katalla/ktws,ἀκατάλλακτος,adjective,tou\s,ὁ,article,de\,δέ,particle,mhke/ti,μηκέτι,adverb,proqu/mous,πρόθυμος,adjective,ei)=nai,εἰμί,verb,sunagwnista/s,συναγωνιστής,noun,a(/pantas,ἅπας,adjective,d',δέ,particle,u(fora=sqai,ὑφοράω,verb,kai\,καί,conjunction,diabeblh=sqai,διαβάλλω,verb,pro\s,πρός,preposition,au)to/n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/ti,ἔτι,adverb,toi/nun,τοίνυν,particle,ou)de\,οὐδέ,particle,ga\r,γάρ,particle,tou=t',οὗτος,pronoun,e)/sti,εἰμί,verb,mikro/n),μικρός,adjective,oi(,ἕ,pronoun,kata\,κατά,preposition,th\n,ὁ,article,*)asi/an,Ἄσιος,proper,satra/pai,σατράπης,noun,kaqestw=tes,καθίστημι,verb,e)/nagxos,ἔναγχος,adverb,me\n,μέν,particle,ce/nous,ξένος,noun,ei)spe/myantes,εἰσπέμπω,verb,e)kw/lusan,κωλύω,verb,e)kpoliorkhqh=nai,ἐκπολιορκέω,verb,*pe/rinqon,Πέρινθος,proper,nu=n,νῦν,adverb,de\,δέ,particle,th=s,ὁ,article,e)/xqras,ἔχθρα,noun,au)toi=s,αὐτός,pronoun,e)nestw/shs,ἐνίστημι,verb,kai\,καί,conjunction,tou=,ὁ,article,kindu/nou,κίνδυνος,noun,plhsi/on,πλησίος,adjective,o)/ntos,εἰμί,verb,ei),εἰ,conjunction,xeirwqh/setai,χειρόω,verb,*buza/ntion,Βυζάντιος,proper,ou),οὐ,adverb,mo/non,μόνος,adjective,au)toi\,αὐτός,pronoun,proqu/mws,πρόθυμος,adjective,sumpolemh/sousin,συμπολεμέω,verb,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,basile/a,βασιλεύς,noun,xrh/mata,χρῆμα,adjective,xorhgei=n,χορηγέω,verb,h(mi=n,ἐγώ,pronoun,protre/yontai,προτρέπω,verb,o(\s,ὅς,pronoun,tosou=ton,τοσοῦτος,adjective,me\n,μέν,particle,ke/kthtai,κτάομαι,verb,plou=ton,πλοῦτος,noun,o(/son,ὅσος,adjective,ou)d',οὐδέ,particle,oi(,ὁ,article,loipoi\,λοιπός,adjective,pa/ntes,πᾶς,adjective,thlikau/thn,τηλικοῦτος,adjective,d',δέ,particle,e)/xei,ἔχω,verb,r(w/mhn,ῥώμη,noun,pro\s,πρός,preposition,ta\s,ὁ,article,e)nqa/de,ἐνθάδε,adverb,pra/ceis,πρᾶξις,adjective,w(/ste,ὥστε,conjunction,kai\,καί,conjunction,pro/teron,πρότερος,adjective,h(ni/ka,ἡνίκα,adverb,*lakedaimoni/ois,Λακεδαιμόνιος,proper,e)polemou=men,πολεμέω,verb,o(pote/rois,ὁπότερος,adjective,pro/sqoito,προστίθημι,verb,tou/tous,οὗτος,pronoun,e)poi/ei,ποιέω,verb,kratei=n,κρατέω,verb,tw=n,ὁ,article,e(te/rwn,ἕτερος,adjective,kai\,καί,conjunction,nu=n,νῦν,adverb,meq',μετά,preposition,h(mw=n,ἐγώ,pronoun,geno/menos,γίγνομαι,verb,r(a|di/ws,ῥᾴδιος,adjective,katapolemh/sei,καταπολεμέω,verb,th\n,ὁ,article,*fili/ppou,Φίλιππος,proper,du/namin,δύναμις,adjective
pro\s,πρός,preposition,toi/nun,τοίνυν,particle,tou/tois,οὗτος,pronoun,thlikou/tois,τηλικοῦτος,adjective,ou)=sin,εἰμί,verb,ou)k,οὐ,adverb,e)rw=,ἐράομαι,verb,me\n,μέν,particle,w(s,ὡς,conjunction,ou),οὐ,adverb,dia\,διά,preposition,th\n,ὁ,article,ei)rh/nhn,εἰρήνη,noun,polla\,πολύς,adjective,proei/lhfen,προλαμβάνω,verb,h(mw=n,ἐγώ,pronoun,xwri/a,χωρίον,noun,kai\,καί,conjunction,lime/nas,λιμήν,noun,kai\,καί,conjunction,toiau=q',τοιοῦτος,adjective,e(/tera,ἕτερος,adjective,xrh/sima,χρήσιμος,adjective,pro\s,πρός,preposition,po/lemon,πόλεμος,noun,o(rw=,ὁράω,verb,d',δέ,particle,w(s,ὡς,conjunction,o(/tan,ὅταν,conjunction,me\n,μέν,particle,u(p',ὑπό,preposition,eu)noi/as,εὔνοια,noun,ta\,ὁ,article,pra/gmata,πρᾶγμα,noun,sune/xhtai,συνόχωκα,verb,kai\,καί,conjunction,pa=si,πᾶς,adjective,tau)ta\,ταυτός,adjective,sumfe/rh|,συμφέρω,verb,toi=s,ὁ,article,mete/xousi,μετέχω,verb,tw=n,ὁ,article,pole/mwn,πόλεμος,noun,me/nei,μένω,verb,ta\,ὁ,article,sustaqe/nta,συνίστημι,verb,bebai/ws,βέβαιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/tan,ὅταν,conjunction,d',δέ,particle,e)c,ἐκ,preposition,e)piboulh=s,ἐπιβουλή,noun,kai\,καί,conjunction,pleoneci/as,πλεονεξία,noun,a)pa/th|,ἀπάτη,noun,kai\,καί,conjunction,bi/a|,βία,adjective,kate/xhtai,κατέχω,verb,kaqa/per,καθά,adverb,u(po\,ὑπό,preposition,tou/tou,οὗτος,pronoun,nu=n,νῦν,adverb,mikra\,μικρός,adjective,pro/fasis,πρόφασις,noun,kai\,καί,conjunction,to\,ὁ,article,tuxo\n,τυγχάνω,verb,ptai=sma,πταῖσμα,noun,taxe/ws,ταχέως,adverb,au)ta\,αὐτός,pronoun,die/seise,διασείω,verb,kai\,καί,conjunction,kate/lusen,καταλύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,polla/kis,πολλάκις,adverb,eu(ri/skw,εὑρίσκω,verb,logizo/menos,λογίζομαι,verb,ou),οὐ,adverb,mo/non,μόνος,adjective,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,ta\,ὁ,article,summaxika\,συμμαχικός,adjective,tw=|,ὁ,article,*fili/ppw|,Φίλιππος,proper,pro\s,πρός,preposition,u(poyi/an,ὑποψία,noun,h(/konta,ἥκω,verb,kai\,καί,conjunction,dusme/neian,δυσμένεια,noun,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,ta\,ὁ,article,th=s,ὁ,article,i)di/as,ἴδιος,adjective,a)rxh=s,ἀρχή,noun,ou),οὐ,adverb,sunhrmosme/na,συναρμόζω,verb,kalw=s,καλός,noun,ou)d',οὐδέ,particle,oi)kei/ws,οἰκεῖος,adjective,ou)d',οὐδέ,particle,w(s,ὡς,conjunction,oi)/etai/,οἴομαι,verb,tis,τις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
