word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS
o(/ti,ὅστις,pronoun,me\n,μέν,particle,ou),οὐ,adverb,sukofantw=n,συκοφαντέω,verb,a)ll',ἀλλά,adverb,a)dikou/menos,ἀδικέω,verb,kai\,καί,conjunction,u(brizo/menos,ὑβρίζω,verb,u(po\,ὑπό,preposition,tou/twn,οὗτος,pronoun,kai\,καί,conjunction,oi)o/menos,οἴομαι,verb,dei=n,δέω,verb,timwrei=sqai,τιμωρέω,verb,th\n,ὁ,article,a)pografh\n,ἀπογραφή,noun,e)poihsa/mhn,ποιέω,verb,me/giston,μέγας,adverb,u(mi=n,σύ,pronoun,e)/stw,εἰμί,verb,tekmh/rion,τεκμήριον,noun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,to/,ὁ,article,te,τε,particle,me/geqos,μέγεθος,adjective,th=s,ὁ,article,a)pografh=s,ἀπογραφεύς,noun,kai\,καί,conjunction,o(/ti,ὅστις,pronoun,au)to\s,αὐτός,pronoun,e)gw\,ἐγώ,pronoun,a)pe/graya,ἀπογράφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,dh/pou,δήπου,particle,sukofantei=n,συκοφαντέω,verb,ge,γε,particle,boulo/menos,βούλομαι,verb,a)pe/graya,ἀπογράφω,verb,me\n,μέν,particle,a)\n,ἄν,particle,pe/nq',πέντε,adverb,h(mimnai/wn,ἡμίμναιον,noun,a)/cia,ἄξιος,adjective,a)ndra/poda,ἀνδράποδον,noun,w(s,ὡς,conjunction,au)to\s,αὐτός,pronoun,o(,ὁ,article,a)mfisbhtw=n,ἀμφισβητέω,verb,teti/mhtai,τιμάω,verb,au)ta/,αὐτός,pronoun,e)kindu/neuon,κινδυνεύω,verb,d',δέ,particle,a)\n,ἄν,particle,peri/,περί,preposition,te,τε,particle,xili/wn,χίλιοι,adjective,draxmw=n,δραχμή,noun,kai\,καί,conjunction,tou=,ὁ,article,mhde/pote,μηδέποτε,adverb,mhde/na,μηδείς,pronoun,au)=qis,αὖθις,adverb,u(pe\r,ὑπέρ,preposition,e)mautou=,ἐμαυτοῦ,pronoun,gra/yasqai,γράφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)d',οὐδέ,particle,au)=,αὖ,interjection,ou(/tws,οὕτως,adverb,a)/poros,ἄπορος,adjective,h)=n,εἰμί,verb,ou)d',οὐδέ,particle,a)/filos,ἄφιλος,adjective,w(/ste,ὥστε,conjunction,ou)k,οὐ,adverb,a)\n,ἄν,particle,e)ceurei=n,ἐξευρίσκω,verb,to\n,ὁ,article,a)pogra/yonta,ἀπογράφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,tw=n,ὁ,article,e)n,ἐν,preposition,a)nqrw/pois,ἄνθρωπος,noun,a(pa/ntwn,ἅπας,adjective,h(ghsa/menos,ἡγέομαι,verb,deino/taton,δεινός,adjective,ei)=nai,εἰμί,verb,a)dikei=sqai,ἀδικέω,verb,me\n,μέν,particle,au)to/s,αὐτός,pronoun,e(/teron,ἕτερος,adjective,d',δέ,particle,u(pe\r,ὑπέρ,preposition,e)mou=,ἐγώ,pronoun,tou=,ὁ,article,a)dikoume/nou,ἀδικέω,verb,tou)/noma,ὄνομα,adjective,pare/xein,παρέχω,verb,kai\,καί,conjunction,ei)=nai,εἰμί,verb,a)/n,ἄν,particle,ti,τις,pronoun,tou/tois,οὗτος,pronoun,tou=to,οὗτος,pronoun,tekmh/rion,τεκμήριον,noun,o(po/te,ὁπότε,adverb,e)gw\,ἐγώ,pronoun,le/goimi,λέγω,verb,th\n,ὁ,article,e)/xqran,ἔχθρα,noun,pro\s,πρός,preposition,u(ma=s,σύ,pronoun,w(s,ὡς,conjunction,yeu/domai,ψεύδω,verb,ou),οὐ,adverb,ga\r,γάρ,particle,a)/n,ἄν,particle,pote,ποτέ,particle,e(/teron,ἕτερος,adjective,a)pogra/yai,ἀπογράφω,verb,ei)/per,εἴπερ,conjunction,e)gw\,ἐγώ,pronoun,au)to\s,αὐτός,pronoun,h)dikou/mhn),ἀδικέω,verb,dia\,διά,preposition,me\n,μέν,particle,tau=ta,οὗτος,pronoun,a)pe/graya,ἀπογράφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)pogra/yas,ἀπογράφω,verb,de\,δέ,particle,e)a\n,ἐάν,conjunction,a)podei/cw,ἀποδείκνυμι,verb,ta\,ὁ,article,a)ndra/poda,ἀνδράποδον,noun,*)areqousi/ou,Ἀρεθούσιος,proper,o)/nta,εἰμί,verb,ou(=per,οὗπερ,adverb,e)ge/grapto,γράφω,verb,ei)=nai,εἰμί,verb,ta\,ὁ,article,me\n,μέν,particle,tri/a,τρεῖς,noun,me/rh,μέρα,noun,a(\,ὅς,pronoun,e)k,ἐκ,preposition,tw=n,ὁ,article,no/mwn,νόμος,noun,tw=|,ὁ,article,i)diw/th|,ἰδιώτης,noun,tw=|,ὁ,article,a)pogra/yanti,ἀπογράφω,verb,gi/gnetai,γίγνομαι,verb,th=|,ὁ,article,po/lei,πόλις,adjective,a)fi/hmi,ἀφίημι,verb,au)tw=|,αὐτός,pronoun,d',δέ,particle,e)moi\,ἐγώ,pronoun,tetimwrh=sqai,τιμωρέω,verb,a)rkei=,ἀρκέω,verb,mo/non,μόνος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,me\n,μέν,particle,ou)=n,οὖν,particle,moi,ἐγώ,pronoun,h)=n,εἰμί,verb,i(kano\n,ἱκανός,adjective,to\,ὁ,article,u(/dwr,ὕδωρ,noun,dihgh/sasqai,διηγέομαι,verb,pro\s,πρός,preposition,u(ma=s,σύ,pronoun,ta\,ὁ,article,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,o(/s',ὅσος,adjective,a)gaqa\,ἀγαθός,adjective,peponqo/tes,πάσχω,verb,u(p',ὑπό,preposition,e)mou=,ἐγώ,pronoun,oi(=a/,οἷος,adjective,me,ἐγώ,pronoun,ei)rgasme/noi,ἐργάζομαι,verb,ei)si/n,εἰμί,verb,eu)=,εὖ,adverb,oi)=d',οἶδα,verb,o(/ti,ὅστις,pronoun,u(mei=s,σύ,pronoun,t',τε,particle,a)/n,ἄν,particle,moi,ἐγώ,pronoun,e)/ti,ἔτι,adverb,ma=llon,μᾶλλον,adverb,suggnw/mhn,συγγνώμη,adjective,ei)/xete,ἔχω,verb,tou=,ὁ,article,o)rgi/zesqai,ὀργίζω,verb,au)toi=s,αὐτός,pronoun,tou/tous,οὗτος,pronoun,t',τε,particle,a)nosiwta/tous,ἀνόσιος,adjective,a)nqrw/pwn,ἄνθρωπος,noun,h(gh/sasqe,ἁγέομαι,verb,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,d',δέ,particle,ou)de\,οὐδέ,particle,dipla/sio/n,διπλάσιος,adjective,moi,ἐγώ,pronoun,tou/tou,οὗτος,pronoun,u(/dwr,ὕδωρ,noun,i(kano\n,ἱκανός,adjective,a)\n,ἄν,particle,ge/noito,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,me/gista,μέγας,adverb,kai\,καί,conjunction,perifanh=,περιφανής,adverb,tw=n,ὁ,article,a)dikhma/twn,ἀδίκημα,noun,kai\,καί,conjunction,o(po/qen,ὁπόθεν,adverb,h(,ὁ,article,a)pografh\,ἀπογραφή,noun,au(/th,οὗτος,pronoun,ge/gonen,γίγνομαι,verb,e)rw=,ἐράομαι,verb,pro\s,πρός,preposition,u(ma=s,σύ,pronoun,ta\,ὁ,article,de\,δέ,particle,polla\,πολύς,adjective,e)a/sw,ἀίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*niko/stratos,Νικόστρατος,proper,ga\r,γάρ,particle,ou(tosi/,οὗτος,pronoun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,gei/twn,γείτων,noun,moi,ἐγώ,pronoun,w)\n,εἰμί,verb,e)n,ἐν,preposition,a)grw=|,ἀγρός,noun,kai\,καί,conjunction,h(likiw/ths,ἡλικιώτης,noun,gnwri/mws,γνώριμος,adjective,me/n,μέν,particle,moi,ἐγώ,pronoun,ei)=xen,ἔχω,verb,kai\,καί,conjunction,pa/lai,πάλαι,adverb,e)peidh\,ἐπεί,conjunction,de\,δέ,particle,e)teleu/thsen,τελευτάω,verb,o(,ὁ,article,path\r,πατήρ,noun,kai\,καί,conjunction,e)gw\,ἐγώ,pronoun,e)n,ἐν,preposition,a)grw=|,ἀγρός,noun,katw/|koun,κατοικέω,verb,ou(=per,οὗπερ,adverb,kai\,καί,conjunction,nu=n,νῦν,adverb,oi)kw=,οἰκέω,verb,kai\,καί,conjunction,ma=llon,μᾶλλον,adverb,a)llh/lois,ἀλλήλων,pronoun,h)/dh,ἤδη,adverb,e)xrw/meqa,χράομαι,verb,dia\,διά,preposition,to\,ὁ,article,gei/tone/s,γείτων,noun,te,τε,particle,ei)=nai,εἰμί,verb,kai\,καί,conjunction,h(likiw=tai,ἡλικιώτης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xro/nou,χρόνος,noun,de\,δέ,particle,probai/nontos,προβαίνω,verb,kai\,καί,conjunction,pa/nu,πάνυ,adverb,oi)kei/ws,οἰκεῖος,adjective,diekei/meqa,διάκειμαι,verb,kai\,καί,conjunction,e)gw/,ἐγώ,pronoun,te,τε,particle,ou(/tws,οὕτως,adverb,oi)kei/ws,οἰκεῖος,adjective,diekei/mhn,διάκειμαι,verb,pro\s,πρός,preposition,tou=ton,οὗτος,pronoun,w(/st',ὥστε,conjunction,ou)deno\s,οὐδείς,pronoun,pw/pote,πώποτε,adverb,w(=n,ὅς,pronoun,e)deh/qh,δέω,verb,ou(=tos,οὗτος,pronoun,e)mou=,ἐγώ,pronoun,a)pe/tuxen,ἀποτυγχάνω,verb,ou(=to/s,οὗτος,pronoun,te,τε,particle,au)=,αὖ,interjection,e)moi\,ἐγώ,pronoun,ou)k,οὐ,adverb,a)/xrhstos,ἄχρηστος,adjective,h)=n,εἰμί,verb,pro\s,πρός,preposition,to\,ὁ,article,e)pimelhqh=nai,ἐπιμελέομαι,verb,kai\,καί,conjunction,dioikh=sai,διοικέω,verb,kai\,καί,conjunction,o(po/te,ὁπότε,adverb,e)gw\,ἐγώ,pronoun,a)podhmoi/hn,ἀποδημέω,verb,h)\,ἠέ,conjunction,dhmosi/a|,δημοσίᾳ,adverb,trihrarxw=n,τριηραρχέω,verb,h)\,ἠέ,conjunction,i)di/a|,ἴδιος,adjective,kat',κατά,preposition,a)/llo,ἄλλος,adjective,ti,τις,pronoun,ku/rion,κύριος,adjective,tw=n,ὁ,article,e)n,ἐν,preposition,a)grw=|,ἀγρός,noun,tou=ton,οὗτος,pronoun,a(pa/ntwn,ἅπας,adjective,kate/leipon,καταλιμπάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
