word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/122/lemma/@_entry,word/122/lemma/@_POS,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS,word/124/@_form,word/124/lemma/@_entry,word/124/lemma/@_POS,word/125/@_form,word/125/lemma/@_entry,word/125/lemma/@_POS,word/126/@_form,word/126/lemma/@_entry,word/126/lemma/@_POS,word/127/@_form,word/127/lemma/@_entry,word/127/lemma/@_POS,word/128/@_form,word/128/lemma/@_entry,word/128/lemma/@_POS,word/129/@_form,word/129/lemma/@_entry,word/129/lemma/@_POS,word/130/@_form,word/130/lemma/@_entry,word/130/lemma/@_POS,word/131/@_form,word/131/lemma/@_entry,word/131/lemma/@_POS,word/132/@_form,word/132/lemma/@_entry,word/132/lemma/@_POS,word/133/@_form,word/133/lemma/@_entry,word/133/lemma/@_POS,word/134/@_form,word/134/lemma/@_entry,word/134/lemma/@_POS,word/135/@_form,word/135/lemma/@_entry,word/135/lemma/@_POS,word/136/@_form,word/136/lemma/@_entry,word/136/lemma/@_POS,word/137/@_form,word/137/lemma/@_entry,word/137/lemma/@_POS,word/138/@_form,word/138/lemma/@_entry,word/138/lemma/@_POS,word/139/@_form,word/139/lemma/@_entry,word/139/lemma/@_POS,word/140/@_form,word/140/lemma/@_entry,word/140/lemma/@_POS
mhdeni\,μηδείς,pronoun,u(mw=n,σύ,pronoun,a)/piston,ἄπιστος,adjective,gene/sqw,γίγνομαι,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,ei),εἰ,conjunction,*timo/qeos,Τιμόθεος,proper,o)fei/lwn,ὀφείλω,verb,a)rgu/rion,ἀργύριον,adjective,tw=|,ὁ,article,patri\,πατήρ,noun,tw=|,ὁ,article,e)mw=|,ἐμός,adjective,feu/gei,φεύγω,verb,nu=n,νῦν,adverb,u(p',ὑπό,preposition,e)mou=,ἐγώ,pronoun,tau/thn,οὗτος,pronoun,th\n,ὁ,article,di/khn,δίκη,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,e)peida\n,ἐπειδάν,conjunction,u(ma=s,σύ,pronoun,a)namnh/sw,ἀναμιμνήσκω,verb,to/n,ὁ,article,te,τε,particle,kairo\n,καιρός,noun,e)n,ἐν,preposition,w(=|,ὅς,pronoun,to\,ὁ,article,sumbo/laion,συμβόλαιον,noun,e)ge/neto,γίγνομαι,verb,kai\,καί,conjunction,ta\,ὁ,article,sumba/nta,συμβαίνω,verb,tou/tw|,οὗτος,pronoun,e)n,ἐν,preposition,e)kei/nw|,ἐκεῖνος,pronoun,tw=|,ὁ,article,xro/nw|,χρόνος,noun,kai\,καί,conjunction,ei)s,εἰς,preposition,o(/shn,ὅσος,adjective,a)pori/an,ἀπορία,noun,kate/sth,καθίστημι,verb,ou(=tos,οὗτος,pronoun,to/te,τότε,adverb,h(gh/sesqe,ἁγέομαι,verb,to\n,ὁ,article,me\n,μέν,particle,pate/ra,πατήρ,noun,to\n,ὁ,article,e)mo\n,ἐμός,adjective,be/ltiston,βέλτιστος,adjective,gene/sqai,γίγνομαι,verb,peri\,περί,preposition,*timo/qeon,Τιμόθεος,proper,tou=ton,οὗτος,pronoun,de\,δέ,particle,ou),οὐ,adverb,mo/non,μόνος,adjective,a)xa/riston,ἀχάριστος,adjective,ei)=nai,εἰμί,verb,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,a)dikw/taton,ἄδικος,adjective,pa/ntwn,πᾶς,adjective,a)nqrw/pwn,ἄνθρωπος,noun,o(/s,ὅς,pronoun,ge,γε,particle,tuxw\n,τυγχάνω,verb,para\,παρά,preposition,tou=,ὁ,article,patro\s,πατήρ,noun,tou=,ὁ,article,e)mou=,ἐγώ,pronoun,o(/swn,ὅσος,adjective,e)deh/qh,δέω,verb,kai\,καί,conjunction,labw\n,λαμβάνω,verb,a)rgu/rion,ἀργύριον,adjective,a)po\,ἀπό,preposition,th=s,ὁ,article,trape/zhs,τράπεζα,noun,e)n,ἐν,preposition,pollh=|,πολύς,adjective,a)pori/a|,ἀπορία,noun,w)\n,εἰμί,verb,ka)n,ἐν,preposition,kindu/nois,κίνδυνος,noun,toi=s,ὁ,article,megi/stois,μέγας,adverb,kaqesthkw\s,καθίστημι,verb,peri\,περί,preposition,th=s,ὁ,article,yuxh=s,ψυχή,noun,ou),οὐ,adverb,mo/non,μόνος,adjective,ou)k,οὐ,adverb,a)pe/dwke,ἀποδίδωμι,verb,xa/rin,χάρις,noun,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,to\,ὁ,article,doqe\n,δίδωμι,verb,a)posterei=,ἀποστερέω,verb,me,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/toi,καίτοι,particle,sfale/ntos,σφάλλω,verb,me\n,μέν,particle,tou/tou,οὗτος,pronoun,a)pw/lluto,ἀπόλλυμι,verb,kai\,καί,conjunction,tw=|,ὁ,article,patri\,πατήρ,noun,tw=|,ὁ,article,e)mw=|,ἐμός,adjective,to\,ὁ,article,sumbo/laion,συμβόλαιον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/te,οὔτε,adverb,ga\r,γάρ,particle,e)p',ἐπί,preposition,e)nexu/rw|,ἐνέχυρον,noun,ou)/te,οὔτε,adverb,meta\,μετά,preposition,martu/rwn,μάρτυρος,noun,e)/dwken,δίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swqe/ntos,σώζω,verb,de\,δέ,particle,e)pi\,ἐπί,preposition,tou/tw|,οὗτος,pronoun,e)gi/gneto,γίγνομαι,verb,o(po/te,ὁπότε,adverb,bou/loito,βούλομαι,verb,eu)porh/sas,εὐπορέω,verb,h(mi=n,ἐγώ,pronoun,a)podou=nai,ἀποδίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,o(/mws,ὅμως,conjunction,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,ou),οὐ,adverb,peri\,περί,preposition,plei/onos,πλείων,verb,e)poih/sato,ποιέω,verb,o(,ὁ,article,path\r,πατήρ,noun,periousi/an,περιουσία,noun,xrhma/twn,χρῆμα,adjective,ma=llon,μᾶλλον,adverb,h)\,ἠέ,conjunction,ou),οὐ,adverb,*timoqe/w|,Τιμόθεος,proper,u(phreth=sai,ὑπηρετέω,verb,w(=n,ὅς,pronoun,e)deh/qh,δέω,verb,au)tou=,αὐτός,pronoun,e)n,ἐν,preposition,a)pori/a|,ἀπορία,noun,o)/nti,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)/|eto,οἴομαι,verb,me\n,μέν,particle,ou)=n,οὖν,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,o(,ὁ,article,path/r,πατήρ,noun,ei),εἰ,conjunction,swqei/h,σώζω,verb,*timo/qeos,Τιμόθεος,proper,to/te,τότε,adverb,e)c,ἐκ,preposition,e)kei/nwn,ἐκεῖνος,pronoun,tw=n,ὁ,article,kindu/nwn,κίνδυνος,noun,kai\,καί,conjunction,a)fi/koito,ἀφικνέομαι,verb,oi)/kade,οἴκαδε,adverb,para\,παρά,preposition,basile/ws,βασιλεύς,noun,eu)porwte/rou,εὔπορος,adjective,genome/nou,γίγνομαι,verb,tou/tou,οὗτος,pronoun,h)\,ἠέ,conjunction,w(s,ὡς,conjunction,to/te,τότε,adverb,die/keito,διάκειμαι,verb,ou),οὐ,adverb,mo/non,μόνος,adjective,ta\,ὁ,article,e(autou=,ἑαυτοῦ,pronoun,komiei=sqai,κομίζω,verb,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,a)/llou,ἄλλος,adjective,ei)/,εἰ,conjunction,tou,τις,pronoun,de/oito,δέομαι,verb,pro\s,πρός,preposition,*timo/qeon,Τιμόθεος,proper,pra=cai,πράσσω,verb,u(pa/rcein,ὑπάρχω,verb,au(tw=|,ἑαυτοῦ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)peidh\,ἐπεί,conjunction,de\,δέ,particle,ou)x,οὐ,adverb,w(s,ὡς,conjunction,e)kei=nos,ἐκεῖνος,pronoun,w)|h/qh,οἴομαι,verb,sumbe/bhken,συμβαίνω,verb,a)ll',ἀλλά,adverb,a(\,ὅς,pronoun,meta\,μετά,preposition,xa/ritos,χάρις,noun,e)/laben,λάπτω,verb,*timo/qeos,Τιμόθεος,proper,a)po\,ἀπό,preposition,th=s,ὁ,article,trape/zhs,τράπεζα,noun,dehqei\s,δέω,verb,tou=,ὁ,article,patro\s,πατήρ,noun,tou=,ὁ,article,e)mou=,ἐμός,adjective,tau=ta,οὗτος,pronoun,di',διά,preposition,e)/xqras,ἔχθρα,noun,kai\,καί,conjunction,di/khs,δίκη,adjective,teteleuthko/tos,τελευτάω,verb,e)kei/nou,ἐκεῖνος,pronoun,e)celegxqei\s,ἐξελέγχω,verb,me\n,μέν,particle,w(s,ὡς,conjunction,o)fei/lei,ὀφέλλω,verb,oi)/etai,οἴομαι,verb,dei=n,δέω,verb,a)podou=nai,ἀποδίδωμι,verb,e)a\n,ἐάν,conjunction,de\,δέ,particle,du/nhtai,δύναμαι,verb,u(ma=s,σύ,pronoun,pei=sai,πείθω,verb,w(s,ὡς,conjunction,ou)k,οὐ,adverb,o)fei/lei,ὀφέλλω,verb,e)capath/sas,ἐξαπατάω,verb,tw=|,ὁ,article,lo/gw|,λόγος,noun,a)posterh=sai,ἀποστερέω,verb,h(ma=s,ἐγώ,pronoun,tw=n,ὁ,article,xrhma/twn,χρῆμα,adjective,a)nagkai=o/n,ἀναγκαῖος,adjective,moi,ἐγώ,pronoun,dokei=,δοκέω,verb,ei)=nai,εἰμί,verb,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,a(/panta,ἅπας,adjective,dihgh/sasqai,διηγέομαι,verb,u(mi=n,σύ,pronoun,ta/,τίς,pronoun,te,τε,particle,o)feilo/mena,ὀφείλω,verb,kai\,καί,conjunction,ei)s,εἰς,preposition,o(/,ὅς,pronoun,ti,τις,pronoun,e(/kaston,ἕκαστος,adjective,au)tw=n,αὐτός,pronoun,katexrh/sato,καταχράω,verb,kai\,καί,conjunction,tou\s,ὁ,article,xro/nous,χρόνος,noun,e)n,ἐν,preposition,oi(=s,ὅς,pronoun,to\,ὁ,article,sumbo/laion,συμβόλαιον,noun,e)ge/neto,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qauma/sh|,θαυμάζω,verb,de\,δέ,particle,mhdei\s,μηδείς,pronoun,u(mw=n,σύ,pronoun,ei),εἰ,conjunction,a)kribw=s,ἀκριβῶς,adverb,i)/smen,οἶδα,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ἕ,pronoun,ga\r,γάρ,particle,trapezi=tai,τραπεζίτης,noun,ei)w/qasin,ἔθω,verb,u(pomnh/mata,ὑπόμνημα,noun,gra/fesqai,γράφω,verb,w(=n,ὅς,pronoun,te,τε,particle,dido/asin,δίδωμι,verb,xrhma/twn,χρῆμα,adjective,kai\,καί,conjunction,ei)s,εἰς,preposition,o(/,ὅς,pronoun,ti,τις,pronoun,kai\,καί,conjunction,w(=n,ὅς,pronoun,a)/n,ἄν,particle,tis,τις,pronoun,tiqh=tai,τίθημι,verb,i(/na,ἵνα,conjunction,h)=|,εἰμί,verb,au)toi=s,αὐτός,pronoun,gnw/rima,γνώριμος,adjective,ta/,τίς,pronoun,te,τε,particle,lhfqe/nta,λαμβάνω,verb,kai\,καί,conjunction,ta\,ὁ,article,teqe/nta,τίθημι,verb,pro\s,πρός,preposition,tou\s,ὁ,article,logismou/s,λογισμός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
