word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS
a)nti\,ἀντί,preposition,pollw=n,πολύς,adjective,a)/n,ἄν,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,xrhma/twn,χρῆμα,adjective,u(ma=s,σύ,pronoun,e(le/sqai,αἱρέω,verb,nomi/zw,νομίζω,verb,ei),εἰ,conjunction,fanero\n,φανερός,adjective,ge/noito,γίγνομαι,verb,to\,ὁ,article,me/llon,μέλλω,verb,sunoi/sein,συμφέρω,verb,th=|,ὁ,article,po/lei,πόλις,adjective,peri\,περί,preposition,w(=n,ὅς,pronoun,nuni\,νυνί,adverb,skopei=te,σκοπάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/te,ὅτε,conjunction,toi/nun,τοίνυν,particle,tou=q',οὗτος,pronoun,ou(/tws,οὕτως,adverb,e)/xei,ἔχω,verb,prosh/kei,προσήκω,verb,proqu/mws,πρόθυμος,adjective,e)qe/lein,ἐθέλω,verb,a)kou/ein,ἀκούω,verb,tw=n,ὁ,article,boulome/nwn,βούλομαι,verb,sumbouleu/ein,συμβουλεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,mo/non,μόνος,adjective,ei)/,εἰ,conjunction,ti,τις,pronoun,xrh/simon,χρήσιμος,adjective,e)skemme/nos,ἐσκεμμένος,adverb,h(/kei,ἥκω,verb,tis,τις,pronoun,tou=t',οὗτος,pronoun,a)\n,ἄν,particle,a)kou/santes,ἀκούω,verb,la/boite,λαμβάνω,verb,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,th=s,ὁ,article,u(mete/ras,ὑμέτερος,adjective,tu/xhs,τύχη,noun,u(polamba/nw,ὑπολαμβάνω,verb,polla\,πολύς,adjective,tw=n,ὁ,article,deo/ntwn,δέω,verb,e)k,ἐκ,preposition,tou=,ὁ,article,paraxrh=m',παραχρῆμα,adverb,e)ni/ois,ἔνιοι,adjective,a)\n,ἄν,particle,e)pelqei=n,ἐπέρχομαι,verb,ei)pei=n,εἶπον,verb,w(/st',ὥστε,conjunction,e)c,ἐκ,preposition,a(pa/ntwn,ἅπας,adjective,r(a|di/an,ῥᾴδιος,adjective,th\n,ὁ,article,tou=,ὁ,article,sumfe/rontos,συμφέρω,verb,u(mi=n,σύ,pronoun,ai(/resin,αἵρεσις,noun,gene/sqai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,parw\n,πάρειμι,verb,kairo/s,καιρός,noun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,mo/non,μόνος,adjective,ou)xi\,οὐ,adverb,le/gei,λέγω,verb,fwnh\n,φωνή,noun,a)fiei\s,ἀφίημι,verb,o(/ti,ὅστις,pronoun,tw=n,ὁ,article,pragma/twn,πρᾶγμα,noun,u(mi=n,σύ,pronoun,e)kei/nwn,ἐκεῖνος,pronoun,au)toi=s,αὐτός,pronoun,a)ntilhpte/on,ἀντιληπτέον,adjective,e)sti/n,εἰμί,verb,ei)/per,εἴπερ,conjunction,u(pe\r,ὑπέρ,preposition,swthri/as,σωτηρία,noun,au)tw=n,αὐτός,pronoun,fronti/zete,φροντίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(mei=s,ἐγώ,pronoun,d',δέ,particle,ou)k,οὐ,adverb,oi)=d',οἶδα,verb,o(/ntina/,ὅστις,pronoun,moi,ἐγώ,pronoun,dokou=men,δοκέω,verb,e)/xein,ἔχω,verb,tro/pon,τρόπος,noun,pro\s,πρός,preposition,au)ta/,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/sti,εἰμί,verb,dh\,δή,particle,ta/,τίς,pronoun,g',γε,particle,e)moi\,ἐγώ,pronoun,dokou=nta,δοκέω,verb,yhfi/sasqai,ψηφίζομαι,verb,me\n,μέν,particle,h)/dh,ἤδη,adverb,th\n,ὁ,article,boh/qeian,βοήθεια,noun,kai\,καί,conjunction,paraskeua/sasqai,παρασκευάζω,verb,th\n,ὁ,article,taxi/sthn,τάχιστος,adjective,o(/pws,ὅπως,conjunction,e)nqe/nde,ἐνθένδε,adverb,bohqh/sete,βοηθέω,verb,kai\,καί,conjunction,mh\,μή,conjunction,pa/qhte,πάσχω,verb,tau)to\n,ταυτός,adjective,o(/per,ὅσπερ,adjective,kai\,καί,conjunction,pro/teron),πρότερος,adjective,presbei/an,πρεσβεία,noun,de\,δέ,particle,pe/mpein,πέμπω,verb,h(/tis,ὅστις,pronoun,tau=t',οὗτος,pronoun,e)rei=,ἐράομαι,verb,kai\,καί,conjunction,pare/stai,πάρειμι,verb,toi=s,ὁ,article,pra/gmasin,πρᾶγμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,e)/sti,εἰμί,verb,ma/lista,μάλιστα,adverb,tou=to,οὗτος,pronoun,de/os,δέος,noun,mh\,μή,conjunction,panou=rgos,πανοῦργος,adjective,w)\n,εἰμί,verb,kai\,καί,conjunction,deino\s,δεινός,adjective,a(/nqrwpos,ἄνθρωπος,noun,pra/gmasi,πρᾶγμα,noun,xrh=sqai,χράομαι,verb,ta\,ὁ,article,me\n,μέν,particle,ei)/kwn,εἴκω,verb,h(ni/k',ἡνίκα,adverb,a)\n,ἄν,particle,tu/xh|,τύχη,noun,ta\,ὁ,article,d',δέ,particle,a)peilw=n,ἀπειλή,noun,a)cio/pistos,ἀξιόπιστος,adjective,d',δέ,particle,a)\n,ἄν,particle,ei)ko/tws,ἐοικότως,adverb,fai/noito),φαίνω,verb,ta\,ὁ,article,d',δέ,particle,h(ma=s,ἐγώ,pronoun,diaba/llwn,διαβάλλω,verb,kai\,καί,conjunction,th\n,ὁ,article,a)pousi/an,ἀπουσία,noun,th\n,ὁ,article,h(mete/ran,ἡμέτερος,adjective,tre/yhtai,τρέπω,verb,kai\,καί,conjunction,paraspa/shtai/,παρασπάω,verb,ti,τις,pronoun,tw=n,ὁ,article,o(/lwn,ὅλος,adjective,pragma/twn,πρᾶγμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,mh\n,μήν,particle,a)ll',ἀλλά,adverb,e)pieikw=s,ἐπιεικής,adjective,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,tou=q',οὗτος,pronoun,o(\,ὅς,pronoun,dusmaxw/tato/n,δύσμαχος,adjective,e)sti,εἰμί,verb,tw=n,ὁ,article,*fili/ppou,Φίλιππος,proper,pragma/twn,πρᾶγμα,noun,kai\,καί,conjunction,be/ltiston,βέλτιστος,adjective,u(mi=n,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,ga\r,γάρ,particle,ei)=nai,εἰμί,verb,pa/ntwn,πᾶς,adjective,e)kei=non,ἐκεῖνος,pronoun,e(/n',ἕνος,adjective,o)/nta,εἰμί,verb,ku/rion,κύριος,adjective,kai\,καί,conjunction,r(htw=n,ῥητός,adjective,kai\,καί,conjunction,a)porrh/twn,ἀπόρρητος,adjective,kai\,καί,conjunction,a(/ma,ἅμα,adverb,strathgo\n,στρατηγός,noun,kai\,καί,conjunction,despo/thn,δεσπότης,adjective,kai\,καί,conjunction,tami/an,ταμία,noun,kai\,καί,conjunction,pantaxou=,πανταχοῦ,adverb,au)to\n,αὐτός,pronoun,parei=nai,πάρειμι,verb,tw=|,ὁ,article,strateu/mati,στράτευμα,adjective,pro\s,πρός,preposition,me\n,μέν,particle,to\,ὁ,article,ta\,τίς,pronoun,tou=,ὁ,article,pole/mou,πόλεμος,noun,taxu\,ταχύς,adjective,kai\,καί,conjunction,kata\,κατά,preposition,kairo\n,καιρός,noun,pra/ttesqai,πράσσω,verb,pollw=|,πολύς,adjective,proe/xei,προέχω,verb,pro\s,πρός,preposition,de\,δέ,particle,ta\s,ὁ,article,katallaga/s,καταλλαγή,noun,a(\s,ὅς,pronoun,a)\n,ἄν,particle,e)kei=nos,ἐκεῖνος,pronoun,poih/sait',ποιέω,verb,a)/smenos,ἄσμενος,adjective,pro\s,πρός,preposition,*)olunqi/ous,Ὀλύνθιος,proper,e)nanti/ws,ἐναντίος,adjective,e)/xei,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dh=lon,δῆλος,adjective,ga/r,γάρ,particle,e)sti,εἰμί,verb,toi=s,ὁ,article,*)olunqi/ois,Ὀλύνθιος,proper,o(/ti,ὅστις,pronoun,nu=n,νῦν,adverb,ou),οὐ,adverb,peri\,περί,preposition,do/chs,δόξα,noun,ou)d',οὐδέ,particle,u(pe\r,ὑπέρ,preposition,me/rous,μέρος,noun,xw/ras,χώρα,noun,polemou=sin,πολεμέω,verb,a)ll',ἀλλά,adverb,a)nasta/sews,ἀνάστασις,noun,kai\,καί,conjunction,a)ndrapodismou=,ἀνδραποδισμός,noun,th=s,ὁ,article,patri/dos,πατρίς,adjective,kai\,καί,conjunction,i)/sasin,οἶδα,verb,a(/,ὅς,pronoun,t',τε,particle,*)amfipolitw=n,,,e)poi/hse,ποιέω,verb,tou\s,ὁ,article,parado/ntas,παραδίδωμι,verb,au)tw=|,αὐτός,pronoun,th\n,ὁ,article,po/lin,πόλις,adjective,kai\,καί,conjunction,*pudnai/wn,,,tou\s,ὁ,article,u(podecame/nous,ὑποδέχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
