word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS
oi)=mai,οἴομαι,verb,dei=n,δέω,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,peri\,περί,preposition,thlikou/twn,τηλικοῦτος,adjective,bouleuome/nous,βουλεύω,verb,dido/nai,δίδωμι,verb,parrhsi/an,παρρησία,noun,e(ka/stw|,ἕκαστος,adjective,tw=n,ὁ,article,sumbouleuo/ntwn,συμβουλεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,d',δέ,particle,ou)depw/poq',οὐδεπώποτε,adverb,h(ghsa/mhn,ἁγέομαι,verb,xalepo\n,χαλεπός,adjective,to\,ὁ,article,dida/cai,διδάσκω,verb,ta\,ὁ,article,be/ltisq',βέλτιστος,adjective,u(ma=s,σύ,pronoun,w(s,ὡς,conjunction,ga\r,γάρ,particle,ei)pei=n,εἶπον,verb,a(plw=s,ἁπλῶς,adverb,a(/pantes,ἅπας,adjective,u(pa/rxein,ὑπάρχω,verb,e)gnwko/tes,γιγνώσκω,verb,moi,ἐγώ,pronoun,dokei=te),δοκέω,verb,a)lla\,ἀλλά,adverb,to\,ὁ,article,pei=sai,πείθω,verb,pra/ttein,πράσσω,verb,tau=ta,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)peida\n,ἐπειδάν,conjunction,ga/r,γάρ,particle,ti,τις,pronoun,do/ch|,δόξα,noun,kai\,καί,conjunction,yhfisqh=|,ψηφίζομαι,verb,to/t',τότε,adverb,i)/son,ἴσος,adjective,tou=,ὁ,article,praxqh=nai,πράσσω,verb,a)pe/xei,ἀπέχω,verb,o(/sonper,ὅσος,adjective,pri\n,πρίν,adverb,do/cai,δοκέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/sti,εἰμί,verb,me\n,μέν,particle,ou)=n,οὖν,particle,e(\n,εἷς,adjective,w(=n,ὅς,pronoun,e)gw\,ἐγώ,pronoun,nomi/zw,νομίζω,verb,xa/rin,χάρις,noun,u(ma=s,σύ,pronoun,toi=s,ὁ,article,qeoi=s,θεός,noun,o)fei/lein,ὀφείλω,verb,to\,ὁ,article,tou\s,ὁ,article,dia\,διά,preposition,th\n,ὁ,article,au(tw=n,ἑαυτοῦ,pronoun,u(/brin,ὕβρις,noun,u(mi=n,σύ,pronoun,polemh/santas,πολεμέω,verb,ou),οὐ,adverb,pa/lai,πάλαι,adverb,nu=n,νῦν,adverb,e)n,ἐν,preposition,u(mi=n,σύ,pronoun,mo/nois,μόνος,adjective,th=s,ὁ,article,au(tw=n,ἑαυτοῦ,pronoun,swthri/as,σωτηρία,noun,e)/xein,ἔχω,verb,ta\s,ὁ,article,e)lpi/das,ἐλπίς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/cion,ἄξιος,adjective,d',δέ,particle,h(sqh=nai,ἥδομαι,verb,tw=|,ὁ,article,paro/nti,πάρειμι,verb,kairw=|,καιρός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sumbh/setai,συμβαίνω,verb,ga\r,γάρ,particle,u(mi=n,σύ,pronoun,e)a\n,ἐάν,conjunction,a(\,ὅς,pronoun,xrh\,χρή,verb,bouleu/shsq',βουλεύω,verb,u(pe\r,ὑπέρ,preposition,au)tou=,αὐτός,pronoun,ta\s,ὁ,article,para\,παρά,preposition,tw=n,ὁ,article,diaballo/ntwn,διαβάλλω,verb,th\n,ὁ,article,po/lin,πόλις,adjective,h(mw=n,ἐγώ,pronoun,blasfhmi/as,βλασφημία,noun,e)/rgw|,ἔργον,noun,meta\,μετά,preposition,do/chs,δόξα,noun,kalh=s,καλέω,verb,a)polu/sasqai,ἀπολύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)|tia/santo,αἰτιάομαι,verb,me\n,μέν,particle,ga\r,γάρ,particle,h(ma=s,ἐγώ,pronoun,e)pibouleu/ein,ἐπιβουλεύω,verb,au(toi=s,ἑαυτοῦ,pronoun,*xi=oi,Χῖος,proper,kai\,καί,conjunction,*buza/ntioi,Βυζάντιος,proper,kai\,καί,conjunction,*(ro/dioi,,,kai\,καί,conjunction,dia\,διά,preposition,tau=ta,οὗτος,pronoun,sune/sthsan,συνίστημι,verb,e)f',ἐπί,preposition,h(ma=s,ἐγώ,pronoun,to\n,ὁ,article,teleutai=on,τελευταῖος,adjective,toutoni\,οὗτος,pronoun,po/lemon,πόλεμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fanh/setai,φαίνω,verb,d',δέ,particle,o(,ὁ,article,me\n,μέν,particle,prutaneu/sas,πρυτανεύω,verb,tau=ta,οὗτος,pronoun,kai\,καί,conjunction,pei/sas,πείθω,verb,*mau/swlos,Μαύσωλος,proper,fi/los,φίλος,adjective,ei)=nai,εἰμί,verb,fa/skwn,φάσκω,verb,*(rodi/wn,,,th\n,ὁ,article,e)leuqeri/an,ἐλευθερία,noun,au)tw=n,αὐτός,pronoun,a)fh|rhme/nos,ἀφαιρέω,verb,oi(,ἕ,pronoun,d',δέ,particle,a)podei/cantes,ἀποδείκνυμι,verb,e(autou\s,ἑαυτοῦ,pronoun,summa/xous,σύμμαχος,adjective,*xi=oi,Χῖος,proper,kai\,καί,conjunction,*buza/ntioi,Βυζάντιος,proper,toi=s,ὁ,article,a)tuxh/masin,ἀτύχημα,noun,au)tw=n,αὐτός,pronoun,ou),οὐ,adverb,bebohqhko/tes,βοηθέω,verb,u(mei=s,σύ,pronoun,d',δέ,particle,ou(\s,ὅς,pronoun,e)fobou=nto,φοβέω,verb,mo/noi,μόνος,adjective,tw=n,ὁ,article,pa/ntwn,πᾶς,adjective,th=s,ὁ,article,swthri/as,σωτηρία,noun,au)toi=s,αὐτός,pronoun,ai)/tioi,αἴτιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)k,ἐκ,preposition,de\,δέ,particle,tou=,ὁ,article,tau=q',οὗτος,pronoun,u(f',ὑπό,preposition,a(pa/ntwn,ἅπας,adjective,o)fqh=nai,ὁράω,verb,poih/sete,ποιέω,verb,tou\s,ὁ,article,pollou\s,πολύς,adjective,e)n,ἐν,preposition,a(pa/sais,ἅπας,adjective,tai=s,ὁ,article,po/lesi,πόλις,adjective,tou=to,οὗτος,pronoun,poiei=sqai,ποιέω,verb,su/mbolon,σύμβολον,noun,th=s,ὁ,article,au(tw=n,ἑαυτοῦ,pronoun,swthri/as,σωτηρία,noun,e)a\n,ἐάν,conjunction,u(mi=n,σύ,pronoun,w)=si,εἰμί,verb,fi/loi,φίλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=,ἕ,pronoun,mei=zon,μέγας,adverb,ou)de\n,οὐδείς,pronoun,a)\n,ἄν,particle,u(mi=n,σύ,pronoun,ge/noit',γίγνομαι,verb,a)gaqo/n,ἀγαθός,adjective,h)\,ἠέ,conjunction,para\,παρά,preposition,pa/ntwn,πᾶς,adjective,e(ko/ntwn,ἑκών,adjective,a)nupo/ptou,ἀνύποπτος,adjective,tuxei=n,τυγχάνω,verb,eu)noi/as,εὔνοια,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
