word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS
a)mfo/teroi/,ἀμφότερος,adjective,moi,ἐγώ,pronoun,dokou=sin,δοκέω,verb,a(marta/nein,ἁμαρτάνω,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,kai\,καί,conjunction,oi(,ἕ,pronoun,toi=s,ὁ,article,*)arka/si,Ἀρκάς,proper,kai\,καί,conjunction,oi(,ἕ,pronoun,toi=s,ὁ,article,*lakedaimoni/ois,Λακεδαιμόνιος,proper,suneirhko/tes,συνερέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/sper,ὥσπερ,adverb,ga\r,γάρ,particle,a)f',ἀπό,preposition,e(kate/rwn,ἑκάτερος,adjective,h(/kontes,ἥκω,verb,ou)x,οὐ,adverb,u(mw=n,σύ,pronoun,o)/ntes,εἰμί,verb,pro\s,πρός,preposition,ou(\s,ὅς,pronoun,a)mfo/teroi,ἀμφότερος,adjective,presbeu/ousi,πρεσβεύω,verb,kathgorou=si,κατηγορέω,verb,kai\,καί,conjunction,diaba/llousin,διαβάλλω,verb,a)llh/lous,ἀλλήλων,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=n,εἰμί,verb,de\,δέ,particle,tou=to,οὗτος,pronoun,me\n,μέν,particle,tw=n,ὁ,article,a)figme/nwn,ἀφίζω,verb,e)/rgon,ἔργον,noun,to\,ὁ,article,de\,δέ,particle,koinw=s,κοινός,adjective,u(pe\r,ὑπέρ,preposition,tw=n,ὁ,article,pragma/twn,πρᾶγμα,noun,le/gein,λέγω,verb,kai\,καί,conjunction,ta\,ὁ,article,be/ltisq',βέλτιστος,adjective,u(pe\r,ὑπέρ,preposition,u(mw=n,σύ,pronoun,skopei=n,σκοπάω,verb,a)/neu,ἄνευ,preposition,filoniki/as,φιλονεικία,noun,tw=n,ὁ,article,e)nqa/de,ἐνθάδε,adverb,sumbouleu/ein,συμβουλεύω,verb,a)ciou/ntwn,ἀξιόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,d',δέ,particle,e)/gwge,ἐγώ,pronoun,ei)/,εἰ,conjunction,tis,τις,pronoun,au)tw=n,αὐτός,pronoun,a)fe/loi,ἀφαιρέω,verb,to\,ὁ,article,gignw/skesqai,γιγνώσκω,verb,kai\,καί,conjunction,to\,ὁ,article,th=|,ὁ,article,fwnh=|,φωνή,noun,le/gein,λέγω,verb,*)attikisti/,Ἀττικιστί,adverb,pollou\s,πολύς,adjective,a)\n,ἄν,particle,oi)=mai,οἴομαι,verb,tou\s,ὁ,article,me\n,μέν,particle,*)arka/das,Ἀρκάς,proper,tou\s,ὁ,article,de\,δέ,particle,*la/kwnas,Λάκων,proper,au)tw=n,αὐτός,pronoun,ei)=nai,εἰμί,verb,nomi/sai,νομίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,d',δέ,particle,o(rw=,ὁράω,verb,me\n,μέν,particle,w(s,ὡς,conjunction,xalepo\n,χαλεπός,adjective,ta\,ὁ,article,be/ltista,βέλτιστος,adjective,le/gein,λέγω,verb,e)sti/,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunechpathme/nwn,συνεξαπατάω,verb,ga\r,γάρ,particle,u(mw=n,σύ,pronoun,kai\,καί,conjunction,tw=n,ὁ,article,me\n,μέν,particle,tauti/,οὗτος,pronoun,tw=n,ὁ,article,de\,δέ,particle,tauti\,οὗτος,pronoun,boulome/nwn,βούλομαι,verb,a)\n,ἄν,particle,ta\,ὁ,article,metacu/,μεταξύ,adverb,tis,τις,pronoun,e)gxeirh=|,ἐγχειρέω,verb,le/gein,λέγω,verb,ka)=|q',εἶτα,adverb,u(mei=s,σύ,pronoun,mh\,μή,conjunction,perime/nhte,περιμένω,verb,maqei=n,μανθάνω,verb,xariei=tai,χαρίζομαι,verb,me\n,μέν,particle,ou)dete/rois,οὐδέτερος,adjective,diabeblh/setai,διαβάλλω,verb,de\,δέ,particle,pro\s,πρός,preposition,a)mfote/rous,ἀμφότερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,mh\n,μήν,particle,a)ll',ἀλλά,adverb,ai(rh/somai,αἱρέω,verb,ma=llon,μᾶλλον,adverb,au)to/s,αὐτός,pronoun,a)\n,ἄν,particle,a)/ra,ἄρα,particle,tou=to,οὗτος,pronoun,pa/qw,πάσχω,verb,dokei=n,δοκέω,verb,fluarei=n,φλυαρέω,verb,h)\,ἠέ,conjunction,par',παρά,preposition,a(\,ὅς,pronoun,be/ltista,βέλτιστος,adjective,nomi/zw,νομίζω,verb,th=|,ὁ,article,po/lei,πόλις,adjective,proe/sqai,προίημι,verb,tisi\n,τις,pronoun,u(ma=s,σύ,pronoun,e)capath=sai,ἐξαπατάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,a)/ll',ἄλλος,adjective,u(/steron,ὕστερος,adjective,a)\n,ἄν,particle,u(mi=n,σύ,pronoun,boulome/nois,βούλομαι,verb,h)=|,εἰμί,verb,le/cw,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)po\,ἀπό,preposition,de\,δέ,particle,tw=n,ὁ,article,o(mologoume/nwn,ὁμολογέω,verb,u(f',ὑπό,preposition,a(pa/ntwn,ἅπας,adjective,a)/rcomai,ἄρχω,verb,a(\,ὅς,pronoun,kra/tista,κράτιστος,adjective,nomi/zw,νομίζω,verb,dida/skein,διδάσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)kou=n,οὐκοῦν,adverb,ou)d',οὐδέ,particle,a)\n,ἄν,particle,ei(=s,εἷς,adjective,a)ntei/poi,ἀντεῖπον,verb,w(s,ὡς,conjunction,ou),οὐ,adverb,sumfe/rei,συμφέρω,verb,th=|,ὁ,article,po/lei,πόλις,adjective,kai\,καί,conjunction,*lakedaimoni/ous,Λακεδαιμόνιος,proper,a)sqenei=s,ἀσθενής,adjective,ei)=nai,εἰμί,verb,kai\,καί,conjunction,*qhbai/ous,Θηβαῖος,proper,toutousi/,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
