word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS
a)/cion,ἄξιος,adjective,a)pode/xesqai,ἀποδέχομαι,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,sfo/dra,σφόδρα,adverb,tw=n,ὁ,article,toi=s,ὁ,article,o(/rkois,ὅρκος,noun,kai\,καί,conjunction,tai=s,ὁ,article,sunqh/kais,συνθήκη,noun,diakeleuome/nwn,διακελεύομαι,verb,e)mme/nein,ἐμμένω,verb,ei)/per,εἴπερ,conjunction,au)to\,αὐτός,pronoun,pepeisme/noi,πείθω,verb,poiou=sin,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)=mai,οἴομαι,verb,ga\r,γάρ,particle,ou)de\n,οὐδείς,pronoun,ou(/tw,οὕτως,adverb,toi=s,ὁ,article,dhmokratoume/nois,δημοκρατέομαι,verb,pre/pein,πρέπω,verb,w(s,ὡς,conjunction,peri\,περί,preposition,to\,ὁ,article,i)/son,ἴσος,adjective,kai\,καί,conjunction,to\,ὁ,article,di/kaion,δίκαιος,adjective,spouda/zein,σπουδάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dei=,δέομαι,verb,toi/nun,τοίνυν,particle,tou\s,ὁ,article,li/an,λίαν,adverb,e)p',ἐπί,preposition,au)ta\,αὐτός,pronoun,parakalou=ntas,παρακαλέω,verb,mh\,μή,conjunction,tw=|,ὁ,article,me\n,μέν,particle,lo/gw|,λόγος,noun,kataxrwme/nous,καταχράομαι,verb,e)noxlei=n,ἐνοχλέω,verb,pa/nta,πᾶς,adjective,de\,δέ,particle,ma=llon,μᾶλλον,adverb,pra/ttein,πράσσω,verb,a)ll',ἀλλά,adverb,u(pomei/nantas,ὑπομένω,verb,nuni\,νυνί,adverb,to\n,ὁ,article,e)cetasmo\n,ἐξετασμός,noun,h)\,ἠέ,conjunction,kai\,καί,conjunction,to\,ὁ,article,loipo\n,λοιπός,adjective,peiqome/nous,πείθω,verb,u(ma=s,σύ,pronoun,e)/xein,ἔχω,verb,peri\,περί,preposition,au)tw=n,αὐτός,pronoun,h)\,ἠέ,conjunction,paraxwrh/santas,παραχωρέω,verb,e)a=n,ἀίω,verb,sumbouleu/ein,συμβουλεύω,verb,tou\s,ὁ,article,a)lhqe/stera,ἀληθής,adjective,peri\,περί,preposition,tw=n,ὁ,article,dikai/wn,δίκαιος,adjective,a)pofainome/nous,ἀποφαίνω,verb,i(/n',ἵνα,conjunction,h)\,ἠέ,conjunction,e(ko/ntes,ἑκών,adjective,a)dikou/menoi,ἀδικέω,verb,a)ne/xhsqe,ἀνέχω,verb,kai\,καί,conjunction,au)to\,αὐτός,pronoun,tou=to,οὗτος,pronoun,xari/zhsqe,χαρίζομαι,verb,tw=|,ὁ,article,a)dikou=nti,ἀδικέω,verb,h)\,ἠέ,conjunction,proelo/menoi,προαιρέω,verb,peri\,περί,preposition,plei/stou,πλεῖστος,adjective,poih/sasqai,ποιέω,verb,to\,ὁ,article,di/kaion,δίκαιος,adjective,a)negklh/tws,ἀνέγκλητος,adjective,pro\s,πρός,preposition,a(/pantas,ἅπας,adjective,xrh=sqe,χράομαι,verb,tw=|,ὁ,article,sumfe/ronti,συμφέρω,verb,mhke/ti,μηκέτι,adverb,me/llontes,μέλλω,verb,,,,,,,,,,,,,,,,,,,,,
e)c,ἐκ,preposition,au)tw=n,αὐτός,pronoun,de\,δέ,particle,tw=n,ὁ,article,sunqhkw=n,συνθήκη,noun,kai\,καί,conjunction,tw=n,ὁ,article,o(/rkwn,ὅρκος,noun,skeyame/nous,σκέπτομαι,verb,tw=n,ὁ,article,peri\,περί,preposition,th=s,ὁ,article,koinh=s,κοινός,adjective,ei)rh/nhs,εἰρήνη,noun,e)/cestin,ἔξεστι,verb,i)dei=n,εἶδον,verb,h)/dh,ἤδη,adverb,ti/nes,τίς,pronoun,ei)si\n,εἰμί,verb,oi(,ἕ,pronoun,parabebhko/tes,παραβαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,de\,δέ,particle,peri\,περί,preposition,mega/lwn,μέγας,adverb,sunto/mws,σύντομος,adjective,dida/cw,διδάσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,dh/,δή,particle,tis,τις,pronoun,e)rwth/seien,ἐρωτάω,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,e)pi\,ἐπί,preposition,ti/ni,τίς,pronoun,a)\n,ἄν,particle,ma/list',μάλιστα,adverb,a)ganakth/sait',ἀγανακτέω,verb,ei)/,εἰ,conjunction,tis,τις,pronoun,a)nagka/zoi,ἀναγκάζω,verb,oi)=mai,οἴομαι,verb,a)/n,ἄν,particle,ei),εἰ,conjunction,h)=san,εἰμί,verb,kata\,κατά,preposition,to\n,ὁ,article,nuni\,νυνί,adverb,xro/non,χρόνος,noun,oi(,ὁ,article,*peisistrati/dai,Πεισιστρατίδης,proper,kai/,καί,conjunction,tis,τις,pronoun,e)bia/zeto,βιάζω,verb,kata/gein,κατάγω,verb,au)tou\s,αὐτός,pronoun,deuri/,δεῦρο,adverb,a(rpa/santas,ἁρπάζω,verb,a)\n,ἄν,particle,u(ma=s,σύ,pronoun,ta\,ὁ,article,o(/pla,ὅπλον,noun,pa/nta,πᾶς,adjective,ki/ndunon,κίνδυνος,noun,u(pomei=nai,ὑπομένω,verb,a)nti\,ἀντί,preposition,tou=,ὁ,article,parade/casqai,παραδέχομαι,verb,h)\,ἠέ,conjunction,peisqe/ntas,πείθω,verb,ge,γε,particle,douleu/ein,δουλεύω,verb,a)nti\,ἀντί,preposition,tw=n,ὁ,article,a)rgurwnh/twn,ἀργυρώνητος,adjective,kai\,καί,conjunction,tosou/tw|,τοσοῦτος,adjective,ma=llon,μᾶλλον,adverb,o(/sw|,ὅσος,adjective,to\n,ὁ,article,me\n,μέν,particle,oi)ke/thn,οἰκέτης,noun,ou)dei\s,οὐδείς,pronoun,a)\n,ἄν,particle,e(kw\n,ἑκών,adjective,a)poktei/neie,ἀποκτείνω,verb,tou\s,ὁ,article,de\,δέ,particle,turannoume/nous,τυραννεύω,verb,a)kri/tous,ἄκριτος,adverb,e)/stin,εἰμί,verb,o(ra=n,ὁράω,verb,a)pollume/nous,ἀπόλλυμι,verb,a(/ma,ἅμα,adverb,kai\,καί,conjunction,u(brizome/nous,ὑβρίζω,verb,ei)s,εἰς,preposition,pai=das,παῖς,adjective,kai\,καί,conjunction,gunai=kas,γυνή,noun
para\,παρά,preposition,tou\s,ὁ,article,o(/rkous,ὅρκος,noun,toi/nun,τοίνυν,particle,kai\,καί,conjunction,ta\s,ὁ,article,sunqh/kas,συνθήκη,noun,ta\s,ὁ,article,e)n,ἐν,preposition,th=|,ὁ,article,koinh=|,κοινός,adjective,ei)rh/nh|,εἰρήνη,noun,gegramme/nas,γράφω,verb,*)ale/candros,Ἀλέξανδρος,proper,ei)s,εἰς,preposition,*messh/nhn,Μεσσήνη,proper,katagagw\n,κατάγω,verb,tou\s,ὁ,article,*filia/dou,Φιλιάδας,proper,pai=das,παῖς,adjective,o)/ntas,εἰμί,verb,tura/nnous,τύραννος,noun,a)=r',ἆρα,particle,e)fro/ntise,φροντίζω,verb,tou=,ὁ,article,dikai/ou,δίκαιος,adjective,a)ll',ἀλλά,adverb,ou)k,οὐ,adverb,e)xrh/sato,χράω,verb,tw=|,ὁ,article,au(tou=,ἑαυτοῦ,pronoun,h)/qei,ἦθος,adjective,tw=|,ὁ,article,turannikw=|,τυραννικός,adjective,braxu\,βραχύς,adjective,fronti/sas,φροντίζω,verb,u(mw=n,σύ,pronoun,kai\,καί,conjunction,th=s,ὁ,article,koinh=s,κοινός,adjective,o(mologi/as,ὁμολογία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,dh\,δή,particle,dei=,δέομαι,verb,ei),εἰ,conjunction,me/n,μέν,particle,tis,τις,pronoun,u(ma=s,σύ,pronoun,tau=ta,οὗτος,pronoun,bia/zoito,βιάζω,verb,ma/list',μάλιστα,adverb,a)ganakth=sai,ἀγανακτέω,verb,ei),εἰ,conjunction,d',δέ,particle,e(te/rwqi/,ἑτέρωθι,adverb,pou,πού,adverb,ge/gone,γίγνομαι,verb,para\,παρά,preposition,tou\s,ὁ,article,pro\s,πρός,preposition,u(ma=s,σύ,pronoun,o(/rkous,ὅρκος,noun,mh\,μή,conjunction,fula/casqai,φυλάσσω,verb,kai\,καί,conjunction,h(mi=n,ἐγώ,pronoun,me\n,μέν,particle,diakeleu/esqai/,διακελεύομαι,verb,tinas,τις,pronoun,e)ntauqi\,ἐνταῦθα,adverb,e)mme/nein,ἐμμένω,verb,toi=s,ὁ,article,o(/rkois,ὅρκος,noun,toi=s,ὁ,article,d',δέ,particle,au)tou\s,αὐτός,pronoun,ou(/tw,οὕτως,adverb,periboh/tws,περιβόητος,adjective,a)nh|rhko/si,ἀναιρέω,verb,katalei/pein,καταλιμπάνω,verb,tau/thn,οὗτος,pronoun,th\n,ὁ,article,e)cousi/an,ἐξουσία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,ou)x,οὐ,adverb,oi(=o/n,οἷος,adjective,te,τε,particle,tau=q',οὗτος,pronoun,ou(/tws,οὕτως,adverb,e)/xein,ἔχω,verb,e)a\n,ἐάν,conjunction,bou/lhsqe,βούλομαι,verb,tw=|,ὁ,article,dikai/w|,δίκαιος,adjective,xrh=sqai,χράομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ga\r,γάρ,particle,e)/ti,ἔτι,adverb,prosge/graptai,προσγράφω,verb,e)n,ἐν,preposition,tai=s,ὁ,article,sunqh/kais,συνθήκη,noun,pole/mion,πολέμιος,adjective,ei)=nai,εἰμί,verb,to\n,ὁ,article,e)kei=n',ἐκεῖνος,pronoun,a(/per,ὁ,article,*)ale/candros,Ἀλέξανδρος,proper,poiou=nta,ποιέω,verb,a(/pasi,ἅπας,adjective,toi=s,ὁ,article,th=s,ὁ,article,ei)rh/nhs,εἰρήνη,noun,koinwnou=si,κοινωνέω,verb,kai\,καί,conjunction,th\n,ὁ,article,xw/ran,χώρα,noun,au)tou=,αὐτός,pronoun,kai\,καί,conjunction,strateu/esqai,στρατεύω,verb,e)p',ἐπί,preposition,au)to\n,αὐτός,pronoun,a(/pantas,ἅπας,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
