word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS
o(rw=,ὁράω,verb,me/n,μέν,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,ta\,ὁ,article,paro/nta,πάρειμι,verb,pra/gmata,πρᾶγμα,noun,pollh\n,πολύς,adjective,duskoli/an,δυσκολία,noun,e)/xonta,ἔχω,verb,kai\,καί,conjunction,taraxh\n,ταραχή,noun,ou),οὐ,adverb,mo/non,μόνος,adjective,tw=|,ὁ,article,polla\,πολύς,adjective,proei=sqai,προίημι,verb,kai\,καί,conjunction,mhde\n,μηδείς,pronoun,ei)=nai,εἰμί,verb,prou)/rgou,προύργου,adjective,peri\,περί,preposition,au)tw=n,αὐτός,pronoun,eu)=,εὖ,adverb,le/gein,λέγω,verb,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,peri\,περί,preposition,tw=n,ὁ,article,u(poloi/pwn,ὑπόλοιπος,adjective,kata\,κατά,preposition,tau)ta\,ταυτός,adjective,mhde\,μηδέ,particle,kaq',κατά,preposition,e(\n,εἷς,adjective,to\,ὁ,article,sumfe/ron,συμφέρω,verb,pa/ntas,πᾶς,adjective,h(gei=sqai,ἡγέομαι,verb,a)lla\,ἀλλά,adverb,toi=s,ὁ,article,me\n,μέν,particle,w(di/,ὡδί,adverb,toi=s,ὁ,article,d',δέ,particle,e(te/rws,ἑτέρως,adverb,dokei=n,δοκέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dusko/lou,δύσκολος,adjective,d',δέ,particle,o)/ntos,εἰμί,verb,fu/sei,φύσις,noun,kai\,καί,conjunction,xalepou=,χαλεπός,adjective,tou=,ὁ,article,bouleu/esqai,βουλεύω,verb,e)/ti,ἔτι,adverb,pollw=|,πολύς,adjective,xalepw/teron,χαλεπός,adjective,u(mei=s,σύ,pronoun,au)to\,αὐτός,pronoun,pepoih/kat',ποιέω,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ἕ,pronoun,me\n,μέν,particle,ga\r,γάρ,particle,a)/lloi,ἄλλος,adjective,pa/ntes,πᾶς,adjective,a)/nqrwpoi,ἄνθρωπος,noun,pro\,πρό,preposition,tw=n,ὁ,article,pragma/twn,πρᾶγμα,noun,ei)w/qasi,ἔθω,verb,xrh=sqai,χράομαι,verb,tw=|,ὁ,article,bouleu/esqai,βουλεύω,verb,u(mei=s,σύ,pronoun,de\,δέ,particle,meta\,μετά,preposition,ta\,ὁ,article,pra/gmata,πρᾶγμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)k,ἐκ,preposition,de\,δέ,particle,tou/tou,οὗτος,pronoun,sumbai/nei,συμβαίνω,verb,para\,παρά,preposition,pa/nta,πᾶς,adjective,to\n,ὁ,article,xro/non,χρόνος,noun,o(\n,ὅς,pronoun,oi)=d',οἶδα,verb,e)gw/,ἐγώ,pronoun,to\n,ὁ,article,me\n,μέν,particle,oi(=s,ὅς,pronoun,a)\n,ἄν,particle,a(ma/rtht',ἁμαρτάνω,verb,e)pitimw=nta,ἐπιτιμάω,verb,eu)dokimei=n,εὐδοκιμέω,verb,kai\,καί,conjunction,dokei=n,δοκέω,verb,eu)=,εὖ,adverb,le/gein,λέγω,verb,ta\,ὁ,article,de\,δέ,particle,pra/gmata,πρᾶγμα,noun,kai\,καί,conjunction,peri\,περί,preposition,w(=n,ὅς,pronoun,bouleu/esq',βουλεύω,verb,e)kfeu/gein,ἐκφεύγω,verb,u(ma=s,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,mh\n,μήν,particle,a)lla\,ἀλλά,adverb,kai/per,καίπερ,particle,tou/twn,οὗτος,pronoun,ou(/tws,οὕτως,adverb,e)xo/ntwn,ἔχω,verb,oi)/omai,οἴομαι,verb,kai\,καί,conjunction,pepeikw\s,πείθω,verb,e)mauto\n,ἐμαυτοῦ,pronoun,a)ne/sthka,ἀνίστημι,verb,a)\n,ἄν,particle,e)qelh/shte,ἐθέλω,verb,tou=,ὁ,article,qorubei=n,θορυβέω,verb,kai\,καί,conjunction,filonikei=n,φιλονεικέω,verb,a)posta/ntes,ἀφίστημι,verb,a)kou/ein,ἀκούω,verb,w(s,ὡς,conjunction,u(pe\r,ὑπέρ,preposition,po/lews,πόλις,adjective,bouleuome/nois,βουλεύω,verb,kai\,καί,conjunction,thlikou/twn,τηλικοῦτος,adjective,pragma/twn,πρᾶγμα,noun,prosh/kei,προσήκω,verb,e(/cein,ἔχω,verb,kai\,καί,conjunction,le/gein,λέγω,verb,kai\,καί,conjunction,sumbouleu/ein,συμβουλεύω,verb,di',διά,preposition,w(=n,ὅς,pronoun,kai\,καί,conjunction,ta\,ὁ,article,paro/nt',πάρειμι,verb,e)/stai,εἰμί,verb,belti/w,βελτίων,adverb,kai\,καί,conjunction,ta\,ὁ,article,proeime/na,προίημι,verb,swqh/setai,σώζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)kribw=s,ἀκριβῶς,adverb,d',δέ,particle,ei)dw/s,οἶδα,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,to\,ὁ,article,le/gein,λέγω,verb,peri\,περί,preposition,w(=n,ὅς,pronoun,au)to\s,αὐτός,pronoun,ei)=pe/,εἶπον,verb,tis,τις,pronoun,kai\,καί,conjunction,peri\,περί,preposition,au(tou=,ἑαυτοῦ,pronoun,par',παρά,preposition,u(mi=n,σύ,pronoun,a)ei\,ἀεί,adverb,tw=n,ὁ,article,pa/nu,πάνυ,adverb,lusitelou/ntwn,λυσιτελέω,verb,toi=s,ὁ,article,tolmw=sin,τολμάω,verb,o)/n,εἰμί,verb,ou(/tws,οὕτως,adverb,h(gou=mai,ἡγέομαι,verb,fortiko\n,φορτικός,adjective,kai\,καί,conjunction,e)paxqe\s,ἐπαχθής,adverb,w(/ste,ὥστε,conjunction,a)na/gkhn,ἀνάγκη,noun,ou)=san,εἰμί,verb,o(rw=n,ὁράω,verb,o(/mws,ὅμως,conjunction,a)poknw=,ἀποκνέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nomi/zw,νομίζω,verb,d',δέ,particle,a)/meinon,ἀμείνων,adjective,a)\n,ἄν,particle,u(ma=s,σύ,pronoun,peri\,περί,preposition,w(=n,ὅς,pronoun,nu=n,νῦν,adverb,e)rw=,ἐράομαι,verb,kri=nai,κρίνω,verb,mikra\,μικρός,adjective,tw=n,ὁ,article,pro/tero/n,πρότερος,adjective,pote,ποτέ,particle,r(hqe/ntwn,ἐρῶ,verb,u(p',ὑπό,preposition,e)mou=,ἐγώ,pronoun,mnhmoneu/santes,μνημονεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,ga/r,γάρ,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,prw=ton,πρότερος,adjective,me/n,μέν,particle,h(ni/k',ἡνίκα,adverb,e)/peiqo/n,πείθω,verb,tines,τις,pronoun,u(ma=s,σύ,pronoun,tw=n,ὁ,article,e)n,ἐν,preposition,*eu)boi/a|,Εὔβοια,proper,pragma/twn,πρᾶγμα,noun,tarattome/nwn,ταράσσω,verb,bohqei=n,βοηθέω,verb,*plouta/rxw|,Πλούταρχος,proper,kai\,καί,conjunction,po/lemon,πόλεμος,noun,a)/docon,ἄδοξος,adjective,kai\,καί,conjunction,dapanhro\n,δαπανηρός,adjective,a)/rasqai,αἴρω,verb,prw=tos,πρότερος,adjective,kai\,καί,conjunction,mo/nos,μόνος,adjective,parelqw\n,παρέρχομαι,verb,a)ntei=pon,ἀντεῖπον,verb,kai\,καί,conjunction,mo/non,μόνος,adjective,ou),οὐ,adverb,diespa/sqhn,διασπάω,verb,u(po\,ὑπό,preposition,tw=n,ὁ,article,e)pi\,ἐπί,preposition,mikroi=s,μικρός,adjective,lh/mmasin,λῆμμα,noun,polla\,πολύς,adjective,kai\,καί,conjunction,mega/l',μέγας,adverb,u(ma=s,σύ,pronoun,a(marta/nein,ἁμαρτάνω,verb,peisa/ntwn,πείθω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,xro/nou,χρόνος,noun,braxe/os,βραχύς,adjective,dielqo/ntos,διέρχομαι,verb,meta\,μετά,preposition,tou=,ὁ,article,prosoflei=n,προσοφλισκάνω,verb,ai)sxu/nhn,αἰσχύνη,adjective,kai\,καί,conjunction,paqei=n,πάσχω,verb,oi(=a,οἷος,adjective,tw=n,ὁ,article,o)/ntwn,εἰμί,verb,a)nqrw/pwn,ἄνθρωπος,noun,ou)de/nes,οὐδείς,pronoun,pw/pote,πώποτε,adverb,pepo/nqas',πάσχω,verb,u(po\,ὑπό,preposition,tou/twn,οὗτος,pronoun,oi(=s,ὅς,pronoun,e)boh/qhsan,βοάω,verb,pa/ntes,πᾶς,adjective,u(mei=s,σύ,pronoun,e)/gnwte,γιγνώσκω,verb,th/n,ὁ,article,te,τε,particle,tw=n,ὁ,article,to/te,τότε,adverb,tau=ta,οὗτος,pronoun,peisa/ntwn,πείθω,verb,kaki/an,κακία,noun,kai\,καί,conjunction,ta\,ὁ,article,be/ltist',βέλτιστος,adjective,ei)rhko/t',ἐρῶ,verb,e)me/,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa/lin,πάλιν,adverb,toi/nun,τοίνυν,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,katidw\n,κατεῖδον,verb,*neopto/lemon,Νεοπτόλεμος,proper,to\n,ὁ,article,u(pokrith\n,ὑποκριτής,noun,tw=|,ὁ,article,me\n,μέν,particle,th=s,ὁ,article,te/xnhs,τέχνη,noun,prosxh/mati,πρόσχημα,noun,tugxa/nont',τυγχάνω,verb,a)dei/as,ἄδεια,noun,kaka\,κακός,adjective,d',δέ,particle,e)rgazo/menon,ἐργάζομαι,verb,ta\,ὁ,article,me/gista,μέγας,adverb,th\n,ὁ,article,po/lin,πόλις,adjective,kai\,καί,conjunction,ta\,ὁ,article,par',παρά,preposition,u(mw=n,σύ,pronoun,dioikou=nta,διοικέω,verb,*fili/ppw|,Φίλιππος,proper,kai\,καί,conjunction,prutaneu/onta,πρυτανεύω,verb,parelqw\n,παρέρχομαι,verb,ei)=pon,εἶπον,verb,ei)s,εἰς,preposition,u(ma=s,σύ,pronoun,ou)demia=s,οὐδείς,pronoun,i)di/as,ἴδιος,adjective,ou)/t',οὔτε,adverb,e)/xqras,ἔχθρα,noun,ou)/te,οὔτε,adverb,sukofanti/as,συκοφαντία,noun,e(/neka,ἕνεκα,preposition,w(s,ὡς,conjunction,e)k,ἐκ,preposition,tw=n,ὁ,article,meta\,μετά,preposition,tau=t',οὗτος,pronoun,e)/rgwn,ἔργον,noun,ge/gonen,γίγνομαι,verb,dh=lon,δῆλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
