word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS
ou)xi\,οὐ,adverb,tau)ta\,ταυτός,adjective,pari/statai/,παρίστημι,verb,moi,ἐγώ,pronoun,gignw/skein,γιγνώσκω,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,o(/tan,ὅταν,conjunction,t',τε,particle,ei)s,εἰς,preposition,ta\,ὁ,article,pra/gmat',πρᾶγμα,noun,a)poble/yw,ἀποβλέπω,verb,kai\,καί,conjunction,o(/tan,ὅταν,conjunction,pro\s,πρός,preposition,tou\s,ὁ,article,lo/gous,λόγος,noun,ou(\s,ὅς,pronoun,a)kou/w,ἀκούω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou\s,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,lo/gous,λόγος,noun,peri\,περί,preposition,tou=,ὁ,article,timwrh/sasqai,τιμωρέω,verb,*fi/lippon,Φίλιππος,proper,o(rw=,ὁράω,verb,gignome/nous,γίγνομαι,verb,ta\,ὁ,article,de\,δέ,particle,pra/gmat',πρᾶγμα,noun,ei)s,εἰς,preposition,tou=to,οὗτος,pronoun,proh/konta,προήκω,verb,w(/sq',ὥστε,conjunction,o(/pws,ὅπως,conjunction,mh\,μή,conjunction,peiso/meq',πάσχω,verb,au)toi\,αὐτός,pronoun,pro/teron,πρότερος,adjective,kakw=s,κακός,adjective,ske/yasqai,σκέπτομαι,verb,de/on,δέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)de\n,οὐδείς,pronoun,ou)=n,οὖν,particle,a)/llo,ἄλλος,adjective,moi,ἐγώ,pronoun,dokou=sin,δοκέω,verb,oi(,ἕ,pronoun,ta\,ὁ,article,toiau=ta,τοιοῦτος,adjective,le/gontes,λέγω,verb,h)\,ἠέ,conjunction,th\n,ὁ,article,u(po/qesin,ὑπόθεσις,noun,peri\,περί,preposition,h(=s,ὅς,pronoun,bouleu/esqe,βουλεύω,verb,ou)xi\,οὐ,adverb,th\n,ὁ,article,ou)=san,εἰμί,verb,parista/ntes,παρίστημι,verb,u(mi=n,σύ,pronoun,a(marta/nein,ἁμαρτάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,de/,δέ,particle,o(/ti,ὅστις,pronoun,me/n,μέν,particle,pot',ποτέ,particle,e)ch=n,ἔξεστι,verb,th=|,ὁ,article,po/lei,πόλις,adjective,kai\,καί,conjunction,ta\,ὁ,article,au(th=s,ἑαυτοῦ,pronoun,e)/xein,ἔχω,verb,a)sfalw=s,ἀσφαλής,adjective,kai\,καί,conjunction,*fi/lippon,Φίλιππος,proper,timwrh/sasqai,τιμωρέω,verb,kai\,καί,conjunction,ma/l',μάλα,adverb,a)kribw=s,ἀκριβῶς,adverb,oi)=da,οἶδα,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)p',ἐπί,preposition,e)mou=,ἐγώ,pronoun,ga/r,γάρ,particle,ou),οὐ,adverb,pa/lai,πάλαι,adverb,ge/gonen,γίγνομαι,verb,tau=t',οὗτος,pronoun,a)mfo/tera,ἀμφότερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,me/ntoi,μέντοι,particle,pe/peismai,πείθω,verb,tou=q',οὗτος,pronoun,i(kano\n,ἱκανός,adjective,prolabei=n,προλαμβάνω,verb,h(mi=n,ἐγώ,pronoun,ei)=nai,εἰμί,verb,th\n,ὁ,article,prw/thn,πρότερος,adjective,o(/pws,ὅπως,conjunction,tou\s,ὁ,article,summa/xous,σύμμαχος,adjective,sw/somen,σώζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)a\n,ἐάν,conjunction,ga\r,γάρ,particle,tou=to,οὗτος,pronoun,bebai/ws,βέβαιος,adjective,u(pa/rch|,ὑπάρχω,verb,to/te,τότε,adverb,kai\,καί,conjunction,peri\,περί,preposition,tou=,ὁ,article,ti/na,τίς,pronoun,timwrh/setai/,τιμωρέω,verb,tis,τις,pronoun,kai\,καί,conjunction,o(\n,ὅς,pronoun,tro/pon,τρόπος,noun,e)ce/stai,ἔξεστι,verb,skopei=n,σκοπάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pri\n,πρίν,adverb,de\,δέ,particle,th\n,ὁ,article,a)rxh\n,ἀρχή,noun,o)rqw=s,ὀρθός,adjective,u(poqe/sqai,ὑποτίθημι,verb,ma/taion,μάταιος,adjective,h(gou=mai,ἡγέομαι,verb,peri\,περί,preposition,th=s,ὁ,article,teleuth=s,τελευτή,noun,o(ntinou=n,ὅστις,pronoun,poiei=sqai,ποιέω,verb,lo/gon,λόγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,parw\n,πάρειμι,verb,kairo/s,καιρός,noun,ei)/per,εἴπερ,conjunction,pote/,ποτέ,particle,pollh=s,πολύς,adjective,fronti/dos,φροντίς,noun,kai\,καί,conjunction,boulh=s,βουλεύς,noun,dei=tai,δέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,d',δέ,particle,ou)x,οὐ,adverb,o(/,ὅς,pronoun,ti,τις,pronoun,xrh\,χρή,verb,peri\,περί,preposition,tw=n,ὁ,article,paro/ntwn,πάρειμι,verb,sumbouleu=sai,συμβουλεύω,verb,xalepw/taton,χαλεπός,adjective,h(gou=mai,ἡγέομαι,verb,a)ll',ἀλλά,adverb,e)kei=n',ἐκεῖνος,pronoun,a)porw=,ἀφοράω,verb,ti/na,τίς,pronoun,xrh\,χρή,verb,tro/pon,τρόπος,noun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,pro\s,πρός,preposition,u(ma=s,σύ,pronoun,peri\,περί,preposition,au)tw=n,αὐτός,pronoun,ei)pei=n,εἶπον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
