word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS
pollw=n,πολύς,adjective,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,lo/gwn,λόγος,noun,gignome/nwn,γίγνομαι,verb,o)li/gou,ὀλίγος,adjective,dei=n,δέω,verb,kaq',κατά,preposition,e(ka/sthn,ἕκαστος,adjective,e)kklhsi/an,ἐκκλησία,noun,peri\,περί,preposition,w(=n,ὅς,pronoun,*fi/lippos,Φίλιππος,proper,a)f',ἀπό,preposition,ou(=,ἕ,pronoun,th\n,ὁ,article,ei)rh/nhn,εἰρήνη,noun,e)poih/sato,ποιέω,verb,ou),οὐ,adverb,mo/non,μόνος,adjective,u(ma=s,σύ,pronoun,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,tou\s,ὁ,article,a)/llous,ἄλλος,adjective,a)dikei=,ἀδικέω,verb,kai\,καί,conjunction,pa/ntwn,πᾶς,adjective,oi)=d',οἶδα,verb,o(/ti,ὅστις,pronoun,fhsa/ntwn,φημί,verb,g',γε,particle,a)/n,ἄν,particle,ei),εἰ,conjunction,kai\,καί,conjunction,mh\,μή,conjunction,poiou=si,ποιέω,verb,tou=to,οὗτος,pronoun,kai\,καί,conjunction,le/gein,λέγω,verb,dei=n,δέω,verb,kai\,καί,conjunction,pra/ttein,πράσσω,verb,o(/pws,ὅπως,conjunction,e)kei=nos,ἐκεῖνος,pronoun,pau/setai,παύω,verb,th=s,ὁ,article,u(/brews,ὕβρις,noun,kai\,καί,conjunction,di/khn,δίκη,adjective,dw/sei,δίδωμι,verb,ei)s,εἰς,preposition,tou=q',οὗτος,pronoun,u(phgme/na,ὑπάγω,verb,pa/nta,πᾶς,adjective,ta\,ὁ,article,pra/gmata,πρᾶγμα,noun,kai\,καί,conjunction,proeime/n',προίημι,verb,o(rw=,ὁράω,verb,w(/ste,ὥστε,conjunction,de/doika,δείδω,verb,mh\,μή,conjunction,bla/sfhmon,βλάσφημος,adjective,me\n,μέν,particle,ei)pei=n,εἶπον,verb,a)lhqe\s,ἀληθής,adjective,d',δέ,particle,h)=|,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,kai\,καί,conjunction,le/gein,λέγω,verb,a(/pantes,ἅπας,adjective,e)bou/lonq',βούλομαι,verb,oi(,ἕ,pronoun,pario/ntes,πάρειμι,verb,kai\,καί,conjunction,xeirotonei=n,χειροτονέω,verb,u(mei=s,σύ,pronoun,e)c,ἐκ,preposition,w(=n,ὅς,pronoun,w(s,ὡς,conjunction,faulo/tat',φαῦλος,adjective,e)/melle,μέλλω,verb,ta\,ὁ,article,pra/gmaq',πρᾶγμα,noun,e(/cein,ἔχω,verb,ou)k,οὐ,adverb,a)\n,ἄν,particle,h(gou=mai,ἡγέομαι,verb,du/nasqai,δύναμαι,verb,xei=ron,χείρων,adverb,h)\,ἠέ,conjunction,nu=n,νῦν,adverb,diateqh=nai,διατίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polla\,πολύς,adjective,me\n,μέν,particle,ou)=n,οὖν,particle,i)/sws,ἴσως,adverb,e)sti\n,εἰμί,verb,ai)/tia,αἴτιος,adjective,tou/twn,οὗτος,pronoun,kai\,καί,conjunction,ou),οὐ,adverb,par',παρά,preposition,e(\n,εἷς,adjective,ou)de\,οὐδέ,particle,du/',δύη,adjective,ei)s,εἰς,preposition,tou=to,οὗτος,pronoun,ta\,ὁ,article,pra/gmat',πρᾶγμα,noun,a)fi=ktai,ἀφικνέομαι,verb,ma/lista,μάλιστα,adverb,d',δέ,particle,a)/nper,ἐάν,conjunction,e)ceta/zht',ἐξετάζω,verb,o)rqw=s,ὀρθός,adjective,eu(rh/sete,εὑρίσκω,verb,dia\,διά,preposition,tou\s,ὁ,article,xari/zesqai,χαρίζομαι,verb,ma=llon,μᾶλλον,adverb,h)\,ἠέ,conjunction,ta\,ὁ,article,be/ltista,βέλτιστος,adjective,le/gein,λέγω,verb,proairoume/nous,προαιρέω,verb,w(=n,ὅς,pronoun,tines,τις,pronoun,me/n,μέν,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,e)n,ἐν,preposition,oi(=s,ὅς,pronoun,eu)dokimou=sin,εὐδοκιμέω,verb,au)toi\,αὐτός,pronoun,kai\,καί,conjunction,du/nantai,δύναμαι,verb,tau=ta,οὗτος,pronoun,fula/ttontes,φυλάσσω,verb,ou)demi/an,οὐδείς,pronoun,peri\,περί,preposition,tw=n,ὁ,article,mello/ntwn,μέλλω,verb,pro/noian,πρόνοια,noun,e)/xousin,ἔχω,verb,ou)kou=n,οὐκοῦν,adverb,ou)d',οὐδέ,particle,u(ma=s,σύ,pronoun,oi)/ontai,οἴομαι,verb,dei=n,δέω,verb,e)/xein,ἔχω,verb,e(/teroi,ἕτερος,adjective,de\,δέ,particle,tou\s,ὁ,article,e)pi\,ἐπί,preposition,toi=s,ὁ,article,pra/gmasin,πρᾶγμα,noun,o)/ntas,εἰμί,verb,ai)tiw/menoi,αἰτιάομαι,verb,kai\,καί,conjunction,diaba/llontes,διαβάλλω,verb,ou)de\n,οὐδείς,pronoun,a)/llo,ἄλλος,adjective,poiou=sin,ποιέω,verb,h)\,ἠέ,conjunction,o(/pws,ὅπως,conjunction,h(,ὁ,article,me\n,μέν,particle,po/lis,πόλις,adjective,au)th\,αὐτός,pronoun,par',παρά,preposition,au(th=s,ἑαυτοῦ,pronoun,di/khn,δίκη,adjective,lh/yetai,λαμβάνω,verb,kai\,καί,conjunction,peri\,περί,preposition,tou=t',οὗτος,pronoun,e)/stai,εἰμί,verb,*fili/ppw|,Φίλιππος,proper,d',δέ,particle,e)ce/stai,ἔξεστι,verb,kai\,καί,conjunction,le/gein,λέγω,verb,kai\,καί,conjunction,pra/ttein,πράσσω,verb,o(/,ὅς,pronoun,ti,τις,pronoun,bou/letai,βούλομαι,verb,,,
ai(,ὁ,article,de\,δέ,particle,toiau=tai,τοιοῦτος,adjective,politei=ai,πολιτεία,noun,sunh/qeis,συνήθης,adverb,me/n,μέν,particle,ei)sin,εἰμί,verb,u(mi=n,σύ,pronoun,ai)/tiai,αἴτιος,adjective,de\,δέ,particle,tw=n,ὁ,article,kakw=n,κακός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ciw=,ἀξιάω,verb,d',δέ,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,a)/n,ἄν,particle,ti,τις,pronoun,tw=n,ὁ,article,a)lhqw=n,ἀληθής,adjective,meta\,μετά,preposition,parrhsi/as,παρρησία,noun,le/gw,λέγω,verb,mhdemi/an,μηδείς,pronoun,moi,ἐγώ,pronoun,dia\,διά,preposition,tou=to,οὗτος,pronoun,par',παρά,preposition,u(mw=n,σύ,pronoun,o)rgh\n,ὀργή,noun,gene/sqai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skopei=te,σκοπάω,verb,ga\r,γάρ,particle,w(di/,ὡδί,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(mei=s,σύ,pronoun,th\n,ὁ,article,parrhsi/an,παρρησία,noun,e)pi\,ἐπί,preposition,me\n,μέν,particle,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,ou(/tw,οὕτως,adverb,koinh\n,κοινός,adjective,oi)/esqe,οἴομαι,verb,dei=n,δέω,verb,ei)=nai,εἰμί,verb,pa=si,πᾶς,adjective,toi=s,ὁ,article,e)n,ἐν,preposition,th=|,ὁ,article,po/lei,πόλις,adjective,w(/ste,ὥστε,conjunction,kai\,καί,conjunction,toi=s,ὁ,article,ce/nois,ξένος,noun,kai\,καί,conjunction,toi=s,ὁ,article,dou/lois,δοῦλος,noun,au)th=s,αὐτός,pronoun,metadedw/kate,μεταδίδωμι,verb,kai\,καί,conjunction,pollou\s,πολύς,adjective,a)/n,ἄν,particle,tis,τις,pronoun,oi)ke/tas,οἰκέτης,noun,i)/doi,εἶδον,verb,par',παρά,preposition,h(mi=n,ἐγώ,pronoun,meta\,μετά,preposition,plei/onos,πλείων,verb,e)cousi/as,ἐξουσία,noun,o(/,ὅς,pronoun,ti,τις,pronoun,bou/lontai,βούλομαι,verb,le/gontas,λέγω,verb,h)\,ἠέ,conjunction,poli/tas,πολίτης,noun,e)n,ἐν,preposition,e)ni/ais,ἔνιοι,adjective,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,po/lewn,πόλις,adjective,e)k,ἐκ,preposition,de\,δέ,particle,tou=,ὁ,article,sumbouleu/ein,συμβουλεύω,verb,panta/pasin,παντάπασι,adverb,e)celhla/kate,ἐξελαύνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=q',εἶτα,adverb,u(mi=n,σύ,pronoun,sumbe/bhken,συμβαίνω,verb,e)k,ἐκ,preposition,tou/tou,οὗτος,pronoun,e)n,ἐν,preposition,me\n,μέν,particle,tai=s,ὁ,article,e)kklhsi/ais,ἐκκλησία,noun,trufa=n,τρυφάω,verb,kai\,καί,conjunction,kolakeu/esqai,κολακεύω,verb,pa/nta,πᾶς,adjective,pro\s,πρός,preposition,h(donh\n,ἡδονά,noun,a)kou/ousin,ἀκούω,verb,e)n,ἐν,preposition,de\,δέ,particle,toi=s,ὁ,article,pra/gmasi,πρᾶγμα,noun,kai\,καί,conjunction,toi=s,ὁ,article,gignome/nois,γίγνομαι,verb,peri\,περί,preposition,tw=n,ὁ,article,e)sxa/twn,σχέθω,verb,h)/dh,ἤδη,adverb,kinduneu/ein,κινδυνεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,me\n,μέν,particle,ou)=n,οὖν,particle,kai\,καί,conjunction,nu=n,νῦν,adverb,ou(/tw,οὕτως,adverb,dia/keisqe,διάκειμαι,verb,ou)k,οὐ,adverb,e)/xw,ἔχω,verb,ti/,τίς,pronoun,le/gw,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,d',δέ,particle,a(\,ὅς,pronoun,sumfe/rei,συμφέρω,verb,xwri\s,χωρίς,adverb,kolakei/as,κολακεία,noun,e)qelh/set',ἐθέλω,verb,a)kou/ein,ἀκούω,verb,e(/toimos,ἑτοῖμος,adjective,le/gein,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
