word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS
o(/ti,ὅστις,pronoun,me\n,μέν,particle,ou)k,οὐ,adverb,a)porh/sein,ἀπορέω,verb,e)/melle,μέλλω,verb,*ste/fanos,Στέφανος,proper,ou(tosi\,οὗτος,pronoun,o(/,ὅς,pronoun,ti,τις,pronoun,a)pologh/setai,ἀπολογέομαι,verb,peri\,περί,preposition,th=s,ὁ,article,marturi/as,μαρτυρία,noun,para/gwn,παράγω,verb,tw=|,ὁ,article,lo/gw|,λόγος,noun,w(s,ὡς,conjunction,ou),οὐ,adverb,pa/nta,πᾶς,adjective,memartu/rhke,μαρτυρέω,verb,ta\,ὁ,article,e)n,ἐν,preposition,tw=|,ὁ,article,grammatei/w|,γραμματεῖον,noun,gegramme/na,γράφω,verb,kai\,καί,conjunction,e)capatw=n,ἐξαπατάω,verb,u(ma=s,σύ,pronoun,kai\,καί,conjunction,au)to\s,αὐτός,pronoun,sxedo/n,σχεδόν,adverb,ti,τις,pronoun,u(peno/oun,ὑπονοέω,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panou=rgo/s,πανοῦργος,adjective,te,τε,particle,ga/r,γάρ,particle,e)stin,εἰμί,verb,kai\,καί,conjunction,oi(,ἕ,pronoun,gra/fontes,γράφω,verb,kai\,καί,conjunction,oi(,ἕ,pronoun,sumbouleu/ontes,συμβουλεύω,verb,u(pe\r,ὑπέρ,preposition,*formi/wnos,Φορμίων,proper,polloi/,πολύς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(/ma,ἅμα,adverb,t',τε,particle,ei)ko/s,ἔοικα,verb,e)sti,εἰμί,verb,tou\s,ὁ,article,e)gxeirou=ntas,ἐγχειρέω,verb,ta\,ὁ,article,yeudh=,ψευδής,adverb,marturei=n,μαρτυρέω,verb,kai\,καί,conjunction,th\n,ὁ,article,a)pologi/an,ἀπολογία,noun,eu)qe/ws,εὐθύς,adverb,u(pe\r,ὑπέρ,preposition,au)tw=n,αὐτός,pronoun,meleta=n,μελετάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,d',δέ,particle,e)n,ἐν,preposition,tosou/tw|,τοσοῦτος,adjective,lo/gw|,λόγος,noun,ou)damou=,οὐδαμός,adverb,ma/rturas,μάρτυς,noun,pare/sxeto,παρέχω,verb,u(mi=n,σύ,pronoun,w(s,ὡς,conjunction,h)\,ἠέ,conjunction,diatiqeme/nw|,διατίθημι,verb,tw=|,ὁ,article,patri\,πατήρ,noun,tw=|,ὁ,article,e)mw=|,ἐμός,adjective,parege/neto/,παραγίγνομαι,verb,pou,πού,adverb,au)to\s,αὐτός,pronoun,tau/thn,οὗτος,pronoun,th\n,ὁ,article,diaqh/khn,διαθήκη,noun,w(/st',ὥστε,conjunction,ei)de/nai,οἶδα,verb,tau=ta,οὗτος,pronoun,o(/ti,ὅστις,pronoun,a)nti/grafa/,ἀντίγραφος,adjective,e)stin,εἰμί,verb,w(=n,ὅς,pronoun,o(,ὁ,article,path/r,πατήρ,noun,mou,ἐγώ,pronoun,die/qeto,διατίθημι,verb,h)\,ἠέ,conjunction,a)noixqe\n,ἀνοίγνυμι,verb,ei)=de,εἶδον,verb,to\,ὁ,article,grammatei=on,γραμματεῖον,noun,o(/,ὅς,pronoun,fasi,φημί,verb,diaqe/menon,διατίθημι,verb,e)kei=non,ἐκεῖνος,pronoun,katalipei=n,καταλιμπάνω,verb,tau=ta,οὗτος,pronoun,summe/mnhsqe/,συμμιμνήσκομαι,verb,moi,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,mh\n,μήν,particle,o(po/te,ὁπότε,adverb,memartu/rhken,μαρτυρέω,verb,a)nti/grafa,ἀντίγραφος,adjective,ei)=nai,εἰμί,verb,tw=n,ὁ,article,diaqhkw=n,διαθήκη,noun,tw=n,ὁ,article,*pasi/wnos,,,ta\,ὁ,article,e)n,ἐν,preposition,tw=|,ὁ,article,grammatei/w|,γραμματεῖον,noun,gegramme/na,γράφω,verb,ta\s,ὁ,article,de\,δέ,particle,diaqh/kas,διαθήκη,noun,mh\,μή,conjunction,e)/xei,ἔχω,verb,e)pidei=cai,ἐπιδείκνυμι,verb,mh/q',μήτε,particle,w(s,ὡς,conjunction,o(,ὁ,article,path\r,πατήρ,noun,die/qeto,διατίθημι,verb,h(mw=n,ἐγώ,pronoun,mh/q',μήτε,particle,w(s,ὡς,conjunction,au)to\s,αὐτός,pronoun,ei)=den,εἶδον,verb,parageno/menos,παραγίγνομαι,verb,au)ta\s,αὐτός,pronoun,diatiqeme/nou,διατίθημι,verb,tou=,ὁ,article,patro/s,πατήρ,noun,pw=s,πῶς,adverb,ou),οὐ,adverb,perifanw=s,περιφανής,adverb,ou(=tos,οὗτος,pronoun,e)cele/gxetai,ἐξελέγχω,verb,ta\,ὁ,article,yeudh=,ψευδής,adverb,memarturhkw/s,μαρτυρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,toi/nun,τοίνυν,particle,pro/klhsi/n,πρόκλησις,noun,fhsin,φημί,verb,ei)=nai,εἰμί,verb,kai\,καί,conjunction,mh\,μή,conjunction,marturi/an,μαρτυρία,noun,ou)k,οὐ,adverb,a)lhqh=,ἀληθής,adjective,le/gei,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(/panta,ἅπας,adjective,ga\r,γάρ,particle,o(/sa,ὅσος,adjective,pare/xontai,παρέχω,verb,ei)s,εἰς,preposition,to\,ὁ,article,dikasth/rion,δικαστήριον,noun,prokalou/menoi,προκαλέω,verb,a)llh/lous,ἀλλήλων,pronoun,oi(,ὁ,article,a)nti/dikoi,ἀντίδικος,adjective,dia\,διά,preposition,marturi/as,μαρτυρία,noun,pare/xontai,παρέχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,a)\n,ἄν,particle,ei)dei/hq',οἶδα,verb,u(mei=s,σύ,pronoun,ei)/t',εἴτε,adverb,e)sti\n,εἰμί,verb,a)lhqh=,ἀληθής,adjective,ei)/te,εἴτε,adverb,yeudh=,ψευδής,adverb,a(/,ὅς,pronoun,fasin,φημί,verb,e(ka/teroi,ἑκάτερος,adjective,ei),εἰ,conjunction,mh/,μή,conjunction,tis,τις,pronoun,kai\,καί,conjunction,tou\s,ὁ,article,ma/rturas,μάρτυς,noun,pare/xoito,παρέχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/tan,ὅταν,conjunction,de\,δέ,particle,para/sxhtai,παρέχω,verb,tou/tois,οὗτος,pronoun,pisteu/ontes,πιστεύω,verb,u(podi/kois,ὑπόδικος,adjective,ou)=sin,εἰμί,verb,yhfi/zesqe,ψηφίζομαι,verb,e)k,ἐκ,preposition,tw=n,ὁ,article,legome/nwn,λέγω,verb,kai\,καί,conjunction,marturoume/nwn,μαρτύρομαι,verb,a(\,ὅς,pronoun,a)\n,ἄν,particle,u(mi=n,σύ,pronoun,dokh=|,δοκάζω,verb,di/kaia,δίκαιος,adjective,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bou/lomai,βούλομαι,verb,toi/nun,τοίνυν,particle,kai\,καί,conjunction,th\n,ὁ,article,marturi/an,μαρτυρία,noun,e)cele/gcai,ἐξελέγχω,verb,o(/ti,ὅστις,pronoun,ou),οὐ,adverb,pro/klhsi/s,πρόκλησις,noun,e)stin,εἰμί,verb,kai\,καί,conjunction,w(s,ὡς,conjunction,e)/dei,δέω,verb,marturei=n,μαρτυρέω,verb,au)tou/s,αὐτός,pronoun,ei)/per,εἴπερ,conjunction,e)gi/gneto,γίγνομαι,verb,h(,ὁ,article,pro/klhsis,πρόκλησις,noun,w(s,ὡς,conjunction,ou)k,οὐ,adverb,e)gi/gneto,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
