word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS
ti/,τίς,pronoun,xrh\,χρή,verb,le/gein,λέγω,verb,pro\s,πρός,preposition,tw=n,ὁ,article,qew=n,θέα,noun,peri\,περί,preposition,toiou/twn,τοιοῦτος,adjective,a)nqrw/pwn,ἄνθρωπος,noun,h)\,ἠέ,conjunction,pw=s,πῶς,adverb,xrh/sesqe,χράω,verb,th=|,ὁ,article,tou/tou,οὗτος,pronoun,ponhri/a|,πονηρία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\s,ὅς,pronoun,ou)x,οὐ,adverb,a(/pac,ἅπαξ,adverb,a)lla\,ἀλλά,adverb,tri\s,τρίς,adverb,e)celhlegme/nos,ἐξελέγχω,verb,u(po\,ὑπό,preposition,th=s,ὁ,article,e)c,ἐκ,preposition,*)arei/ou,ἄρειος,adjective,pa/gou,πᾶγος,noun,boulh=s,βουλεύς,noun,w(s,ὡς,conjunction,u(mei=s,σύ,pronoun,a(/pantes,ἅπας,adjective,i)/ste,οἶδα,verb,kai\,καί,conjunction,nu=n,νῦν,adverb,e)n,ἐν,preposition,tw=|,ὁ,article,dh/mw|,δῆμος,noun,h)kou/ete,ἀκούω,verb,kai\,καί,conjunction,e)yeusme/nos,ψεύδω,verb,a(pa/ntwn,ἅπας,adjective,*)aqhnai/wn,Ἀθήναια,proper,e)nanti/on,ἐναντίος,adjective,kai\,καί,conjunction,tw=n,ὁ,article,periesthko/twn,περιίστημι,verb,fa/skwn,φάσκω,verb,kwlu/sein,κωλύω,verb,*(/arpalon,Ἅρπαλος,proper,ei)s,εἰς,preposition,to\n,ὁ,article,*peiraia=,Πειραιεύς,proper,katapleu=sai,καταπλέω,verb,strathgo\s,στρατηγός,noun,u(f',ὑπό,preposition,u(mw=n,σύ,pronoun,e)pi\,ἐπί,preposition,th\n,ὁ,article,*mounixi/an,Μουνιχίη,proper,kai\,καί,conjunction,ta\,ὁ,article,new/ria,νεώριον,noun,kexeirotonhme/nos,χειροτονέω,verb,kai\,καί,conjunction,dw=ra,δῶρον,noun,tolmh/sas,τολμάω,verb,labei=n,λαμβάνω,verb,kata\,κατά,preposition,pa/ntwn,πᾶς,adjective,u(mw=n,σύ,pronoun,kai\,καί,conjunction,th=s,ὁ,article,xw/ras,χώρα,noun,kai\,καί,conjunction,pai/dwn,παῖς,adjective,kai\,καί,conjunction,gunaikw=n,γυνή,noun,kai\,καί,conjunction,e)piwrkhkw\s,ἐπιορκέω,verb,o(\n,ὅς,pronoun,w)/mosen,ὄμνυμι,verb,o(/rkon,ὅρκος,noun,metacu\,μεταξύ,adverb,tou=,ὁ,article,e(/dous,ἕδος,noun,kai\,καί,conjunction,th=s,ὁ,article,trape/zhs,τράπεζα,noun,kai\,καί,conjunction,gra/yas,γράφω,verb,kaq',κατά,preposition,e(autou=,ἑαυτοῦ,pronoun,yh/fisma,ψήφισμα,noun,kai\,καί,conjunction,qana/tou,θάνατος,adjective,timhsa/menos,τιμάω,verb,e)a\n,ἐάν,conjunction,ei)lh/fh|,λαμβάνω,verb,ti,τις,pronoun,tw=n,ὁ,article,xrhma/twn,χρῆμα,adjective,w(=n,ὅς,pronoun,*(/arpalos,Ἅρπαλος,proper,ei)s,εἰς,preposition,th\n,ὁ,article,xw/ran,χώρα,noun,e)ko/misen,κομίζω,verb,o(/mws,ὅμως,conjunction,e)to/lmhsen,τολμάω,verb,ei)s,εἰς,preposition,tou\s,ὁ,article,ei)do/tas,οἶδα,verb,u(ma=s,σύ,pronoun,e)celhlegme/non,ἐξελέγχω,verb,e(auto\n,ἑαυτοῦ,pronoun,a(/pasi,ἅπας,adjective,tou/tois,οὗτος,pronoun,e)/noxon,ἔνοχος,adjective,gegenhme/non,γίγνομαι,verb,e)lqei=n,ἔρχομαι,verb,kai\,καί,conjunction,dei=cai,δείκνυμι,verb,e(auto/n,ἑαυτοῦ,pronoun,ou),οὐ,adverb,tw=|,ὁ,article,dikai/w|,δίκαιος,adjective,pisteu/wn,πιστεύω,verb,w)=,ὦ,interjection,*)aqhnai=oi,Ἀθηναῖος,proper,ti/,τίς,pronoun,ga\r,γάρ,particle,tou/tw|,οὗτος,pronoun,dikaiosu/nhs,δικαιοσύνη,noun,me/testin,μέτειμι,verb
a)lla\,ἀλλά,adverb,th=|,ὁ,article,to/lmh|,τόλμα,noun,kai\,καί,conjunction,th=|,ὁ,article,a)naidei/a|,ἀναίδεια,adjective,h(=|,ὅς,pronoun,xrw/menos,χράομαι,verb,pro/teron,πρότερος,adjective,me\n,μέν,particle,h)ci/wse,ἀξιόω,verb,katafronh/sas,καταφρονέω,verb,u(mw=n,σύ,pronoun,kai\,καί,conjunction,tw=n,ὁ,article,e)n,ἐν,preposition,th=|,ὁ,article,po/lei,πόλις,adjective,dikai/wn,δίκαιος,adjective,ta\,ὁ,article,xrh/mata,χρῆμα,adjective,labei=n,λαμβάνω,verb,nuni\,νυνί,adverb,de\,δέ,particle,a)pologhso/menos,ἀπολογέομαι,verb,h(/kei,ἥκω,verb,w(s,ὡς,conjunction,ou)de\n,οὐδείς,pronoun,tou/twn,οὗτος,pronoun,diape/praktai,διαπράσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tosou=ton,τοσοῦτος,adjective,th=s,ὁ,article,u(mete/ras,ὑμέτερος,adjective,r(a|qumi/as,ῥαθυμία,noun,katapefro/nhke,καταφρονέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,o(,ὁ,article,me\n,μέν,particle,koino\s,κοινός,adjective,th=s,ὁ,article,po/lews,πόλις,adjective,no/mos,νόμος,noun,e)a/n,ἐάν,conjunction,tis,τις,pronoun,e(no\s,εἷς,adjective,e)nanti/on,ἐναντίος,adjective,tw=n,ὁ,article,politw=n,πολίτης,noun,o(mologh/sas,ὁμολογέω,verb,ti,τις,pronoun,parabh=|,παράπτω,verb,tou=ton,οὗτος,pronoun,e)/noxon,ἔνοχος,adjective,ei)=nai,εἰμί,verb,keleu/ei,κελεύω,verb,tw=|,ὁ,article,a)dikei=n,ἀδικέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,pa/ntas,πᾶς,adjective,*)aqhnai/ous,Ἀθήναιος,proper,e)chpathkw/s,ἐξαπατάω,verb,kai\,καί,conjunction,prodou\s,προδίδωμι,verb,th\n,ὁ,article,pi/stin,πίστις,noun,h(\n,ὅς,pronoun,par',παρά,preposition,u(mw=n,σύ,pronoun,ou)k,οὐ,adverb,a)/cios,ἄξιος,adjective,w)\n,εἰμί,verb,e)/labe,λαμβάνω,verb,kai\,καί,conjunction,to\,ὁ,article,kaq',κατά,preposition,au(to\n,ἑαυτοῦ,pronoun,me/ros,μέρος,noun,a(/pant',ἅπας,adjective,a)natetrofw\s,ἀνατρέφω,verb,ta\,ὁ,article,e)n,ἐν,preposition,th=|,ὁ,article,po/lei,πόλις,adjective,ou(=tos,οὗτος,pronoun,e)pi\,ἐπί,preposition,th\n,ὁ,article,a)pologi/an,ἀπολογία,noun,h(/kein,ἥκω,verb,fh/sei,φημί,verb,th\n,ὁ,article,u(pe\r,ὑπέρ,preposition,th=s,ὁ,article,ai)ti/as,αἰτία,noun,th=s,ὁ,article,ei)s,εἰς,preposition,au(to\n,ἑαυτοῦ,pronoun,gegenhme/nhs,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,de/,δέ,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,ei),εἰ,conjunction,dei=,δέομαι,verb,ta)lhqh=,ἀληθής,adjective,le/gein,λέγω,verb,dei=,δέομαι,verb,de/,δέ,particle,ou),οὐ,adverb,ta\s,ὁ,article,a)pofa/seis,ἀπόφασις,noun,oi)=mai,οἴομαι,verb,nu=n,νῦν,adverb,kri/nesqai,κρίνω,verb,po/teron,πότερος,adjective,a)lhqei=s,ἀληθής,adjective,ei)sin,εἰμί,verb,h)\,ἠέ,conjunction,yeudei=s,ψευδής,adverb,ai(,ὁ,article,kata\,κατά,preposition,*filokle/ous,Φιλοκλέης,proper,gegenhme/nai,γίγνομαι,verb,a)lla\,ἀλλά,adverb,peri\,περί,preposition,mo/nhs,μόνος,adjective,th=s,ὁ,article,timwri/as,τιμωρία,noun,u(ma=s,σύ,pronoun,dei=n,δέω,verb,th=s,ὁ,article,e)n,ἐν,preposition,tw=|,ὁ,article,yhfi/smati,ψήφισμα,noun,gegramme/nhs,γράφω,verb,dika/sai,δικάζω,verb,nu=n,νῦν,adverb,po/tera,πότερος,adjective,dei=,δέομαι,verb,xrhma/twn,χρῆμα,adjective,timh=sai,τιμάω,verb,tw=|,ὁ,article,thlikau=ta,τηλικοῦτος,adjective,h)dikhko/ti,ἀδικέω,verb,th\n,ὁ,article,po/lin,πόλις,adjective,h)\,ἠέ,conjunction,qana/tw|,θάνατος,adjective,zhmiw/santas,ζημιόω,verb,w(/sper,ὥσπερ,adverb,ou(=tos,οὗτος,pronoun,e)/grayen,γράφω,verb,e)n,ἐν,preposition,tw=|,ὁ,article,yhfi/smati,ψήφισμα,noun,kaq',κατά,preposition,au(tou=,ἑαυτοῦ,pronoun,h)\,ἠέ,conjunction,dhmeu=sai,δημεύω,verb,th\n,ὁ,article,ou)si/an,οὐσία,adjective,th\n,ὁ,article,e)k,ἐκ,preposition,toiou/twn,τοιοῦτος,adjective,lhmma/twn,λῆμμα,noun,suneilegme/nhn,συλλέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)/esqe,οἴομαι,verb,tou=ton,οὗτος,pronoun,nu=n,νῦν,adverb,prw=ton,πρότερος,adjective,e)pi\,ἐπί,preposition,tou/twn,οὗτος,pronoun,tw=n,ὁ,article,xrhma/twn,χρῆμα,adjective,ponhro\n,πονηρός,adjective,gegenh=sqai,γίγνομαι,verb,h)\,ἠέ,conjunction,nu=n,νῦν,adverb,prw=ton,πρότερος,adjective,kaq',κατά,preposition,u(mw=n,σύ,pronoun,dw=ra,δῶρον,noun,ei)lhfe/nai,λαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)k,οὐ,adverb,e)/sti,εἰμί,verb,tau=ta,οὗτος,pronoun,a)lla\,ἀλλά,adverb,pa/lai,πάλαι,adverb,toiou=tos,τοιοῦτος,adjective,w)\n,εἰμί,verb,e)la/nqanen,λανθάνω,verb,u(ma=s,σύ,pronoun,kai\,καί,conjunction,hu)tuxh/kaq',εὐτυχέω,verb,o(/ti,ὅστις,pronoun,ou)k,οὐ,adverb,e)n,ἐν,preposition,mei/zosi,μέγας,adverb,kairoi=s,καιρός,noun,e)pu/qesqe,πύθω,verb,th\n,ὁ,article,ai)sxroke/rdeian,αἰσχροκέρδεια,noun,au)tou=,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga/r,γάρ,particle,e)sti,εἰμί,verb,xalepw/teron,χαλεπός,adjective,a)nqrw/pou,ἄνθρωπος,noun,th\n,ὁ,article,au(tou=,ἑαυτοῦ,pronoun,ponhri/an,πονηρία,noun,a)gnooume/nhn,ἀγνοέω,verb,e)/xontos,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
