word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS
dw=ro/n,δῶρον,noun,toi,τοι,particle,kai\,καί,conjunction,e)gw/,ἐγώ,pronoun,te/knon,τέκνον,noun,fi/le,φίλος,adjective,tou=to,οὗτος,pronoun,di/dwmi,δίδωμι,verb,kaqa/per,καθά,adverb,h(,ὁ,article,par',παρά,preposition,*(omh/rw|,Ὅμηρος,proper,fhsi\n,φημί,verb,*(ele/nh,Ἑλένη,proper,ceni/zousa,ξενίζω,verb,to\n,ὁ,article,*thle/maxon,Τηλέμαχος,proper,prw/thn,πρότερος,adjective,h(me/ran,ἡμέρα,noun,a)/gonti,ἄγω,verb,tau/thn,οὗτος,pronoun,gene/qlion,γενέθλιος,adjective,a)f',ἀπό,preposition,ou(=,ἕ,pronoun,parage/gonas,παραγίγνομαι,verb,ei)s,εἰς,preposition,a)ndro\s,ἀνήρ,noun,h(liki/an,ἡλικία,noun,h(di/sthn,ἡδύς,adjective,kai\,καί,conjunction,timiwta/thn,τίμιος,adjective,e(ortw=n,ἑορτή,adjective,e)moi/,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plh\n,πλήν,preposition,ou)/te,οὔτε,adverb,xeirw=n,χείρ,noun,dhmiou/rghma,δημιούργημα,noun,pe/mpw,πέμπω,verb,soi,σύ,pronoun,tw=n,ὁ,article,e)mw=n,ἐμός,adjective,w(s,ὡς,conjunction,e)kei/nh,ἐκεῖνος,pronoun,fhsi\,φημί,verb,didou=sa,δίδωμι,verb,tw=|,ὁ,article,meiraki/w|,μειράκιον,noun,to\n,ὁ,article,pe/plon,πέπλος,noun,ou)/t',οὔτε,adverb,e)s,εἰς,preposition,ga/mou,γάμος,adjective,mo/non,μόνος,adjective,w(/ran,ὥρα,adjective,kai\,καί,conjunction,gameth=|,γαμετή,noun,xa/rin,χάρις,noun,eu)/qeton,εὔθετος,adjective,a)lla\,ἀλλά,adverb,poi/hma,ποίημα,noun,me\n,μέν,particle,kai\,καί,conjunction,ge/nnhma,γέννημα,noun,paidei/as,παιδεία,noun,kai\,καί,conjunction,yuxh=s,ψυχή,noun,th=s,ὁ,article,e)mh=s,ἐμός,adjective,kth=ma,κτῆμα,noun,de\,δέ,particle,to\,ὁ,article,au)to\,αὐτός,pronoun,kai\,καί,conjunction,xrh=ma,χρῆμα,adjective,pro\s,πρός,preposition,a(pa/sas,ἅπας,adjective,ta\s,ὁ,article,e)n,ἐν,preposition,tw=|,ὁ,article,bi/w|,βίος,adjective,xrei/as,χρεία,noun,o(po/sai,ὁπόσος,adjective,gi/nontai,γίγνομαι,verb,dia\,διά,preposition,lo/gwn,λόγος,noun,w)fe/limon,ὠφέλιμος,adjective,a)nagkaio/taton,ἀναγκαῖος,adjective,a(pa/ntwn,ἅπας,adjective,xrhma/twn,χρῆμα,adjective,ei)/,εἰ,conjunction,ti,τις,pronoun,ka)gw\,ἐγώ,pronoun,tugxa/nw,τυγχάνω,verb,tw=n,ὁ,article,deo/ntwn,δέω,verb,fronw=n,φρονέω,verb,a(/pasi,ἅπας,adjective,me\n,μέν,particle,o(moi/ws,ὅμοιος,adjective,toi=s,ὁ,article,a)skou=si,ἀσκέω,verb,tou\s,ὁ,article,politikou\s,πολιτικός,adjective,lo/gous,λόγος,noun,e)n,ἐν,preposition,h(=|,ὅς,pronoun,pot',ποτέ,particle,a)\n,ἄν,particle,h(liki/a|,ἡλικία,noun,te,τε,particle,kai\,καί,conjunction,e(/cei,ἔχω,verb,tugxa/nwsin,τυγχάνω,verb,o)/ntes,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ma/lista,μάλιστα,adverb,de\,δέ,particle,toi=s,ὁ,article,meiraki/ois,μειράκιον,noun,te,τε,particle,kai\,καί,conjunction,newsti\,νεωστί,adverb,tou=,ὁ,article,maqh/matos,μάθημα,noun,a(ptome/nois,ἅπτω,verb,u(mi=n,σύ,pronoun,w)=,ὦ,interjection,*(rou=fe,,,*meti/lie,,,patro\s,πατήρ,noun,a)gaqou=,ἀγαθός,adjective,ka)moi\,ἐγώ,pronoun,timiwta/tou,τίμιος,adjective,fi/lwn,φίλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ditth=s,δισσός,adjective,ga\r,γάρ,particle,ou)/shs,εἰμί,verb,a)skh/sews,ἄσκησις,noun,peri\,περί,preposition,pa/ntas,πᾶς,adjective,w(s,ὡς,conjunction,ei)pei=n,εἶπον,verb,tou\s,ὁ,article,lo/gous,λόγος,noun,th=s,ὁ,article,peri\,περί,preposition,ta\,ὁ,article,noh/mata,νόημα,noun,kai\,καί,conjunction,th=s,ὁ,article,peri\,περί,preposition,ta\,ὁ,article,o)no/mata,ὄνομα,adjective,w(=n,ὅς,pronoun,h(\,ὅς,pronoun,me\n,μέν,particle,tou=,ὁ,article,pragmatikou=,πραγματικός,adjective,to/pou,τόπος,noun,ma=llon,μᾶλλον,adverb,e)fa/ptesqai,ἐφάπτω,verb,do/ceien,δοκέω,verb,a)/n,ἄν,particle,h(\,ὅς,pronoun,de\,δέ,particle,tou=,ὁ,article,lektikou=,λεκτικός,adjective,kai\,καί,conjunction,pa/ntwn,πᾶς,adjective,o(/soi,ὅσος,adjective,tou=,ὁ,article,le/gein,λέγω,verb,eu)=,εὖ,adverb,stoxa/zontai,στοχάζομαι,verb,peri\,περί,preposition,a)mfote/ras,ἀμφότερος,adjective,ta\s,ὁ,article,qewri/as,θεωρία,noun,tou=,ὁ,article,lo/gou,λόγος,noun,tau/tas,οὗτος,pronoun,spoudazo/ntwn,σπουδάζω,verb,e)c,ἐκ,preposition,i)/sou,ἴσος,adjective,h(,ὁ,article,me\n,μέν,particle,e)pi\,ἐπί,preposition,ta\,ὁ,article,pra/gmata,πρᾶγμα,noun,kai\,καί,conjunction,th\n,ὁ,article,e)n,ἐν,preposition,tou/tois,οὗτος,pronoun,fro/nhsin,φρόνησις,noun,a)/gousa,ἄγω,verb,h(ma=s,ἐγώ,pronoun,e)pisth/mh,ἐπιστήμη,noun,bradei=a/,βραδύς,adjective,e)sti,εἰμί,verb,kai\,καί,conjunction,xaleph\,χαλεπός,adjective,ne/ois,νέος,adjective,ma=llon,μᾶλλον,adverb,de\,δέ,particle,a)du/natos,ἀδύνατος,adjective,ei)s,εἰς,preposition,a)genei/wn,ἀγένειος,adjective,kai\,καί,conjunction,meiraki/wn,μειράκιον,noun,pesei=n,πίπτω,verb,h(liki/an,ἡλικία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)kmazou/shs,ἀκμάζω,verb,ga\r,γάρ,particle,h)/dh,ἤδη,adverb,sune/sew/s,σύνεσις,noun,e)sti,εἰμί,verb,kai\,καί,conjunction,poliai=s,πολιά,noun,kathrtume/nhs,καταρτύω,verb,h(liki/as,ἡλικία,noun,oi)keiote/ra,οἰκεῖος,adjective,pollh=|,πολύς,adjective,me\n,μέν,particle,i(stori/a|,ἱστορία,noun,lo/gwn,λόγος,noun,te,τε,particle,kai\,καί,conjunction,e)/rgwn,ἔργον,noun,pollh=|,πολύς,adjective,de\,δέ,particle,pei/ra|,πεῖρα,noun,kai\,καί,conjunction,sumfora=|,συμφορά,noun,paqw=n,πάθος,adjective,oi)kei/wn,οἰκεῖος,adjective,te,τε,particle,kai\,καί,conjunction,a)llotri/wn,ἀλλότριος,adjective,sunaucome/nh,συναυξάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,de\,δέ,particle,peri\,περί,preposition,ta\s,ὁ,article,le/ceis,λέγω,verb,filo/kalon,φιλόκαλος,adjective,kai\,καί,conjunction,tai=s,ὁ,article,nearai=s,νεαρός,adjective,pe/fuke,φύω,verb,sunanqei=n,συνανθέω,verb,h(liki/ais,ἡλικία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pto/htai,πτοέω,verb,ga\r,γάρ,particle,a(/pasa,ἅπας,adjective,ne/ou,νέος,adjective,yuxh\,ψυχή,noun,peri\,περί,preposition,to\n,ὁ,article,th=s,ὁ,article,e(rmhnei/as,ἑρμηνεία,noun,w(rai+smo/n,ὡραισμός,noun,a)lo/gous,ἄλογος,adjective,tina\s,τις,pronoun,kai\,καί,conjunction,w(/sper,ὥσπερ,adverb,e)nqousiw/deis,ἐνθουσιώδης,adverb,e)pi\,ἐπί,preposition,tou=to,οὗτος,pronoun,lamba/nousa,λαμβάνω,verb,ta\s,ὁ,article,o(rma/s,ὁρμή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(=s,ὅς,pronoun,pollh=s,πολύς,adjective,pa/nu,πάνυ,adverb,kai\,καί,conjunction,e)/mfronos,ἔμφρων,adjective,dei=,δέομαι,verb,th=s,ὁ,article,prw/ths,πρότερος,adjective,e)pista/sew/s,ἐπίστασις,noun,te,τε,particle,kai\,καί,conjunction,a)gwgh=s,ἀγωγεύς,noun,ei),εἰ,conjunction,me/llousi,μέλλω,verb,mh\,μή,conjunction,pa=n,πᾶς,adjective,o(/,ὅς,pronoun,ti,τις,pronoun,ken,ἄν,particle,e)p',ἐπί,preposition,a)kairi/man,ἀκαίριμος,adjective,glw=ssan,γλῶσσα,noun,e)/pos,ἔπος,adjective,e)/lqh|,ἔρχομαι,verb,le/gein,λέγω,verb,mhd',μηδέ,particle,ei)kh=|,εἰκῇ,adverb,sunqh/sein,συνθέω,verb,ta\,ὁ,article,prostuxo/nta,προστυγχάνω,verb,a)llh/lois,ἀλλήλων,pronoun,a)ll',ἀλλά,adverb,e)klogh=|,ἐκλογέω,verb,te,τε,particle,xrh/sesqai,χράω,verb,kaqarw=n,καθαρός,adjective,a(/ma,ἅμα,adverb,kai\,καί,conjunction,gennai/wn,γενναῖος,adjective,o)noma/twn,ὄνομα,adjective,kai\,καί,conjunction,sunqe/sei,σύνθεσις,noun,tau=ta,οὗτος,pronoun,kosmh/sein,κοσμέω,verb,memigme/non,μίγνυμι,verb,e)xou/sh|,ἔχω,verb,tw=|,ὁ,article,semnw=|,σεμνόν,noun,to\,ὁ,article,h(du/,ἡδύς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)s,εἰς,preposition,dh\,δή,particle,tou=to,οὗτος,pronoun,to\,ὁ,article,me/ros,μέρος,noun,o(\,ὅς,pronoun,dei=,δέομαι,verb,prw=ton,πρότερος,adjective,ne/ois,νέος,adjective,a)skei=sqai,ἀσκέω,verb,sumba/llomai/,συμβάλλω,verb,soi,σύ,pronoun,me/los,μέλος,noun,ei)s,εἰς,preposition,e)/rwta,ἔρως,noun,th\n,ὁ,article,peri\,περί,preposition,th=s,ὁ,article,sunqe/sews,σύνθεσις,noun,tw=n,ὁ,article,o)noma/twn,ὄνομα,adjective,pragmatei/an,πραγματεία,noun,o)li/gois,ὀλίγος,adjective,me\n,μέν,particle,e)pi\,ἐπί,preposition,nou=n,νόος,adjective,e)lqou=san,ἔρχομαι,verb,o(/soi,ὅσος,adjective,tw=n,ὁ,article,a)rxai/wn,ἀρχαῖος,adjective,r(htorika\s,ῥητορικός,adjective,h)\,ἠέ,conjunction,dialektika\s,διαλεκτικός,adjective,sune/grayan,συγγράφω,verb,te/xnas,τέχνη,noun,ou)deni\,οὐδείς,pronoun,d',δέ,particle,a)kribw=s,ἀκριβῶς,adverb,ou)d',οὐδέ,particle,a)poxrw/ntws,ἀποχρώντως,adverb,me/xri,μέχρι,preposition,tou=,ὁ,article,paro/ntos,πάρειμι,verb,e)ceirgasme/nhn,ἐξεργάζομαι,verb,w(s,ὡς,conjunction,e)gw\,ἐγώ,pronoun,pei/qomai,πείθω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)a\n,ἐάν,conjunction,d',δέ,particle,e)gge/nhtai/,ἐγγίγνομαι,verb,moi,ἐγώ,pronoun,sxolh/,σχολή,noun,kai\,καί,conjunction,peri\,περί,preposition,th=s,ὁ,article,e)klogh=s,ἐκλογεύς,noun,tw=n,ὁ,article,o)noma/twn,ὄνομα,adjective,e(te/ran,ἕτερος,adjective,e)coi/sw,ἐκφέρω,verb,soi,σύ,pronoun,grafh/n,γραφή,noun,i(/na,ἵνα,conjunction,to\n,ὁ,article,lektiko\n,λεκτικός,adjective,to/pon,τόπος,noun,telei/ws,τέλειος,adjective,e)ceirgasme/non,ἐξεργάζομαι,verb,e)/xh|s,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
