word/0/@_form,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/0/lemma/@_entry,word/0/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/122/lemma/@_entry,word/122/lemma/@_POS,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS,word/124/@_form,word/124/lemma/@_entry,word/124/lemma/@_POS,word/125/@_form,word/125/lemma/@_entry,word/125/lemma/@_POS,word/126/@_form,word/126/lemma/@_entry,word/126/lemma/@_POS,word/127/@_form,word/127/lemma/@_entry,word/127/lemma/@_POS,word/128/@_form,word/128/lemma/@_entry,word/128/lemma/@_POS,word/129/@_form,word/129/lemma/@_entry,word/129/lemma/@_POS,word/130/@_form,word/130/lemma/@_entry,word/130/lemma/@_POS,word/131/@_form,word/131/lemma/@_entry,word/131/lemma/@_POS,word/132/@_form,word/132/lemma/@_entry,word/132/lemma/@_POS,word/133/@_form,word/133/lemma/@_entry,word/133/lemma/@_POS,word/134/@_form,word/134/lemma/@_entry,word/134/lemma/@_POS
gap,dikanikoi=s,δικανικός,adjective,me\n,μέν,particle,ou)=n,οὖν,particle,ou),οὐ,adverb,perie/tuxon,περιτυγχάνω,verb,au)tou=,αὐτός,pronoun,lo/gois,λόγος,noun,dhmhgorikoi=s,δημηγορικός,adjective,de\,δέ,particle,o)li/gois,ὀλίγος,adjective,kai/,καί,conjunction,tisi,τις,pronoun,kai\,καί,conjunction,te/xnais,τέχνη,noun,toi=s,ὁ,article,de\,δέ,particle,plei/osin,πλείων,verb,e)pideiktikoi=s,ἐπιδεικτικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th=s,de\,δέ,particle,i)de/as,ἰδέα,noun,au)tou=,αὐτός,pronoun,tw=n,ὁ,article,lo/gwn,λόγος,noun,toiou=tos,τοιοῦτος,adjective,o(,ὁ,article,xarakth/r,χαρακτήρ,noun,e)gkwmia/zei,ἐγκωμιάζω,verb,de\,δέ,particle,tou\s,ὁ,article,e)n,ἐν,preposition,pole/mois,πόλεμος,noun,a)risteu/santas,ἀριστεύω,verb,*)aqhnai/wn,Ἀθήναια,proper,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,ga\r,γάρ,particle,a)ph=n,ἄπειμι,verb,toi=s,ὁ,article,a)ndra/si,ἀνήρ,noun,tou/tois,οὗτος,pronoun,w(=n,ὅς,pronoun,dei=,δέομαι,verb,a)ndra/si,ἀνήρ,noun,prosei=nai,πρόσειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,τίς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,de\,δέ,particle,prosh=n,πρόσειμι,verb,w(=n,ὅς,pronoun,dei=,δέομαι,verb,a)pei=nai,ἄπειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τίς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)pei=n,dunai/mhn,δύναμαι,verb,a(\,ὅς,pronoun,bou/lomai,βούλομαι,verb,bouloi/mhn,βούλομαι,verb,de/,δέ,particle,a(\,ὅς,pronoun,dei=,δέομαι,verb,laqw\n,λανθάνω,verb,me\n,μέν,particle,th\n,ὁ,article,qei/an,θεῖος,adjective,ne/mesin,νέμεσις,noun,fugw\n,φεύγω,verb,de\,δέ,particle,to\n,ὁ,article,a)nqrw/pinon,ἀνθρώπινος,adjective,fqo/non,φθόνος,noun,,,,εἶπον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=toi,ga\r,γάρ,particle,e)ke/kthnto,κτάομαι,verb,e)/nqeon,ἔνθεος,adjective,me\n,μέν,particle,th\n,ὁ,article,a)reth/n,ἀρετή,noun,a)nqrw/pinon,ἀνθρώπινος,adjective,de\,δέ,particle,to\,ὁ,article,qnhto/n,θνητός,adjective,polla\,πολύς,adjective,me\n,μέν,particle,dh\,δή,particle,to\,ὁ,article,paro\n,πάρειμι,verb,e)pieike\s,ἐπιεικής,adjective,tou=,ὁ,article,au)qa/dous,αὐθάδης,adverb,οὗτος,pronoun,dikai/ou,δίκαιος,adjective,prokri/nontes,προκρίνω,verb,polla\,πολύς,adjective,de\,δέ,particle,no/mou,νόμος,noun,a)kribei/as,ἀκρίβεια,noun,lo/gwn,λόγος,noun,o)rqo/thta,ὀρθότης,noun,tou=ton,οὗτος,pronoun,nomi/zontes,νομίζω,verb,qeio/taton,θεῖος,adjective,kai\,καί,conjunction,koino/taton,κοινός,adjective,no/mwn,νόμος,noun,to\,ὁ,article,de/on,δέον,adjective,e)n,ἐν,preposition,tw=|,ὁ,article,de/onti,δέω,verb,kai\,καί,conjunction,le/gein,λέγω,verb,kai\,καί,conjunction,siga=n,σιγάω,verb,kai\,καί,conjunction,poiei=n,ποιέω,verb,kai\,καί,conjunction,dissa\,δισσός,adjective,a)skh/santes,ἀσκέω,verb,ma/lista,μάλιστα,adverb,w(=n,ὅς,pronoun,dei=,δέομαι,verb,gnw/mhn,γνώμη,noun,kai\,καί,conjunction,r(w/mhn,ῥώμη,noun,th\n,ὁ,article,me\n,μέν,particle,bouleu/ontes,βουλεύω,verb,th\n,ὁ,article,d',δέ,particle,a)potelou=ntes,ἀποτελέω,verb,qera/pontes,θεράπων,noun,me\n,μέν,particle,tw=n,ὁ,article,a)di/kws,ἄδικος,adjective,dustuxou/ntwn,δυστυχέω,verb,kolastai\,κολαστής,noun,de\,δέ,particle,tw=n,ὁ,article,a)di/kws,ἄδικος,adjective,eu)tuxou/ntwn,εὐτυχέω,verb,au)qa/deis,αὐθάδης,adverb,pro\s,πρός,preposition,to\,ὁ,article,sumfe/ron,συμφέρω,verb,eu)o/rghtoi,εὐόργητος,adjective,pro\s,πρός,preposition,to\,ὁ,article,pre/pon,πρέπω,verb,tw=|,ὁ,article,froni/mw|,φρόνιμος,adjective,th=s,ὁ,article,gnw/mhs,γνώμη,noun,pau/ontes,παύω,verb,to\,ὁ,article,a)/fron,ἄφρων,adjective,u(bristai\,ὑβριστής,noun,ei)s,εἰς,preposition,tou\s,ὁ,article,u(bri/zontas,ὑβρίζω,verb,ko/smioi,κόσμιος,adjective,ei)s,εἰς,preposition,tou\s,ὁ,article,kosmi/ous,κόσμιος,adjective,a)/foboi,ἄφοβος,adjective,ei)s,εἰς,preposition,tou\s,ὁ,article,a)fo/bous,ἄφοβος,adjective,deinoi\,δεινός,adjective,e)n,ἐν,preposition,toi=s,ὁ,article,deinoi=s,δεινός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
martu/ria,de\,δέ,particle,tou/twn,οὗτος,pronoun,tro/paia,τρόπαιον,noun,e)sth/santo,ἵστημι,verb,tw=n,ὁ,article,polemi/wn,πολέμιος,adjective,*dio\s,Ζεύς,proper,me\n,μέν,particle,a)ga/lmata,ἄγαλμα,noun,tou/twn,οὗτος,pronoun,de\,δέ,particle,a)naqh/mata,ἀνάθημα,noun,ou)k,οὐ,adverb,a)/peiroi,ἄπειρος,adjective,ou)/te,οὔτε,adverb,e)mfu/tou,ἔμφυτος,adjective,*)/arews,Ἄρης,proper,ou)/te,οὔτε,adverb,μαρτύριον,adjective,nomi/mwn,νόμιμος,adjective,e)rw/twn,ἔρως,noun,ou)/te,οὔτε,adverb,e)nopli/ou,ἐνόπλιος,adjective,e)/ridos,ἔρις,noun,ou)/te,οὔτε,adverb,filoka/lou,φιλόκαλος,adjective,ei)rh/nhs,εἰρήνη,noun,semnoi\,σεμνός,adjective,me\n,μέν,particle,pro\s,πρός,preposition,tou\s,ὁ,article,qeou\s,θεός,noun,tw=|,ὁ,article,dikai/w|,δίκαιος,adjective,o(/sioi,ὅσιος,adjective,de\,δέ,particle,pro\s,πρός,preposition,tou\s,ὁ,article,toke/as,τοκεύς,noun,th=|,ὁ,article,qerapei/a|,θεραπεία,noun,di/kaioi,δίκαιος,adjective,de\,δέ,particle,pro\s,πρός,preposition,tou\s,ὁ,article,a)stou\s,ἀστός,noun,tw=|,ὁ,article,i)/sw|,ἴσος,adjective,eu)sebei=s,εὐσεβής,adjective,de\,δέ,particle,pro\s,πρός,preposition,tou\s,ὁ,article,fi/lous,φῖλος,noun,th=|,ὁ,article,pi/stei,πίστις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toigarou=n,au)tw=n,αὐτός,pronoun,a)poqano/ntwn,ἀποθνήσκω,verb,o(,ὁ,article,po/qos,πόθος,noun,ou),οὐ,adverb,sunape/qanen,συναποθνήσκω,verb,a)ll',ἀλλά,adverb,a)qa/natos,ἀθάνατος,adjective,e)n,ἐν,preposition,ou)k,οὐ,adverb,a)qana/tois,ἀθάνατος,adjective,sw/masi,σῶμα,adjective,zh=|,ζάω,verb,ou),οὐ,adverb,zw/ntwn,ζάω,verb,,,,,,,,,,τοιγάρ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)stasi/aze/,te,τε,particle,ou)=n,οὖν,particle,ta\,ὁ,article,tw=n,ὁ,article,po/lewn,πόλις,adjective,kai\,καί,conjunction,ta\,ὁ,article,a)fusteri/zonta/,ἀφυστερίζω,verb,pou,πού,adverb,pu/stei,πύστις,noun,tw=n,ὁ,article,progenome/nwn,προγίγνομαι,verb,polu\,πολύς,adjective,e)pe/fere,ἐπιφέρω,verb,th\n,ὁ,article,u(perbolh\n,ὑπερβολή,noun,e)s,εἰς,preposition,to\,ὁ,article,στασιάζω,verb,kainou=sqai,καινόω,verb,ta\s,ὁ,article,dianoi/as,διάνοια,noun,tw=n,ὁ,article,t',τε,particle,e)pixeirh/sewn,ἐπιχείρησις,noun,peritexnh/sei,περιτεχνάομαι,verb,kai\,καί,conjunction,tw=n,ὁ,article,timwriw=n,τιμωρία,noun,a)topi/a|,ἀτοπία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,th\n,ὁ,article,ei)wqui=an,ἔθω,verb,a)ci/wsin,ἀξίωσις,noun,tw=n,ὁ,article,o)noma/twn,ὄνομα,adjective,e)s,εἰς,preposition,ta\,ὁ,article,e)/rga,ἔργον,noun,a)nth/llacan,ἀνταλλάσσω,verb,th=|,ὁ,article,dikaiw/sei,δικαιόω,verb,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
