word/0/@_form,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/0/lemma/@_entry,word/0/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/122/lemma/@_entry,word/122/lemma/@_POS,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS
*)isai=os,de\,δέ,particle,o(,ὁ,article,*dhmosqe/nous,Δημοσθένης,proper,kaqhghsa/menos,καθηγέομαι,verb,kai\,καί,conjunction,dia\,διά,preposition,tou=to,οὗτος,pronoun,ma/lista,μάλιστα,adverb,geno/menos,γίγνομαι,verb,perifanh/s,περιφανής,adverb,w(s,ὡς,conjunction,me/n,μέν,particle,tines,τις,pronoun,i(storou=sin,ἱστορέω,verb,*)aqhnai=os,Ἀθηναῖος,proper,h)=n,εἰμί,verb,to\,ὁ,article,ge/nos,γένος,noun,w(s,ὡς,conjunction,d',δέ,particle,e(/teroi,ἕτερος,adjective,gra/fousi,γράφω,verb,*xalkideu/s,Χαλκιδεύς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)/kmase,de\,δέ,particle,meta\,μετά,preposition,to\n,ὁ,article,*peloponnhsiako\n,Πελοποννησιακός,adjective,po/lemon,πόλεμος,noun,w(s,ὡς,conjunction,e)k,ἐκ,preposition,lo/gwn,λόγος,noun,au)tou=,αὐτός,pronoun,tekmai/romai,τεκμαίρομαι,verb,kai\,καί,conjunction,me/xri,μέχρι,preposition,th=s,ὁ,article,*fili/ppou,Φίλιππος,proper,dunastei/as,δυναστεία,noun,parece/teine,παρεκτείνω,verb,,,,,,,,,,,,,,,,,,,,,,ἀκμάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gene/sews,de\,δέ,particle,kai\,καί,conjunction,teleuth=s,τελευτή,noun,tou=,ὁ,article,r(h/toros,ῥήτωρ,noun,a)kribh=,ἀκριβής,adjective,xro/non,χρόνος,noun,ei)pei=n,εἶπον,verb,ou)k,οὐ,adverb,e)/xw,ἔχω,verb,ou)de\,οὐδέ,particle,dh\,δή,particle,peri\,περί,preposition,tou=,ὁ,article,bi/ou,βίος,adjective,ta)ndro/s,ἀνήρ,noun,oi(=o/s,οἷος,adjective,tis,τις,pronoun,h)=n,εἰμί,verb,ou)de\,οὐδέ,particle,peri\,περί,preposition,th=s,ὁ,article,proaire/sews,προαίρεσις,noun,γένεσις,noun,tw=n,ὁ,article,politeuma/twn,πολίτευμα,noun,ou)de/n,οὐδείς,pronoun,a)rxh\n,ἀρχή,noun,ei),εἰ,conjunction,proei/leto/,προαιρέω,verb,tina,τις,pronoun,h)\,ἠέ,conjunction,politei/an,πολιτεία,noun,ou)d',οὐδέ,particle,o(/lws,ὅλος,adjective,peri\,περί,preposition,tw=n,ὁ,article,toiou/twn,τοιοῦτος,adjective,ou)deno\s,οὐδείς,pronoun,dia\,διά,preposition,to\,ὁ,article,mhdemia=|,μηδείς,pronoun,toiau/th|,τοιοῦτος,adjective,peritugxa/nein,περιτυγχάνω,verb,i(stori/a|,ἱστορία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)de\,ga\r,γάρ,particle,o(,ὁ,article,tou\s,ὁ,article,*)isokra/tous,Ἰσοκράτης,proper,maqhta\s,μαθητής,noun,a)nagra/yas,ἀναγράφω,verb,*(/ermippos,Ἕρμιππος,proper,a)kribh\s,ἀκριβής,adjective,e)n,ἐν,preposition,toi=s,ὁ,article,a)/llois,ἄλλος,adjective,geno/menos,γίγνομαι,verb,u(pe\r,ὑπέρ,preposition,tou=de,ὅδε,pronoun,tou=,ὁ,article,r(h/toros,ῥήτωρ,noun,ou)de\n,οὐδείς,pronoun,ei)/rhken,ἐρῶ,verb,e)/cw,ἔξω,adverb,duei=n,δυάω,verb,tou/twn,οὗτος,pronoun,o(/ti,ὅστις,pronoun,dih/kouse,διακούω,verb,οὐδέ,particle,me\n,μέν,particle,*)isokra/tous,Ἰσοκράτης,proper,kaqhgh/sato,καθηγέομαι,verb,de\,δέ,particle,*dhmosqe/nous,Δημοσθένης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lei/petai,dh\,δή,particle,peri\,περί,preposition,th=s,ὁ,article,proaire/sews,προαίρεσις,noun,kai\,καί,conjunction,duna/mews,δύναμις,adjective,au)tou=,αὐτός,pronoun,kai\,καί,conjunction,ti/ni,τίς,pronoun,ke/xrhtai,χράω,verb,xarakth=ri,χαρακτήρ,noun,le/gein,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,λείπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ge/nous,me\n,μέν,particle,dh\,δή,particle,lo/gwn,λόγος,noun,e(no\s,εἷς,adjective,a)skhth\s,ἀσκητής,noun,e)ge/neto,γίγνομαι,verb,tou=,ὁ,article,dikanikou=,δικανικός,adjective,kai\,καί,conjunction,peri\,περί,preposition,tou=to,οὗτος,pronoun,ma/lista,μάλιστα,adverb,e)spou/dase,σπουδάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,γένος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xarakth=ra,de\,δέ,particle,to\n,ὁ,article,*lusi/ou,Λυσίας,proper,kata\,κατά,preposition,to\,ὁ,article,plei=ston,πλεῖστος,adjective,e)zh/lwse,ζηλόω,verb,kai\,καί,conjunction,ei),εἰ,conjunction,mh/,μή,conjunction,tis,τις,pronoun,e)/mpeiros,ἔμπειρος,adjective,pa/nu,πάνυ,adverb,tw=n,ὁ,article,a)ndrw=n,ἀνήρ,noun,ei)/h,ἀίω,verb,kai\,καί,conjunction,triba\s,τριβάς,noun,a)ciolo/gous,ἀξιόλογος,adjective,a)mfoi=n,ἄμφω,noun,e)/xwn,ἔχω,verb,ou)k,οὐ,adverb,a)\n,ἄν,particle,χαρακτήρ,noun,diagnoi/h,διαγιγνώσκω,verb,r(a|di/ws,ῥᾴδιος,adjective,pollou\s,πολύς,adjective,tw=n,ὁ,article,lo/gwn,λόγος,noun,o(pote/rou,ὁπότερος,adjective,tw=n,ὁ,article,r(hto/rwn,ῥήτωρ,noun,ei)si/n,εἰμί,verb,a)lla\,ἀλλά,adverb,parakrou/setai,παρακρούω,verb,tai=s,ὁ,article,e)pigrafai=s,ἐπιγραφή,noun,ou)x,οὐ,adverb,ou(/tws,οὕτως,adverb,a)kribw=s,ἀκριβῶς,adverb,e)xou/sais,ἔχω,verb,w(s,ὡς,conjunction,dia\,διά,preposition,mia=s,εἷς,adjective,dhlou=tai/,δηλόω,verb,moi,ἐγώ,pronoun,grafh=s,γραφεύς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),mh\n,μήν,particle,a)para/llakto/s,ἀπαράλλακτος,adjective,ge/,γε,particle,e)stin,εἰμί,verb,h(,ὁ,article,tou=,ὁ,article,xarakth=ros,χαρακτήρ,noun,o(moio/ths,ὁμοιότης,noun,a)lla\,ἀλλά,adverb,e)/xousa,ἔχω,verb,diafora/s,διαφορά,noun,tinas,τις,pronoun,ou),οὐ,adverb,mikra\s,μικρός,adjective,ou)de\,οὐδέ,particle,o)li/gas,ὀλίγος,adjective,kai\,καί,conjunction,kata\,κατά,preposition,th\n,ὁ,article,e(rmhnei/an,ἑρμηνεία,noun,kai\,καί,conjunction,kata\,κατά,preposition,ta\,ὁ,article,οὐ,adverb,pra/gmata,πρᾶγμα,noun,peri\,περί,preposition,w(=n,ὅς,pronoun,kairo\s,καιρός,noun,a)\n,ἄν,particle,ei)/h,ἀίω,verb,le/gein,λέγω,verb,w(s,ὡς,conjunction,h(mei=s,ἐγώ,pronoun,u(peilh/famen,ὑπολαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)peidh\,de\,δέ,particle,kata\,κατά,preposition,th\n,ὁ,article,le/cin,λέξις,noun,ma=llon,μᾶλλον,adverb,e)/oike,ἔοικα,verb,tw=|,ὁ,article,*lusi/a|,Λυσίας,proper,th\n,ὁ,article,a)rxh\n,ἀρχή,noun,a)po\,ἀπό,preposition,tau/ths,οὗτος,pronoun,poihsa/menos,ποιέω,verb,ta\s,ὁ,article,o(moio/thta/s,ὁμοιότης,noun,te,τε,particle,kai\,καί,conjunction,ta\s,ὁ,article,diafora/s,διαφορά,noun,a(\s,ὅς,pronoun,e)/xei,ἔχω,verb,pro\s,πρός,preposition,e)kei/nhn,ἐκεῖνος,pronoun,ἐπεί,conjunction,e)rw=,ἐράομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaqara\,me\n,μέν,particle,kai\,καί,conjunction,a)kribh\s,ἀκριβής,adjective,kai\,καί,conjunction,safh\s,σαφής,adverb,kuri/a,κυρία,noun,te,τε,particle,kai\,καί,conjunction,e)nargh\s,ἐναργής,adverb,kai\,καί,conjunction,su/ntomos,σύντομος,adjective,pro\s,πρός,preposition,de\,δέ,particle,tou/tois,οὗτος,pronoun,piqanh/,πιθανός,adjective,te,τε,particle,kai\,καί,conjunction,pre/pousa,πρέπω,verb,toi=s,ὁ,article,u(pokeime/nois,ὑπόκειμαι,verb,stroggu/lh,στρογγύλος,adjective,te,τε,particle,kai\,καί,conjunction,καθαρός,adjective,dikanikh\,δικανικός,adjective,ou)x,οὐ,adverb,h(=tto/n,ἥσσων,adverb,e)stin,εἰμί,verb,h(,ὁ,article,*)isai/ou,Ἰσαῖος,proper,le/cis,λέξις,noun,th=s,ὁ,article,*lusi/ou,Λυσίας,proper,kai\,καί,conjunction,kata\,κατά,preposition,me\n,μέν,particle,tau=ta,οὗτος,pronoun,ou)k,οὐ,adverb,a)/n,ἄν,particle,tis,τις,pronoun,au)th\n,αὐτός,pronoun,diagnoi/h,διαγιγνώσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
