word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/63/@_form,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/lemma/@_entry,word/63/lemma/@_POS
e)gw\,ἐγώ,pronoun,me/n,μέν,particle,u(pela/mbanon,ὑπολαμβάνω,verb,a)rkou/ntws,ἀρκεόντως,adverb,dedhlwke/nai,δηλόω,verb,to\n,ὁ,article,*qoukudi/dou,Θουκυδίδης,proper,xarakth=ra,χαρακτήρ,noun,ta\,ὁ,article,me/gista,μέγας,adverb,kai\,καί,conjunction,kuriw/tata,κύριος,adjective,tw=n,ὁ,article,u(parxo/ntwn,ὑπάρχω,verb,peri\,περί,preposition,au)to\n,αὐτός,pronoun,i)diwma/twn,ἰδίωμα,adjective,e)pecelqw/n,ἐπεξέρχομαι,verb,e)n,ἐν,preposition,oi(=s,ὅς,pronoun,ge,γε,particle,dh\,δή,particle,ma/lista,μάλιστα,adverb,diafe/rein,διαφέρω,verb,e)/doce/n,δοκέω,verb,moi,ἐγώ,pronoun,tw=n,ὁ,article,pro\,πρό,preposition,au)tou=,αὐτός,pronoun,r(hto/rwn,ῥήτωρ,noun,te,τε,particle,kai\,καί,conjunction,suggrafe/wn,συγγραφεύς,noun,pro/teron,πρότερος,adjective,me\n,μέν,particle,e)n,ἐν,preposition,toi=s,ὁ,article,peri\,περί,preposition,tw=n,ὁ,article,a)rxai/wn,ἀρχαῖος,adjective,r(hto/rwn,ῥήτωρ,noun,pro\s,πρός,preposition,to\,ὁ,article,so\n,σός,adjective,o)/noma,ὄνομα,adjective,suntaxqei=sin,συντάσσω,verb,u(pomnhmatismoi=s,ὑπομνηματισμός,noun,o)li/gois,ὀλίγος,adjective,de\,δέ,particle,dh\,δή,particle,pro/sqen,πρόσθεν,adverb,xro/nois,χρόνος,noun,e)n,ἐν,preposition,th=|,ὁ,article,peri\,περί,preposition,au)tou=,αὐτός,pronoun,tou=,ὁ,article,*qoukudi/dou,Θουκυδίδης,proper,kataskeuasqei/sh|,κατασκευάζω,verb,grafh=|,γραφεύς,noun,proseipw\n,προσεῖπον,verb,to\n,ὁ,article,*ai)/lion,*toube/rwna,e)n,ἐν,preposition,h(=|,ὅς,pronoun,pa/nta,πᾶς,adjective,ta\,ὁ,article,deo/mena,δέομαι,verb,lo/gou,λόγος,noun,meta\,μετά,preposition,tw=n,ὁ,article,oi)kei/wn,οἰκεῖος,adjective,a)podei/cewn,ἀπόδειξις,noun,diecelh/luqa,διεξέρχομαι,verb,kata\,κατά,preposition,th\n,ὁ,article,e)mautou=,ἐμαυτοῦ,pronoun,du/namin,δύναμις,adjective,,,,
sou=,σύ,pronoun,de\,δέ,particle,u(polamba/nontos,ὑπολαμβάνω,verb,h(=tton,ἥσσων,adverb,h)kribw=sqai,ἀκριβόω,verb,ta\s,ὁ,article,grafa/s,γραφή,noun,e)peidh\,ἐπεί,conjunction,proekqe/menos,προεκτίθεμαι,verb,a(/panta,ἅπας,adjective,ta\,ὁ,article,sumbebhko/ta,συμβαίνω,verb,tw=|,ὁ,article,xarakth=ri,χαρακτήρ,noun,to/te,τότε,adverb,ta\s,ὁ,article,peri\,περί,preposition,au)tw=n,αὐτός,pronoun,pi/steis,πίστις,noun,pare/xomai,παρέχω,verb,a)kribeste/ran,ἀκριβής,adjective,de\,δέ,particle,th\n,ὁ,article,dh/lwsin,δήλωσις,noun,tw=n,ὁ,article,i)diwma/twn,ἰδίωμα,adjective,tou=,ὁ,article,xarakth=ros,χαρακτήρ,noun,e)/sesqai,εἰμί,verb,nomi/zontos,νομίζω,verb,ei),εἰ,conjunction,para\,παρά,preposition,mi/an,εἷς,adjective,e(ka/sthn,ἕκαστος,adjective,tw=n,ὁ,article,proqe/sewn,πρόθεσις,noun,ta\s,ὁ,article,le/ceis,λέγω,verb,tou=,ὁ,article,suggrafe/ws,συγγραφεύς,noun,paratiqei/hn,παρατίθημι,verb,o(\,ὅς,pronoun,oi(,ἕ,pronoun,ta\s,ὁ,article,te/xnas,τέχνη,noun,kai\,καί,conjunction,ta\s,ὁ,article,ei)sagwga\s,εἰσαγωγή,noun,tw=n,ὁ,article,lo/gwn,λόγος,noun,pragmateuo/menoi,πραγματεύομαι,verb,poiou=sin,ποιέω,verb,proelo/menos,προαιρέω,verb,ei)s,εἰς,preposition,mhde\n,μηδείς,pronoun,e)llei/pein,ἐλλείπω,verb,kai\,καί,conjunction,tou=to,οὗτος,pronoun,pepoi/hka,ποιέω,verb,to\,ὁ,article,didaskaliko\n,διδασκαλικός,adjective,sxh=ma,σχῆμα,noun,labw\n,a)nti\,tou=,ὁ,article,a)podeiktikou=,ἀποδεικτικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,λαμβάνω,verb,ἀντί,preposition
i(/na,ἵνα,conjunction,de\,δέ,particle,eu)parakolou/qhtos,εὐπαρακολούθητος,adjective,o(,ὁ,article,lo/gos,λόγος,noun,soi,σύ,pronoun,ge/nhtai,γίγνομαι,verb,proqei\s,προτίθημι,verb,kata\,κατά,preposition,le/cin,λέξις,noun,o(/sa,ὅσος,adjective,peri\,περί,preposition,tou=,ὁ,article,suggrafe/ws,συγγραφεύς,noun,tugxa/nw,τυγχάνω,verb,proeirhkw/s,προερέω,verb,e)pitroxa/dhn,ἐπιτροχάδη,adverb,a)nalh/yomai,ἀναλαμβάνω,verb,tw=n,ὁ,article,proqe/sewn,πρόθεσις,noun,e(ka/sthn,ἕκαστος,adjective,kai\,καί,conjunction,ta\s,ὁ,article,a)podei/ceis,ἀπόδειξις,noun,pare/comai,παρέχω,verb,kaqa/per,καθά,adverb,h)ci/ous,ἀξιόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(/petai,ἕπομαι,verb,de\,δέ,particle,toi=s,ὁ,article,peri\,περί,preposition,*(hrodo/tou,Ἡρόδοτος,proper,grafei=sin,γράφος,adjective,ta\,ὁ,article,me/llonta,μέλλω,verb,dhlou=sqai,δηλόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou/tw|,οὗτος,pronoun,ga\r,γάρ,particle,*qoukudi/dhs,Θουκυδίδης,proper,tw=|,ὁ,article,a)ndri\,ἀνδρίς,noun,e)pibalw\n,ἐπιβάλλω,verb,kai\,καί,conjunction,toi=s,ὁ,article,a)/llois,ἄλλος,adjective,w(=n,ὅς,pronoun,pro/teron,πρότερος,adjective,e)mnh/sqhn,μιμνήσκω,verb,kai\,καί,conjunction,sunidw/n,σύνεῖδον,verb,a(\s,ὅς,pronoun,e(/kastos,ἕκαστος,adjective,au)tw=n,αὐτός,pronoun,e)/sxen,ἔχω,verb,a)reta/s,ἀρετή,noun,i)/dio/n,ἴδιος,adjective,ti,τις,pronoun,ge/nos,γένος,noun,xarakth=ros,χαρακτήρ,noun,ou)/te,οὔτε,adverb,pezo\n,πεζός,adjective,au)totelw=s,αὐτοτελής,adverb,ou)/t',οὔτε,adverb,e)/mmetron,ἔμμετρος,adjective,a)phrtisme/nws,ἀπαρτίζω,verb,koino\n,κοινός,adjective,de/,δέ,particle,ti,τις,pronoun,kai\,καί,conjunction,mikto\n,μικτός,adjective,e)c,ἐκ,preposition,a)mfoi=n,ἄμφω,noun,e)rgasa/menos,ἐργάζομαι,verb,ei)s,εἰς,preposition,th\n,ὁ,article,i(storikh\n,ἱστορικός,adjective,pragmatei/an,πραγματεία,noun,e)spou/dasen,σπουδάζω,verb,ei)sagagei=n,εἰσάγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pi\,ἐπί,preposition,me\n,μέν,particle,th=s,ὁ,article,e)klogh=s,ἐκλογεύς,noun,tw=n,ὁ,article,o)noma/twn,ὄνομα,adjective,th\n,ὁ,article,tropikh\n,τροπικός,adjective,kai\,καί,conjunction,glwtthmatikh\n,γλωσσηματικός,adjective,kai\,καί,conjunction,a)phrxaiwme/nhn,ἀπαρχαιόομαι,verb,kai\,καί,conjunction,ce/nhn,ξένος,noun,le/cin,λέξις,noun,paralamba/nwn,παραλαμβάνω,verb,polla/kis,πολλάκις,adverb,a)nti\,ἀντί,preposition,th=s,ὁ,article,koinh=s,κοινός,adjective,kai\,καί,conjunction,sunh/qous,συνήθης,adverb,toi=s,ὁ,article,kaq',κατά,preposition,e(auto\n,ἑαυτοῦ,pronoun,a)nqrw/pois,ἄνθρωπος,noun,e)pi\,ἐπί,preposition,de\,δέ,particle,tw=n,ὁ,article,sxhmatismw=n,σχηματισμός,noun,e)n,ἐν,preposition,oi(=s,ὅς,pronoun,ma/lista,μάλιστα,adverb,e)boulh/qh,βούλομαι,verb,dienegkei=n,διαφέρω,verb,tw=n,ὁ,article,pro\,πρό,preposition,au(tou=,ἑαυτοῦ,pronoun,plei/sthn,πλεῖστος,adjective,ei)senegka/menos,εἰσφέρω,verb,pragmatei/an,πραγματεία,noun,tote\,τοτέ,adverb,me\n,μέν,particle,lo/gon,λόγος,noun,e)c,ἐκ,preposition,o)no/matos,ὄνομα,adjective,poiw=n,ποιέω,verb,tote\,τοτέ,adverb,de\,δέ,particle,ei)s,εἰς,preposition,o)/noma,ὄνομα,adjective,suna/gwn,συνάγω,verb,to\n,ὁ,article,lo/gon,λόγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,nu=n,νῦν,adverb,me\n,μέν,particle,to\,ὁ,article,r(hmatiko\n,ῥηματικός,adjective,o)nomatikw=s,ὀνοματικός,adjective,e)kfe/rwn,ἐκφέρω,verb,au)=qis,αὖθις,adverb,de\,δέ,particle,tou)/noma,ὄνομα,adjective,r(h=ma,ῥῆμα,noun,poiw=n,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,au)tw=n,αὐτός,pronoun,ge,γε,particle,tou/twn,οὗτος,pronoun,a)nastre/fwn,ἀναστρέφω,verb,ta\s,ὁ,article,xrh/seis,χρῆσις,noun,i(/na,ἵνα,conjunction,to\,ὁ,article,me\n,μέν,particle,o)nomatiko\n,ὀνοματικός,adjective,proshgoriko\n,προσηγορικός,adjective,ge/nhtai,γίγνομαι,verb,to\,ὁ,article,de\,δέ,particle,proshgoriko\n,προσηγορικός,adjective,o)nomatikw=s,ὀνοματικός,adjective,le/ghtai,λέγω,verb,kai\,καί,conjunction,ta\,ὁ,article,me\n,μέν,particle,paqhtika\,παθητικός,adjective,r(h/mata,ῥῆμα,noun,drasth/ria,δραστήριος,adjective,ta\,ὁ,article,de\,δέ,particle,drasth/ria,δραστήριος,adjective,paqhtika/,παθητικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plhquntikw=n,πληθυντικός,adjective,de\,δέ,particle,kai\,καί,conjunction,e(nikw=n,ἑνικός,adjective,a)lla/ttwn,ἀλλάσσω,verb,ta\s,ὁ,article,fu/seis,φύσις,noun,kai\,καί,conjunction,a)ntikathgorw=n,ἀντικατηγορέω,verb,tau=ta,οὗτος,pronoun,a)llh/lwn,ἀλλήλων,pronoun,qhluka/,θηλυκός,adjective,t',τε,particle,a)rrenikoi=s,ἀρρενικός,adjective,kai\,καί,conjunction,a)rrenika\,ἀρρενικός,adjective,qhlukoi=s,θηλυκός,adjective,kai\,καί,conjunction,ou)de/tera,οὐδέτερος,adjective,tou/twn,οὗτος,pronoun,tisi\n,τις,pronoun,suna/ptwn,συνάπτω,verb,e)c,ἐκ,preposition,w(=n,ὅς,pronoun,h(,ὁ,article,kata\,κατά,preposition,fu/sin,φύσις,noun,a)kolouqi/a,ἀκολουθία,noun,plana=tai,πλανάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\s,ὁ,article,de\,δέ,particle,tw=n,ὁ,article,o)nomatikw=n,ὀνοματικός,adjective,h)\,ἠέ,conjunction,metoxikw=n,μετοχικός,adjective,ptw/seis,πτῶσις,noun,tote\,τοτέ,adverb,me\n,μέν,particle,pro\s,πρός,preposition,to\,ὁ,article,shmaino/menon,σημαίνω,verb,a)po\,ἀπό,preposition,tou=,ὁ,article,shmai/nontos,σημαίνω,verb,a)postre/fwn,ἀποστρέφω,verb,tote\,τοτέ,adverb,de\,δέ,particle,pro\s,πρός,preposition,to\,ὁ,article,shmai=non,σημαίνω,verb,a)po\,ἀπό,preposition,tou=,ὁ,article,shmainome/nou,σημαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
