word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/15/lemma/@_entry,word/15/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS
h(/kw,ἥκω,verb,*dio\s,Ζεύς,proper,pai=s,πᾶς,adjective,th/nde,ὅδε,pronoun,*qhbai/wn,Θηβαῖος,proper,xqo/na,χθών,noun,*dio/nusos,Διόνυσος,proper,o(\n,ὅς,pronoun,ti/ktei,τίκτω,verb,poq',ποθι,adverb,h(,ὁ,article,*ka/dmou,Κάδμος,proper,ko/rh,κόρη,noun,*seme/lh,Σεμέλη,proper,loxeuqei=s',λοχεύω,verb,a)straphfo/rw|,puri/,πῦρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
morfh\n,μορφή,noun,d',δέ,particle,a)mei/yas,ἀμείβω,verb,e)k,ἐκ,preposition,qeou=,θεός,noun,brothsi/an,βρότειος,adjective,pa/reimi,πάρειμι,verb,*di/rkhs,Δίρκη,proper,na/mat',νᾶμα,noun,*)ismhnou=,Ἰσμηνός,proper,q',τε,particle,u(/dwr,ὕδωρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(rw=,ὁράω,verb,de\,δέ,particle,mhtro\s,μήτηρ,noun,mnh=ma,μνῆμα,noun,th=s,ὁ,article,kerauni/as,κεραυνία,noun,to/d',ὅδε,pronoun,e)ggu\s,ἐγγύς,adverb,oi)/kwn,οἶκος,noun,kai\,καί,conjunction,do/mwn,δόμος,noun,e)rei/pia,ἐρείπιον,noun,tufo/mena,τύφω,verb,*di/ou,Δῖον,proper,puro\s,πῦρ,noun,e)/ti,zw=san,ζάω,verb,ἔτι,adverb,flo/ga,φλόξ,noun,a)qa/naton,ἀθάνατος,adjective,*(/hras,Ἥρα,proper,mhte/r',μήτηρ,noun,ei)s,εἰς,preposition,e)mh\n,ἐμός,adjective,u(/brin,ὕβρις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai)nw=,αἰνέω,verb,de\,δέ,particle,*ka/dmon,Κάδμος,proper,a)/baton,ἄβατος,adjective,o(\s,ὅς,pronoun,pe/don,πέδον,noun,to/de,ὅδε,pronoun,ti/qhsi,τίθημι,verb,qugatro\s,θυγάτηρ,adjective,shko/n,σηκός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)mpe/lou,ἄμπελος,noun,de/,δέ,particle,nin,νιν,pronoun,pe/ric,πέριξ,preposition,e)gw\,ἐγώ,pronoun,'ka/luya,καλύπτω,verb,botruw/dei,βοτρυώδης,adjective,xlo/h|,χλόη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lipw\n,λείπω,verb,de\,δέ,particle,*ludw=n,Λυδός,proper,tou\s,ὁ,article,poluxru/sous,πολύχρυσος,adjective,gu/as,γύης,adjective,*frugw=n,Φρύξ,proper,te,τε,particle,*persw=n,Πέρσης,proper,q',τε,particle,h(lioblh/tous,ἡλιόβλητος,adjective,pla/kas,πλάξ,adjective,*ba/ktria/,Βάκτριος,proper,te,τε,particle,tei/xh,τεῖχος,noun,th/n,te,τε,particle,ὁ,article,du/sximon,δύσχιμος,adjective,xqo/na,χθών,noun,*mh/dwn,Μήδων,proper,e)pelqw\n,ἐπέρχομαι,verb,*)arabi/an,Ἀράβιος,proper,t',τε,particle,eu)dai/mona,εὐδαίμων,adjective,*)asi/an,Ἄσιος,proper,te,τε,particle,pa=san,πᾶς,adjective,h(\,ὅς,pronoun,par',παρά,preposition,a(lmura\n,ἁλμυρός,adjective,a(/la,ἅλς,adjective,kei=tai,κέω,verb,miga/sin,μιγάς,noun,*(/ellhsi,Ἕλλην,proper,barba/rois,βάρβαρος,adjective,q',τε,particle,o(mou=,ὁμοῦ,adverb,plh/reis,πλήρης,adverb,e)/xousa,ἔχω,verb,kallipurgw/tous,καλλιπύργωτος,adjective,po/leis,πόλις,adjective,e)s,εἰς,preposition,th/nde,ὅδε,pronoun,prw=ton,πρότερος,adjective,h)=lqon,ἔρχομαι,verb,*(ellh/nwn,Ἕλλην,proper,po/lin,πόλις,adjective,ta)kei=,ἐκεῖ,adverb,xoreu/sas,χορεύω,verb,kai\,καί,conjunction,katasth/sas,καθίστημι,verb,e)ma\s,ἐμός,adjective,teleta/s,τελετή,noun,i(/n',ἵνα,conjunction,ei)/hn,εἰμί,verb,e)mfanh\s,ἐμφανής,adjective,dai/mwn,δαίμων,adjective,brotoi=s,βροτός,noun
prw/tas,πρότερος,adjective,de\,δέ,particle,*qh/bas,Θήβη,proper,th=sde,ὅδε,pronoun,gh=s,γῆ,noun,*(ellhni/dos,Ἑλληνίς,proper,a)nwlo/luca,ἀνολολύζω,verb,nebri/d',νεβρίς,noun,e)ca/yas,ἐξάπτω,verb,xroo\s,χρώς,noun,qu/rson,θύρσος,noun,te,τε,particle,dou\s,δίδωμι,verb,e)s,εἰς,preposition,xei=ra,χείρ,noun,ki/ssinon,be/los,βέλος,noun,κίσσινον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pei/,ἐπεί,conjunction,m',ἐγώ,pronoun,a)delfai\,ἀδελφή,noun,mhtro/s,μήτηρ,noun,a(\s,ὅς,pronoun,h(/kista,ἥκιστος,adjective,xrh=n,χράω,verb,*dio/nuson,Διόνυσος,proper,ou)k,οὐ,adverb,e)/faskon,φάσκω,verb,e)kfu=nai,ἐκφύω,verb,*dio/s,Ζεύς,proper,*seme/lhn,Σεμέλη,proper,de\,δέ,particle,numfeuqei=san,νυμφεύω,verb,e)k,qnhtou=,θνητός,adjective,ἐκ,preposition,tinos,τις,pronoun,e)s,εἰς,preposition,*zh=n',Ζεύς,proper,a)nafe/rein,ἀναφέρω,verb,th\n,ὁ,article,a(marti/an,ἁμαρτία,noun,le/xous,λέχος,noun,*ka/dmou,Κάδμος,proper,sofi/smaq',σόφισμα,noun,w(=n,ὅς,pronoun,nin,νιν,pronoun,ou(/neka,οὕνεκα,conjunction,ktanei=n,κτείνω,verb,*zh=n',Ζεύς,proper,e)cekauxw=nq',ἐκκαυχάομαι,verb,o(/ti,ὅστις,pronoun,ga/mous,γάμος,adjective,e)yeu/sato,ψεύδω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toiga/r,τοιγάρ,particle,nin,νιν,pronoun,au)ta\s,αὐτός,pronoun,e)k,ἐκ,preposition,do/mwn,δόμος,noun,w)/|strhs',,,e)gw\,ἐγώ,pronoun,mani/ais,μανία,noun,o)/ros,ὄρος,adjective,d',δέ,particle,oi)kou=si,οἰκέω,verb,para/kopoi,παράκοπος,adjective,frenw=n,φρήν,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skeuh/n,σκευή,noun,t',τε,particle,e)/xein,ἔχω,verb,h)na/gkas',ἀναγκάζω,verb,o)rgi/wn,ὄργια,noun,e)mw=n,ἐμός,adjective,kai\,καί,conjunction,pa=n,πᾶς,adjective,to\,ὁ,article,qh=lu,θῆλυς,adjective,spe/rma,σπέρμα,noun,*kadmei/wn,Καδμεῖος,proper,o(/sai,ὅσος,adjective,gunai=kes,γυνή,noun,h)=san,εἰμί,verb,e)ce/mhna,dwma/twn,δῶμα,noun,ἐκμαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
