word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/38/lemma/@_entry,word/38/lemma/@_POS
*(/hkw,ἥκω,verb,nekrw=n,νεκρός,noun,keuqmw=na,κευθμών,noun,kai\,καί,conjunction,sko/tou,σκότος,noun,pu/las,πύλη,adjective,lipw/n,λείπω,verb,i(/n',ἵνα,conjunction,*(/aidhs,Ἅιδης,proper,xwri\s,χωρίς,adverb,w)/|kistai,οἰκίζω,verb,qew=n,θέα,noun,*polu/dwros,Πολύδωρος,proper,*(eka/bhs,Ἑκάβη,proper,pai=s,πᾶς,adjective,gegw\s,γίγνομαι,verb,th=s,ὁ,article,*kisse/ws,Κισσεύς,proper,*pria/mou,Πρίαμος,proper,te,τε,particle,patro/s,πατήρ,noun,o(/s,ὅς,pronoun,m',ἐγώ,pronoun,e)pei\,ἐπεί,conjunction,*frugw=n,Φρύξ,proper,po/lin,πόλις,adjective,ki/ndunos,κίνδυνος,noun,e)/sxe,ἔχω,verb,dori\,δόρυ,noun,pesei=n,πίπτω,verb,*(ellhnikw=|,Ἑλληνικός,adjective,dei/sas,δείδω,verb,u(pece/pemye,ὑπεκπέμπω,verb,*trwikh=s,Τρωικός,adjective,xqono\s,χθών,noun,*polumh/storos,Πολυμήστωρ,proper,pro\s,πρός,preposition,dw=ma,δῶμα,noun,*qrh|ki/ou,ce/nou,ξένος,noun,o(\s,ὅς,pronoun,th/n,ὁ,article,d',δέ,particle,a)ri/sthn,ἄριστος,adjective,*xersonhsi/an,χερσονήσιος,adjective,pla/ka,πλάξ,adjective,spei/rei,σπείρω,verb,fi/lippon,φίλιππος,adjective,lao\n,λαός,noun,eu)qu/nwn,εὐθύνω,verb,dori/,δόρυ,noun,,
polu\n,πολύς,adjective,de\,δέ,particle,su\n,σύν,preposition,e)moi\,ἐγώ,pronoun,xruso\n,χρυσός,noun,e)kpe/mpei,ἐκπέμπω,verb,la/qra|,λάθρῃ,adverb,path/r,πατήρ,noun,i(/n',ἵνα,conjunction,ei)/,εἰ,conjunction,pot',ποτέ,particle,*)ili/ou,Ἴλιον,proper,tei/xh,τεῖχος,noun,pe/soi,πίπτω,verb,toi=s,ὁ,article,zw=sin,ζάω,verb,ei)/h,ἀίω,verb,paisi\,παῖς,adjective,mh\,μή,conjunction,spa/nis,σπάνις,adjective,bi/ou,βίος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new/tatos,νέος,adjective,d',δέ,particle,h)=,ἦ,adverb,*priamidw=n,Πριαμίδης,proper,o(\,ὅς,pronoun,kai/,καί,conjunction,me,ἐγώ,pronoun,gh=s,γῆ,noun,u(pece/pemyen,ὑπεκπέμπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/te,οὔτε,adverb,ga\r,γάρ,particle,fe/rein,φέρω,verb,o(/pla,ὅπλον,noun,ou)/t',οὔτε,adverb,e)/gxos,ἔγχος,noun,oi(=o/s,οἷος,adjective,t',τε,particle,h)=,ἦ,adverb,ne/w|,νέος,adjective,braxi/oni,βραχίων,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(/ws,ἕως,conjunction,me\n,μέν,particle,ou)=n,οὖν,particle,gh=s,γῆ,noun,o)/rq',ὄρνυμι,verb,e)/keiq',κεῖμαι,verb,o(ri/smata,ὅρισμα,noun,pu/rgoi,πύργος,noun,t',τε,particle,a)/qraustoi,ἄθραυστος,adjective,*trwikh=s,Τρωικός,adjective,h)=san,εἰμί,verb,xqono\s,χθών,noun,*(/ektwr,Ἕκτωρ,proper,t',τε,particle,a)delfo\s,ἀδελφός,adjective,ou(mo\s,ἐμός,adjective,eu)tu/xei,εὐτυχέω,verb,dori/,δόρυ,noun,kalw=s,καλός,noun,par',παρά,preposition,a)ndri\,ἀνδρίς,noun,*qrh|ki\,Θρᾷξ,proper,patrw/|w|,πατρῷος,adjective,ce/nw|,ξένος,noun,trofai=sin,τροφή,noun,w(/s,ὡς,conjunction,tis,τις,pronoun,pto/rqos,πτόρθος,noun,hu)co/mhn,αὐξάνω,verb,ta/las,τάλας,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pei\,ἐπεί,conjunction,de\,δέ,particle,*troi/a,Τροία,proper,q',τε,particle,*(/ektoro/s,Ἕκτωρ,proper,t',τε,particle,a)po/llutai,ἀπόλλυμι,verb,yuxh/,ψυχή,noun,patrw/|a,πατρώιος,adjective,q',τε,particle,e(sti/a,ἑστία,noun,kateska/fh,κατασκάπτω,verb,au)to\s,αὐτός,pronoun,de\,δέ,particle,bwmw=|,βωμός,noun,pro\s,πρός,preposition,qeodmh/tw|,θεόδμητος,adjective,pi/tnei,πίπτω,verb,sfagei\s,σφάζω,verb,*)axille/ws,Ἀχιλλεύς,proper,paido\s,παῖς,adjective,e)k,ἐκ,preposition,miaifo/nou,μιαίφονος,adjective,ktei/nei,κτείνω,verb,me,ἐγώ,pronoun,xrusou=,χρυσός,noun,to\n,ὁ,article,talai/pwron,ταλαίπωρος,adjective,xa/rin,χάρις,noun,ce/nos,ξένος,noun,patrw=|os,πατρῷος,adjective,kai\,καί,conjunction,ktanw\n,κτείνω,verb,e)s,εἰς,preposition,oi)=dm',οἶδμα,noun,a(lo\s,ἅλς,adjective,meqh=x',μεθήκω,verb,i(/n',ἵνα,conjunction,au)to\s,xruso\n,χρυσός,noun,e)n,ἐν,preposition,do/mois,δόμος,noun,e)/xh|,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,αὐτός,pronoun
kei=mai,κεῖμαι,verb,d',δέ,particle,e)p',ἐπί,preposition,a)ktai=s,ἀκτέα,noun,a)/llot',ἄλλοτε,adverb,e)n,ἐν,preposition,po/ntou,πόντος,noun,sa/lw|,σάλος,adjective,polloi=s,πολύς,adjective,diau/lois,δίαυλος,noun,kuma/twn,κῦμα,noun,forou/menos,φορέω,verb,a)/klautos,ἄκλαυστος,adjective,a)/tafos,ἄταφος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,d',δέ,particle,u(pe\r,ὑπέρ,preposition,mhtro\s,μήτηρ,noun,fi/lhs,φίλος,adjective,*(eka/bhs,Ἑκάβη,proper,a)i/ssw,ἀίσσω,verb,sw=m',σῶμα,adjective,e)rhmw/sas,ἐρημάζω,verb,e)mo/n,ἐμός,adjective,tritai=on,τριταῖος,adjective,h)/dh,ἤδη,adverb,fe/ggos,φέγγος,noun,ai)wrou/menos,αἰωρέω,verb,o(/sonper,ὅσος,adjective,e)n,ἐν,preposition,gh=|,γῆ,noun,th=|de,ὅδε,pronoun,*xersonhsi/a|,,,mh/thr,μήτηρ,noun,e)mh\,ἐμός,adjective,du/sthnos,δύστηνος,adjective,e)k,ἐκ,preposition,*troi/as,Τροία,proper,pa/ra,παρά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa/ntes,πᾶς,adjective,d',δέ,particle,*)axaioi\,Ἀχαιός,proper,nau=s,ναῦς,noun,e)/xontes,ἔχω,verb,h(/suxoi,ἥσυχος,adjective,qa/ssous',θάσσω,verb,e)p',ἐπί,preposition,a)ktai=s,ἀκτέα,noun,th=sde,ὅδε,pronoun,*qrh|ki/as,Θράκιος,proper,xqono/s,χθών,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,*phle/ws,Πηλεύς,proper,ga\r,γάρ,particle,pai=s,πᾶς,adjective,u(pe\r,ὑπέρ,preposition,tu/mbou,τύμβος,noun,fanei\s,φαίνω,verb,kate/sx',κατέχω,verb,*)axilleu\s,Ἀχιλλεύς,proper,pa=n,πᾶς,adjective,stra/teum',στράτευμα,adjective,*(ellhniko/n,Ἑλληνικός,adjective,pro\s,πρός,preposition,oi)=kon,οἶκος,noun,eu)qu/nontas,εὐθύνω,verb,e)nali/an,ἐνάλιος,adjective,pla/thn,πλάτη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
