word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS
*)/atlas,Ἄτλας,proper,o(,ὁ,article,xalke/oisi,χάλκεος,adjective,nw/tois,νῶτον,noun,ou)rano\n,οὐρανός,noun,qew=n,θέα,noun,palaio\n,παλαιός,adjective,oi)=kon,οἶκος,noun,e)ktri/bwn,ἐκτρίβω,verb,qew=n,θέα,noun,mia=s,εἷς,adjective,e)/fuse,ἐφύω,verb,*mai=an,Μαῖα,proper,h(\,ὅς,pronoun,'m',ἐγώ,pronoun,e)gei/nato,γείνομαι,verb,*(ermh=n,Ἑρμῆς,proper,megi/stw|,μέγας,adverb,*zhni/,Ζεύς,proper,daimo/nwn,δαίμων,adjective,la/trin,λάτρις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(/kw,ἥκω,verb,de\,δέ,particle,*delfw=n,Δελφοί,proper,th/nde,ὅδε,pronoun,gh=n,γῆ,noun,i(/n',ἵνα,conjunction,o)mfalo\n,ὀμφαλός,noun,me/son,μέσος,adjective,kaqi/zwn,καθίζω,verb,*foi=bos,Φοῖβος,proper,u(mnw|dei=,ὑμνῳδέω,verb,brotoi=s,βροτός,noun,ta/,τίς,pronoun,t',τε,particle,o)/nta,εἰμί,verb,kai\,καί,conjunction,me/llonta,μέλλω,verb,qespi/zwn,θεσπίζω,verb,a)ei/,ἀεί,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/stin,εἰμί,verb,ga\r,γάρ,particle,ou)k,οὐ,adverb,a)/shmos,ἄσημος,adjective,*(ellh/nwn,Ἕλλην,proper,po/lis,πόλις,adjective,th=s,ὁ,article,xrusolo/gxou,χρυσόλογχος,adjective,*palla/dos,Παλλάς,proper,keklhme/nh,καλέω,verb,ou(=,ἕ,pronoun,pai=d',παῖς,adjective,*)erexqe/ws,Ἐρεχθεύς,proper,*foi=bos,Φοῖβος,proper,e)/zeucen,ζεύγνυμι,verb,ga/mois,γάμος,adjective,bi/a|,βία,adjective,*kre/ousan,Κρεούσα,proper,e)/nqa,ἔνθα,adverb,prosbo/rrous,πρόσβορρος,adjective,pe/tras,πέτρα,noun,*palla/dos,Παλλάς,proper,u(p',ὑπό,preposition,o)/xqw|,ὄχθος,noun,th=s,ὁ,article,*)aqhnai/wn,Ἀθήναια,proper,xqono\s,χθών,noun,*makra\s,μακρός,adjective,kalou=si,καλέω,verb,gh=s,γῆ,noun,a)/naktes,ἄναξ,noun,*)atqi/dos,Ἀτθίς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)gnw\s,ἀγνώς,noun,de\,δέ,particle,patri/,πατήρ,noun,tw=|,ὁ,article,qew=|,θεός,noun,ga\r,γάρ,particle,h)=n,εἰμί,verb,fi/lon,φίλος,adjective,gastro\s,γαστήρ,noun,dih/negk',διαφέρω,verb,o)/gkon,ὄγκος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,d',δέ,particle,h)=lqen,ἔρχομαι,verb,xro/nos,χρόνος,noun,tekou=s',τίκτω,verb,e)n,ἐν,preposition,oi)/kois,οἶκος,noun,pai=d',παῖς,adjective,a)ph/negken,ἀποφέρω,verb,bre/fos,βρέφος,noun,e)s,εἰς,preposition,tau)to\n,ταυτός,adjective,a)/ntron,ἄντρον,noun,ou(=per,οὗπερ,adverb,hu)na/sqh,εὐνάζω,verb,qew=|,θεός,noun,*kre/ousa,Κρεούσα,proper,ka)kti/qhsin,ἐκτίθημι,verb,w(s,ὡς,conjunction,qanou/menon,θνήσκω,verb,koi/lhs,κόιλος,adjective,e)n,ἐν,preposition,a)nti/phgos,ἀντίπηξ,noun,eu)tro/xw|,εὔτροχος,adjective,ku/klw|,κύκλος,noun,progo/nwn,πρόγονος,adjective,no/mon,νόμος,noun,sw/|zousa,σώζω,verb,tou=,ὁ,article,te,τε,particle,ghgenou=s,γηγενής,adjective,*)erixqoni/ou,Ἐριχθόνιος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kei/nw|,ἐκεῖνος,pronoun,ga\r,γάρ,particle,h(,ὁ,article,*dio\s,Ζεύς,proper,ko/rh,κόρη,noun,frourw\,φρουρός,noun,parazeu/casa,παραζεύγνυμι,verb,fu/lake,φύλαξ,noun,sw/matos,σῶμα,adjective,dissw\,δισσός,adjective,dra/konte,δράκων,noun,parqe/nois,παρθένος,noun,*)aglauri/si,,,di/dwsi,δίδωμι,verb,sw/|zein,σώζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/qen,ὅθεν,adverb,*)erexqei/dais,Ἐρεχθείδης,proper,e)kei=,ἐκεῖ,adverb,no/mos,νόμος,noun,tis,τις,pronoun,e)/stin,εἰμί,verb,o)/fesin,ὄφις,noun,e)n,ἐν,preposition,xrushla/tois,χρυσήλατος,adjective,tre/fein,τρέφω,verb,te/kna,τέκνον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,h(\n,ὅς,pronoun,ei)=xe,ἔχω,verb,parqe/nos,παρθένος,noun,xlidh\n,χλιδή,noun,te/knw|,τέκνον,noun,prosa/yas',προσάπτω,verb,e)/lipen,λείπω,verb,w(s,ὡς,conjunction,qanoume/nw|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka)/m',ἐγώ,pronoun,w)\n,εἰμί,verb,a)delfo\s,ἀδελφός,adjective,*foi=bos,Φοῖβος,proper,ai)tei=tai,αἰτέω,verb,ta/de,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,su/ggon',σύγγονος,adjective,e)lqw\n,ἔρχομαι,verb,lao\n,λαός,noun,ei)s,εἰς,preposition,au)to/xqona,αὐτόχθονος,adjective,kleinw=n,κλεινός,adjective,*)aqhnw=n,Ἀθήνη,proper,oi)=sqa,οἶδα,verb,ga\r,γάρ,particle,qea=s,θεά,noun,po/lin,πόλις,adjective,labw\n,λαμβάνω,verb,bre/fos,βρέφος,noun,neogno\n,νεογνός,adjective,e)k,ἐκ,preposition,koi/lhs,κόιλος,adjective,pe/tras,πέτρα,noun,au)tw=|,αὐτός,pronoun,su\n,σύν,preposition,a)/ggei,ἄγγος,noun,sparga/noisi/,σπάργανον,noun,q',τε,particle,oi(=s,ὅς,pronoun,e)/xei,ἔχω,verb,e)/negke,φέρω,verb,*delfw=n,Δελφοί,proper,ta)ma\,ἁμός,adjective,pro\s,πρός,preposition,xrhsth/ria,χρηστήριον,noun,kai\,καί,conjunction,qe\s,τίθημι,verb,pro\s,πρός,preposition,au)tai=s,αὐτός,pronoun,ei)so/dois,εἴσοδος,noun,do/mwn,δόμος,noun,e)mw=n,ἐμός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,d',δέ,particle,a)/ll',ἄλλος,adjective,e)mo\s,ἐμός,adjective,ga/r,γάρ,particle,e)stin,εἰμί,verb,w(s,ὡς,conjunction,ei)dh=|s,οἶδα,verb,o(,ὁ,article,pai=s,πᾶς,adjective,h(mi=n,ἐγώ,pronoun,melh/sei,ἐπιμελέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
